Token,Lemma,POS
Jodokus,Jodokus,PROPN
Donatus,Donatus,PROPN
Hubertus,Hubertus,PROPN
Temme,Temme,PROPN
In,in,ADP
einer,ein,DET
Brautnacht,Brautnacht,NOUN
Criminalbibliothek,Criminalbibliothek,NOUN
des,der,DET
19.,19.,ADJ
Jahrhunderts,Jahrhundert,NOUN
Neusatz,Neusatz,NOUN
der,der,DET
Bucherstveröffentlichung,Bucherstveröffentlichung,NOUN
Berlin,Berlin,PROPN
(,--,PUNCT
Wedekind,Wedekind,PROPN
und,und,CCONJ
Schwieger,Schwieger,PROPN
),--,PUNCT
1873,1873,NUM
Quelle,Quelle,PROPN
:,--,PUNCT
PDF,PDF,PROPN
mit,mit,ADP
freundlicher,freundlich,ADJ
Genehmigung,Genehmigung,NOUN
von,von,ADP
www.alte-krimis.de,www.alte-krimis.de,PROPN
*,*,NOUN
An,an,ADP
einem,ein,DET
klaren,klar,ADJ
Octoberabend,Octoberabend,NOUN
",",--,PUNCT
kurz,kurz,ADV
vor,vor,ADP
Sonnenuntergang,Sonnenuntergang,NOUN
",",--,PUNCT
langte,langen,VERB
auf,auf,ADP
dem,der,DET
Posthofe,Posthofe,NOUN
ein,ein,DET
mit,mit,ADP
zwei,zwei,NUM
Postpferden,Postpferd,NOUN
bespannter,bespannt,ADJ
Reisewagen,Reisewag,NOUN
an,an,ADP
",",--,PUNCT
in,in,ADP
welchem,welcher,PRON
sich,sich,PRON
zwei,zwei,NUM
Herren,Herr,NOUN
und,und,CCONJ
eine,ein,DET
Dame,Dame,NOUN
befanden,befinden,VERB
.,--,PUNCT
Einer,einer,PRON
der,der,DET
Herren,Herr,NOUN
fragte,fragen,VERB
",",--,PUNCT
ob,ob,SCONJ
man,man,PRON
hier,hier,ADV
Nachtquartier,Nachtquartier,NOUN
erhalten,erhalten,VERB
könne,können,AUX
.,--,PUNCT
Es,es,PRON
wurde,werden,AUX
bejaht,bejahen,VERB
.,--,PUNCT
Die,der,DET
drei,drei,NUM
Reisenden,reisend,NOUN
verließen,verlassen,VERB
den,der,DET
Wagen,Wagen,NOUN
.,--,PUNCT
»,--,PUNCT
Zwei,zwei,NUM
Zimmer,Zimmer,NOUN
neben,neben,ADP
einander,sich,PRON
",",--,PUNCT
«,--,PUNCT
bestellte,bestellen,VERB
der,der,DET
Herr,Herr,NOUN
",",--,PUNCT
»,--,PUNCT
zu,zu,ADP
ebener,eben,ADJ
Erde,Erde,NOUN
.,--,PUNCT
«,--,PUNCT
Zu,zu,ADP
ebener,eben,ADJ
Erde,Erde,NOUN
waren,sein,AUX
keine,kein,DET
Fremdenzimmer,Fremdenzimmer,NOUN
da,da,ADV
.,--,PUNCT
Ein,ein,DET
junges,jung,ADJ
Mädchen,Mädchen,NOUN
",",--,PUNCT
die,der,DET
Tochter,Tochter,NOUN
des,der,DET
Posthalters,Posthalter,NOUN
",",--,PUNCT
führte,führen,VERB
die,der,DET
Fremden,fremde,NOUN
die,der,DET
Treppe,Treppe,PROPN
hinauf,hinauf,ADV
.,--,PUNCT
Der,der,DET
Posthalter,Posthalter,NOUN
war,sein,AUX
zugleich,zugleich,ADV
Gastwirth,Gastwirth,PROPN
.,--,PUNCT
Das,der,DET
Mädchen,Mädchen,NOUN
wies,weisen,VERB
den,der,DET
Fremden,fremde,NOUN
zwei,zwei,NUM
Zimmer,Zimmer,NOUN
an,an,ADP
",",--,PUNCT
die,der,PRON
beisammen,beisammen,PRON
lagen,liegen,VERB
und,und,CCONJ
durch,durch,ADP
eine,ein,DET
Thür,Thür,NOUN
verbunden,verbinden,VERB
waren,sein,AUX
.,--,PUNCT
In,in,ADP
jedem,jeder,PRON
der,der,DET
beiden,beide,DET
Zimmer,Zimmer,NOUN
standen,stehen,VERB
zwei,zwei,NUM
Betten,Bett,NOUN
.,--,PUNCT
»,--,PUNCT
Welches,welcher,DET
Zimmer,Zimmer,NOUN
wünschen,wünschen,VERB
Sie,sie,PRON
einzunehmen,einnehmen,VERB
",",--,PUNCT
Fräulein,Fräulein,NOUN
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
einer,einer,PRON
der,der,DET
beiden,beide,DET
Herren,Herr,NOUN
die,der,DET
Dame,Dame,NOUN
.,--,PUNCT
»,--,PUNCT
