Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Johann,Johann,PROPN,pnc,2,Wyss
1,David,David,PROPN,pnc,2,Wyss
2,Wyss,Wyss,PROPN,ROOT,2,Wyss
3,Der,der,DET,nk,5,Robinson
4,schweizerische,schweizerisch,ADJ,nk,5,Robinson
5,Robinson,Robinson,NOUN,ROOT,5,Robinson
6,Dreizehnte,Dreizehnte,ADJ,nk,7,Originalausgabe
7,Originalausgabe,Originalausgabe,NOUN,ROOT,7,Originalausgabe
8,[,[,NOUN,ROOT,8,[
9,0001,0001,NUM,nk,8,[
10,],],NOUN,ROOT,10,]
11,Zum,zu,ADP,ROOT,11,Zum
12,Geleit,Geleit,NOUN,nk,11,Zum
13,Die,der,DET,nk,15,Ausgabe
14,erste,erster,ADJ,nk,15,Ausgabe
15,Ausgabe,Ausgabe,NOUN,ROOT,15,Ausgabe
16,des,der,DET,nk,18,Robinson
17,Schweizerischen,schweizerisch,ADJ,nk,18,Robinson
18,Robinson,Robinson,PROPN,ag,15,Ausgabe
19,",",--,PUNCT,punct,18,Robinson
20,dieses,dieser,DET,nk,21,Pioniers
21,Pioniers,Pionier,NOUN,ag,15,Ausgabe
22,unter,unter,ADP,mnr,21,Pioniers
23,den,der,DET,nk,22,unter
24,Jugendbüchern,Jugendbücher,NOUN,sb,26,erschien
25,",",--,PUNCT,punct,26,erschien
26,erschien,erscheinen,VERB,ROOT,26,erschien
27,im,in,ADP,mo,26,erschien
28,Jahre,Jahr,NOUN,nk,27,im
29,1812,1812,NUM,nk,28,Jahre
30,im,in,ADP,mo,26,erschien
31,Verlag,Verlag,NOUN,nk,30,im
32,von,von,ADP,pg,31,Verlag
33,Orell,Orell,NOUN,nk,32,von
34,",",--,PUNCT,punct,33,Orell
35,Füssli,Füssli,NOUN,cj,33,Orell
36,&,&,CCONJ,cd,35,Füssli
37,Co.,Co.,NOUN,cj,36,&
38,",",--,PUNCT,punct,26,erschien
39,Zürich,Zürich,PROPN,ROOT,39,Zürich
40,.,--,PUNCT,punct,39,Zürich
41,Es,es,PRON,ph,42,waren
42,waren,sein,AUX,ROOT,42,waren
43,vier,vier,NUM,nk,44,Teile
44,Teile,Teil,NOUN,pd,42,waren
45,in,in,ADP,mo,42,waren
46,zwei,zwei,NUM,nk,47,Bänden
47,Bänden,Band,NOUN,nk,45,in
48,.,--,PUNCT,punct,42,waren
49,Der,der,DET,nk,51,Stadtpfarrer
50,Berner,Berner,ADJ,nk,51,Stadtpfarrer
51,Stadtpfarrer,Stadtpfarrer,NOUN,ROOT,51,Stadtpfarrer
52,Johann,Johann,PROPN,nk,51,Stadtpfarrer
53,David,David,PROPN,pnc,54,Wyß
54,Wyß,Wyß,PROPN,sb,60,hatte
55,(,--,PUNCT,punct,56,1743
56,1743,1743,NUM,par,54,Wyß
57,–,-,PUNCT,punct,56,1743
58,1818,1818,NUM,par,54,Wyß
59,),--,PUNCT,punct,54,Wyß
60,hatte,haben,AUX,ROOT,60,hatte
61,die,der,DET,nk,62,Geschichte
62,Geschichte,Geschichte,NOUN,oa,63,verfaßt
63,verfaßt,verfassen,VERB,oc,60,hatte
64,und,und,CCONJ,cd,63,verfaßt
65,seinen,sein,DET,nk,67,Knaben
66,vier,vier,NUM,nk,67,Knaben
67,Knaben,Knabe,NOUN,mo,60,hatte
68,erzählt,erzählen,VERB,ROOT,68,erzählt
69,;,--,PUNCT,punct,68,erzählt
70,einer,einer,PRON,ROOT,70,einer
71,von,von,ADP,pg,70,einer
72,ihnen,ihnen,PRON,nk,71,von
73,",",--,PUNCT,punct,70,einer
74,der,der,DET,nk,75,Philosophieprofessor
75,Philosophieprofessor,Philosophieprofessor,NOUN,app,70,einer
76,und,und,CCONJ,cd,75,Philosophieprofessor
77,Bibliothekar,Bibliothekar,PROPN,pnc,78,Johann
78,Johann,Johann,PROPN,cj,76,und
79,Rudolf,Rudolf,PROPN,pnc,80,Wyß
80,Wyß,Wyß,PROPN,ROOT,80,Wyß
81,(,--,PUNCT,punct,82,1782
82,1782,1782,NUM,par,80,Wyß
83,bis,bis,CCONJ,cd,82,1782
84,1830,1830,NUM,cj,83,bis
85,),--,PUNCT,punct,82,1782
86,",",--,PUNCT,punct,80,Wyß
87,der,der,DET,nk,88,Dichter
88,Dichter,Dichter,NOUN,app,80,Wyß
89,des,der,DET,nk,90,Liedes
90,Liedes,Lied,NOUN,ag,88,Dichter
91,»,--,PUNCT,punct,92,Rufst
92,Rufst,Rufst,PROPN,pnc,93,du
93,du,du,PRON,nk,90,Liedes
94,",",--,PUNCT,punct,80,Wyß
95,mein,mein,DET,nk,96,Vaterland
96,Vaterland,Vaterland,NOUN,app,80,Wyß
97,«,--,PUNCT,punct,80,Wyß
98,",",--,PUNCT,punct,80,Wyß
99,hat,haben,AUX,ROOT,99,hat
100,sie,sie,PRON,sb,99,hat
101,dann,dann,ADV,mo,105,vorbereitet
102,für,für,ADP,mo,105,vorbereitet
103,die,der,DET,nk,104,Veröffentlichung
104,Veröffentlichung,Veröffentlichung,NOUN,nk,102,für
105,vorbereitet,vorbereiten,VERB,oc,99,hat
106,.,--,PUNCT,punct,99,hat
107,Weil,weil,SCONJ,cp,109,Werk
108,das,der,DET,nk,109,Werk
109,Werk,Werk,NOUN,ROOT,109,Werk
110,in,in,ADP,mnr,109,Werk
111,seiner,sein,DET,nk,110,in
112,ursprünglichen,ursprünglich,ADJ,nk,113,Fassung
113,Fassung,Fassung,NOUN,da,119,bestimmt
114,eigentlich,eigentlich,ADV,mo,119,bestimmt
115,nicht,nicht,PART,ng,119,bestimmt
116,für,für,ADP,mo,119,bestimmt
117,den,der,DET,nk,118,Druck
118,Druck,Druck,NOUN,nk,116,für
119,bestimmt,bestimmen,VERB,pd,120,war
120,war,sein,AUX,mo,122,erfuhr
121,",",--,PUNCT,punct,122,erfuhr
122,erfuhr,erfahren,VERB,ROOT,122,erfuhr
123,es,es,PRON,ep,122,erfuhr
124,später,spät,ADV,mo,125,verschiedene
125,verschiedene,verschieden,ADJ,nk,126,Bearbeitungen
126,Bearbeitungen,Bearbeitung,NOUN,ROOT,126,Bearbeitungen
127,",",--,PUNCT,punct,126,Bearbeitungen
128,die,der,PRON,par,126,Bearbeitungen
129,sich,sich,PRON,oa,132,auf
