Token,Lemma,POS
Johann,Johann,PROPN
Gabriel,Gabriel,PROPN
Seidl,Seidl,PROPN
.,--,PUNCT
Cornelia,Cornelia,PROPN
Fieramonti,Fieramonti,PROPN
.,--,PUNCT
Dreiunddreißig,dreiunddreißig,ADV
Jahre,Jahr,NOUN
mögen,mögen,AUX
beiläufig,beiläufig,ADV
verflossen,verfließen,VERB
sein,sein,AUX
",",--,PUNCT
seit,seit,SCONJ
der,der,DET
Major,Major,PROPN
M,M,X
*,*,X
*,*,X
*,*,PROPN
",",--,PUNCT
welcher,welcher,DET
jetzt,jetzt,ADV
in,in,ADP
einem,ein,DET
freundlichen,freundlich,ADJ
Landstädtchen,Landstädtchen,NOUN
",",--,PUNCT
wo,wo,SCONJ
ich,ich,PRON
dessen,der,PRON
Bekanntschaft,Bekanntschaft,NOUN
machte,machen,VERB
",",--,PUNCT
seine,sein,DET
Pension,Pension,NOUN
verzehrt,verzehren,VERB
",",--,PUNCT
als,als,ADP
Kapitän,Kapitän,NOUN
in,in,ADP
der,der,DET
französischen,französisch,ADJ
Armee,Armee,NOUN
diente,dienen,VERB
.,--,PUNCT
Die,der,DET
gewaltsamen,gewaltsam,ADJ
Veränderungen,Veränderung,NOUN
",",--,PUNCT
welche,welcher,PRON
damals,damals,ADV
über,über,ADP
das,der,DET
Königreich,Königreich,NOUN
beider,beide,PRON
Sizilien,Sizilien,NOUN
hereingebrochen,hereingebrochen,VERB
waren,sein,AUX
",",--,PUNCT
und,und,CCONJ
die,der,DET
dadurch,dadurch,ADV
veranlaßten,veranlaßt,ADJ
Truppenbewegungen,Truppenbewegung,NOUN
führten,führen,VERB
ihn,ihn,PRON
nach,nach,ADP
dem,der,DET
Lande,Land,NOUN
der,der,DET
Abruzzen,Abruzze,NOUN
",",--,PUNCT
wo,wo,SCONJ
er,er,PRON
mit,mit,ADP
seiner,sein,DET
Kompagnie,Kompagnie,NOUN
in,in,ADP
eine,ein,DET
schöne,schön,ADJ
",",--,PUNCT
reiche,reich,ADJ
Stadt,Stadt,NOUN
am,an,ADP
Fuße,Fuß,NOUN
des,der,DET
wildromantischen,wildromantisch,ADJ
Felsgebirges,Felsgebirg,NOUN
verlegt,verlegen,VERB
wurde,werden,AUX
",",--,PUNCT
das,der,PRON
sich,sich,PRON
in,in,ADP
schauerlichen,schauerlich,ADJ
Defileen,Defilee,NOUN
und,und,CCONJ
schluchtenreichen,schluchtenreich,ADJ
Engpässen,Engpäss,NOUN
",",--,PUNCT
von,von,ADP
einem,ein,DET
reißenden,reißend,ADJ
Bergstrome,Bergstrom,NOUN
bald,bald,ADV
bespült,bespülen,VERB
",",--,PUNCT
bald,bald,ADV
durchbrochen,durchbroch,ADJ
",",--,PUNCT
bis,bis,ADP
