Token,Lemma,POS
Johann,Johann,PROPN
Gabriel,Gabriel,PROPN
Seidl,Seidl,PROPN
.,--,PUNCT
Das,der,DET
goldene,golden,ADJ
Ringlein,Ringlein,NOUN
.,--,PUNCT
Die,der,DET
Herbstsonne,Herbstsonne,NOUN
warf,werfen,VERB
ihre,ihr,DET
scheidenden,scheidend,ADJ
Strahlen,Strahl,NOUN
eben,eben,ADV
auf,auf,ADP
die,der,DET
waldigen,waldig,ADJ
Abhänge,Abhang,NOUN
des,der,DET
Kamm,Kamm,NOUN
in,in,ADP
Obersteier,Obersteier,PROPN
",",--,PUNCT
der,der,PRON
seinen,sein,DET
goldumschimmerten,goldumschimmert,ADJ
Gipfel,Gipfel,NOUN
stolz,stolz,ADV
in,in,ADP
dem,der,DET
ruhig,ruhig,ADV
spiegelnden,spiegelnd,ADJ
Schwarzensee,Schwarzensee,PROPN
beäugelte,beäugelten,VERB
.,--,PUNCT
Tiefe,tief,ADJ
Stille,Stille,NOUN
lag,liegen,VERB
über,über,ADP
das,der,DET
ganze,ganz,ADJ
kühle,kühl,NOUN
Putzental,Putzental,PROPN
mit,mit,ADP
allen,aller,DET
seinen,sein,DET
Verzweigungen,Verzweigung,NOUN
und,und,CCONJ
Nebenkesseln,Nebenkessel,NOUN
ausgebreitet,ausbreiten,VERB
.,--,PUNCT
Von,von,ADP
den,der,DET
Inneralpen,Inneralpe,NOUN
herüber,herüber,ADV
erscholl,erschollen,ADV
kein,kein,DET
Herdengeglock,Herdengeglock,NOUN
mehr,mehr,ADV
",",--,PUNCT
denn,denn,CCONJ
die,der,DET
Alpe,Alpe,PROPN
war,sein,AUX
bereits,bereits,ADV
»,--,PUNCT
aufgelassen,aufgelassen,VERB
«,--,PUNCT
.,--,PUNCT
Nur,nur,ADV
der,der,DET
Neualpenbach,Neualpenbach,NOUN
rauschte,rauschen,VERB
von,von,ADP
den,der,DET
nördlichen,nördlich,ADJ
Vorbergen,Vorberg,NOUN
herab,herab,ADV
mit,mit,ADP
dumpfem,dumpf,ADJ
Gebrause,Gebrause,NOUN
in,in,ADP
den,der,DET
See,See,NOUN
und,und,CCONJ
belebte,beleben,VERB
die,der,DET
unendliche,unendlich,ADJ
Einsamkeit,Einsamkeit,NOUN
.,--,PUNCT
Das,der,DET
Gold,Gold,NOUN
auf,auf,ADP
den,der,DET
Höhen,Höhe,NOUN
erblaßte,erblaßte,VERB
mehr,mehr,ADV
und,und,CCONJ
mehr,mehr,PRON
;,--,PUNCT
ein,ein,DET
violetter,violett,ADJ
Duft,Duft,NOUN
umsäumte,umsäumen,VERB
den,der,DET
Rand,Rand,NOUN
der,der,DET
Gebirge,Gebirge,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,DET
