Token,Lemma,POS
Johann,Johann,PROPN
Gabriel,Gabriel,PROPN
Seidl,Seidl,PROPN
.,--,PUNCT
Die,der,DET
Schweden,Schwede,NOUN
vor,vor,ADP
Olmütz,Olmütz,NOUN
.,--,PUNCT
1.,1.,ADV
Narrheit,Narrheit,NOUN
erscheint,erscheinen,VERB
am,an,ADP
Toren,Tor,NOUN
nicht,nicht,PART
so,so,ADV
hart,hart,ADV
",",--,PUNCT
Als,als,SCONJ
an,an,ADP
dem,der,DET
Klugen,Klug,NOUN
",",--,PUNCT
ist,sein,AUX
er,er,PRON
erst,erst,ADV
vernarrt,vernarren,VERB
;,--,PUNCT
Denn,denn,CCONJ
der,der,PRON
verwendet,verwenden,VERB
allen,aller,DET
Witz,Witz,NOUN
daran,daran,ADV
",",--,PUNCT
Daß,daß,SCONJ
er,er,PRON
die,der,DET
Torheit,Torheit,NOUN
Klugheit,Klugheit,NOUN
nennen,nennen,VERB
kann,können,AUX
.,--,PUNCT
Shakespeare,Shakespeare,PROPN
.,--,PUNCT
Ein,ein,DET
wüstes,wüst,ADJ
Geschrei,Geschrei,NOUN
tönte,tönen,VERB
durch,durch,ADP
die,der,DET
niedere,nied,ADJ
Stube,Stube,NOUN
des,der,DET
sogenannten,sogenannter,ADJ
»,--,PUNCT
Stammhauses,stammhause,NOUN
«,--,PUNCT
",",--,PUNCT
einer,ein,DET
kleinen,klein,ADJ
abgelegenen,abgelegen,ADJ
Schenke,Schenk,NOUN
in,in,ADP
Olmütz,Olmütz,PROPN
",",--,PUNCT
wo,wo,SCONJ
sich,sich,PRON
allabendlich,allabendlich,ADV
die,der,DET
Brüder,Bruder,NOUN
in,in,ADP
studio,Studio,NOUN
zu,zu,PART
versammeln,versammeln,VERB
und,und,CCONJ
ihrer,ihr,DET
Lustbarkeit,Lustbarkeit,NOUN
freien,frei,ADJ
Lauf,Lauf,NOUN
zu,zu,PART
lassen,lassen,VERB
pflegten,pflegen,VERB
;,--,PUNCT
da,da,ADV
ward,werden,VERB
an,an,ADP
den,der,DET
massiven,massiv,ADJ
Eichentischen,Eichentischen,NOUN
umher,umh,ADV
getrunken,trinken,ADJ
",",--,PUNCT
gewürfelt,würfeln,VERB
",",--,PUNCT
gesungen,singen,VERB
und,und,CCONJ
gesalbadert,salbadern,VERB
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Sprechende,Sprechende,NOUN
sich,sich,PRON
oft,oft,ADV
selbst,selbst,ADV
nicht,nicht,PART
verstand,verstehen,VERB
",",--,PUNCT
und,und,CCONJ
die,der,DET
gesteigerte,gesteigert,ADJ
Bemühung,Bemühung,NOUN
",",--,PUNCT
sich,sich,PRON
einander,einander,PRON
verständlich,verständlich,ADV
zu,zu,PART
machen,machen,VERB
