Token,Lemma,POS
Johann,Johann,PROPN
Gabriel,Gabriel,PROPN
Seidl,Seidl,PROPN
Juana,Juana,PROPN
.,--,PUNCT
»,--,PUNCT
Nun,nun,ADV
",",--,PUNCT
was,was,PRON
sagt,sagen,VERB
Ihr,ihr,PRON
zu,zu,ADP
diesem,dieser,DET
Stimmchen,Stimmch,ADJ
",",--,PUNCT
Sennor,Sennor,NOUN
?,--,PUNCT
–,--,PUNCT
Ist,sein,AUX
es,es,PRON
nicht,nicht,PART
glockenrein,glockenrein,ADV
?,--,PUNCT
Nicht,nicht,PART
ein,ein,DET
Stimmchen,stimmche,NOUN
zum,zu,ADP
Küssen,Küssen,NOUN
",",--,PUNCT
zum,zu,ADP
Verlieben,Verliebe,NOUN
",",--,PUNCT
zum,zu,ADP
Rasendwerden,Rasendwerder,NOUN
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
der,der,DET
wohlbeleibte,wohlbeleiben,VERB
Marquis,Marquis,PROPN
von,von,ADP
Villa-Marinquez,Villa-Marinquez,PROPN
",",--,PUNCT
Kontador,Kontador,NOUN
des,der,DET
Rates,Rat,NOUN
de,de,PROPN
hazienda,Hazienda,PROPN
zu,zu,ADP
Madrid,Madrid,PROPN
",",--,PUNCT
seinen,sein,DET
Begleiter,Begleiter,NOUN
",",--,PUNCT
den,der,DET
Musikdirektor,Musikdirektor,NOUN
der,der,DET
königlichen,königlich,ADJ
Garde,Garde,NOUN
",",--,PUNCT
Joseph,Joseph,PROPN
Melchior,Melchior,PROPN
Gomis,Gomi,NOUN
.,--,PUNCT
»,--,PUNCT
St,St,PROPN
!,--,PUNCT
St,St,PROPN
!,--,PUNCT
«,--,PUNCT
winkte,winken,VERB
ihm,ihm,PRON
dieser,dieser,PRON
",",--,PUNCT
um,um,SCONJ
ja,ja,ADV
keinen,kein,DET
Ton,Ton,NOUN
der,der,DET
Wunderkehle,Wunderkehle,NOUN
zu,zu,PART
verlieren,verlieren,VERB
",",--,PUNCT
welche,welcher,PRON
wie,wie,ADP
eine,ein,DET
unbelauschte,unbelauscht,ADJ
Nachtigall,Nachtigall,NOUN
das,der,DET
Schweigen,schweigen,NOUN
der,der,DET
Nacht,Nacht,NOUN
mit,mit,ADP
ihren,ihr,DET
schwellenden,schwellend,ADJ
Klängen,Kläng,NOUN
belebte,beleben,VERB
.,--,PUNCT
Kalt,Kalt,ADV
rieselte,rieselen,VERB
es,es,PRON
dem,der,DET
jungen,jung,ADJ
Meister,Meister,NOUN
vom,von,ADP
Wirbel,Wirbel,NOUN
bis,bis,ADP
zur,zu,ADP
Zehe,Zehe,NOUN
nieder,nieder,ADV
;,--,PUNCT
es,es,PRON
war,sein,AUX
der,der,DET
süße,süß,ADJ
