Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Johann,Johann,PROPN,pnc,2,Seume
1,Gottfried,Gottfried,PROPN,pnc,2,Seume
2,Seume,Seume,PROPN,ROOT,2,Seume
3,Die,der,DET,nk,4,Weinlese
4,Weinlese,Weinlese,NOUN,ROOT,4,Weinlese
5,Eine,ein,DET,nk,7,Erzählung
6,einfache,einfach,ADJ,nk,7,Erzählung
7,Erzählung,Erzählung,NOUN,ROOT,7,Erzählung
8,Fragment,Fragment,NOUN,ROOT,8,Fragment
9,Wenn,wenn,SCONJ,cp,15,hat
10,der,der,DET,nk,11,Mensch
11,Mensch,Mensch,NOUN,sb,15,hat
12,nicht,nicht,PART,ng,15,hat
13,immer,immer,ADV,mo,14,etwas
14,etwas,etwas,PRON,oa,15,hat
15,hat,haben,VERB,mo,25,wird
16,",",--,PUNCT,punct,15,hat
17,das,der,PRON,sb,20,ist
18,ihm,ihm,PRON,da,20,ist
19,lieber,lieb,ADV,pd,20,ist
20,ist,sein,AUX,rc,14,etwas
21,als,als,ADP,cm,23,Leben
22,das,der,DET,nk,23,Leben
23,Leben,Leben,NOUN,cc,19,lieber
24,",",--,PUNCT,punct,25,wird
25,wird,werden,AUX,ROOT,25,wird
26,das,der,DET,nk,27,Leben
27,Leben,Leben,NOUN,ROOT,27,Leben
28,selbst,selbst,ADV,mnr,27,Leben
29,bald,bald,ADV,mnr,27,Leben
30,sehr,sehr,ADV,mo,31,alltäglich
31,alltäglich,alltäglich,ADV,mnr,27,Leben
32,und,und,CCONJ,cd,31,alltäglich
33,schal,schal,ADV,cj,32,und
34,.,--,PUNCT,punct,27,Leben
35,Jeder,jeder,PRON,sb,36,soll
36,soll,sollen,AUX,ROOT,36,soll
37,etwas,etwas,PRON,oa,36,soll
38,mit,mit,ADP,mnr,37,etwas
39,dem,der,DET,nk,38,mit
40,ganzen,ganz,ADJ,nk,41,Feuer
41,Feuer,Feuer,NOUN,da,44,ergreifen
42,seiner,sein,DET,nk,43,Natur
43,Natur,Natur,NOUN,ag,41,Feuer
44,ergreifen,ergreifen,VERB,ROOT,44,ergreifen
45,und,und,CCONJ,cd,44,ergreifen
46,daran,daran,ADV,mo,47,hangen
