Token,Lemma,POS
Johann,Johann,PROPN
Jakob,Jakob,PROPN
Reithard,Reithard,PROPN
Die,der,DET
Frauen,Frau,NOUN
in,in,ADP
Burgdorf,Burgdorf,PROPN
",",--,PUNCT
oder,oder,CCONJ
Entstehung,Entstehung,NOUN
der,der,DET
Hühnersuppe,Hühnersuppe,NOUN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Wie,wie,SCONJ
der,der,DET
Schneidermeister,Schneidermeister,NOUN
Werni,Werni,PROPN
von,von,ADP
Aarburg,Aarburg,PROPN
zu,zu,ADP
Burgdorf,Burgdorf,PROPN
einen,ein,DET
Korb,Korb,NOUN
holt,holen,VERB
und,und,CCONJ
darüber,darüber,ADV
in,in,ADP
heftigen,heftig,ADJ
Zorn,Zorn,NOUN
geräth,geräthn,VERB
Am,an,ADP
Abend,Abend,NOUN
des,der,DET
ersten,erster,ADJ
Pfingsttages,Pfingsttag,NOUN
1399,1399,NUM
",",--,PUNCT
zwischen,zwischen,ADV
4,4,NUM
und,und,CCONJ
5,5,NUM
Uhr,Uhr,NOUN
ritt,riten,VERB
eine,ein,DET
wunderliche,wunderlich,ADJ
Gestalt,Gestalt,NOUN
durch,durch,ADP
jenes,jener,DET
Thor,Thor,NOUN
der,der,DET
Stadt,Stadt,NOUN
Burgdorf,Burgdorf,PROPN
",",--,PUNCT
von,von,ADP
welchem,welcher,PRON
aus,aus,ADP
die,der,DET
Heerstraße,Heerstraße,PROPN
gen,gen,ADP
Winigen,Winig,NOUN
führt,führen,VERB
.,--,PUNCT
Man,man,PRON
hätte,haben,AUX
den,der,DET
Reiter,Reiter,NOUN
",",--,PUNCT
von,von,ADP
dem,der,PRON
hier,hier,ADV
die,der,DET
Rede,Rede,NOUN
ist,sein,AUX
",",--,PUNCT
füglich,füglich,ADV
für,für,ADP
den,der,DET
leibhaften,leibhaft,ADJ
Tod,Tod,NOUN
selber,selber,ADV
in,in,ADP
reicher,reich,ADJ
",",--,PUNCT
schlotternder,schlotternd,ADJ
Kleidung,Kleidung,NOUN
halten,halten,VERB
können,können,AUX
",",--,PUNCT
wenn,wenn,SCONJ
die,der,DET
sichtbaren,sichtbar,ADJ
Körpertheile,Körpertheil,NOUN
",",--,PUNCT
nämlich,nämlich,ADV
der,der,DET
Schädel,Schädel,NOUN
und,und,CCONJ
die,der,DET
Hände,Hand,NOUN
",",--,PUNCT
nicht,nicht,PART
mit,mit,ADP
gelber,gelb,ADJ
Haut,Haut,NOUN
überzogen,überzogen,ADJ
und,und,CCONJ
Nase,Nase,NOUN
und,und,CCONJ
Kinn,Kinn,NOUN
nicht,nicht,PART
im,in,ADP
blühendsten,blühendst,ADJ
Zustand,Zustand,NOUN
gewesen,sein,AUX
wäre,sein,AUX
.,--,PUNCT
Nummer,Nummer,NOUN
Eins,Eins,PROPN
",",--,PUNCT
die,der,DET
Nase,Nase,NOUN
nämlich,nämlich,ADV
hieng,hieng,ADV
als,als,ADP
ein,ein,DET
ungeheurer,ungeheur,ADJ
Erker,Erker,NOUN
von,von,ADP
der,der,DET
Stirn,Stirn,NOUN
herunter,herunter,ADV
",",--,PUNCT
an,an,ADP
welche,welcher,PRON
sie,sie,PRON
durch,durch,ADP
zwei,zwei,NUM
starke,stark,ADJ
Augbraunen,Augbraun,NOUN
",",--,PUNCT
gleich,gleich,ADV
wie,wie,ADP
mit,mit,ADP
schwarzen,schwarz,ADJ
Eisenklammern,Eisenklammer,NOUN
befestigt,befestigen,VERB
schien,scheinen,VERB
",",--,PUNCT
unter,unter,ADP
denen,der,PRON
zwei,zwei,NUM
falsche,falsch,ADJ
Augen,Auge,NOUN
nach,nach,ADP
der,der,DET
Nasenspitze,Nasenspitze,NOUN
schielten,schielten,VERB
",",--,PUNCT
die,der,PRON
ihrerseits,ihrerseits,ADV
",",--,PUNCT
in,in,ADP
erklecklicher,erklecklich,ADJ
Entfernung,Entfernung,NOUN
vom,von,ADP
Gesichte,Gesicht,NOUN
",",--,PUNCT
sich,sich,PRON
von,von,ADP
diesem,dieser,PRON
emanzipiren,emanzipiren,VERB
zu,zu,PART
wollen,wollen,AUX
schien,scheinen,VERB
",",--,PUNCT
welchem,welcher,DET
Bestreben,bestreben,NOUN
der,der,DET
eingefallene,eingefallen,VERB
",",--,PUNCT
schnappende,schnappend,ADJ
Mund,Mund,NOUN
",",--,PUNCT
so,so,ADV
groß,groß,ADV
er,er,PRON
war,sein,AUX
",",--,PUNCT
sich,sich,PRON
vergeblich,vergeblich,ADV
widersetzte,widersetzen,VERB
.,--,PUNCT
Nummer,Nummer,NOUN
Zwei,zwei,NUM
",",--,PUNCT
nämlich,nämlich,ADV
das,der,DET
Kinn,Kinn,NOUN
",",--,PUNCT
war,sein,AUX
eigentlich,eigentlich,ADV
nur,nur,ADV
ein,ein,DET
großer,groß,ADJ
wurstartiger,Wurstartiger,NOUN
Auswuchs,Auswuch,PROPN
",",--,PUNCT
von,von,ADP
welchem,welcher,DET
spärliche,spärlich,ADJ
Haare,Haar,NOUN
",",--,PUNCT
wie,wie,SCONJ
ein,ein,DET
Ziegenbart,Ziegenbart,NOUN
",",--,PUNCT
herunterflatterten,herunterflatterten,VERB
.,--,PUNCT
Das,der,DET
Thier,Thier,NOUN
",",--,PUNCT
worauf,worauf,SCONJ
der,der,DET
Knochenmann,Knochenmann,NOUN
ritt,riten,VERB
",",--,PUNCT
offenbar,offenbar,ADV
ein,ein,DET
ehrsamer,ehrsam,ADJ
Ackergaul,Ackergaul,NOUN
",",--,PUNCT
suchte,suchen,VERB
die,der,DET
ungewohnte,ungewohnt,ADJ
Ehre,Ehre,NOUN
",",--,PUNCT
Reitpferd,Reitpferd,NOUN
zu,zu,PART
sein,sein,AUX
",",--,PUNCT
durch,durch,ADP
einen,ein,DET
gräßlich,gräßlich,ADV
schwerfälligen,schwerfälligen,VERB
Trott,Trott,NOUN
",",--,PUNCT
der,der,PRON
den,der,DET
Reiter,Reiter,NOUN
fortwährend,fortwährend,ADV
in,in,ADP
die,der,DET
Höhe,Höhe,NOUN
scheffelte,scheffelen,VERB
",",--,PUNCT
auf,auf,ADP
eine,ein,DET
Herz,Herz,NOUN
und,und,CCONJ
Nieren,Niere,NOUN
prüfende,prüfend,ADJ
Art,Art,NOUN
zu,zu,PART
erkennen,erkennen,VERB
zu,zu,PART
geben,geben,VERB
.,--,PUNCT
Der,der,DET
Interimsregent,Interimsregent,NOUN
des,der,DET
stattlichen,stattlich,ADJ
Thieres,Thieres,PROPN
selbst,selbst,ADV
war,sein,AUX
Niemand,Niemand,DET
Anderes,Anderer,PRON
",",--,PUNCT
als,als,SCONJ
der,der,DET
weltberühmte,weltberühmt,ADJ
Schneidermeister,Schneidermeister,NOUN
Werni,Werni,PROPN
von,von,ADP
Aarburg,Aarburg,PROPN
",",--,PUNCT
welcher,welcher,SCONJ
dato,dato,ADV
nicht,nicht,PART
nur,nur,ADV
auf,auf,ADP
Roß-,Roß-,X
",",--,PUNCT
sondern,sondern,CCONJ
auch,auch,ADV
auf,auf,ADP
Freiersfüßen,Freiersfüß,NOUN
gieng,Gieng,ADV
.,--,PUNCT
Darum,darum,ADV
hatte,haben,AUX
er,er,PRON
sich,sich,PRON
in,in,ADP
eine,ein,DET
funkelnagelneue,funkelnagelneu,ADJ
Kleidung,Kleidung,NOUN
gesteckt,stecken,VERB
;,--,PUNCT
darum,darum,ADV
prangte,prangen,VERB
auf,auf,ADP
seinem,sein,DET
kannenförmigen,kannenförmig,ADJ
Kopfe,Kopf,NOUN
ein,ein,DET
rothes,roth,ADJ
Sammetbaret,Sammetbaret,NOUN
mit,mit,ADP
schneeweißen,schneeweiß,ADJ
und,und,CCONJ
kohlschwarzen,kohlschwarz,ADJ
Federn,Feder,NOUN
",",--,PUNCT
welche,welcher,PRON
ihm,ihm,PRON
die,der,DET
Nase,Nase,NOUN
umfächelten,umfächelten,VERB
;,--,PUNCT
darum,darum,ADV
zierte,ziern,VERB
ihn,ihn,PRON
ein,ein,DET
gelbseidenes,gelbseiden,ADJ
Wamms,Wamm,NOUN
mit,mit,ADP
blauen,blau,ADJ
Schlitzen,Schlitze,NOUN
",",--,PUNCT
das,der,PRON
festlich,festlich,ADV
seine,sein,DET
schmale,schmal,ADJ
Brust,Brust,NOUN
umfluderte,umfludert,ADJ
",",--,PUNCT
darum,darum,ADV
wickelten,wickelen,VERB
sich,sich,PRON
rothe,roth,ADJ
Hosen,Hose,NOUN
um,um,ADP
seine,sein,DET
magern,Mager,NOUN
",",--,PUNCT
erbarmungswürdigen,erbarmungswürdigen,ADJ
Beine,Bein,NOUN
",",--,PUNCT
und,und,CCONJ
graue,grau,ADJ
Filzstiefel,Filzstiefel,NOUN
um,um,ADP
seine,sein,DET
ungebührlich,ungebührlich,ADV
langen,lang,ADJ
Füße,Fuß,NOUN
",",--,PUNCT
welche,welcher,DET
Gottes,Gott,NOUN
freien,frei,ADJ
Erdboden,Erdbod,NOUN
für,für,ADP
Steigbügel,Steigbügel,NOUN
ansahen,ansahen,VERB
;,--,PUNCT
darum,darum,ADV
that,thaben,VERB
sein,sein,AUX
Gesicht,Gesicht,NOUN
