Token,Lemma,POS
Johann,Johann,PROPN
Peter,Peter,PROPN
Hebel,Hebel,PROPN
Reise,Reise,NOUN
nach,nach,ADP
Frankfurt,Frankfurt,PROPN
Zu,zu,ADP
ehemaligen,ehemalig,ADJ
Reichszeiten,Reichszeit,NOUN
bestand,bestehen,VERB
auch,auch,ADV
ein,ein,DET
großes,groß,ADJ
Reichskammergericht,Reichskammergericht,NOUN
zu,zu,ADP
Wetzlar,Wetzlar,PROPN
",",--,PUNCT
welches,welcher,PRON
noch,noch,ADV
manchem,mancher,DET
geneigten,geneigt,ADJ
Leser,Leser,NOUN
in,in,ADP
teuerem,teuer,PROPN
und,und,CCONJ
wertem,wert,ADJ
Andenken,Andenken,NOUN
sein,sein,AUX
kann,können,AUX
",",--,PUNCT
wenigstens,wenigstens,ADV
in,in,ADP
teuerem,Teuerem,PROPN
.,--,PUNCT
Viel,viel,DET
weltberühmte,weltberühmt,ADJ
Rechtsgelehrte,Rechtsgelehrte,NOUN
",",--,PUNCT
Advokaten,Advokat,NOUN
und,und,CCONJ
Schreiber,Schreiber,PROPN
saßen,sitzen,VERB
dort,dort,ADV
von,von,ADP
Rechts,Rechts,NOUN
wegen,wegen,ADP
beisammen,beisammen,ADV
.,--,PUNCT
Wer,wer,PRON
daheim,daheim,ADV
einen,ein,DET
großen,groß,ADJ
Prozeß,Prozeß,NOUN
verloren,verlieren,VERB
hatte,haben,AUX
",",--,PUNCT
an,an,ADP
dem,der,PRON
nichts,nichts,PRON
mehr,mehr,ADV
zu,zu,PART
sieden,sieden,VERB
und,und,CCONJ
zu,zu,PART
braten,braten,VERB
war,sein,AUX
",",--,PUNCT
konnte,können,AUX
ihn,ihn,PRON
in,in,ADP
Wetzlar,Wetzlar,PROPN
noch,noch,ADV
einmal,einmal,ADV
anbrühen,anbrühen,VERB
lassen,lassen,VERB
und,und,CCONJ
noch,noch,ADV
einmal,einmal,ADV
verlieren,verlieren,VERB
.,--,PUNCT
Mancher,mancher,PRON
hessische,hessisch,ADJ
",",--,PUNCT
württembergische,württembergisch,ADJ
und,und,CCONJ
badische,badisch,ADJ
Batzen,Batze,NOUN
ist,sein,AUX
dorthin,dorthin,ADV
gewandelt,wandeln,VERB
und,und,CCONJ
hat,haben,VERB
den,der,DET
Heimweg,Heimweg,NOUN
nimmer,nimmer,ADV
gefunden,finden,VERB
.,--,PUNCT
Als,als,SCONJ
aber,aber,ADV
im,in,ADP
Jahr,Jahr,NOUN
1806,1806,NUM
der,der,DET
große,groß,ADJ
Schlag,Schlag,NOUN
auf,auf,ADP
das,der,DET
deutsche,deutsch,ADJ
Reich,Reich,NOUN
geschah,geschehen,VERB
",",--,PUNCT
stürzte,stürzen,VERB
auch,auch,ADV
das,der,DET
Reichskammergericht,Reichskammergericht,NOUN
zusammen,zusammen,ADV
",",--,PUNCT
und,und,CCONJ
alle,aller,DET
Prozesse,Prozeß,NOUN
",",--,PUNCT
die,der,PRON
darin,darin,ADV
lagen,liegen,VERB
",",--,PUNCT
wurden,werden,AUX
totgeschlagen,Totgeschlag,NOUN
",",--,PUNCT
maustot,maustot,ADV
",",--,PUNCT
und,und,CCONJ
keiner,keiner,PRON
gab,geben,VERB
mehr,mehr,ADV
ein,ein,DET
Zeichen,Zeichen,NOUN
von,von,ADP
sich,sich,PRON
",",--,PUNCT
ausgenommen,ausnehmen,VERB
im,in,ADP
Jahr,Jahr,NOUN
1817,1817,NUM
in,in,ADP
Gera,Gera,PROPN
in,in,ADP
Sachsenland,Sachsenland,NOUN
hat,haben,AUX
einer,ein,PRON
wieder,wieder,ADV
gezuckt,zucken,VERB
.,--,PUNCT
Ein,ein,DET
Leinwandweber,Leinwandweber,NOUN
daselbst,daselbst,ADV
liest,lesen,VERB
in,in,ADP
der,der,DET
Dresdner,Dresdner,ADJ
Zeitung,Zeitung,NOUN
",",--,PUNCT
daß,daß,SCONJ
der,der,DET
Bundestag,Bundestag,NOUN
in,in,ADP
Frankfurt,Frankfurt,PROPN
sich,sich,PRON
mit,mit,ADP
dem,der,DET
Unterhalt,Unterhalt,NOUN
der,der,DET
Angehörigen,angehörige,NOUN
des,der,DET
Reichskammergerichts,Reichskammergericht,NOUN
lebhaft,lebhaft,ADV
beschäftige,beschäftigen,VERB
.,--,PUNCT
Nämlich,nämlich,ADV
daß,daß,SCONJ
der,der,DET
Bundestag,Bundestag,NOUN
für,für,ADP
den,der,DET
Unterhalt,Unterhalt,NOUN
und,und,CCONJ
die,der,PRON
Schadloshaltung,Schadloshaltung,NOUN
der,der,DET
Räte,Rat,NOUN
",",--,PUNCT
Advokaten,Advokat,NOUN
und,und,CCONJ
Schreiber,Schreiber,PROPN
sorgen,sorgen,VERB
wollte,wollen,AUX
",",--,PUNCT
welche,welcher,PRON
seit,seit,ADP
1806,1806,NUM
keinen,kein,DET
Sold,Sold,NOUN
mehr,mehr,ADV
zogen,ziehen,VERB
und,und,CCONJ
nichts,nichts,PRON
mehr,mehr,ADV
zu,zu,PART
verdienen,verdienen,VERB
hatten,haben,AUX
",",--,PUNCT
ob,ob,SCONJ
sie,sie,PRON
gleich,gleich,ADV
täglich,täglich,ADV
",",--,PUNCT
wie,wie,ADP
die,der,DET
andern,anderer,PRON
",",--,PUNCT
Mittag,Mittag,NOUN
läuten,läuten,VERB
hörten,hören,ADJ
und,und,CCONJ
schöne,schön,ADJ
Schilde,Schild,NOUN
sahen,sehen,VERB
an,an,ADP
den,der,DET
Wirtshäusern,Wirtshäuser,NOUN
.,--,PUNCT
Auf,auf,ADP
dem,der,DET
Speicher,Speicher,NOUN
des,der,DET
Leinewebers,Leineweber,NOUN
aber,aber,ADV
fing,fing,VERB
es,es,PRON
auf,auf,ADP
einmal,einmal,ADV
an,an,ADP
in,in,ADP
den,der,DET
Akten,Akte,NOUN
zu,zu,ADP
rauschen,rausch,ADJ
",",--,PUNCT
fast,fast,ADV
wie,wie,ADP
in,in,ADP
den,der,DET
Totenbeinen,Totenbeine,NOUN
",",--,PUNCT
von,von,ADP
welchen,welcher,PRON
der,der,DET
Prophet,Prophet,NOUN
Ezechiel,Ezechiel,NOUN
schreibt,schreiben,VERB
.,--,PUNCT
Der,der,DET
Leineweber,Leineweber,NOUN
glaubte,glauben,VERB
nämlich,nämlich,ADV
nichts,nichts,PRON
anders,anders,ADV
",",--,PUNCT
als,als,SCONJ
das,der,PRON
Reichskammergericht,Reichskammergericht,NOUN
habe,haben,AUX
nur,nur,ADV
einen,ein,DET
neuen,neu,ADJ
Rock,Rock,NOUN
angezogen,anziehen,VERB
und,und,CCONJ
heiße,heißen,VERB
nun,nun,ADV
Bundestag,Bundestag,NOUN
",",--,PUNCT
und,und,CCONJ
der,der,DET
Bundestag,Bundestag,NOUN
habe,haben,AUX
nichts,nichts,DET
Wichtigeres,wichtigere,NOUN
zu,zu,PART
tun,tun,VERB
",",--,PUNCT
als,als,SCONJ
die,der,DET
alten,alt,ADJ
Prozesse,Prozeß,NOUN
",",--,PUNCT
wenigstens,wenigstens,ADV
seinen,sein,DET
",",--,PUNCT
wieder,wieder,ADV
anzuzetteln,anzetteln,VERB
.,--,PUNCT
Also,also,ADV
ließ,lassen,VERB
er,er,PRON
sich,sich,PRON
einen,ein,DET
guten,gut,ADJ
Paß,Paß,NOUN
nach,nach,ADP
Frankfurt,Frankfurt,PROPN
schreiben,schreiben,VERB
",",--,PUNCT
und,und,CCONJ
mit,mit,ADP
Akten,Akte,NOUN
schwer,schwer,ADV
beladen,beladen,ADV
trat,treten,VERB
er,er,PRON
die,der,DET
lange,lang,ADJ
Reise,Reise,NOUN
an,an,ADP
.,--,PUNCT
Als,als,SCONJ
er,er,PRON
aber,aber,ADV
in,in,ADP
Frankfurt,Frankfurt,PROPN
angekommen,ankommen,VERB
war,sein,AUX
",",--,PUNCT
war,sein,AUX
sein,sein,DET
erstes,erster,ADJ
",",--,PUNCT
er,er,PRON
fragte,fragen,VERB
die,der,DET
Schildwache,Schildwache,NOUN
am,an,ADP
Tor,Tor,NOUN
",",--,PUNCT
wo,wo,SCONJ
der,der,DET
Bundestag,Bundestag,NOUN
sich,sich,PRON
angesetzt,ansetzen,VERB
habe,haben,AUX
in,in,ADP
Frankfurt,Frankfurt,PROPN
.,--,PUNCT
Die,der,DET
Schildwache,Schildwache,NOUN
erwiderte,erwidern,VERB
",",--,PUNCT
sie,sie,PRON
stehe,stehen,VERB
da,da,ADV
so,so,ADV
nebendraus,nebendraus,ADV
und,und,CCONJ
erfahre,erfahren,VERB
nicht,nicht,PART
viel,viel,PRON
",",--,PUNCT
was,wer,PRON
im,in,ADP
Innern,innere,NOUN
der,der,DET
Stadt,Stadt,NOUN
geschehe,geschehen,VERB
.,--,PUNCT
Ihres,Ihres,PRON
Wissens,wissen,PROPN
aber,aber,ADV
",",--,PUNCT
seit,seit,SCONJ
sie,sie,PRON
dastehe,dastehen,VERB
",",--,PUNCT
seie,seien,VERB
kein,kein,DET
Bundestag,Bundestag,NOUN
einpassiert,einpassieren,VERB
.,--,PUNCT
Da,da,ADV
fing,fing,VERB
der,der,DET
Leineweber,Leineweber,PROPN
im,in,ADP
Fortgehen,Fortgehen,NOUN
an,an,ADP
",",--,PUNCT
sich,sich,PRON
zu,zu,PART
betrüben,betrüben,VERB
und,und,CCONJ
zu,zu,PART
ergrimmen,ergrimmen,VERB
:,--,PUNCT
O,O,PROPN
Deutsche,deutsche,PROPN
",",--,PUNCT
sagte,sagen,VERB
er,er,PRON
in,in,ADP
seinem,sein,DET
Innern,Inner,NOUN
",",--,PUNCT
wie,wie,ADV
tief,tief,ADV
seid,sein,AUX
ihr,ihr,PRON
gesunken,sinken,VERB
!,--,PUNCT
Ein,ein,DET
Deutscher,deutsche,NOUN
zu,zu,PART
sein,sein,AUX
",",--,PUNCT
noch,noch,ADV
dazu,dazu,ADV
eine,ein,DET
Frankfurter,Frankfurter,ADJ
Schildwache,Schildwache,NOUN
",",--,PUNCT
und,und,CCONJ
nichts,nichts,PRON
vom,von,ADP
Bundestag,Bundestag,NOUN
wissen,wissen,VERB
!,--,PUNCT
»,--,PUNCT
Guter,gut,NOUN
Freund,Freund,NOUN
«,--,PUNCT
",",--,PUNCT
sagte,sagen,VERB
er,er,PRON
zu,zu,ADP
einem,ein,DET
Vorbeigehenden,vorbeigehend,NOUN
",",--,PUNCT
»,--,PUNCT
könnt,können,VERB
Ihr,ihr,PRON
mir,mir,PRON
auch,auch,ADV
nicht,nicht,PART
sagen,sagen,VERB
",",--,PUNCT
wo,wo,SCONJ
der,der,DET
Bundestag,Bundestag,NOUN
sein,sein,DET
Wesen,Wesen,NOUN
hat,haben,VERB
?,--,PUNCT
«,--,PUNCT
Der,der,DET
Vorübergehende,Vorübergehende,NOUN
konnte,können,AUX
es,es,PRON
auch,auch,ADV
nicht,nicht,PART
sagen,sagen,VERB
.,--,PUNCT
O,O,PROPN
Patriotismus,Patriotismus,NOUN
",",--,PUNCT
fuhr,fahren,VERB
er,er,PRON
mit,mit,ADP
sich,sich,PRON
selber,selber,ADV
fort,fort,ADV
",",--,PUNCT
wohin,wohin,SCONJ
bist,sein,AUX
du,du,PRON
verschwunden,verschwinden,VERB
?,--,PUNCT
Fast,fast,ADV
müsse,müssen,AUX
man,man,PRON
sich,sich,PRON
schämen,schämen,VERB
",",--,PUNCT
ein,ein,DET
Deutscher,deutsche,NOUN
zu,zu,PART
heißen,heißen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
man,man,PRON
nicht,nicht,PART
unter,unter,ADP
seinesgleichen,seinesgleichen,VERB
wäre,sein,AUX
