Token,Lemma,POS
Joh,joh,NOUN
.,--,PUNCT
Rudolf,Rudolf,PROPN
Wyß,Wyß,PROPN
",",--,PUNCT
der,der,DET
Jüngere,Jüngere,NOUN
Viel,viel,DET
Noth,Noth,PROPN
und,und,CCONJ
viel,viel,DET
Hülf,Hülf,PROPN
Erzählung,Erzählung,NOUN
aus,aus,ADP
den,der,DET
Zeiten,Zeit,NOUN
der,der,DET
burgundischen,burgundisch,ADJ
Kriege,Krieg,NOUN
.,--,PUNCT
Der,der,DET
Sach-,Sach,X
und,und,CCONJ
Sprachkundige,Sprachkundige,NOUN
wird,werden,AUX
leicht,leicht,ADV
sehen,sehen,VERB
",",--,PUNCT
wie,wie,ADP
Manches,Mancher,PRON
in,in,ADP
dieser,dieser,DET
Erzählung,Erzählung,NOUN
nicht,nicht,PART
eben,eben,ADV
genau,genau,ADV
mit,mit,ADP
Sitten,Sitte,NOUN
und,und,CCONJ
Schreibart,Schreibart,NOUN
des,der,DET
fünfzehnten,fünfzehnt,ADJ
Jahrhunderts,Jahrhundert,NOUN
zusammenstimme,zusammenstimmen,VERB
.,--,PUNCT
Oft,oft,ADV
sind,sein,AUX
indessen,indessen,ADV
absichtlich,absichtlich,ADV
die,der,DET
Worte,Wort,NOUN
und,und,CCONJ
die,der,DET
Schreibung,Schreibung,NOUN
der,der,DET
neuern,neuern,ADV
Zeit,Zeit,NOUN
angepaßt,anpassen,VERB
worden,werden,AUX
.,--,PUNCT
Dennoch,dennoch,ADV
dürften,dürfen,AUX
einige,einiger,DET
Ausdrücke,Ausdruck,NOUN
nicht,nicht,PART
Jedem,Jeder,PRON
verständlich,verständlich,ADV
sein,sein,AUX
",",--,PUNCT
und,und,CCONJ
diese,dieser,PRON
erklären,erklären,VERB
wir,wir,PRON
am,an,ADP
Schlusse,Schlusse,NOUN
dieser,dieser,DET
Erzählung,Erzählung,NOUN
.,--,PUNCT
Komm,Komm,VERB
.,--,PUNCT
<,<,X
i,i,X
>,>,X
Red.,Red.,NOUN
:,--,PUNCT
Die,der,DET
Worterklärungen,Worterklärung,NOUN
wurden,werden,AUX
als,als,ADP
Fußnoten,Fußnot,NOUN
eingepflegt,eingepflegen,VERB
.,--,PUNCT
Re.</i,Re.</i,PROPN
>,>,X
Dabei,dabei,ADV
aber,aber,CCONJ
bemerken,bemerken,VERB
wir,wir,PRON
noch,noch,ADV
",",--,PUNCT
daß,daß,SCONJ
eine,ein,DET
alte,alt,ADJ
Schreibung,Schreibung,NOUN
",",--,PUNCT
die,der,PRON
oft,oft,ADV
ch,ch,PROPN
für,für,ADP
das,der,DET
einfache,einfach,ADJ
h,h,PROPN
",",--,PUNCT
und,und,CCONJ
oft,oft,ADV
den,der,DET
einfachen,einfach,ADJ
Vokal,Vokal,NOUN
für,für,ADP
den,der,DET
Doppellauter,Doppellauter,NOUN
setzt,setzen,VERB
",",--,PUNCT
wie,wie,SCONJ
y,y,PROPN
oder,oder,CCONJ
i,i,X
für,für,ADP
ei,ei,PROPN
",",--,PUNCT
so,so,ADV
wie,wie,ADP
ferner,ferner,ADV
nit,nit,PRON
für,für,ADP
nicht,nicht,PART
",",--,PUNCT
nüt,nüt,INTJ
für,für,ADP
nichts,nichts,PRON
",",--,PUNCT
die,der,DET
gangbaren,gangbar,ADJ
Worte,Wort,NOUN
doch,doch,ADV
immer,immer,ADV
wird,werden,AUX
erkennen,erkennen,VERB
lassen,lassen,VERB
.,--,PUNCT
Im,in,ADP
Historischen,historischen,NOUN
des,der,DET
Aufsatzes,Aufsatz,NOUN
wird,werden,AUX
man,man,PRON
meist,meist,ADV
Uebereinstimmung,Uebereinstimmung,NOUN
der,der,DET
Hauptumstände,Hauptumständ,NOUN
mit,mit,ADP
Schillings,Schilling,PROPN
Chronik,Chronik,NOUN
von,von,ADP
den,der,DET
burgundischen,burgundisch,ADJ
Kriegen,Krieg,NOUN
(,--,PUNCT
und,und,CCONJ
mit,mit,ADP
Joh,Joh,NOUN
.,--,PUNCT
v.,v.,ADP
Müller,Müller,PROPN
),--,PUNCT
finden,finden,VERB
.,--,PUNCT
Hans,Hans,PROPN
in,in,ADP
der,der,DET
Gruob,Gruob,NOUN
