Token,Lemma,POS
Johanna,Johanna,PROPN
Spyri,Spyri,PROPN
Einer,einer,PRON
vom,von,ADP
Hause,Haus,NOUN
Lesa,Lesa,PROPN
Eine,ein,DET
Geschichte,Geschichte,NOUN
für,für,ADP
Kinder,Kind,NOUN
und,und,CCONJ
solche,solcher,PRON
",",--,PUNCT
die,der,DET
Kinder,Kind,NOUN
lieb,leiben,VERB
haben,haben,AUX
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
In,in,ADP
Leuk,Leuk,PROPN
Auf,auf,ADP
der,der,DET
Weide,Weide,NOUN
Unerwartete,Unerwartete,ADJ
Ereignisse,Ereignis,NOUN
Eine,ein,DET
Abreise,Abreise,NOUN
und,und,CCONJ
eine,ein,DET
Ankunft,Ankunft,NOUN
In,in,ADP
der,der,DET
Verbannung,Verbannung,NOUN
Noch,noch,ADV
höher,hoch,ADV
auf,auf,ADP
dem,der,DET
Berg,Berg,NOUN
Noch,noch,ADV
mehr,mehr,DET
Musik,Musik,NOUN
Unerwartete,Unerwartete,ADJ
Ereignisse,Ereignis,NOUN
Überraschungen,Überraschung,NOUN
",",--,PUNCT
nicht,nicht,PART
nur,nur,ADV
für,für,ADP
Rußli,Rußli,NOUN
Alte,alt,ADJ
Freunde,Freund,NOUN
und,und,CCONJ
neues,neu,ADJ
Leben,Leben,NOUN
Noch,noch,ADV
einmal,einmal,ADV
das,der,DET
alte,alt,ADJ
Lied,Lied,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
In,in,ADP
Leuk,Leuk,PROPN
Am,an,ADP
grünen,grün,ADJ
Abhang,Abhang,NOUN
über,über,ADP
dem,der,DET
Dorfs,Dorf,NOUN
Leuk,Leuk,NOUN
leuchtete,leuchteen,VERB
die,der,DET
Junisonne,Junisonne,NOUN
auf,auf,ADP
das,der,DET
frische,frisch,ADJ
Gras,Gras,NOUN
",",--,PUNCT
das,der,PRON
weithin,weithin,ADV
die,der,DET
Höhe,Höhe,NOUN
bedeckte,bedecken,VERB
und,und,CCONJ
die,der,DET
Luft,Luft,NOUN
mit,mit,ADP
Wohlgeruch,Wohlgeruch,NOUN
erfüllte,erfüllen,VERB
.,--,PUNCT
Bei,bei,ADP
dem,der,DET
vereinzelt,vereinzelt,ADV
siehenden,siehend,ADJ
Haus,Haus,NOUN
am,an,ADP
Wege,Weg,NOUN
",",--,PUNCT
der,der,PRON
den,der,DET
Berg,Berg,NOUN
hinan,hinan,ADV
den,der,DET
Bädern,Bäder,NOUN
von,von,ADP
Leuk,Leuk,PROPN
zuführt,zuführen,VERB
",",--,PUNCT
standen,stehen,VERB
zwei,zwei,NUM
Frauen,Frau,NOUN
",",--,PUNCT
die,der,PRON
ihr,ihr,DET
Gespräch,Gespräch,NOUN
in,in,ADP
so,so,ADV
emsiger,emsig,ADJ
Weise,Weise,NOUN
führten,führen,VERB
",",--,PUNCT
als,als,ADP
könnten,können,AUX
sie,sie,PRON
kaum,kaum,ADV
mit,mit,ADP
allem,alle,PRON
fertig,fertig,ADV
werden,werden,AUX
",",--,PUNCT
was,wer,PRON
noch,noch,ADV
gesagt,sagen,VERB
sein,sein,AUX
mußte,müssen,AUX
.,--,PUNCT
»,--,PUNCT
Das,der,PRON
kann,können,AUX
ich,ich,PRON
dir,dir,PRON
sagen,sagen,VERB
",",--,PUNCT
Marianne,Marianne,PROPN
«,--,PUNCT
",",--,PUNCT
fuhr,fahren,VERB
diejenige,derjenige,PRON
der,der,DET
beiden,beide,PRON
fort,fort,ADV
",",--,PUNCT
die,der,PRON
am,an,ADP
meisten,meister,PRON
mitzuteilen,mitteilen,VERB
hatte,haben,AUX
",",--,PUNCT
»,--,PUNCT
wenn,wenn,SCONJ
du,du,PRON
ein,ein,DET
paar,paar,DET
Zimmer,Zimmer,NOUN
einrichten,einrichten,VERB
könntest,Könntest,NOUN
wie,wie,ADP
ich,ich,PRON
",",--,PUNCT
so,so,ADV
würdest,würdest,VERB
du,du,PRON
bald,bald,ADV
den,der,DET
Gewinn,Gewinn,NOUN
davon,davon,ADV
einsehen,einsehen,VERB
.,--,PUNCT
Gäste,Gast,NOUN
bekämest,bekämest,VERB
du,du,PRON
schon,schon,ADV
.,--,PUNCT
Es,es,PRON
kommen,kommen,VERB
viele,viele,PRON
",",--,PUNCT
die,der,PRON
mit,mit,ADP
Leuten,Leute,NOUN
zusammenhängen,zusammenhängen,VERB
",",--,PUNCT
die,der,PRON
oben,oben,ADV
in,in,ADP
den,der,DET
Bädern,Bädern,NOUN
sind,sein,AUX
",",--,PUNCT
die,der,PRON
aber,aber,CCONJ
nicht,nicht,PART
dort,dort,ADV
oben,oben,ADV
wohnen,wohnen,VERB
wollen,wollen,AUX
oder,oder,CCONJ
nicht,nicht,PART
sollen,sollen,AUX
",",--,PUNCT
wie,wie,SCONJ
die,der,DET
drei,drei,NUM
",",--,PUNCT
die,der,PRON
ich,ich,PRON
nun,nun,ADV
habe,haben,AUX
.,--,PUNCT
Freilich,freilich,ADV
",",--,PUNCT
du,du,PRON
wohnst,wohnst,ADV
ein,ein,DET
wenig,wenig,PRON
weit,weit,ADV
unten,unten,ADV
",",--,PUNCT
die,der,DET
Leute,Leute,NOUN
sind,sein,AUX
im,in,ADP
Sommer,Sommer,NOUN
lieber,lieber,ADV
auf,auf,ADP
halber,halb,ADJ
Höhe,Höhe,NOUN
wie,wie,ADP
hier,hier,ADV
",",--,PUNCT
als,als,ADP
unten,unten,ADV
auf,auf,ADP
dem,der,DET
Talboden,Talbode,NOUN
.,--,PUNCT
Wenn,wenn,SCONJ
du,du,PRON
nur,nur,ADV
so,so,ADV
wohntest,Wohntest,ADV
wie,wie,SCONJ
die,der,PRON
dort,dort,ADV
drüben,drüben,VERB
",",--,PUNCT
die,der,PRON
haben,haben,AUX
den,der,DET
besten,gut,ADJ
Platz,Platz,NOUN
an,an,ADP
der,der,DET
Halde,Halde,NOUN
und,und,CCONJ
noch,noch,ADV
die,der,DET
schönsten,schön,ADJ
Wiesen,Wiese,NOUN
dazu,dazu,ADV
.,--,PUNCT
Aber,aber,CCONJ
die,der,DET
schönsten,schön,ADJ
Leute,Leute,NOUN
sind,sein,AUX
sie,sie,PRON
nicht,nicht,PART
«,--,PUNCT
",",--,PUNCT
schloß,schließen,VERB
die,der,DET
Frau,Frau,NOUN
mit,mit,ADP
wenig,wenig,DET
freundlichen,freundlich,ADJ
Blicken,Blick,NOUN
auf,auf,ADP
das,der,DET
Haus,Haus,NOUN
hinüber,hinüber,ADV
",",--,PUNCT
das,der,PRON
eine,ein,DET
Strecke,Strecke,NOUN
weiter,weiter,ADV
oben,oben,ADV
abseits,abseits,ADV
vom,von,ADP
Wege,Weg,NOUN
stand,stehen,VERB
.,--,PUNCT
»,--,PUNCT
Der,der,DET
Hochmut,Hochmut,NOUN
frißt,fressen,VERB
sie,sie,PRON
fast,fast,ADV
",",--,PUNCT
ihn,ihn,PRON
nicht,nicht,PART
so,so,ADV
arg,arg,ADV
",",--,PUNCT
aber,aber,CCONJ
die,der,DET
Frau,Frau,NOUN
",",--,PUNCT
die,der,PRON
solltest,solltest,VERB
du,du,PRON
sehen,sehen,VERB
!,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Worin,worin,SCONJ
sieht,sehen,VERB
man,man,PRON
es,es,PRON
denn,denn,ADV
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
so,so,ADV
hochmütig,hochmütig,ADV
ist,sein,AUX
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
Marianne,Marianne,PROPN
.,--,PUNCT
»,--,PUNCT
Worin,worin,ADV
?,--,PUNCT
Frag,Frag,NOUN
du,du,PRON
lieber,lieber,ADV
",",--,PUNCT
worin,worin,SCONJ
sieht,sehen,VERB
man's,man's,NOUN
nicht,nicht,PART
«,--,PUNCT
",",--,PUNCT
entgegnete,entgegnen,VERB
Madlene,Madlene,NOUN
schnell,schnell,ADV
",",--,PUNCT
»,--,PUNCT
in,in,ADP
allem,alle,PRON
sieht,sehen,VERB
man,man,PRON
es,es,PRON
.,--,PUNCT
Am,an,ADP
Gehen,gehen,NOUN
und,und,CCONJ
am,an,ADP
Stehen,stehen,NOUN
und,und,CCONJ
am,an,ADP
hoffärtigen,hoffärtig,ADJ
Aussehen,Aussehe,NOUN
",",--,PUNCT
so,so,ADV
",",--,PUNCT
als,als,SCONJ
wäre,sein,AUX
es,es,PRON
immer,immer,ADV
Sonntag,Sonntag,NOUN
für,für,ADP
sie,sie,PRON
.,--,PUNCT
Und,und,CCONJ
die,der,DET
Kinder,Kind,NOUN
sind,sein,AUX
schon,schon,ADV
gerade,gerade,ADV
wie,wie,ADP
sie,sie,PRON
",",--,PUNCT
natürlich,natürlich,ADV
",",--,PUNCT
sie,sie,PRON
hat,haben,AUX
sie,sie,PRON
so,so,ADV
erzogen,erziehen,VERB
.,--,PUNCT
Der,der,DET
Bub,Bub,NOUN
hat,haben,AUX
sein,sein,DET
schwarzes,schwarz,ADJ
Haar,Haar,NOUN
immer,immer,ADV
so,so,ADV
gekräuselt,kräuseln,VERB
",",--,PUNCT
als,als,SCONJ
ging,gehen,VERB
es,es,PRON
auf,auf,ADP
die,der,DET
Kirchweih,Kirchweih,NOUN
",",--,PUNCT
und,und,CCONJ
das,der,DET
Kleine,Kleine,NOUN
streckt,strecken,VERB
sein,sein,DET
Näschen,Näschen,NOUN
immer,immer,ADV
so,so,ADV
in,in,ADP
die,der,DET
Luft,Luft,NOUN
hinaus,hinaus,ADP
",",--,PUNCT
als,als,SCONJ
wollte,wollen,AUX
es,es,PRON
jedem,jeder,PRON
sagen,sagen,VERB
:,--,PUNCT
»,--,PUNCT
»,--,PUNCT
Jetzt,jetzt,ADV
komm,kommen,VERB
ich,ich,PRON
«,--,PUNCT
«,--,PUNCT
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Wenn,wenn,SCONJ
dem,der,DET
Kleinen,kleine,NOUN
die,der,DET
Nase,Nase,NOUN
einmal,einmal,ADV
so,so,ADV
in,in,ADP
die,der,DET
Luft,Luft,NOUN
hinausgewachsen,hinausgewachsen,VERB
ist,sein,AUX
",",--,PUNCT
so,so,ADV
kann,können,AUX
es,es,PRON
ja,ja,ADV
nichts,nichts,PRON
dafür,dafür,ADV
«,--,PUNCT
",",--,PUNCT
meinte,meinen,VERB
Marianne,Marianne,PROPN
",",--,PUNCT
»,--,PUNCT
und,und,CCONJ
der,der,DET
Bub,Bub,NOUN
ist,sein,AUX
eigentlich,eigentlich,ADV
an,an,ADP
seinem,sein,DET
Kraushaar,Kraushaar,NOUN
auch,auch,ADV
nicht,nicht,PART
