Token,Lemma,POS
Johanna,Johanna,PROPN
Spyri,Spyri,PROPN
Heidis,Heidis,NOUN
Lehr-,Lehr,X
und,und,CCONJ
Wanderjahre,Wanderjahr,NOUN
[,[,PROPN
cover,cov,ADJ
],],NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Zum,zu,ADP
Alm-Öhi,Alm-Öhi,NOUN
hinauf,hinauf,ADV
Beim,bei,ADP
Großvater,Großvater,NOUN
Auf,auf,ADP
der,der,DET
Weide,Weide,NOUN
Bei,bei,ADP
der,der,DET
Großmutter,Großmutter,NOUN
Es,es,PRON
kommt,kommen,VERB
ein,ein,DET
Besuch,Besuch,NOUN
und,und,CCONJ
dann,dann,ADV
noch,noch,ADV
einer,einer,PRON
",",--,PUNCT
der,der,PRON
mehr,mehr,DET
Folgen,Folge,NOUN
hat,haben,VERB
Ein,ein,DET
neues,neu,ADJ
Kapitel,Kapitel,NOUN
und,und,CCONJ
lauter,lauter,DET
neue,neu,ADJ
Dinge,Ding,NOUN
Fräulein,Fräulein,NOUN
Rottenmeier,Rottenmeier,NOUN
hat,haben,VERB
einen,ein,DET
unruhigen,unruhig,ADJ
Tag,Tag,NOUN
Im,in,ADP
Hause,Haus,NOUN
Sesemann,Sesemann,PROPN
geht's,geht's,ADJ
unruhig,unruhig,ADV
zu,zu,ADP
Der,der,DET
Hausherr,Hausherr,NOUN
hört,hören,VERB
allerlei,allerlei,DET
in,in,ADP
seinem,sein,DET
Hause,Haus,NOUN
",",--,PUNCT
das,der,PRON
er,er,PRON
noch,noch,ADV
nicht,nicht,PART
gehört,hören,VERB
hat,haben,AUX
Eine,ein,DET
Großmama,Großmama,NOUN
Heidi,Heidi,PROPN
nimmt,nehmen,VERB
auf,auf,ADP
einer,ein,DET
Seite,Seite,NOUN
zu,zu,ADP
und,und,CCONJ
auf,auf,ADP
der,der,DET
anderen,anderer,ADJ
ab,ab,ADP
Im,in,ADP
Hause,Haus,NOUN
Sesemann,Sesemann,PROPN
spukt's,spukt's,VERB
Am,an,ADP
Sommerabend,Sommerabend,NOUN
die,der,DET
Alm,Alm,NOUN
hinan,hinan,ADV
Am,an,ADP
Sonntag,Sonntag,NOUN
",",--,PUNCT
wenn's,wenn's,SCONJ
läutet,läuten,VERB
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Zum,zu,ADP
Alm-Öhi,Alm-Öhi,NOUN
hinauf,hinauf,ADV
Vom,von,ADP
freundlichen,freundlich,ADJ
Dorfe,Dorfe,NOUN
Maienfeld,Maienfeld,NOUN
führt,führen,VERB
ein,ein,DET
Fußweg,Fußweg,NOUN
durch,durch,ADP
grüne,grün,ADJ
",",--,PUNCT
baumreiche,baumreich,ADJ
Fluren,Flur,NOUN
bis,bis,ADP
zum,zu,ADP
Fuße,Fuß,NOUN
der,der,DET
Höhen,Höhe,NOUN
",",--,PUNCT
die,der,PRON
von,von,ADP
dieser,dieser,DET
Seite,Seite,NOUN
groß,groß,ADV
und,und,CCONJ
ernst,ernst,ADV
auf,auf,ADP
das,der,DET
Tal,Tal,NOUN
herniederschauen,herniederschauen,VERB
.,--,PUNCT
Wo,wo,SCONJ
der,der,DET
Fußweg,Fußweg,NOUN
anfängt,anfangen,VERB
",",--,PUNCT
beginnt,beginnen,VERB
bald,bald,ADV
Heideland,Heideland,NOUN
mit,mit,ADP
dem,der,DET
kurzen,kurz,ADJ
Gras,Gras,NOUN
und,und,CCONJ
den,der,DET
kräftigen,kräftig,ADJ
Bergkräutern,Bergkräuter,NOUN
dem,der,DET
Kommenden,Kommende,NOUN
entgegenzuduften,entgegenzudufen,VERB
",",--,PUNCT
denn,denn,CCONJ
der,der,DET
Fußweg,Fußweg,NOUN
geht,gehen,VERB
steil,steil,ADV
und,und,CCONJ
direkt,direkt,ADV
zu,zu,ADP
den,der,DET
Alpen,Alpen,NOUN
hinauf,hinauf,ADV
.,--,PUNCT
Auf,auf,ADP
diesem,dieser,DET
schmalen,schmal,ADJ
Bergpfade,Bergpfade,NOUN
stieg,steigen,VERB
am,an,ADP
hellen,hell,ADJ
",",--,PUNCT
sonnigen,sonnig,ADJ
Junimorgen,Junimorg,NOUN
ein,ein,DET
großes,groß,ADJ
",",--,PUNCT
kräftig,kräftig,ADV
aussehendes,aussehender,ADJ
Mädchen,Mädchen,NOUN
dieses,dieser,DET
Berglandes,Bergland,NOUN
hinan,hinan,ADV
",",--,PUNCT
ein,ein,DET
Kind,Kind,NOUN
an,an,ADP
der,der,DET
Hand,Hand,NOUN
führend,führend,ADV
",",--,PUNCT
dessen,der,DET
Wangen,Wang,NOUN
so,so,ADV
glühend,glühend,ADV
waren,sein,AUX
",",--,PUNCT
dass,dass,SCONJ
sie,sie,PRON
selbst,selbst,ADV
die,der,DET
sonnverbrannte,sonnverbrannt,ADJ
",",--,PUNCT
völlig,völlig,ADV
braune,braun,ADJ
Haut,Haut,NOUN
des,der,DET
Kindes,Kind,NOUN
flammend,flammend,ADV
rot,rot,ADV
durchleuchteten,durchleuchteten,VERB
.,--,PUNCT
Es,es,PRON
war,sein,AUX
auch,auch,ADV
kein,kein,DET
Wunder,Wunder,NOUN
:,--,PUNCT
Das,der,DET
Kind,Kind,NOUN
war,sein,AUX
trotz,trotz,ADP
der,der,DET
heißen,heiß,ADJ
Junisonne,Junisonn,NOUN
so,so,ADV
verpackt,verpacken,VERB
",",--,PUNCT
als,als,SCONJ
hätte,haben,AUX
es,es,PRON
sich,sich,PRON
eines,ein,DET
bitteren,bitter,ADJ
Frostes,Frost,NOUN
zu,zu,PART
erwehren,erwehren,VERB
.,--,PUNCT
Das,der,DET
kleine,klein,ADJ
Mädchen,Mädchen,NOUN
mochte,mögen,VERB
kaum,kaum,ADV
fünf,fünf,NUM
Jahre,Jahr,NOUN
zählen,zählen,VERB
;,--,PUNCT
was,was,PRON
aber,aber,ADV
seine,sein,DET
natürliche,natürlich,ADJ
Gestalt,Gestalt,NOUN
war,sein,AUX
",",--,PUNCT
konnte,können,AUX
man,man,PRON
nicht,nicht,PART
ersehen,ersehen,VERB
",",--,PUNCT
denn,denn,CCONJ
es,es,PRON
hatte,haben,AUX
sichtlich,sichtlich,ADV
zwei,zwei,NUM
",",--,PUNCT
wenn,wenn,SCONJ
nicht,nicht,PART
drei,drei,NUM
Kleider,Kleid,NOUN
übereinander,übereinander,ADV
angezogen,anziehen,VERB
und,und,CCONJ
drüberhin,drüberhin,ADV
ein,ein,DET
großes,groß,ADJ
",",--,PUNCT
rotes,rot,ADJ
Baumwolltuch,Baumwolltuch,NOUN
um,um,ADP
und,und,CCONJ
um,um,SCONJ
gebunden,binden,VERB
",",--,PUNCT
so,so,ADV
dass,dass,SCONJ
die,der,DET
kleine,klein,ADJ
Person,Person,NOUN
eine,ein,DET
völlig,völlig,ADV
formlose,formlos,ADJ
Figur,Figur,NOUN
darstellte,darstellen,VERB
",",--,PUNCT
die,der,PRON
",",--,PUNCT
in,in,ADP
zwei,zwei,NUM
schwere,schwer,ADJ
",",--,PUNCT
mit,mit,ADP
Nägeln,Nägel,NOUN
beschlagene,beschlagen,ADJ
Bergschuhe,Bergschuhe,NOUN
gesteckt,stecken,VERB
",",--,PUNCT
sich,sich,PRON
heiß,heiß,ADV
und,und,CCONJ
mühsam,mühsam,ADV
den,der,DET
Berg,Berg,NOUN
hinaufarbeitete,hinaufarbeiten,VERB
.,--,PUNCT
Eine,ein,DET
Stunde,Stunde,NOUN
vom,von,ADP
Tal,Tal,NOUN
aufwärts,aufwärts,ADV
mochten,mochen,AUX
die,der,DET
beiden,beide,DET
gestiegen,steigen,VERB
sein,sein,AUX
",",--,PUNCT
als,als,SCONJ
sie,sie,PRON
zu,zu,ADP
dem,der,DET
Weiler,Weiler,NOUN
kamen,kommen,VERB
",",--,PUNCT
der,der,PRON
auf,auf,ADP
halber,halb,ADJ
Höhe,Höhe,NOUN
der,der,DET
Alm,Alm,NOUN
liegt,liegen,VERB
und,und,CCONJ
›im,›im,PROPN
Dörfli‹,Dörfli‹,PROPN
heißt,heißen,VERB
.,--,PUNCT
Hier,hier,ADV
wurden,werden,AUX
die,der,DET
Wandernden,Wandernde,NOUN
fast,fast,ADV
von,von,ADP
jedem,jeder,DET
Hause,Haus,NOUN
aus,aus,ADP
angerufen,anrufen,VERB
",",--,PUNCT
einmal,einmal,ADV
vom,von,ADP
Fenster,Fenster,NOUN
",",--,PUNCT
einmal,einmal,ADV
von,von,ADP
einer,ein,DET
Haustür,Haustür,NOUN
und,und,CCONJ
einmal,einmal,ADV
vom,von,ADP
Wege,Weg,NOUN
her,her,ADV
",",--,PUNCT
denn,denn,CCONJ
das,der,DET
Mädchen,Mädchen,NOUN
war,sein,AUX
in,in,ADP
seinem,sein,DET
Heimatort,Heimatort,NOUN
angelangt,angelangen,VERB
.,--,PUNCT
Es,es,PRON
machte,machen,VERB
aber,aber,ADV
nirgends,nirgends,ADV
Halt,Halt,NOUN
",",--,PUNCT
sondern,sondern,CCONJ
erwiderte,erwidern,VERB
alle,aller,DET
zugerufenen,zugerufenen,ADJ
Grüße,Grüß,NOUN
und,und,CCONJ
Fragen,Frage,NOUN
im,in,ADP
Vorbeigehen,vorbeigehen,NOUN
",",--,PUNCT
ohne,ohne,SCONJ
still,still,ADV
zu,zu,PART
stehen,stehen,VERB
",",--,PUNCT
bis,bis,SCONJ
es,es,PRON
am,an,ADP
Ende,Ende,NOUN
des,der,DET
Weilers,Weiler,NOUN
bei,bei,ADP
dem,der,DET
letzten,letzter,ADJ
der,der,DET
zerstreuten,zerstreuten,ADJ
Häuschen,Häuschen,NOUN
angelangt,anlangen,VERB
war,sein,AUX
.,--,PUNCT
Hier,hier,ADV
rief,rufen,VERB
es,es,PRON
aus,aus,ADP
einer,ein,DET
Tür,Tür,NOUN
:,--,PUNCT
»,--,PUNCT
Wart,Wart,VERB
einen,ein,DET
Augenblick,Augenblick,NOUN
",",--,PUNCT
Dete,Den,VERB
",",--,PUNCT
ich,ich,PRON
komme,kommen,VERB
mit,mit,ADP
",",--,PUNCT
wenn,wenn,SCONJ
du,du,PRON
weiter,weiter,ADV
hinaufgehst,hinaufgehst,ADV
.,--,PUNCT
«,--,PUNCT
Die,der,DET
Angeredete,Angeredet,NOUN
stand,stehen,VERB
still,still,ADV
;,--,PUNCT
sofort,sofort,ADV
machte,machen,VERB
sich,sich,PRON
das,der,DET
Kind,Kind,NOUN
von,von,ADP
ihrer,ihr,DET
Hand,Hand,NOUN
los,los,ADV
und,und,CCONJ
setzte,setzen,VERB
sich,sich,PRON
auf,auf,ADP
den,der,DET
Boden,Boden,NOUN
.,--,PUNCT
»,--,PUNCT
