Token,Lemma,POS
Johanna,Johanna,PROPN
Spyri,Spyri,PROPN
Heimatlos,heimatlos,ADV
Zwei,zwei,NUM
Geschichten,Geschichte,NOUN
für,für,ADP
Kinder,Kind,NOUN
und,und,CCONJ
solche,solcher,PRON
",",--,PUNCT
die,der,DET
Kinder,Kind,NOUN
lieb,leiben,VERB
haben,haben,AUX
Am,an,ADP
Silser-,Silser,X
und,und,CCONJ
am,an,ADP
Gardasee,Gardasee,PROPN
Im,in,ADP
stillen,still,ADJ
Hause,Haus,NOUN
Im,in,ADP
Ober-Engadin,Ober-Engadin,NOUN
",",--,PUNCT
in,in,ADP
der,der,DET
Straße,Straße,NOUN
gegen,gegen,ADP
den,der,DET
Maloja,Maloja,PROPN
hinauf,hinauf,ADV
",",--,PUNCT
liegt,liegen,VERB
ein,ein,DET
einsames,einsam,ADJ
Dörfchen,Dörfche,NOUN
",",--,PUNCT
das,der,PRON
heißt,heißen,VERB
Sils,Sil,PROPN
.,--,PUNCT
Da,da,ADV
geht,gehen,VERB
man,man,PRON
von,von,ADP
der,der,DET
Straße,Straße,NOUN
querfeldein,querfeldein,ADV
",",--,PUNCT
und,und,CCONJ
hinten,hinten,ADV
",",--,PUNCT
ganz,ganz,ADV
nahe,nah,ADV
an,an,ADP
den,der,DET
Bergen,Berg,NOUN
",",--,PUNCT
liegt,liegen,VERB
ein,ein,DET
kleiner,klein,ADJ
Ort,Ort,NOUN
",",--,PUNCT
der,der,PRON
heißt,heißen,VERB
Sils-Maria,Sils-Maria,PROPN
.,--,PUNCT
Da,da,SCONJ
standen,stehen,VERB
ein,ein,DET
wenig,wenig,PRON
abseits,abseits,ADV
im,in,ADP
Felde,Feld,NOUN
zwei,zwei,NUM
Häuschen,Häusch,NOUN
einander,einander,PRON
gegenüber,gegenüber,ADP
.,--,PUNCT
Die,der,PRON
hatten,haben,AUX
beide,beide,DET
uralte,uralt,ADJ
hölzerne,hölzern,ADJ
Haustüren,Haustür,NOUN
und,und,CCONJ
ganz,ganz,ADV
kleine,klein,ADJ
Fenster,Fenster,NOUN
tief,tief,ADV
in,in,ADP
der,der,DET
Mauer,Mauer,NOUN
drinnen,drinnen,ADV
.,--,PUNCT
Beim,bei,ADP
einen,ein,DET
Haus,Haus,NOUN
war,sein,AUX
ein,ein,DET
kleines,klein,ADJ
Stück,Stück,NOUN
Garten,Garten,NOUN
",",--,PUNCT
da,da,ADV
wuchs,wachsen,VERB
Kraut,Kraut,NOUN
und,und,CCONJ
Kohl,Kohl,PROPN
",",--,PUNCT
und,und,CCONJ
es,es,PRON
standen,stehen,VERB
auch,auch,ADV
vier,vier,NUM
Blumenstöcke,Blumenstöck,NOUN
darin,darin,ADV
",",--,PUNCT
die,der,PRON
sahen,sehen,VERB
aber,aber,ADV
mager,mager,ADV
aus,aus,ADP
und,und,CCONJ
waren,sein,AUX
aufgeschossen,aufgeschossen,VERB
wie,wie,ADP
das,der,DET
Kraut,Kraut,NOUN
.,--,PUNCT
Beim,bei,ADP
anderen,anderer,ADJ
Häuschen,Häuschen,NOUN
war,sein,AUX
gar,gar,ADV
nichts,nichts,PRON
als,als,ADP
ein,ein,DET
kleiner,klein,ADJ
Stall,Stall,NOUN
neben,neben,ADP
der,der,DET
Tür,Tür,NOUN
;,--,PUNCT
da,da,ADV
krochen,kriechen,VERB
zwei,zwei,NUM
Hühner,Hühner,NOUN
aus,aus,ADP
und,und,CCONJ
ein,ein,ADV
.,--,PUNCT
Dies,dieser,PRON
Häuschen,Häuschen,NOUN
war,sein,AUX
noch,noch,ADV
kleiner,klein,ADV
als,als,ADP
das,der,DET
andere,anderer,PRON
",",--,PUNCT
und,und,CCONJ
die,der,DET
hölzerne,hölzern,ADJ
Tür,Tür,NOUN
war,sein,AUX
schwarz,schwarz,ADV
vor,vor,ADP
Alter,Alter,NOUN
.,--,PUNCT
Aus,aus,ADP
dieser,dieser,DET
Tür,Tür,NOUN
trat,treten,VERB
jeden,jeder,DET
Morgen,Morgen,NOUN
um,um,ADP
dieselbe,derselbe,DET
Zeit,Zeit,NOUN
ein,ein,DET
großer,groß,ADJ
Mann,Mann,NOUN
",",--,PUNCT
der,der,PRON
mußte,müssen,AUX
sich,sich,PRON
bücken,bücken,VERB
",",--,PUNCT
um,um,SCONJ
hinauszukommen,hinauszukommen,VERB
.,--,PUNCT
Der,der,DET
große,groß,ADJ
Mann,Mann,NOUN
hatte,haben,AUX
ganz,ganz,ADV
glänzend,glänzend,ADV
schwarze,schwarz,ADJ
Haare,Haar,NOUN
und,und,CCONJ
schwarze,schwarz,ADJ
Augen,Auge,NOUN
",",--,PUNCT
und,und,CCONJ
unter,unter,ADP
der,der,DET
schöngeformten,schöngeformt,ADJ
Nase,Nase,NOUN
fing,fing,VERB
gleich,gleich,ADV
ein,ein,DET
so,so,ADV
dichter,dicht,ADJ
schwarzer,schwarz,ADJ
Bart,Bart,NOUN
an,an,ADP
",",--,PUNCT
daß,daß,SCONJ
man,man,PRON
vom,von,ADP
übrigen,übrig,ADJ
Gesichte,Gesicht,NOUN
nichts,nichts,PRON
mehr,mehr,ADV
sah,sehen,VERB
als,als,ADP
die,der,DET
weißen,weiß,ADJ
Zähne,Zahn,NOUN
",",--,PUNCT
die,der,PRON
zwischen,zwischen,ADP
den,der,DET
Barthaaren,Barthaar,NOUN
durchblitzten,durchblitzen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
der,der,DET
Mann,Mann,NOUN
einmal,einmal,ADV
sprach,sprechen,VERB
;,--,PUNCT
aber,aber,CCONJ
er,er,PRON
sprach,sprechen,VERB
wenig,wenig,PRON
.,--,PUNCT
Alle,aller,DET
Leute,Leute,NOUN
in,in,ADP
Sils,Sil,PROPN
kannten,kennen,VERB
den,der,DET
Mann,Mann,NOUN
",",--,PUNCT
doch,doch,CCONJ
niemand,niemand,PRON
nannte,nennen,VERB
ihn,ihn,PRON
bei,bei,ADP
einem,ein,DET
Namen,Name,NOUN
",",--,PUNCT
er,er,PRON
hieß,heißen,VERB
bei,bei,ADP
allen,alle,PRON
nur,nur,ADV
»,--,PUNCT
der,der,DET
Italiener,Italiener,NOUN
«,--,PUNCT
.,--,PUNCT
Er,er,PRON
ging,gehen,VERB
regelmäßig,regelmäßig,ADV
den,der,DET
schmalen,schmal,ADJ
Weg,Weg,NOUN
querüber,querüber,ADV
nach,nach,ADP
Sils,Sil,NOUN
hin,hin,ADV
und,und,CCONJ
den,der,DET
Maloja,Maloja,NOUN
hinauf,hinauf,ADV
.,--,PUNCT
Dort,dort,ADV
wurde,werden,AUX
viel,viel,ADV
an,an,ADP
der,der,DET
Straße,Straße,NOUN
gebaut,bauen,VERB
",",--,PUNCT
und,und,CCONJ
da,da,ADV
hatte,haben,AUX
der,der,DET
Italiener,Italiener,NOUN
seine,sein,DET
Arbeit,Arbeit,NOUN
.,--,PUNCT
Ging,Ging,VERB
er,er,PRON
aber,aber,ADV
den,der,DET
Weg,Weg,NOUN
nicht,nicht,PART
hinauf,hinauf,ADV
",",--,PUNCT
so,so,ADV
ging,gehen,VERB
er,er,PRON
hinunter,hinunter,ADV
",",--,PUNCT
dem,der,DET
Bade,Bade,PROPN
St.,St.,PROPN
Moritz,Moritz,PROPN
zu,zu,ADP
.,--,PUNCT
Dort,dort,ADV
baute,baun,VERB
man,man,PRON
Häuser,Haus,NOUN
",",--,PUNCT
und,und,CCONJ
er,er,PRON
fand,finden,VERB
dort,dort,ADV
auch,auch,ADV
seine,sein,DET
Arbeit,Arbeit,NOUN
.,--,PUNCT
Dann,dann,ADV
blieb,bleiben,VERB
er,er,PRON
den,der,DET
Tag,Tag,NOUN
über,über,ADP
da,da,ADV
und,und,CCONJ
kehrte,kehren,VERB
erst,erst,ADV
am,an,ADP
Abend,Abend,NOUN
wieder,wieder,ADV
ins,in,ADP
Häuschen,Häuschen,NOUN
zurück,zurück,ADV
.,--,PUNCT
Gewöhnlich,Gewöhnlich,ADV
",",--,PUNCT
wenn,wenn,SCONJ
er,er,PRON
am,an,ADP
Morgen,Morgen,NOUN
aus,aus,ADP
der,der,DET
Tür,Tür,NOUN
trat,treten,VERB
",",--,PUNCT
stand,stehen,VERB
hinter,hinter,ADP
ihm,ihm,PRON
ein,ein,DET
Büblein,Büblein,NOUN
.,--,PUNCT
Das,der,PRON
stellte,stellen,VERB
sich,sich,PRON
auf,auf,ADP
die,der,DET
Türschwelle,Türschwelle,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
der,der,DET
Vater,Vater,NOUN
draußen,draußen,ADV
war,sein,AUX
",",--,PUNCT
und,und,CCONJ
schaute,schaute,ADJ
mit,mit,ADP
den,der,DET
großen,groß,ADJ
",",--,PUNCT
dunklen,dunkel,ADJ
Augen,Auge,NOUN
lange,lange,ADV
hinaus,hinaus,ADP
dem,der,DET
Vater,Vater,NOUN
nach,nach,ADP
",",--,PUNCT
oder,oder,CCONJ
sonst,sonst,ADV
wohin,wohin,ADV
.,--,PUNCT
Man,man,PRON
hätte,haben,AUX
nicht,nicht,PART
sagen,sagen,VERB
können,können,AUX
",",--,PUNCT
wohin,wohin,SCONJ
er,er,PRON
sah,sehen,VERB
",",--,PUNCT
denn,denn,CCONJ
es,es,PRON
war,sein,AUX
",",--,PUNCT
als,als,SCONJ
ob,ob,SCONJ
die,der,DET
dunklen,dunkel,ADJ
Augen,Auge,NOUN
über,über,ADP
alles,alle,PRON
wegschauten,wegschauten,VERB
",",--,PUNCT
was,was,PRON
vor,vor,ADP
ihnen,ihnen,PRON
lag,liegen,VERB
",",--,PUNCT
und,und,CCONJ
auf,auf,ADP
etwas,etwas,PRON
hin,hin,ADV
",",--,PUNCT
das,der,PRON
niemand,niemand,PRON
sehen,sehen,VERB
konnte,können,AUX
.,--,PUNCT
Am,an,ADP
Sonntagnachmittag,Sonntagnachmittag,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
die,der,DET
Sonne,Sonne,NOUN
schien,scheinen,VERB
",",--,PUNCT
gingen,gehen,VERB
die,der,DET
beiden,beide,NOUN
auch,auch,ADV
manchmal,manchmal,ADV
miteinander,miteinander,ADV
aus,aus,ADP
dem,der,DET
Häuschen,Häuschen,NOUN
und,und,CCONJ
nebeneinander,nebeneinander,ADV
her,her,ADP
die,der,DET
Straße,Straße,NOUN
hinauf,hinauf,ADV
.,--,PUNCT
Und,und,CCONJ
wenn,wenn,SCONJ
man,man,PRON
sie,sie,PRON
so,so,ADV
ansah,ansehen,VERB
",",--,PUNCT
so,so,ADV
sah,sehen,VERB
man,man,PRON
in,in,ADP
den,der,DET
zwei,zwei,NUM
Gestalten,Gestalt,NOUN
ganz,ganz,ADV
dasselbe,dasselbe,PRON
vor,vor,ADP
sich,sich,PRON
",",--,PUNCT
nur,nur,ADV
bei,bei,ADP
dem,der,DET
Büblein,Büblein,NOUN
alles,alle,PRON
im,in,ADP
kleinen,klein,ADJ
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ganz,ganz,ADV
wie,wie,ADP
vom,von,ADP
Vater,Vater,NOUN
abgeschnitten,abschneiden,VERB
",",--,PUNCT
bis,bis,SCONJ
auf,auf,ADP
den,der,DET
schwarzen,schwarz,ADJ
Bart,Bart,NOUN
",",--,PUNCT
den,der,PRON
hatte,haben,AUX
es,es,PRON
nicht,nicht,PART
",",--,PUNCT
sondern,sondern,CCONJ
ein,ein,DET
schmales,schmal,ADJ
",",--,PUNCT
bleiches,bleich,ADJ
Gesichtchen,Gesichtchen,VERB
war,sein,AUX
da,da,ADV
zu,zu,PART
sehen,sehen,VERB
",",--,PUNCT
mit,mit,ADP
dem,der,DET
schöngeformten,schöngeformt,ADJ
Näschen,Näschen,NOUN
in,in,ADP
der,der,DET
Mitte,Mitte,NOUN
",",--,PUNCT
und,und,CCONJ
um,um,ADP
den,der,DET
Mund,Mund,NOUN
herum,herum,ADP
lag,liegen,VERB
etwas,etwas,DET
Trauriges,Trauriges,NOUN
",",--,PUNCT
als,als,SCONJ
ob,ob,SCONJ
er,er,PRON
nicht,nicht,PART
lachen,lachen,VERB
möchte,möchten,AUX
.,--,PUNCT
Das,der,PRON
konnte,können,AUX
man,man,PRON
beim,bei,ADP
Vater,Vater,NOUN
durch,durch,ADP
den,der,DET
Bart,Bart,NOUN
nicht,nicht,PART
sehen,sehen,VERB
.,--,PUNCT
Wenn,wenn,SCONJ
nun,nun,ADV
die,der,DET
beiden,beide,PRON
so,so,ADV
nebeneinander,nebeneinander,ADV
hergingen,hergingen,VERB
",",--,PUNCT
dann,dann,ADV
sagte,sagen,VERB
keiner,keiner,PRON
zum,zu,ADP
anderen,anderer,PRON
ein,ein,DET
Wort,Wort,NOUN
.,--,PUNCT
Meistens,Meistens,ADV
summte,summen,VERB
der,der,DET
Vater,Vater,NOUN
leise,leise,ADV
ein,ein,DET
