Token,Lemma,POS
Johanna,Johanna,PROPN
Spyri,Spyri,PROPN
Schloss,Schloss,NOUN
Wildenstein,Wildenstein,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Nollagrund,nollagrund,ADV
Allerlei,Allerlei,NOUN
Unruhe,Unruhe,NOUN
Schloss,Schloss,NOUN
Wildenstein,Wildenstein,PROPN
Eine,ein,DET
unerwartete,unerwartet,ADJ
Erscheinung,Erscheinung,NOUN
Schwere,schwer,ADJ
Luft,Luft,NOUN
Neue,neu,ADJ
Freunde,Freund,NOUN
Was,was,PRON
der,der,DET
Mutter,Mutter,NOUN
Abwesenheit,Abwesenheit,NOUN
nach,nach,ADP
sich,sich,PRON
zieht,ziehen,VERB
Mäzli,Mäzli,PROPN
macht,machen,VERB
Besuche,Besuch,NOUN
Im,in,ADP
Schloss,Schloss,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Nollagrund,nollagrund,ADV
Schon,schon,ADV
seit,seit,ADP
bald,bald,ADV
zwanzig,zwanzig,NUM
Jahren,Jahr,NOUN
stand,stehen,VERB
das,der,DET
alte,alt,ADJ
Schloss,Schloss,NOUN
still,still,ADV
und,und,CCONJ
verlassen,verlassen,VERB
dort,dort,ADV
auf,auf,ADP
der,der,DET
Höhe,Höhe,NOUN
.,--,PUNCT
Kein,kein,DET
Ton,Ton,NOUN
war,sein,AUX
weithin,weithin,ADV
zu,zu,PART
hören,hören,VERB
",",--,PUNCT
als,als,SCONJ
das,der,DET
Zwitschern,Zwitscher,NOUN
der,der,DET
Vögel,Vogel,NOUN
und,und,CCONJ
das,der,DET
Rauschen,Rauschen,NOUN
der,der,DET
alten,alt,ADJ
Föhren,Föhr,NOUN
rings,rings,ADV
um,um,ADP
das,der,DET
Schloss,Schloss,NOUN
.,--,PUNCT
Um,um,SCONJ
die,der,DET
runden,rund,ADJ
Ecktürme,Ecktürme,NOUN
schwirrten,schwirren,VERB
am,an,ADP
hellen,hell,ADJ
Sommerabend,Sommerabend,NOUN
die,der,DET
Schwalben,Schwalbe,NOUN
wie,wie,ADP
ehemals,ehemals,ADV
;,--,PUNCT
aber,aber,CCONJ
von,von,ADP
den,der,DET
Turmbalkonen,Turmbalkone,NOUN
schauten,schauen,VERB
keine,kein,DET
fröhlichen,fröhlich,ADJ
Augen,Auge,NOUN
mehr,mehr,ADV
auf,auf,ADP
die,der,DET
grünen,grün,ADJ
Wiesen,Wiese,NOUN
und,und,CCONJ
auf,auf,ADP
die,der,DET
reichbeladenen,reichbeladen,ADJ
Apfelbäume,Apfelbaum,NOUN
im,in,ADP
Talgrund,Talgrund,NOUN
nieder,nieder,ADV
.,--,PUNCT
Zwei,zwei,NUM
lustige,lustig,ADJ
Augen,Auge,NOUN
aber,aber,ADV
schauten,schauen,VERB
eben,eben,ADV
jetzt,jetzt,ADV
aus,aus,ADP
dem,der,DET
Wiesengrund,Wiesengrund,NOUN
zu,zu,ADP
dem,der,DET
alten,alt,ADJ
Schloss,Schloss,NOUN
auf,auf,ADP
und,und,CCONJ
forschten,forschen,VERB
und,und,CCONJ
spähten,spähen,VERB
",",--,PUNCT
als,als,SCONJ
könnten,können,AUX
sie,sie,PRON
hinter,hinter,ADP
den,der,DET
festverschlossenen,festverschlossener,ADJ
Fensterladen,Fensterlad,NOUN
etwas,etwas,PRON
ganz,ganz,ADV
Besonderes,besondere,NOUN
entdecken,entdecken,VERB
.,--,PUNCT
»,--,PUNCT
Mea,Mea,PROPN
«,--,PUNCT
",",--,PUNCT
rief,rufen,VERB
der,der,DET
Späher,Späher,NOUN
plötzlich,plötzlich,ADV
in,in,ADP
aufgeregtem,aufgeregt,ADJ
Ton,Ton,NOUN
",",--,PUNCT
»,--,PUNCT
jetzt,jetzt,ADV
",",--,PUNCT
jetzt,jetzt,ADV
",",--,PUNCT
komm,kommen,VERB
schnell,schnell,ADV
",",--,PUNCT
nun,nun,ADV
geht,gehen,VERB
’s,’s,NOUN
auf,auf,ADP
.,--,PUNCT
«,--,PUNCT
Mea,Mea,PROPN
",",--,PUNCT
die,der,PRON
auf,auf,ADP
der,der,DET
Bank,Bank,NOUN
unter,unter,ADP
dem,der,DET
grossen,gross,ADJ
Apfelbaum,Apfelbaum,NOUN
sass,Sass,PROPN
",",--,PUNCT
ein,ein,DET
Buch,Buch,NOUN
in,in,ADP
der,der,DET
Hand,Hand,NOUN
haltend,haltend,ADV
",",--,PUNCT
legte,legen,VERB
dieses,dieser,PRON
hin,hin,ADV
und,und,CCONJ
kam,kommen,VERB
herbeigerannt,herbeigerannen,VERB
.,--,PUNCT
»,--,PUNCT
Sieh,Sieh,NOUN
",",--,PUNCT
sieh,sieh,VERB
",",--,PUNCT
nun,nun,ADV
bewegt,bewegen,VERB
es,es,PRON
sich,sich,PRON
«,--,PUNCT
",",--,PUNCT
fuhr,fahren,VERB
der,der,DET
Bruder,Bruder,NOUN
immer,immer,ADV
erregter,erregt,ADJ
fort,fort,ADV
",",--,PUNCT
»,--,PUNCT
es,es,PRON
ist,sein,AUX
ein,ein,DET
Arm,Arm,NOUN
in,in,ADP
einem,ein,DET
schwarzen,schwarz,ADJ
Rock,Rock,NOUN
",",--,PUNCT
nun,nun,ADV
stösst,stössen,VERB
er,er,PRON
gleich,gleich,ADV
den,der,DET
ganzen,ganz,ADJ
Laden,Laden,NOUN
auf,auf,ADP
.,--,PUNCT
«,--,PUNCT
In,in,ADP
diesem,dieser,DET
Augenblick,Augenblick,NOUN
erhob,erheben,VERB
sich,sich,PRON
der,der,DET
schwarze,schwarz,ADJ
Gegenstand,Gegenstand,NOUN
und,und,CCONJ
schwang,schwingen,VERB
sich,sich,PRON
zum,zu,ADP
Turm,Turm,NOUN
empor,empor,ADV
.,--,PUNCT
»,--,PUNCT
Ein,ein,DET
Vogel,Vogel,NOUN
war,sein,AUX
’s,’s,NOUN
",",--,PUNCT
ein,ein,DET
grosser,gross,ADJ
",",--,PUNCT
schwarzer,schwarz,ADJ
Vogel,Vogel,NOUN
«,--,PUNCT
",",--,PUNCT
sagte,sagen,VERB
Mea,Mea,PROPN
enttäuscht,enttäuschen,VERB
.,--,PUNCT
»,--,PUNCT
Nun,nun,ADV
hast,haben,AUX
du,du,PRON
mich,mich,PRON
gewiss,gewiss,VERB
schon,schon,ADV
zwanzigmal,zwanzigmal,ADV
gerufen,rufen,VERB
",",--,PUNCT
ich,ich,PRON
solle,sollen,AUX
sehen,sehen,VERB
",",--,PUNCT
wie,wie,SCONJ
die,der,PRON
Laden,laden,VERB
sich,sich,PRON
öffnen,öffnen,VERB
",",--,PUNCT
und,und,CCONJ
nie,nie,ADV
gehen,gehen,VERB
sie,sie,PRON
auf,auf,ADP
.,--,PUNCT
Ich,ich,PRON
komme,kommen,VERB
nicht,nicht,PART
mehr,mehr,ADV
",",--,PUNCT
du,du,PRON
kannst,Kannst,VERB
rufen,rufen,VERB
",",--,PUNCT
soviel,soviel,PRON
du,du,PRON
willst,willst,VERB
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Sie,sie,PRON
gehen,gehen,VERB
doch,doch,ADV
einmal,einmal,ADV
auf,auf,ADP
",",--,PUNCT
ich,ich,PRON
weiss,weissn,VERB
es,es,PRON
«,--,PUNCT
",",--,PUNCT
behauptete,behaupten,VERB
der,der,DET
Junge,Junge,NOUN
fest,fest,ADV
",",--,PUNCT
»,--,PUNCT
man,man,PRON
weiss,Weiss,PROPN
nur,nur,ADV
nicht,nicht,PART
wann,wann,ADV
;,--,PUNCT
aber,aber,CCONJ
es,es,PRON
kann,können,AUX
jeden,jeder,DET
Tag,Tag,NOUN
sein,sein,AUX
.,--,PUNCT
Wenn,wenn,SCONJ
nur,nur,ADV
der,der,DET
steife,steif,NOUN
",",--,PUNCT
alte,alt,ADJ
Trius,Trius,PROPN
antworten,antworten,VERB
wollte,wollen,AUX
",",--,PUNCT
wenn,wenn,SCONJ
man,man,PRON
ihn,ihn,PRON
fragt,fragen,VERB
",",--,PUNCT
der,der,DET
weiss,Weiss,PROPN
alles,alle,PRON
",",--,PUNCT
was,wer,PRON
da,da,ADV
oben,oben,ADV
vor,vor,ADP
sich,sich,PRON
geht,gehen,VERB
;,--,PUNCT
aber,aber,CCONJ
der,der,DET
alte,alt,ADJ
Brummer,Brummer,NOUN
sagt,sagen,VERB
nie,nie,ADV
ein,ein,DET
Wort,Wort,NOUN
",",--,PUNCT
und,und,CCONJ
wenn,wenn,SCONJ
man,man,PRON
ihm,ihm,PRON
nahekommt,nahekommen,VERB
und,und,CCONJ
mit,mit,ADP
ihm,ihm,PRON
sprechen,sprechen,VERB
will,wollen,AUX
",",--,PUNCT
kommt,kommen,VERB
er,er,PRON
gleich,gleich,ADV
mit,mit,ADP
dem,der,DET
dicken,dick,ADJ
Stock,Stock,NOUN
auf,auf,ADP
einen,ein,DET
los,los,NOUN
.,--,PUNCT
Er,er,PRON
will,wollen,AUX
natürlich,natürlich,ADV
nicht,nicht,PART
",",--,PUNCT
dass,dass,SCONJ
man,man,PRON
weiss,weiss,X
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
da,da,ADV
oben,oben,ADV
zugeht,zugehen,VERB
;,--,PUNCT
aber,aber,CCONJ
in,in,ADP
der,der,DET
Schule,Schule,NOUN
wissen,wissen,VERB
sie,sie,PRON
alle,alle,PRON
",",--,PUNCT
dass,dass,SCONJ
es,es,PRON
oben,oben,ADV
nicht,nicht,PART
sicher,sicher,ADV
ist,sein,AUX
und,und,CCONJ
dass,dass,SCONJ
ein,ein,DET
Gespenst,Gespenst,NOUN
umgeht,umgehen,VERB
und,und,CCONJ
durch,durch,ADP
die,der,DET
Föhren,Föhr,NOUN
heult,heulen,VERB
.,--,PUNCT
Ich,ich,PRON
glaube,glauben,VERB
es,es,PRON
gar,gar,ADV
nicht,nicht,PART
;,--,PUNCT
aber,aber,CCONJ
der,der,DET
alte,alt,ADJ
Trius,Trius,NOUN
könnte,können,AUX
doch,doch,ADV
ein,ein,DET
wenig,wenig,PRON
sprechen,sprechen,VERB
und,und,CCONJ
einem,ein,DET
erklären,erklären,VERB
",",--,PUNCT
was,was,PRON
da,da,ADV
vorgeht,vorgehen,VERB
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Nichts,nichts,PRON
geht,gehen,VERB
vor,vor,ADP
«,--,PUNCT
",",--,PUNCT
fiel,fallen,VERB
Mea,Mea,PROPN
ein,ein,ADV
",",--,PUNCT
»,--,PUNCT
das,der,PRON
hat,haben,AUX
die,der,DET
Mutter,Mutter,NOUN
nun,nun,ADV
schon,schon,ADV
ein,ein,DET
paarmal,paarmal,NOUN
