Token,Lemma,POS
Johanna,Johanna,PROPN
Spyri,Spyri,PROPN
»,--,PUNCT
Und,und,CCONJ
wer,wer,PRON
nur,nur,ADV
Gott,Gott,NOUN
zum,zu,ADP
Freunde,Freund,NOUN
hat,haben,VERB
",",--,PUNCT
dem,der,PRON
hilft,helfen,VERB
er,er,PRON
immer,immer,ADV
wieder,wieder,ADV
«,--,PUNCT
Erzählung,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1.,1.,ADJ
Kapitel,Kapitel,NOUN
Basti,Basti,NOUN
und,und,CCONJ
Fränzeli,Fränzeli,PROPN
erlernen,erlernen,VERB
ein,ein,DET
Lied,Lied,NOUN
In,in,ADP
Bürgeln,Bürgeln,PROPN
",",--,PUNCT
dem,der,DET
kleinen,klein,ADJ
Dorf,Dorf,NOUN
oberhalb,oberhalb,ADP
Altorf,Altorf,PROPN
",",--,PUNCT
sind,sein,AUX
im,in,ADP
Sommer,Sommer,NOUN
die,der,DET
grünen,grün,ADJ
Wiesen,Wiese,NOUN
mit,mit,ADP
dem,der,DET
duftenden,duftend,ADJ
Gras,Gras,NOUN
und,und,CCONJ
den,der,DET
frischen,frisch,ADJ
Blumen,Blume,NOUN
herrlich,herrlich,ADV
anzusehen,ansehen,VERB
und,und,CCONJ
zu,zu,ADP
durchwandern,durchwandern,VERB
.,--,PUNCT
Schattige,schattig,ADJ
Nußbäume,Nußbaum,NOUN
stehen,stehen,VERB
ringsum,ringsum,ADV
",",--,PUNCT
und,und,CCONJ
an,an,ADP
ihnen,ihnen,PRON
vorbei,vorbei,ADV
",",--,PUNCT
die,der,PRON
Wiesen,Wiese,NOUN
hinunter,hinunt,ADV
rauscht,Rauscht,NOUN
der,der,DET
schäumende,schäumend,ADJ
Schächenbach,Schächenbach,NOUN
und,und,CCONJ
macht,machen,VERB
wilde,wild,ADJ
Sprünge,Sprung,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
ihm,ihm,PRON
ein,ein,DET
Stein,Stein,NOUN
im,in,ADP
Weg,Weg,NOUN
liegt,liegen,VERB
.,--,PUNCT
Am,an,ADP
Ende,Ende,NOUN
des,der,DET
Dörfchens,Dörfchen,NOUN
",",--,PUNCT
wo,wo,SCONJ
nur,nur,ADV
noch,noch,ADV
",",--,PUNCT
von,von,ADP
Efeu,Efeu,NOUN
überwachsen,überwachsen,VERB
",",--,PUNCT
ein,ein,DET
alter,alt,ADJ
Turm,Turm,NOUN
steht,stehen,VERB
",",--,PUNCT
führt,führen,VERB
ein,ein,DET
Fußweg,Fußweg,NOUN
weiter,weiter,ADV
den,der,DET
Bach,Bach,PROPN
entlang,entlang,ADP
.,--,PUNCT
Hier,hier,ADV
steht,stehen,VERB
ein,ein,DET
großer,groß,ADJ
",",--,PUNCT
uralter,uralt,ADJ
Nußbaum,Nußbaum,NOUN
",",--,PUNCT
und,und,CCONJ
unter,unter,ADP
seinem,sein,DET
kühlen,kühl,ADJ
Schatten,Schatten,NOUN
rasten,rasen,VERB
gern,gern,ADV
die,der,DET
Wanderer,Wanderer,NOUN
und,und,CCONJ
schauen,schauen,VERB
zu,zu,ADP
den,der,DET
hohen,hoch,ADJ
Felsen,Fels,NOUN
auf,auf,ADP
",",--,PUNCT
die,der,PRON
in,in,ADP
den,der,DET
blauen,blau,ADJ
Himmel,Himmel,NOUN
hineinragen,hineinragen,NOUN
.,--,PUNCT
Wenige,weniger,DET
Schritte,Schritt,NOUN
von,von,ADP
dem,der,DET
alten,alt,ADJ
Baum,Baum,NOUN
entfernt,entfernt,ADV
führt,führen,VERB
ein,ein,DET
hölzerner,hölzern,ADJ
Steg,Steg,NOUN
über,über,ADP
den,der,DET
tosenden,tosend,ADJ
Bach,Bach,PROPN
",",--,PUNCT
unmittelbar,unmittelbar,ADV
an,an,ADP
den,der,DET
Berg,Berg,NOUN
hinan,hinan,VERB
",",--,PUNCT
wo,wo,SCONJ
der,der,DET
Fußweg,Fußweg,NOUN
steil,steil,ADV
hinaufgeht,hinaufgehen,VERB
.,--,PUNCT
Dort,dort,ADV
steht,stehen,VERB
ein,ein,DET
Häuschen,Häuschen,NOUN
mit,mit,ADP
einem,ein,DET
kleinen,klein,ADJ
Stall,Stall,NOUN
daran,daran,ADV
",",--,PUNCT
höher,hoch,ADV
hinauf,hinauf,ADV
wieder,wieder,ADV
eines,einer,DET
und,und,CCONJ
noch,noch,ADV
eines,einer,PRON
und,und,CCONJ
dann,dann,ADV
",",--,PUNCT
wie,wie,SCONJ
an,an,ADP
den,der,DET
Berg,Berg,NOUN
gedrückt,drücken,VERB
",",--,PUNCT
das,der,DET
kleinste,klein,ADJ
von,von,ADP
allen,alle,PRON
",",--,PUNCT
mit,mit,ADP
einer,ein,DET
so,so,ADV
niedrigen,niedrig,ADJ
Tür,Tür,NOUN
",",--,PUNCT
daß,daß,SCONJ
kein,kein,DET
Mann,Mann,NOUN
eintreten,eintreten,VERB
könnte,können,AUX
",",--,PUNCT
ohne,ohne,SCONJ
sich,sich,PRON
zu,zu,ADP
bücken,bücken,VERB
.,--,PUNCT
Der,der,DET
Geißenstall,Geißenstall,NOUN
hinten,hinten,ADV
ist,sein,AUX
auch,auch,ADV
so,so,ADV
klein,klein,ADV
",",--,PUNCT
daß,daß,SCONJ
gerade,gerade,ADV
nur,nur,ADV
die,der,DET
magere,mager,ADJ
Geiß,Geiß,ADV
hineingeht,hineingehen,VERB
",",--,PUNCT
weiter,weiter,ADV
gar,gar,ADV
nichts,nichts,PRON
.,--,PUNCT
Das,der,DET
Häuschen,Häuschen,NOUN
hat,haben,AUX
nur,nur,ADV
zwei,zwei,NUM
Räume,Raum,NOUN
",",--,PUNCT
Stube,Stube,NOUN
und,und,CCONJ
Kämmerchen,Kämmerche,NOUN
daneben,daneben,ADV
",",--,PUNCT
und,und,CCONJ
vor,vor,ADP
der,der,DET
Stubentür,Stubentür,NOUN
ein,ein,DET
Plätzchen,plätzchen,NOUN
",",--,PUNCT
wo,wo,SCONJ
der,der,DET
kleine,klein,ADJ
Herd,Herd,NOUN
steht,stehen,VERB
.,--,PUNCT
Im,in,ADP
Sommer,Sommer,NOUN
bleibt,bleiben,VERB
die,der,DET
Haustür,Haustür,NOUN
den,der,DET
ganzen,ganz,ADJ
Tag,Tag,NOUN
offen,offen,ADV
und,und,CCONJ
macht,machen,VERB
diesen,dieser,PRON
kleinen,klein,ADJ
Raum,Raum,NOUN
hell,hell,ADV
",",--,PUNCT
sonst,sonst,ADV
ist,sein,AUX
er,er,PRON
ganz,ganz,ADV
dunkel,dunkel,ADV
.,--,PUNCT
In,in,ADP
dem,der,DET
Häuschen,Häuschen,NOUN
hat,haben,AUX
der,der,DET
Wildheuer,Wildheuer,ADJ
Joseph,Joseph,PROPN
gewohnt,wohnen,VERB
",",--,PUNCT
aber,aber,CCONJ
schon,schon,ADV
seit,seit,ADP
vier,vier,NUM
Jahren,Jahr,NOUN
ist,sein,AUX
er,er,PRON
tot,tot,ADV
",",--,PUNCT
und,und,CCONJ
nun,nun,ADV
wohnen,wohnen,VERB
noch,noch,ADV
seine,sein,DET
Frau,Frau,NOUN
und,und,CCONJ
zwei,zwei,NUM
Kinder,Kind,NOUN
darin,darin,ADV
–,--,PUNCT
die,der,DET
stille,stillen,NOUN
",",--,PUNCT
fleißige,fleißig,ADJ
Afra,Afra,NOUN
mit,mit,ADP
dem,der,DET
kleinen,klein,ADJ
Basti,Basti,NOUN
",",--,PUNCT
dem,der,DET
gesunden,gesund,ADJ
Buben,Buben,NOUN
",",--,PUNCT
und,und,CCONJ
dem,der,DET
noch,noch,ADV
kleineren,klein,ADJ
Fränzeli,Fränzeli,PROPN
",",--,PUNCT
dem,der,DET
zarten,zart,ADJ
",",--,PUNCT
hellgelockten,hellgelockt,ADJ
Mädchen,Mädchen,NOUN
.,--,PUNCT
Der,der,DET
Joseph,Joseph,NOUN
und,und,CCONJ
die,der,DET
Afra,Afra,NOUN
hatten,haben,AUX
sehr,sehr,ADV
still,still,ADV
und,und,CCONJ
friedlich,friedlich,ADV
miteinander,miteinander,ADV
gelebt,leben,VERB
und,und,CCONJ
ihre,ihr,DET
kleine,klein,ADJ
Behausung,Behausung,NOUN
nur,nur,ADV
dann,dann,ADV
verlassen,verlassen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
sie,sie,PRON
zusammen,zusammen,ADV
zur,zu,ADP
Kirche,Kirche,NOUN
gingen,gehen,VERB
.,--,PUNCT
Sonst,sonst,ADV
blieb,bleiben,VERB
Afra,Afra,PROPN
immer,immer,ADV
zuhause,zuhause,ADV
",",--,PUNCT
Joseph,Joseph,PROPN
aber,aber,ADV
ging,gehen,VERB
am,an,ADP
Morgen,Morgen,NOUN
zur,zu,ADP
Arbeit,Arbeit,NOUN
und,und,CCONJ
kam,kommen,VERB
abends,abends,ADV
wieder,wieder,ADV
.,--,PUNCT
Als,als,SCONJ
ihnen,ihnen,PRON
ein,ein,DET
Sohn,Sohn,NOUN
geschenkt,schenken,VERB
wurde,werden,AUX
",",--,PUNCT
sahen,sehen,VERB
sie,sie,PRON
im,in,ADP
Kalender,Kalender,NOUN
nach,nach,ADP
",",--,PUNCT
und,und,CCONJ
da,da,SCONJ
es,es,PRON
der,der,DET
Tag,Tag,NOUN
des,der,DET
heiligen,heilig,ADJ
Sebastian,Sebastian,PROPN
war,sein,AUX
",",--,PUNCT
gaben,geben,VERB
sie,sie,PRON
ihrem,ihr,DET
Kind,Kind,NOUN
diesen,dieser,DET
Namen,Name,NOUN
.,--,PUNCT
Als,als,SCONJ
dann,dann,ADV
das,der,PRON
kleine,klein,ADJ
Mädchen,Mädchen,NOUN
an,an,ADP
dem,der,DET
Tag,Tag,NOUN
des,der,DET
heiligen,heilig,ADJ
Franziskus,Franzisku,NOUN
geboren,gebären,VERB
wurde,werden,AUX
",",--,PUNCT
hießen,hießen,VERB
sie,sie,PRON
es,es,PRON
Franziska,Franziska,PROPN
",",--,PUNCT
woraus,woraus,ADV
dann,dann,ADV
",",--,PUNCT
nach,nach,ADP
der,der,DET
Sitte,Sitte,NOUN
des,der,DET
Landes,Land,NOUN
",",--,PUNCT
ein,ein,DET
Fränzeli,Fränzeli,NOUN
wurde,werden,AUX
.,--,PUNCT
Die,der,DET
Kinder,Kind,NOUN
waren,sein,AUX
immer,immer,ADV
Afras,Afra,PRON
bestes,bestes,ADJ
Gut,Gut,NOUN
gewesen,sein,AUX
und,und,CCONJ
",",--,PUNCT
seit,seit,SCONJ
sie,sie,PRON
ihren,ihr,DET
Mann,Mann,NOUN
verloren,verlieren,VERB
hatte,haben,AUX
",",--,PUNCT
ihr,ihr,DET
großer,groß,ADJ
Trost,Trost,NOUN
und,und,CCONJ
ihre,ihr,DET
einzige,einzig,ADJ
Freude,Freude,NOUN
auf,auf,ADP
Erden,Erde,NOUN
.,--,PUNCT
Sie,sie,PRON
hielt,halten,VERB
ihre,ihr,DET
Kinder,Kind,NOUN
so,so,ADV
sauber,sauber,ADV
und,und,CCONJ
ordentlich,ordentlich,ADV
",",--,PUNCT
daß,daß,SCONJ
kein,kein,DET
Mensch,Mensch,NOUN
gedacht,denken,VERB
hätte,haben,AUX
",",--,PUNCT
sie,sie,PRON
kämen,kommen,VERB
aus,aus,ADP
dem,der,DET
geringsten,gering,ADJ
Häuschen,Häuschen,NOUN
und,und,CCONJ
gehörten,gehören,VERB
einer,einer,PRON
der,der,DET
ärmsten,arm,ADJ
Frauen,Frau,NOUN
der,der,DET
ganzen,ganz,ADJ
Gegend,Gegend,ADV
.,--,PUNCT
Jeden,jeder,DET
Morgen,Morgen,NOUN
wusch,wusch,VERB
sie,sie,PRON
sie,sie,PRON
mit,mit,ADP
aller,aller,DET
