Token,Lemma,POS
Johanna,Johanna,PROPN
Spyri,Spyri,PROPN
Wie,wie,SCONJ
Wiselis,Wiselis,PROPN
Weg,Weg,NOUN
gefunden,finden,VERB
wird,werden,AUX
Erzählung,Erzählung,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1.,1.,ADJ
Kapitel,Kapitel,NOUN
Auf,auf,ADP
dem,der,DET
Schlittenweg,Schlittenweg,NOUN
Draußen,draußen,ADV
vor,vor,ADP
der,der,DET
Stadt,Stadt,NOUN
Bern,Bern,PROPN
liegt,liegen,VERB
ein,ein,DET
Dörflein,Dörflein,NOUN
an,an,ADP
einem,ein,DET
Berghang,Berghang,NOUN
.,--,PUNCT
Ich,ich,PRON
kann,können,AUX
hier,hier,ADV
nicht,nicht,PART
sagen,sagen,VERB
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
heißt,heißen,VERB
",",--,PUNCT
aber,aber,CCONJ
ich,ich,PRON
will,wollen,AUX
es,es,PRON
ein,ein,DET
wenig,wenig,PRON
beschreiben,beschreiben,VERB
.,--,PUNCT
Wer,wer,PRON
dann,dann,ADV
dahinkommt,dahinkommen,VERB
",",--,PUNCT
der,der,PRON
kann,können,AUX
es,es,PRON
gleich,gleich,ADV
erkennen,erkennen,VERB
.,--,PUNCT
Oben,oben,ADV
auf,auf,ADP
der,der,DET
Anhöhe,Anhöhe,NOUN
steht,stehen,VERB
ein,ein,DET
einzelnes,einzeln,ADJ
Haus,Haus,NOUN
mit,mit,ADP
einem,ein,DET
Garten,Garten,NOUN
daran,daran,ADV
",",--,PUNCT
voll,voll,ADP
schöner,schön,ADJ
Blumen,Blume,NOUN
von,von,ADP
allen,aller,DET
Arten,Art,NOUN
.,--,PUNCT
Das,der,DET
gehört,gehören,VERB
dem,der,DET
Oberst,Oberst,NOUN
Ritter,Ritter,NOUN
und,und,CCONJ
heißt,heißen,VERB
Auf,auf,ADP
dem,der,DET
Hang,Hang,NOUN
",",--,PUNCT
.,--,PUNCT
Von,von,ADP
da,da,ADV
geht,gehen,VERB
es,es,PRON
hinunter,hinunter,ADV
.,--,PUNCT
Dann,dann,ADV
stehen,stehen,VERB
auf,auf,ADP
einem,ein,DET
kleinen,klein,ADJ
",",--,PUNCT
ebenen,eben,ADJ
Platz,Platz,NOUN
die,der,DET
Kirche,Kirche,NOUN
und,und,CCONJ
daneben,daneben,ADV
das,der,DET
Pfarrhaus,Pfarrhaus,NOUN
.,--,PUNCT
Dort,dort,ADV
hat,haben,AUX
die,der,DET
Frau,Frau,NOUN
des,der,DET
Obersten,oberer,ADJ
als,als,ADP
Pfarrerstochter,Pfarrerstochter,NOUN
ihre,ihr,DET
fröhliche,fröhlich,ADJ
Kindheit,Kindheit,NOUN
verlebt,verleben,VERB
.,--,PUNCT
Etwas,etwas,ADV
weiter,weiter,ADV
unten,unten,ADV
kommen,kommen,VERB
das,der,DET
Schulhaus,Schulhaus,NOUN
und,und,CCONJ
noch,noch,ADV
einige,einiger,DET
Häuser,Haus,NOUN
",",--,PUNCT
und,und,CCONJ
dann,dann,ADV
steht,stehen,VERB
links,links,ADV
am,an,ADP
Weg,Weg,NOUN
noch,noch,ADV
ein,ein,DET
Häuschen,Häuschen,NOUN
ganz,ganz,ADV
allein,allein,ADV
.,--,PUNCT
Davor,davor,ADV
liegt,liegen,VERB
auch,auch,ADV
ein,ein,DET
Gärtchen,gärtch,NOUN
mit,mit,ADP
ein,ein,DET
paar,paar,DET
Rosen,Rose,NOUN
und,und,CCONJ
ein,ein,DET
paar,paar,DET
Nelken,Nelk,NOUN
und,und,CCONJ
ein,ein,DET
paar,paar,DET
Resedastöckchen,Resedastöckch,NOUN
",",--,PUNCT
daneben,daneben,ADV
aber,aber,ADV
sind,sein,AUX
Beete,Beet,NOUN
mit,mit,ADP
Zichorien,Zichorien,PROPN
und,und,CCONJ
Spinat,Spinat,NOUN
bepflanzt,bepflanzen,VERB
",",--,PUNCT
mit,mit,ADP
einer,ein,DET
niederen,nieder,ADJ
Hecke,Hecke,NOUN
von,von,ADP
Johannisbeersträuchern,Johannisbeersträucher,NOUN
umgeben,umgeben,VERB
.,--,PUNCT
Alles,alle,PRON
ist,sein,AUX
da,da,ADV
immer,immer,ADV
in,in,ADP
bester,gut,ADJ
Ordnung,Ordnung,NOUN
und,und,CCONJ
kein,kein,DET
Unkraut,Unkraut,NOUN
zu,zu,PART
sehen,sehen,VERB
.,--,PUNCT
Dann,dann,ADV
geht,gehen,VERB
der,der,DET
Weg,Weg,NOUN
wieder,wieder,ADV
bergab,bergab,ADV
den,der,DET
ganzen,ganz,ADJ
langen,lang,ADJ
Hang,Hang,NOUN
hinunter,hinunt,ADV
bis,bis,ADP
auf,auf,ADP
die,der,DET
große,groß,ADJ
Straße,Straße,NOUN
",",--,PUNCT
die,der,PRON
an,an,ADP
der,der,DET
Aare,Aare,NOUN
entlang,entlang,ADP
ins,in,ADP
Land,Land,NOUN
hinausführt,hinausführt,VERB
.,--,PUNCT
Dieser,dieser,DET
ganze,ganz,ADJ
lange,lang,ADJ
Hang,Hang,NOUN
bildete,bilden,VERB
zur,zu,ADP
Winterszeit,Winterszeit,NOUN
den,der,DET
herrlichsten,herrlichst,ADJ
Schlittenweg,Schlittenweg,NOUN
",",--,PUNCT
der,der,DET
weit,weit,ADV
und,und,CCONJ
breit,breit,ADV
zu,zu,PART
finden,finden,VERB
war,sein,AUX
.,--,PUNCT
Zehn,zehn,NUM
Minuten,Minute,NOUN
lang,lang,ADV
konnte,können,AUX
man,man,PRON
da,da,ADV
auf,auf,ADP
dem,der,DET
Schlitten,Schlitt,NOUN
sitzen,sitzen,VERB
bleiben,bleiben,VERB
",",--,PUNCT
ohne,ohne,SCONJ
abzusteigen,absteigen,VERB
.,--,PUNCT
Denn,denn,CCONJ
war,sein,AUX
man,man,PRON
vom,von,ADP
Haus,Haus,NOUN
des,der,DET
Obersten,oberer,ADJ
an,an,ADP
bei,bei,ADP
diesem,dieser,DET
ersten,erster,ADJ
",",--,PUNCT
steilen,steil,ADJ
Absatz,Absatz,NOUN
einmal,einmal,ADV
recht,recht,ADV
in,in,ADP
Fahrt,Fahrt,NOUN
gekommen,kommen,VERB
",",--,PUNCT
so,so,ADV
gingen,gehen,VERB
die,der,DET
Schlitten,Schlitten,NOUN
vorwärts,vorwärts,ADV
ohne,ohne,ADP
Nachhilfe,Nachhilfe,NOUN
bis,bis,ADP
hinunter,hinunt,ADV
auf,auf,ADP
die,der,DET
Aarestraße,Aarestraße,PROPN
.,--,PUNCT
Diese,dieser,DET
unvergleichliche,unvergleichlich,ADJ
Schlittenbahn,Schlittenbahn,NOUN
machte,machen,VERB
auch,auch,ADV
das,der,DET
Lebensglück,Lebensglück,NOUN
einer,ein,DET
großen,groß,ADJ
Schar,Schar,PROPN
von,von,ADP
Kindern,Kind,NOUN
aus,aus,ADP
",",--,PUNCT
die,der,PRON
alle,alle,PRON
",",--,PUNCT
sobald,sobald,SCONJ
nur,nur,ADV
die,der,DET
alte,alt,ADJ
Schulstubentür,Schulstubentür,NOUN
sich,sich,PRON
öffnete,öffnen,VERB
",",--,PUNCT
herausstürzten,herausstürzten,NOUN
",",--,PUNCT
ihre,ihr,DET
Schlitten,Schlitten,NOUN
vom,von,ADP
Haufen,Haufen,NOUN
rissen,rissen,VERB
",",--,PUNCT
den,der,PRON
sie,sie,PRON
im,in,ADP
Vorhof,Vorhof,NOUN
bildeten,bilden,VERB
",",--,PUNCT
und,und,CCONJ
mit,mit,ADP
Windeseile,Windeseile,NOUN
zum,zu,ADP
Schlittenweg,Schlittenweg,NOUN
rannten,rannen,VERB
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Stunden,Stunde,NOUN
verflogen,verfliegen,VERB
",",--,PUNCT
man,man,PRON
wußte,wissen,VERB
nicht,nicht,PART
",",--,PUNCT
wie,wie,ADV
.,--,PUNCT
Denn,denn,CCONJ
unten,unten,ADV
am,an,ADP
Berg,Berg,NOUN
war,sein,AUX
man,man,PRON
immer,immer,ADV
so,so,ADV
schnell,schnell,ADV
und,und,CCONJ
beim,bei,ADP
Hinaufsteigen,hinaufsteigen,NOUN
dachte,denken,VERB
man,man,PRON
so,so,ADV
eifrig,eifrig,ADV
ans,an,ADP
nächste,nächster,ADJ
Hinunterfahren,Hinunterfahr,NOUN
",",--,PUNCT
daß,daß,SCONJ
man,man,PRON
rasch,rasch,ADV
wieder,wieder,ADV
oben,oben,ADV
war,sein,AUX
.,--,PUNCT
So,so,ADV
brach,brechen,VERB
immer,immer,ADV
zum,zu,ADP
großen,groß,ADJ
Schrecken,Schrecken,NOUN
der,der,DET
Kinder,Kind,NOUN
die,der,DET
Nacht,Nacht,NOUN
viel,viel,ADV
zu,zu,PART
früh,früh,ADV
herein,herein,ADV
",",--,PUNCT
denn,denn,CCONJ
dies,dieser,PRON
war,sein,AUX
die,der,DET
Zeit,Zeit,NOUN
",",--,PUNCT
da,da,SCONJ
fast,fast,ADV
alle,alle,PRON
nach,nach,ADP
Hause,Haus,NOUN
gehen,gehen,VERB
mußten,müssen,AUX
.,--,PUNCT
Da,da,ADV
folgte,folgen,VERB
dann,dann,ADV
gewöhnlich,gewöhnlich,ADV
noch,noch,ADV
ein,ein,DET
ziemlich,ziemlich,ADV
stürmisches,stürmisch,ADJ
Ende,Ende,NOUN
",",--,PUNCT
denn,denn,CCONJ
da,da,ADV
wollte,wollen,AUX
man,man,PRON
schnell,schnell,ADV
noch,noch,ADV
einmal,einmal,ADV
fahren,fahren,VERB
und,und,CCONJ
dann,dann,ADV
noch,noch,ADV
einmal,einmal,ADV
und,und,CCONJ
dann,dann,ADV
nur,nur,ADV
noch,noch,ADV
ein,ein,DET
einziges,einzig,ADJ
Mal,Mal,NOUN
.,--,PUNCT
Und,und,CCONJ
so,so,ADV
mußte,müssen,AUX
dann,dann,ADV
alles,alle,PRON
noch,noch,ADV
in,in,ADP
größter,groß,ADJ
Eile,Eile,NOUN
zugehen,zugehen,VERB
",",--,PUNCT
das,der,DET
Aufsitzen,aufsitzen,NOUN
und,und,CCONJ
das,der,DET
Abfahren,abfahren,NOUN
und,und,CCONJ
wieder,wieder,ADV
die,der,DET
Rückkehr,Rückkehr,NOUN
den,der,DET
Berg,Berg,NOUN
hinauf,hinauf,ADV
.,--,PUNCT
Da,da,ADV
war,sein,AUX
auch,auch,ADV
ein,ein,DET
Gesetz,Gesetz,NOUN
errichtet,errichten,VERB
worden,werden,AUX
",",--,PUNCT
daß,daß,SCONJ
keiner,keiner,PRON
hinunterfahren,hinunterfahren,VERB
sollte,sollen,AUX
",",--,PUNCT
während,während,SCONJ
die,der,DET
anderen,anderer,PRON
hinaufstiegen,Hinaufstieg,NOUN
",",--,PUNCT
sondern,sondern,CCONJ
hintereinander,hintereinander,ADV
sollten,sollen,AUX
alle,aller,PRON
abfahren,abfahren,VERB
und,und,CCONJ
miteinander,miteinander,ADV
alle,alle,PRON
zurückkehren,zurückkehren,VERB
",",--,PUNCT
damit,damit,ADV
kein,kein,DET
Gedränge,Gedränge,NOUN
und,und,CCONJ
Schlittenverwickelungen,Schlittenverwickelunge,NOUN
entstehen,entstehen,VERB
könnten,können,AUX
.,--,PUNCT
Manchmal,manchmal,ADV
aber,aber,ADV
gab,geben,VERB
es,es,PRON
doch,doch,ADV
allerlei,allerlei,DET
ungesetzliche,ungesetzlich,ADJ
Verwirrungen,Verwirrung,NOUN
",",--,PUNCT
besonders,besonders,ADV
auf,auf,ADP
diesen,dieser,DET
drangvollen,drangvoll,ADJ
Schlußfahrten,Schlußfahrt,NOUN
",",--,PUNCT
da,da,SCONJ
dann,dann,ADV
keiner,keiner,PRON
zuletzt,zuletzt,ADV
sein,sein,AUX
