Token,Lemma,POS
Johannes,Johannes,PROPN
Scherr,Scherr,NOUN
Die,der,DET
Tochter,Tochter,NOUN
der,der,DET
Luft,Luft,NOUN
Erstes,erster,ADJ
Buch,Buch,NOUN
.,--,PUNCT
Ort,Ort,NOUN
",",--,PUNCT
Zeit,Zeit,NOUN
und,und,CCONJ
Personen,Person,NOUN
der,der,DET
Handlung,Handlung,NOUN
.,--,PUNCT
Servus,Servus,PROPN
Ostiarius,Ostiarius,PROPN
:,--,PUNCT
Guten,gut,ADJ
Morgen,Morgen,NOUN
Herr,Herr,NOUN
!,--,PUNCT
Wünsche,Wunsch,NOUN
",",--,PUNCT
wohl,wohl,ADV
geruht,ruhen,VERB
zu,zu,PART
haben,haben,AUX
",",--,PUNCT
Herr,Herr,NOUN
!,--,PUNCT
Und,und,CCONJ
da,da,ADV
draußen,draußen,ADV
",",--,PUNCT
Herr,Herr,NOUN
",",--,PUNCT
steht,stehen,VERB
ein,ein,DET
Schock,Schock,NOUN
Personen,Person,NOUN
",",--,PUNCT
Herren,Herr,NOUN
und,und,CCONJ
aufwarten,aufwarten,VERB
möchten,möchten,AUX
.,--,PUNCT
Dominus,Dominus,NOUN
Publicus,Publicus,NOUN
:,--,PUNCT
Nur,nur,ADV
herein,herein,ADV
mit,mit,ADP
ihnen,ihnen,PRON
!,--,PUNCT
Vielleicht,vielleicht,ADV
sind,sein,AUX
Leute,Leute,NOUN
darunter,darunter,ADV
",",--,PUNCT
die,der,PRON
das,der,PRON
Zeug,Zeug,NOUN
dazu,dazu,ADV
haben,haben,VERB
",",--,PUNCT
mir,mir,PRON
für,für,ADP
ein,ein,DET
Stündchen,Stündchen,NOUN
die,der,DET
Langeweile,Langeweile,NOUN
zu,zu,PART
vertreiben,vertreiben,VERB
.,--,PUNCT
Verschollenes,Verschollenes,ADJ
Stück,Stück,NOUN
.,--,PUNCT
1.,1.,ADJ
»,--,PUNCT
O,O,NOUN
",",--,PUNCT
wie,wie,ADV
ist,sein,AUX
es,es,PRON
schön,schön,ADV
und,und,CCONJ
lieblich,lieblich,ADV
",",--,PUNCT
wenn,wenn,SCONJ
Brüder,Bruder,NOUN
einträchtiglich,einträchtiglich,ADV
mitsammen,mitsammen,VERB
wohnen,wohnen,VERB
!,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Gottlob,Gottlob,PROPN
!,--,PUNCT
es,es,PRON
gibt,geben,VERB
auf,auf,ADP
deutscher,deutsch,ADJ
Erde,Erde,NOUN
