Token,Lemma,POS
Johannes,Johannes,PROPN
Scherr,Scherr,NOUN
Werther-Graubart,Werther-Graubart,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I.,I.,ADJ
Exposition,Exposition,NOUN
.,--,PUNCT
1.,1.,ADJ
Propst,Propst,NOUN
Fabian,Fabian,PROPN
an,an,ADP
Gertrud,Gertrud,PROPN
Hartwig-Hellmuth,Hartwig-Hellmuth,PROPN
.,--,PUNCT
X.,X.,X
1.,1.,ADJ
März,März,NOUN
1870.,1870.,NOUN
Liebes,Liebe,ADJ
Kind,Kind,NOUN
!,--,PUNCT
Ich,ich,PRON
kann,können,AUX
Dir,dir,PRON
nicht,nicht,PART
länger,lang,ADV
verbergen,verbergen,VERB
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
Deines,Deines,DET
Vaters,Vater,NOUN
wegen,wegen,ADP
in,in,ADP
Unruhe,Unruhe,NOUN
bin,sein,AUX
.,--,PUNCT
Sein,sein,DET
letzter,letzter,ADJ
Brief,Brief,NOUN
an,an,ADP
mich,mich,PRON
war,sein,AUX
datiert,datieren,VERB
»,--,PUNCT
Tahiti,Tahiti,PROPN
",",--,PUNCT
25.,25.,ADJ
Februar,Februar,NOUN
1869.,1869.,NUM
«,--,PUNCT
Er,er,PRON
wollte,wollen,AUX
von,von,ADP
dort,dort,ADV
",",--,PUNCT
wie,wie,SCONJ
Du,du,PRON
