Token,Lemma,POS
Bjarne,Bjarne,PROPN
P.,P.,PROPN
Holmsen,Holmsen,PROPN
(,--,PUNCT
Johannes,Johannes,PROPN
Schlaf,Schlaf,PROPN
",",--,PUNCT
Arno,Arno,PROPN
Holz,Holz,PROPN
),--,PUNCT
Papa,Papa,NOUN
Hamlet,Hamlet,PROPN
Uebersetzt,uebersetzt,ADV
und,und,CCONJ
mit,mit,ADP
einer,ein,DET
Einleitung,Einleitung,NOUN
versehen,versehen,VERB
von,von,ADP
Dr.,Dr.,NOUN
Bruno,Bruno,PROPN
Franzius,Franzius,PROPN
.,--,PUNCT
(,--,PUNCT
Johannes,Johannes,PROPN
Schlaf,Schlaf,PROPN
",",--,PUNCT
Arno,Arno,PROPN
Holz,Holz,PROPN
),--,PUNCT
1889,1889,NUM
Einleitung,Einleitung,NOUN
Bei,bei,ADP
dem,der,DET
in,in,ADP
jüngster,jung,ADJ
Zeit,Zeit,NOUN
namentlich,namentlich,ADV
auch,auch,ADV
durch,durch,ADP
die,der,DET
Erfolge,Erfolg,NOUN
Ibsens,Ibsen,PROPN
noch,noch,ADV
so,so,ADV
gesteigerten,gesteigert,ADJ
Interesse,Interesse,NOUN
",",--,PUNCT
das,der,PRON
man,man,PRON
seit,seit,ADP
ungefähr,ungefähr,ADV
einem,ein,DET
Jahrzehnt,Jahrzehnt,NOUN
der,der,DET
jungen,junge,ADJ
",",--,PUNCT
kräftig,kräftig,ADV
aufstrebenden,aufstrebend,ADJ
norwegischen,norwegisch,ADJ
Literatur,Literatur,NOUN
in,in,ADP
fast,fast,ADV
allen,aller,DET
Kulturländern,Kulturländ,NOUN
entgegenbringt,entgegenbringen,VERB
",",--,PUNCT
habe,haben,AUX
ich,ich,PRON
es,es,PRON
für,für,ADP
eine,ein,DET
nicht,nicht,PART
undankbare,undankbar,ADJ
Aufgabe,Aufgabe,NOUN
gehalten,halten,VERB
",",--,PUNCT
meinen,meinen,VERB
deutschen,deutsch,ADJ
Landsleuten,Landsleuter,NOUN
endlich,endlich,ADV
auch,auch,ADV
einen,ein,DET
Autor,Autor,NOUN
zugänglich,zugänglich,ADV
zu,zu,PART
machen,machen,VERB
",",--,PUNCT
dessen,der,DET
Schöpfungen,Schöpfung,NOUN
",",--,PUNCT
obwohl,obwohl,SCONJ
zur,zu,ADP
Zeit,Zeit,NOUN
auch,auch,ADV
in,in,ADP
ihrer,ihr,DET
norwegischen,norwegisch,ADJ
Heimat,Heimat,NOUN
noch,noch,ADV
lange,lange,ADV
nicht,nicht,PART
nach,nach,ADP
Gebühr,Gebühr,NOUN
gewürdigt,würdigen,VERB
",",--,PUNCT
doch,doch,CCONJ
sicher,sicher,ADV
danach,danach,ADV
angetan,antun,VERB
sind,sein,AUX
",",--,PUNCT
in,in,ADP
naher,nah,ADJ
Zukunft,Zukunft,NOUN
die,der,DET
allgemeine,allgemein,ADJ
Aufmerksamkeit,Aufmerksamkeit,NOUN
auf,auf,ADP
ihn,ihn,PRON
zu,zu,PART
lenken,lenken,VERB
.,--,PUNCT
Dieser,dieser,DET
Autor,Autor,NOUN
ist,sein,AUX
Bjarne,Bjarn,PROPN
Peter,Peter,PROPN
