Token,Lemma,POS
Joseph,Joseph,PROPN
Schreyvogel,Schreyvogel,PROPN
Samuel,Samuel,PROPN
Brinks,Brinks,PROPN
letzte,letzter,ADJ
Liebesgeschichte,Liebesgeschicht,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
1.,1.,ADV
»,--,PUNCT
Die,der,DET
Achse,Achse,NOUN
hält,halten,VERB
den,der,DET
Weg,Weg,NOUN
noch,noch,ADV
zweimal,zweimal,ADV
aus,aus,ADP
«,--,PUNCT
",",--,PUNCT
schrie,schreien,VERB
Paul,Paul,PROPN
",",--,PUNCT
»,--,PUNCT
macht,machen,VERB
nur,nur,ADV
den,der,DET
Riemen,Riem,NOUN
geschwind,geschwind,ADV
zurecht,zurecht,ADV
",",--,PUNCT
daß,daß,SCONJ
wir,wir,PRON
fortkommen,fortkommen,VERB
!,--,PUNCT
«,--,PUNCT
–,--,PUNCT
»,--,PUNCT
Ei,Ei,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
er,er,PRON
's,'s,PRON
besser,gut,ADV
versteht,verstehen,VERB
«,--,PUNCT
",",--,PUNCT
brummte,brummn,VERB
der,der,DET
Schmied,Schmied,NOUN
",",--,PUNCT
»,--,PUNCT
meinetwegen,meinetwegen,ADV
!,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Was,was,PRON
gibts,gibts,ADV
denn,denn,ADV
",",--,PUNCT
Paul,Paul,PROPN
?,--,PUNCT
«,--,PUNCT
sagte,sagen,VERB
ich,ich,PRON
",",--,PUNCT
aus,aus,ADP
der,der,DET
Kalesche,Kalesche,NOUN
