Token,Lemma,POS
Joseph,Joseph,PROPN
Seligmann,Seligmann,PROPN
Kohn,Kohn,NOUN
Der,der,DET
jüdische,jüdisch,ADJ
Gil,Gil,PROPN
Blas,Blas,PROPN
(,--,PUNCT
1834,1834,NUM
),--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
Ein,ein,DET
paar,paar,DET
Worte,Wort,NOUN
über,über,ADP
die,der,DET
Gil,Gil,PROPN
Blas-Literatur,Blas-Literatur,NOUN
Vorwort,Vorwort,NOUN
an,an,ADP
die,der,DET
jüdischen,jüdisch,ADJ
Leser,Leser,NOUN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
Womit,womit,SCONJ
meine,mein,DET
Lebensgeschichte,Lebensgeschichte,NOUN
eingeleitet,einleiten,VERB
wird,werden,AUX
Zweites,Zweites,ADJ
Kapitel,Kapitel,NOUN
Portraits,Portrait,PROPN
Rabbi,Rabbi,NOUN
Zalels,Zalel,PROPN
und,und,CCONJ
seiner,sein,DET
Ehehälfte,Ehehälft,NOUN
Drittes,dritter,ADJ
Kapitel,Kapitel,NOUN
Schwänke,Schwänke,NOUN
Viertes,Viertes,ADJ
Kapitel,Kapitel,NOUN
Thomar,Thomar,PROPN
verkehrt,verkehren,VERB
Fünftes,Fünftes,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Familie,Familie,NOUN
Spiegel,Spiegel,PROPN
Sechstes,Sechstes,ADJ
Kapitel,Kapitel,NOUN
Der,der,DET
Familienzwist,Familienzwist,NOUN
Siebentes,Siebent,ADJ
Kapitel,Kapitel,NOUN
Bilder,Bild,NOUN
aus,aus,ADP
dem,der,DET
Prager,Prager,ADJ
Tandelmarkte,Tandelmarkt,NOUN
Achtes,Acht,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Ladendienerinnen,Ladendienerin,NOUN
Neuntes,Neuntes,ADJ
Kapitel,Kapitel,NOUN
Der,der,DET
Pilsner,Pilsner,ADJ
Jahrmarkt,Jahrmarkt,PROPN
Zehntes,Zehntes,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Anklage,Anklage,NOUN
Elftes,elft,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Sterbestunde,Sterbestunde,NOUN
Zwölftes,Zwölft,ADJ
Kapitel,Kapitel,NOUN
Das,der,DET
Leichenbegängniß,Leichenbegängniß,NOUN
Dreizehntes,Dreizehntes,ADJ
Kapitel,Kapitel,NOUN
Meine,mein,DET
Reise,Reise,NOUN
nach,nach,ADP
Ungarn,Ungarn,PROPN
Vierzehntes,Vierzehntes,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Wegemauth-Verpachtung,Wegemauth-Verpachtung,NOUN
Fünfzehntes,Fünfzehnt,ADJ
Kapitel,Kapitel,NOUN
Das,der,DET
Judenamt,Judenamt,NOUN
in,in,ADP
Wien,Wien,PROPN
Sechszehntes,Sechszehntes,ADJ
Kapitel,Kapitel,NOUN
Freitag-Nachts-Idyll,Freitag-Nachts-Idyll,PROPN
Vorletztes,Vorletztes,ADJ
Kapitel,Kapitel,NOUN
Rabbi,Rabbi,NOUN
Feibisch,Feibisch,NOUN
–,--,PUNCT
Meinungen,Meinung,NOUN
über,über,ADP
den,der,DET
jüdischen,jüdisch,ADJ
Cultus-Tempel,Cultus-Tempel,NOUN
in,in,ADP
Wien,Wien,PROPN
",",--,PUNCT
und,und,CCONJ
die,der,PRON
Zweckmäßigkeit,Zweckmäßigkeit,NOUN
des,der,DET
daselbst,daselbst,ADV
eingeführten,eingeführt,ADJ
Gottesdienstes,Gottesdienst,NOUN
in,in,ADP
deutscher,deutsch,ADJ
Sprache,Sprache,NOUN
Letztes,letzter,ADJ
Kapitel,Kapitel,NOUN
Die,der,DET
Vermählung,Vermählung,NOUN
–,--,PUNCT
Das,der,DET
Adels-Diplom,Adels-Diplom,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Ein,ein,DET
paar,paar,DET
Worte,Wort,NOUN
über,über,ADP
die,der,DET
Gil,Gil,PROPN
Blas-Literatur,Blas-Literatur,NOUN
Der,der,DET
spanische,spanisch,ADJ
Stammvater,Stammvater,NOUN
des,der,DET
Gil,Gil,PROPN
Blas,Blas,PROPN
",",--,PUNCT
welchen,welcher,SCONJ
das,der,DET
gebildete,gebildet,ADJ
Europa,Europa,PROPN
nur,nur,ADV
aus,aus,ADP
der,der,DET
französischen,französisch,ADJ
Umarbeitung,Umarbeitung,NOUN
des,der,DET
genialen,genial,ADJ
Sittenmalers,Sittenmaler,NOUN
le,le,X
Sage,Sage,NOUN
bewundern,bewundern,VERB
zu,zu,ADP
können,können,AUX
",",--,PUNCT
Gelegenheit,Gelegenheit,NOUN
erhielt,erhalten,VERB
",",--,PUNCT
hatte,haben,AUX
diese,dieser,DET
ungewöhnlich,ungewöhnlich,ADV
günstige,günstig,ADJ
Aufnahme,Aufnahme,NOUN
",",--,PUNCT
weniger,weniger,ADV
einem,ein,DET
planmäßigen,planmäßig,ADJ
Bau,Bau,NOUN
des,der,DET
Sujets,Sujet,NOUN
und,und,CCONJ
der,der,DET
mit,mit,ADP
diesem,dieser,DET
verzweigten,verzweigter,ADJ
Episoden,Episode,NOUN
",",--,PUNCT
(,--,PUNCT
wie,wie,SCONJ
dies,dieser,PRON
an,an,ADP
Fieldings,Fielding,NOUN
und,und,CCONJ
Smollets,Smollet,NOUN
Meisterwerken,Meisterwerke,NOUN
gelobt,loben,VERB
werden,werden,AUX
muß,müssen,AUX
",",--,PUNCT
),--,PUNCT
als,als,ADP
der,der,DET
bunten,bunt,ADJ
Schilderung,Schilderung,NOUN
des,der,DET
spanischen,spanisch,ADJ
Volkslebens,Volksleben,NOUN
und,und,CCONJ
der,der,DET
verschiedenen,verschieden,ADJ
Stände,ständ,NOUN
nach,nach,ADP
ihren,ihr,DET
mannigfaltigen,mannigfaltig,ADJ
Abstufungen,Abstufunge,NOUN
",",--,PUNCT
zu,zu,PART
verdanken,verdanken,VERB
.,--,PUNCT
Die,der,DET
bequeme,bequem,ADJ
Memoirenform,Memoirenform,NOUN
",",--,PUNCT
in,in,ADP
welche,welcher,PRON
jener,jener,DET
Roman,Roman,NOUN
gegossen,gegossen,VERB
ist,sein,AUX
",",--,PUNCT
lockte,locken,VERB
das,der,DET
Heer,Heer,NOUN
der,der,DET
Nachahmer,Nachahmer,NOUN
in,in,ADP
Frankreich,Frankreich,PROPN
und,und,CCONJ
andern,anderer,ADJ
Ländern,Land,NOUN
.,--,PUNCT
Es,es,PRON
entstand,entstehen,VERB
»,--,PUNCT
Henry,Henry,PROPN
Lencon,Lencon,PROPN
",",--,PUNCT
der,der,PRON
französische,französisch,ADJ
Gil,Gil,PROPN
Blas,Blas,PROPN
«,--,PUNCT
;,--,PUNCT
ihm,ihm,PRON
folgte,folgen,VERB
»,--,PUNCT
der,der,DET
englische,englisch,ADJ
Gil,Gil,PROPN
Blas,Blas,PROPN
«,--,PUNCT
(,--,PUNCT
den,der,PRON
ich,ich,PRON
jedoch,jedoch,ADV
nur,nur,ADV
aus,aus,ADP
einer,ein,DET
französischen,französisch,ADJ
Uebersetzung,Uebersetzung,NOUN
kenne,kennen,VERB
),--,PUNCT
.,--,PUNCT
»,--,PUNCT
Les,Les,PROPN
trois,trois,PROPN
Gil,Gil,PROPN
Blas,Blas,PROPN
«,--,PUNCT
",",--,PUNCT
ein,ein,DET
anderes,anderer,ADJ
Glied,Glied,NOUN
dieser,dieser,DET
Familie,Familie,NOUN
",",--,PUNCT
trat,treten,VERB
1802,1802,NUM
zu,zu,ADP
Paris,Paris,PROPN
ins,in,ADP
Leben,Leben,NOUN
.,--,PUNCT
Man,man,PRON
begnügte,begnügen,VERB
sich,sich,PRON
jetzt,jetzt,ADV
nicht,nicht,PART
mehr,mehr,ADV
",",--,PUNCT
die,der,DET
Gil,Gil,PROPN
Blas-Form,Blas-Form,PROPN
zum,zu,ADP
Rahmen,Rahmen,NOUN
eines,ein,DET
Nationalgemäldes,Nationalgemäld,NOUN
zu,zu,PART
verwenden,verwenden,VERB
",",--,PUNCT
sondern,sondern,CCONJ
auch,auch,ADV
einzelne,einzeln,ADJ
