Token,Lemma,POS
Joseph,Joseph,PROPN
von,von,ADP
Eichendorff,Eichendorff,PROPN
Aus,aus,ADP
dem,der,DET
Leben,Leben,NOUN
eines,ein,DET
Taugenichts,Taugenicht,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
ERSTES,ERSTES,PROPN
KAPITEL,KAPITEL,NOUN
Das,der,DET
Rad,Rad,NOUN
an,an,ADP
meines,mein,DET
Vaters,Vater,NOUN
Mühle,Mühle,NOUN
brauste,brausten,VERB
und,und,CCONJ
rauschte,rauschen,VERB
schon,schon,ADV
wieder,wieder,ADV
recht,recht,ADV
lustig,lustig,ADV
",",--,PUNCT
der,der,DET
Schnee,Schnee,NOUN
tröpfelte,tröpfelen,VERB
emsig,emsig,ADV
vom,von,ADP
Dache,Dach,NOUN
",",--,PUNCT
die,der,DET
Sperlinge,Sperling,NOUN
zwitscherten,zwitscherten,VERB
und,und,CCONJ
tummelten,Tummelt,VERB
sich,sich,PRON
dazwischen,dazwischen,ADV
;,--,PUNCT
ich,ich,PRON
saß,sitzen,VERB
auf,auf,ADP
der,der,DET
Türschwelle,Türschwelle,NOUN
und,und,CCONJ
wischte,wischen,VERB
mir,mir,PRON
den,der,DET
Schlaf,Schlaf,NOUN
aus,aus,ADP
den,der,DET
Augen,Auge,NOUN
;,--,PUNCT
mir,mir,PRON
war,sein,AUX
so,so,ADV
recht,recht,ADV
wohl,wohl,ADV
in,in,ADP
dem,der,DET
warmen,warm,ADJ
Sonnenscheine,Sonnenscheine,NOUN
.,--,PUNCT
Da,da,ADV
trat,treten,VERB
der,der,DET
Vater,Vater,NOUN
aus,aus,ADP
dem,der,DET
Hause,Haus,NOUN
;,--,PUNCT
er,er,PRON
hatte,haben,AUX
schon,schon,ADV
seit,seit,ADP
Tagesanbruch,Tagesanbruch,NOUN
in,in,ADP
der,der,DET
Mühle,Mühle,NOUN
rumort,Rumort,VERB
und,und,CCONJ
die,der,PRON
Schlafmütze,Schlafmütze,NOUN
schlief,schlaufen,VERB
auf,auf,ADP
dem,der,DET
Kopfe,Kopf,NOUN
",",--,PUNCT
der,der,PRON
sagte,sagen,VERB
zu,zu,ADP
mir,mir,PRON
:,--,PUNCT
Du,du,PRON
Taugenichts,Taugenicht,NOUN
!,--,PUNCT
da,da,SCONJ
sonnst,Sonnst,NOUN
du,du,PRON
dich,dich,PRON
schon,schon,ADV
wieder,wieder,ADV
und,und,CCONJ
dehnst,Dehnst,NOUN
und,und,CCONJ
reckst,recksen,VERB
dir,dir,PRON
die,der,DET
Knochen,Knochen,NOUN
müde,müde,ADV
und,und,CCONJ
läßt,lassen,VERB
mich,mich,PRON
alle,aller,DET
Arbeit,Arbeit,NOUN
allein,allein,ADV
tun,tun,VERB
.,--,PUNCT
Ich,ich,PRON
kann,können,AUX
dich,dich,PRON
hier,hier,ADV
nicht,nicht,PART
länger,lang,ADV
füttern,füttern,VERB
.,--,PUNCT
Der,der,DET
Frühling,Frühling,NOUN
ist,sein,AUX
vor,vor,ADP
der,der,DET
Tür,Tür,NOUN
",",--,PUNCT
geh,geh,VERB
auch,auch,ADV
einmal,einmal,ADV
hinaus,hinaus,ADP
in,in,ADP
die,der,DET
Welt,Welt,NOUN
und,und,CCONJ
erwirb,erwirb,ADV
dir,dir,PRON
selber,selber,ADV
dein,dein,ADV
Brot,Brot,NOUN
.,--,PUNCT
–,--,PUNCT
Nun,nun,ADV
",",--,PUNCT
sagte,sagen,VERB
ich,ich,PRON
",",--,PUNCT
wenn,wenn,SCONJ
ich,ich,PRON
ein,ein,DET
Taugenichts,Taugenichts,NOUN
bin,sein,AUX
",",--,PUNCT
so,so,ADV
ists,ists,ADV
gut,gut,ADV
",",--,PUNCT
so,so,ADV
will,wollen,AUX
ich,ich,PRON
in,in,ADP
die,der,DET
Welt,Welt,NOUN
gehn,gehn,NUM
und,und,CCONJ
mein,mein,DET
Glück,Glück,NOUN
machen,machen,VERB
.,--,PUNCT
Und,und,CCONJ
eigentlich,eigentlich,ADV
war,sein,AUX
mir,mir,PRON
das,der,PRON
recht,Recht,NOUN
lieb,leiben,VERB
",",--,PUNCT
denn,denn,CCONJ
es,es,PRON
war,sein,AUX
mir,mir,PRON
kurz,kurz,ADV
vorher,vorher,ADV
selber,selber,ADV
eingefallen,einfallen,VERB
",",--,PUNCT
auf,auf,ADP
Reisen,Reise,NOUN
zu,zu,ADP
gehn,gehn,NUM
",",--,PUNCT
da,da,SCONJ
ich,ich,PRON
die,der,PRON
Goldammer,Goldammer,NOUN
",",--,PUNCT
welche,welcher,PRON
im,in,ADP
Herbst,Herbst,NOUN
und,und,CCONJ
Winter,Winter,NOUN
immer,immer,ADV
betrübt,betrüben,VERB
an,an,ADP
unserm,unser,ADP
Fenster,Fenster,NOUN
sang,singen,VERB
:,--,PUNCT
Bauer,Bauer,NOUN
",",--,PUNCT
miet,maten,VERB
mich,mich,PRON
",",--,PUNCT
Bauer,Bauer,NOUN
",",--,PUNCT
miet,maten,VERB
mich,mich,PRON
!,--,PUNCT
nun,nun,ADV
in,in,ADP
der,der,DET
schönen,schön,ADJ
Frühlingszeit,Frühlingszeit,NOUN
wieder,wieder,ADV
ganz,ganz,ADV
stolz,stolz,ADV
und,und,CCONJ
lustig,lustig,ADV
vom,von,ADP
Baume,Baume,NOUN
rufen,rufen,VERB
hörte,hören,VERB
:,--,PUNCT
Bauer,Bauer,NOUN
",",--,PUNCT
behalt,Behalt,VERB
deinen,deinen,DET
Dienst,Dienst,NOUN
!,--,PUNCT
–,--,PUNCT
Ich,ich,PRON
ging,gehen,VERB
also,also,ADV
in,in,ADP
das,der,DET
Haus,Haus,NOUN
hinein,hinein,ADV
und,und,CCONJ
holte,holen,VERB
meine,mein,DET
Geige,Geige,NOUN
",",--,PUNCT
die,der,PRON
ich,ich,PRON
recht,recht,NOUN
artig,artig,ADV
spielte,spielen,VERB
",",--,PUNCT
von,von,ADP
der,der,DET
Wand,Wand,NOUN
",",--,PUNCT
mein,mein,DET
Vater,Vater,NOUN
gab,geben,VERB
mir,mir,PRON
noch,noch,ADV
einige,einiger,DET
Groschen,Groschen,NOUN
mit,mit,ADP
auf,auf,ADP
den,der,DET
