Token,Lemma,POS
Joseph,Joseph,PROPN
von,von,ADP
Eichendorff,Eichendorff,PROPN
Eine,ein,DET
Meerfahrt,Meerfahrt,NOUN
Novelle,Novelle,NOUN
Es,es,PRON
war,sein,AUX
im,in,ADP
Jahre,Jahr,NOUN
1540,1540,NUM
",",--,PUNCT
als,als,SCONJ
das,der,DET
valenzische,valenzisch,ADJ
Schiff,Schiff,NOUN
»,--,PUNCT
Fortuna,Fortuna,PROPN
«,--,PUNCT
die,der,DET
Linie,Linie,NOUN
passierte,passieren,VERB
und,und,CCONJ
nun,nun,ADV
in,in,ADP
den,der,DET
Atlantischen,Atlantischen,PROPN
Ozean,Ozean,PROPN
hinausstach,Hinausstach,PROPN
",",--,PUNCT
der,der,PRON
damals,damals,ADV
noch,noch,ADV
einem,ein,PRON
fabelhaften,fabelhaft,VERB
Wunderreiche,Wunderreiche,NOUN
glich,glich,ADV
",",--,PUNCT
hinter,hinter,ADP
dem,der,PRON
Columbus,Columbus,PROPN
kaum,kaum,ADV
erst,erst,ADV
die,der,DET
blauen,blaue,PRON
Bergesspitzen,Bergesspitze,NOUN
einer,ein,DET
neuen,neu,ADJ
Welt,Welt,NOUN
gezogen,ziehen,VERB
hatte,haben,AUX
.,--,PUNCT
Das,der,DET
Schiff,Schiff,NOUN
hatte,haben,AUX
eben,eben,ADV
nicht,nicht,PART
das,der,PRON
beste,gut,ADJ
Aussehen,Aussehen,NOUN
",",--,PUNCT
der,der,DET
Wind,Wind,NOUN
pfiff,Pfiff,PROPN
wie,wie,ADP
zum,zu,ADP
Spott,Spott,NOUN
durch,durch,ADP
die,der,DET
Löcher,Loch,NOUN
in,in,ADP
den,der,DET
Segeln,Segel,NOUN
",",--,PUNCT
aber,aber,CCONJ
die,der,DET
Mannschaft,Mannschaft,NOUN
",",--,PUNCT
lumpig,lumpig,ADV
",",--,PUNCT
tapfer,Tapfer,ADV
und,und,CCONJ
allezeit,Allezeit,NOUN
vergnügt,vergnügen,VERB
",",--,PUNCT
fragte,fragen,VERB
wenig,wenig,PRON
darnach,darnechen,ADV
",",--,PUNCT
sie,sie,PRON
fuhren,fahren,VERB
immerzu,immerzu,ADV
und,und,CCONJ
wollten,wollen,AUX
mit,mit,ADP
Gewalt,Gewalt,NOUN
neue,neu,ADJ
Länder,Land,NOUN
entdecken,entdecken,VERB
.,--,PUNCT
Nur,nur,ADV
der,der,DET
Schiffshauptmann,Schiffshauptmann,NOUN
Alvarez,Alvarez,PROPN
stand,stehen,VERB
heute,heute,ADV
nachdenklich,nachdenklich,ADV
an,an,ADP
den,der,DET
Mast,Mast,NOUN
gelehnt,lehnen,VERB
",",--,PUNCT
denn,denn,CCONJ
eine,ein,DET
rasche,rasch,ADJ
Strömung,Strömung,NOUN
trieb,treiben,VERB
sie,sie,PRON
unaufhaltsam,unaufhaltsam,ADV
ins,in,ADP
Ungewisse,Ungewisse,NOUN
von,von,ADP
Amerika,Amerika,PROPN
ab,ab,ADP
",",--,PUNCT
wohin,wohin,SCONJ
er,er,PRON
wollte,wollen,VERB
.,--,PUNCT
Von,von,ADP
der,der,DET
Spitze,Spitze,NOUN
des,der,DET
Verdecks,Verdeck,NOUN
aber,aber,ADV
schaute,schaun,VERB
der,der,DET
fröhliche,fröhlich,ADJ
Don,Don,PROPN
Antonio,Antonio,PROPN
tief,tief,ADV
aufatmend,aufatmend,ADV
in,in,ADP
das,der,DET
fremde,fremd,ADJ
Meer,Meer,NOUN
hinaus,hinaus,ADV
",",--,PUNCT
ein,ein,DET
armer,arm,ADJ
Student,Student,NOUN
aus,aus,ADP
Salamanca,Salamanca,PROPN
",",--,PUNCT
der,der,PRON
von,von,ADP
der,der,DET
Schule,Schule,NOUN
neugierig,neugierig,ADV
mitgefahren,mitgefahren,VERB
war,sein,AUX
",",--,PUNCT
um,um,SCONJ
die,der,DET
Welt,Welt,NOUN
zu,zu,PART
sehen,sehen,VERB
.,--,PUNCT
Dabei,dabei,ADV
hatte,haben,AUX
er,er,PRON
heimlich,heimlich,ADV
noch,noch,ADV
die,der,DET
Absicht,Absicht,NOUN
und,und,CCONJ
Hoffnung,Hoffnung,NOUN
",",--,PUNCT
von,von,ADP
seinem,sein,DET
Oheim,Oheim,NOUN
Don,Don,PROPN
Diego,Diego,PROPN
Kunde,Kunde,PROPN
zu,zu,ADP
erhalten,erhalten,VERB
",",--,PUNCT
der,der,PRON
vor,vor,ADP
vielen,vieler,DET
Jahren,Jahr,NOUN
auf,auf,ADP
einer,ein,DET
Seereise,Seereise,NOUN
verschollen,verschollen,VERB
war,sein,AUX
und,und,CCONJ
von,von,ADP
dessen,der,PRON
Schönheit,Schönheit,NOUN
und,und,CCONJ
Tapferkeit,Tapferkeit,NOUN
er,er,PRON
als,als,ADP
Kind,Kind,NOUN
so,so,ADV
viel,viel,PRON
erzählen,erzählen,VERB
gehört,gehören,VERB
",",--,PUNCT
daß,daß,SCONJ
es,es,PRON
noch,noch,ADV
immer,immer,ADV
wie,wie,ADP
ein,ein,DET
Märchen,Märchen,NOUN
in,in,ADP
seiner,sein,DET
Seele,Seele,NOUN
nachhallte,nachhallten,VERB
.,--,PUNCT
–,--,PUNCT
Ein,ein,DET
frischer,frisch,ADJ
Wind,Wind,NOUN
griff,greifen,VERB
unterdessen,unterdessen,ADV
rüstig,rüstig,ADV
in,in,ADP
die,der,DET
geflickten,geflickt,ADJ
Segel,Segel,NOUN
",",--,PUNCT
die,der,PRON
künstlich,künstlich,ADV
geschnitzte,geschnitzt,ADJ
bunte,bunt,ADJ
Glücksgöttin,Glücksgöttin,NOUN
am,an,ADP
Vorderteil,Vorderteil,NOUN
des,der,DET
Schiffes,Schiff,NOUN
glitt,gleiten,VERB
heiter,heit,ADV
über,über,ADP
die,der,DET
Wogen,Woge,NOUN
",",--,PUNCT
den,der,PRON
wandelbaren,wandelbar,ADJ
Tanzboden,Tanzbod,ADJ
Fortunas,Fortuna,NOUN
.,--,PUNCT
Und,und,CCONJ
so,so,ADV
segelten,segelen,VERB
die,der,DET
kühnen,kühn,ADJ
Gesellen,Geselle,NOUN
wohlgemut,Wohlgemut,PROPN
in,in,ADP
die,der,DET
unbekannte,unbekannt,ADJ
Ferne,Ferne,NOUN
hinaus,hinaus,ADV
",",--,PUNCT
aus,aus,ADP
der,der,PRON
ihnen,ihnen,PRON
seltsame,seltsam,ADJ
Abenteuer,Abenteuer,NOUN
",",--,PUNCT
zackiges,zackig,ADJ
Gebirge,Gebirge,NOUN
und,und,CCONJ
stille,still,ADJ
blühende,blühend,ADJ
Inseln,Insel,NOUN
wie,wie,ADP
im,in,ADP
Traume,Traume,NOUN
allmählich,allmählich,ADV
entgegendämmerten,entgegendämmern,VERB
.,--,PUNCT
Schon,schon,ADV
zwei,zwei,NUM
Tage,Tag,NOUN
waren,sein,AUX
sie,sie,PRON
in,in,ADP
derselben,derselbe,DET
Richtung,Richtung,NOUN
fortgesegelt,fortgesegelen,VERB
",",--,PUNCT
ohne,ohne,SCONJ
ein,ein,DET
Land,Land,NOUN
zu,zu,PART
erblicken,erblicken,VERB
",",--,PUNCT
als,als,SCONJ
sie,sie,PRON
unerwartet,unerwartet,ADV
in,in,ADP
den,der,DET
Zauberbann,Zauberbann,NOUN
einer,ein,DET
