Token,Lemma,POS
Josephine,Josephine,NOUN
Gräfin,Gräfin,NOUN
Schwerin,Schwerin,PROPN
Rodanseck,Rodanseck,PROPN
Es,es,PRON
war,sein,AUX
einer,einer,PRON
jener,jener,DET
frischen,frisch,ADJ
",",--,PUNCT
leuchtenden,leuchtend,ADJ
",",--,PUNCT
nordischen,nordisch,ADJ
Wintertage,Wintertage,NOUN
",",--,PUNCT
die,der,PRON
an,an,ADP
Schönheit,Schönheit,NOUN
mit,mit,ADP
so,so,ADV
manchem,mancher,DET
Sommertage,Sommertage,NOUN
wetteifern,wetteifern,VERB
.,--,PUNCT
Ein,ein,DET
lichtblauer,lichtblauer,ADJ
Himmel,Himmel,NOUN
breitete,breiten,VERB
sich,sich,PRON
über,über,ADP
die,der,DET
",",--,PUNCT
in,in,ADP
eine,ein,DET
blendend,blendend,ADV
weiße,weiß,ADJ
Schneedecke,Schneedeck,NOUN
gehüllte,gehüllt,ADJ
Landschaft,Landschaft,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,PRON
Sonne,Sonne,NOUN
blitzte,blitzen,VERB
und,und,CCONJ
flimmerte,flimmeren,VERB
in,in,ADP
den,der,DET
Eiskrystallen,Eiskrystall,NOUN
",",--,PUNCT
die,der,PRON
sich,sich,PRON
an,an,ADP
die,der,DET
Bäume,Baum,NOUN
und,und,CCONJ
Gesträuche,Gesträuche,NOUN
gehängt,hängen,VERB
hatten,haben,AUX
.,--,PUNCT
Es,es,PRON
schien,scheinen,VERB
",",--,PUNCT
als,als,SCONJ
ob,ob,SCONJ
die,der,DET
Natur,Natur,NOUN
die,der,DET
ganze,ganz,ADJ
Fülle,Fülle,NOUN
ihrer,ihr,DET
winterlichen,winterlich,ADJ
Pracht,Pracht,NOUN
über,über,ADP
den,der,DET
Park,Park,NOUN
von,von,ADP
Rodanseck,Rodanseck,PROPN
ergossen,ergossen,VERB
habe,haben,AUX
",",--,PUNCT
der,der,PRON
sich,sich,PRON
weithin,weithin,ADV
",",--,PUNCT
in,in,ADP
tiefer,tief,ADJ
Stille,Stille,NOUN
ausbreitete,ausbreiten,VERB
",",--,PUNCT
als,als,SCONJ
ob,ob,SCONJ
nie,nie,ADV
ein,ein,DET
Menschenfuß,Menschenfuß,NOUN
ihn,ihn,PRON
betreten,betreten,VERB
habe,haben,AUX
.,--,PUNCT
Auch,auch,ADV
