Token,Lemma,POS
Julius,Julius,PROPN
Stinde,Stinder,NOUN
Die,der,DET
Familie,Familie,NOUN
Buchholz,Buchholz,PROPN
.,--,PUNCT
Aus,aus,ADP
dem,der,DET
Leben,Leben,NOUN
der,der,DET
Hauptstadt,Hauptstadt,NOUN
Text,Text,NOUN
der,der,DET
zwanzigsten,zwanzigster,ADJ
Auflage,Auflage,NOUN
.,--,PUNCT
(,--,PUNCT
Berlin,Berlin,PROPN
",",--,PUNCT
1885.,1885.,PUNCT
Verlag,Verlag,NOUN
von,von,ADP
Freund,Freund,NOUN
&,&,CCONJ
Jeckel,Jeckel,NOUN
.,--,PUNCT
),--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
•,•,ADV
Von,von,ADP
Außen,außen,ADV
•,•,ADV
Ein,ein,DET
Geburtstag,Geburtstag,NOUN
•,•,ADV
Musikalischer,Musikalischer,ADJ
Bräutigamsfang,Bräutigamsfang,NOUN
•,•,ADV
Auf,auf,ADP
der,der,DET
Ausstellung,Ausstellung,NOUN
•,•,NOUN
Herr,Herr,NOUN
Buchholz,Buchholz,PROPN
hat,haben,VERB
Zahnschmerzen,Zahnschmerz,NOUN
•,•,ADV
Spukgeschichten,Spukgeschichten,NOUN
•,•,ADV
Bei,bei,ADP
der,der,DET
Sylvester-Bowle,Sylvester-Bowle,PROPN
•,•,ADV
Ein,ein,DET
magnetischer,magnetisch,ADJ
Thee,Thee,NOUN
•,•,ADV
Im,in,ADP
Kremser,Kremser,NOUN
•,•,ADV
Ein,ein,DET
Polterabend,Polterabend,NOUN
in,in,ADP
der,der,DET
dritten,dritter,ADJ
Etage,Etage,NOUN
•,•,ADV
Warum,warum,ADV
wir,wir,PRON
ins,in,ADP
Bad,Bad,NOUN
müssen,müssen,AUX
•,•,PROPN
Badeleben,badeleben,NOUN
•,•,ADV
Wieder,wieder,ADV
ein,ein,DET
Jahresanfang,Jahresanfang,NOUN
•,•,ADV
Herrn,Herr,NOUN
Bergfeldt's,Bergfeldt's,PROPN
Unglück,Unglück,PROPN
•,•,ADV
Der,der,DET
Erstgeborene,Erstgeborene,NOUN
•,•,ADV
Auf,auf,ADP
einen,ein,DET
Löffel,Löffel,NOUN
Suppe,Suppe,NOUN
•,•,ADV
Taufe,Taufe,NOUN
•,•,ADV
Eine,ein,DET
Pfingsttour,Pfingsttour,NOUN
•,•,ADV
Sommerfrische,Sommerfrische,PROPN
•,•,NOUN
Erntefest,Erntefest,PROPN
[,[,PROPN
Kapitel,Kapitel,NOUN
fehlt,fehlen,VERB
],],NOUN
•,•,ADV
Geheimnisse,Geheimnis,NOUN
•,•,PROPN
Emmi's,Emmi,PROPN
Trousseau,Trousseau,PROPN
•,•,ADV
Der,der,DET
letzte,letzter,ADJ
Kaffee,Kaffee,NOUN
•,•,ADV
Auf,auf,ADP
dem,der,DET
Bock,Bock,NOUN
•,•,PROPN
Hochzeit,Hochzeit,NOUN
•,•,ADV
Nach,nach,ADP
der,der,DET
Hochzeit,Hochzeit,NOUN
•,•,ADV
Die,der,DET
erste,erster,ADJ
Gesellschaft,Gesellschaft,NOUN
•,•,PROPN
Onkel,Onkel,NOUN
Fritzens,Fritzen,PROPN
Weihnachten,Weihnachten,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Von,von,ADP
Außen,außen,NOUN
.,--,PUNCT
In,in,ADP
der,der,DET
Landsberger,Landsberger,ADJ
Straße,Straße,NOUN
",",--,PUNCT
welche,welcher,PRON
vom,von,ADP
Alexanderplatz,Alexanderplatz,PROPN
nach,nach,ADP
dem,der,DET
Friedrichshain,Friedrichshain,NOUN
führt,führen,VERB
",",--,PUNCT
und,und,CCONJ
zum,zu,ADP
