Token,Lemma,POS
Julius,Julius,PROPN
Wolff,Wolff,PROPN
Das,der,DET
schwarze,schwarz,ADJ
Weib,Weib,NOUN
Roman,Roman,NOUN
aus,aus,ADP
dem,der,DET
Bauernkriege,Bauernkriege,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Wenn,wenn,SCONJ
man,man,PRON
der,der,DET
ungeheuren,ungeheuer,ADJ
Bewegung,Bewegung,NOUN
gedenkt,gedenken,VERB
",",--,PUNCT
die,der,PRON
in,in,ADP
den,der,DET
zwanziger,zwanziger,ADJ
Jahren,Jahr,NOUN
des,der,DET
sechzehnten,sechzehnen,ADJ
Jahrhunderts,Jahrhundert,NOUN
ganz,ganz,ADV
Deutschland,Deutschland,PROPN
ergriff,ergreifen,VERB
und,und,CCONJ
in,in,ADP
der,der,DET
Geschichte,Geschichte,NOUN
unseres,unser,DET
Volkes,Volk,NOUN
nicht,nicht,PART
ihresgleichen,ihresgleichen,VERB
hat,haben,AUX
",",--,PUNCT
so,so,ADV
reizt,reizen,VERB
ihre,ihr,DET
gewaltige,gewaltig,ADJ
Erscheinung,Erscheinung,NOUN
zu,zu,ADP
dem,der,DET
Wunsche,wunsche,NOUN
",",--,PUNCT
sich,sich,PRON
ihre,ihr,DET
Ursachen,Ursache,NOUN
und,und,CCONJ
dauernden,dauernd,ADJ
Triebkräfte,Triebkräft,NOUN
in,in,ADP
Kürze,Kürze,NOUN
klarzumachen,klarmachen,VERB
.,--,PUNCT
Der,der,DET
Bauernkrieg,Bauernkrieg,NOUN
war,sein,AUX
das,der,DET
blutige,blutig,ADJ
Ende,Ende,NOUN
jener,jener,DET
großen,groß,ADJ
Revolution,Revolution,NOUN
.,--,PUNCT
Was,was,PRON
aber,aber,ADV
war,sein,AUX
ihr,ihr,PRON
Anfang,Anfang,NOUN
?,--,PUNCT
Luthers,Luther,PROPN
über,über,ADP
alle,aller,DET
Maßen,Maße,NOUN
kühnes,kühn,ADJ
Auftreten,auftreten,NOUN
und,und,CCONJ
seine,sein,DET
völlige,völlig,ADJ
Lossagung,Lossagung,NOUN
von,von,ADP
Rom,Rom,PROPN
war,sein,AUX
es,es,PRON
nicht,nicht,PART
.,--,PUNCT
Wohl,wohl,ADV
aber,aber,ADV
gab,geben,VERB
seine,sein,DET
Lehre,Lehre,NOUN
und,und,CCONJ
sein,sein,DET
Walten,Walt,NOUN
und,und,CCONJ
Wirken,wirken,NOUN
mit,mit,ADP
Wort,Wort,NOUN
und,und,CCONJ
Tat,Tat,NOUN
dem,der,DET
in,in,ADP
allen,aller,DET
Schichten,Schicht,NOUN
des,der,DET
Volkes,Volk,NOUN
bereits,bereits,ADV
gärenden,gärend,VERB
und,und,CCONJ
sich,sich,PRON
kundgebenden,kundgebenden,VERB
Drängen,drängen,NOUN
nach,nach,ADP
einer,ein,DET
anderen,anderer,ADJ
Gestaltung,Gestaltung,NOUN
der,der,DET
politischen,politisch,ADJ
und,und,CCONJ
sozialen,sozial,ADJ
Zustände,Zustand,NOUN
einen,ein,DET
neuen,neu,ADJ
",",--,PUNCT
mächtigen,mächtig,ADJ
Anstoß,Anstoß,NOUN
und,und,CCONJ
fügte,fügen,VERB
dem,der,DET
bisher,bisher,ADV
überwiegenden,überwiegend,ADJ
nationalen,national,ADJ
Gedanken,Gedanke,NOUN
das,der,PRON
die,der,DET
Gemüter,Gemüt,NOUN
noch,noch,ADV
viel,viel,ADV
tiefer,tief,ADV
erregende,erregend,ADJ
religiöse,religiös,ADJ
Element,Element,NOUN
hinzu,hinzu,ADV
.,--,PUNCT
Nacheinander,nacheinander,ADV
erprobten,erprobten,VERB
erst,erst,ADV
die,der,DET
Fürsten,Fürst,NOUN
",",--,PUNCT
dann,dann,ADV
die,der,DET
Ritter,Ritter,NOUN
und,und,CCONJ
endlich,endlich,ADV
die,der,DET
Bauern,Bauer,NOUN
ihre,ihr,DET
Kraft,Kraft,NOUN
",",--,PUNCT
an,an,ADP
dem,der,PRON
zur,zu,ADP
Zeit,Zeit,NOUN
Bestehenden,Bestehendo,NOUN
zu,zu,PART
rütteln,rütteln,VERB
und,und,CCONJ
ihre,ihr,DET
staatsrechtliche,staatsrechtlich,ADJ
Stellung,Stellung,NOUN
oder,oder,CCONJ
ihre,ihr,DET
wirtschaftliche,wirtschaftlich,ADJ
Lage,Lage,NOUN
zu,zu,PART
verbessern,verbessern,VERB
.,--,PUNCT
Die,der,DET
anderen,anderer,ADJ
beiden,beide,PRON
Stände,Stand,NOUN
",",--,PUNCT
die,der,DET
Geistlichen,geistliche,NOUN
und,und,CCONJ
die,der,DET
Bürger,Bürger,NOUN
",",--,PUNCT
wurden,werden,AUX
nur,nur,ADV
widerwillig,widerwillig,ADV
in,in,ADP
Mitleidenschaft,Mitleidenschaft,NOUN
gezogen,ziehen,VERB
.,--,PUNCT
Die,der,DET
wenigsten,wenigster,PRON
von,von,ADP
ihnen,ihnen,PRON
beteiligten,beteiligen,VERB
sich,sich,PRON
an,an,ADP
dem,der,DET
kriegerischen,kriegerisch,ADJ
Werke,Werk,NOUN
aus,aus,ADP
eigenem,eigen,ADJ
Antrieb,Antrieb,NOUN
",",--,PUNCT
die,der,PRON
bei,bei,ADP
weitem,weit,ADJ
meisten,meister,PRON
wurden,werden,AUX
erst,erst,ADV
durch,durch,ADP
die,der,DET
Ereignisse,Ereignis,NOUN
dazu,dazu,ADV
gezwungen,zwingen,VERB
.,--,PUNCT
Freilich,freilich,ADV
hatten,haben,AUX
beide,beide,PRON
",",--,PUNCT
die,der,DET
Kleriker,Kleriker,NOUN
und,und,CCONJ
die,der,DET
Städter,Städter,NOUN
",",--,PUNCT
am,an,ADP
wenigsten,wenigster,ADJ
Ursache,Ursache,NOUN
",",--,PUNCT
eine,ein,DET
Änderung,Änderung,NOUN
ihrer,ihr,DET
Lebensverhältnisse,Lebensverhältnis,NOUN
zu,zu,ADP
wünschen,wünschen,VERB
.,--,PUNCT
Doch,doch,CCONJ
fand,finden,VERB
der,der,DET
von,von,ADP
Luther,Luther,PROPN
ausgestreute,ausgestreut,ADJ
Same,Same,NOUN
des,der,DET
Evangeliums,Evangelium,NOUN
gerade,gerade,ADV
bei,bei,ADP
der,der,DET
deutschen,deutsch,ADJ
Bürgerschaft,Bürgerschaft,NOUN
den,der,DET
empfänglichsten,empfänglichst,ADJ
Boden,Boden,NOUN
.,--,PUNCT
Die,der,DET
Fürsten,Fürst,NOUN
strebten,streben,VERB
längst,längst,ADV
nach,nach,ADP
einer,ein,DET
neuen,neu,ADJ
Reichsverfassung,Reichsverfassung,NOUN
",",--,PUNCT
welche,welcher,PRON
die,der,DET
Machtbefugnisse,Machtbefugnis,NOUN
des,der,DET
