Token,Lemma,POS
Julius,Julius,PROPN
von,von,PROPN
Voß,Voß,PROPN
Die,der,DET
Moden,Mode,NOUN
der,der,DET
guten,gut,ADJ
alten,alt,ADJ
Zeit,Zeit,NOUN
Ein,ein,DET
launiges,launig,ADJ
Sittengemälde,Sittengemälde,NOUN
aus,aus,ADP
dem,der,DET
Jahre,Jahr,NOUN
1750,1750,NUM
Der,der,DET
vorliegende,vorliegend,ADJ
Text,Text,NOUN
folgt,folgen,VERB
in,in,ADP
Orthographie,Orthographie,NOUN
und,und,CCONJ
Interpunktion,Interpunktion,NOUN
der,der,DET
Romanausgabe,Romanausgabe,NOUN
aus,aus,ADP
dem,der,DET
Jahre,Jahr,NOUN
1827.,1827.,PUNCT
Herr,Herr,NOUN
Goehl,Goehl,PROPN
war,sein,AUX
ein,ein,DET
ziemlich,ziemlich,ADV
wohlhabender,wohlhabend,ADJ
Kaufmann,Kaufmann,NOUN
zu,zu,ADP
Berlin,Berlin,PROPN
",",--,PUNCT
den,der,PRON
seine,sein,DET
Gattin,Gattin,NOUN
mit,mit,ADP
einem,ein,DET
Sohn,Sohn,NOUN
und,und,CCONJ
einer,ein,DET
Tochter,Tochter,NOUN
beschenkt,beschenken,VERB
hatte,haben,AUX
.,--,PUNCT
Leberecht,Leberecht,ADV
nannten,nennen,VERB
sie,sie,PRON
Jenen,Jener,NOUN
",",--,PUNCT
und,und,CCONJ
hatten,haben,VERB
ihn,ihn,PRON
",",--,PUNCT
nach,nach,ADP
wohlabsolvirter,wohlabsolvirt,ADJ
Unterschule,Unterschule,NOUN
",",--,PUNCT
auf,auf,ADP
die,der,DET
Oberschule,Oberschule,NOUN
–,--,PUNCT
Wolke,Wolke,PROPN
sagte,sagen,VERB
Hochschule,Hochschule,NOUN
und,und,CCONJ
Hoechstschule,Hoechstschule,NOUN
–,--,PUNCT
nach,nach,ADP
Halle,Halle,PROPN
gesandt,gesandt,VERB
",",--,PUNCT
um,um,SCONJ
sich,sich,PRON
zum,zu,ADP
Doktor,Doktor,NOUN
der,der,DET
Arzneigelahrtheit,Arzneigelahrtheit,NOUN
auszubilden,ausbilden,VERB
.,--,PUNCT
Waer,waer,VERB
es,es,PRON
nach,nach,ADP
Herrn,Herr,NOUN
Goehl,Goehl,PROPN
gegangen,gehen,VERB
",",--,PUNCT
haette,haetten,VERB
Leberecht,Leberecht,NOUN
im,in,ADP
vaeterlichen,vaeterlich,ADJ
Tuchladen,Tuchladen,NOUN
Buch,Buch,NOUN
und,und,CCONJ
Elle,Elle,NOUN
gefuehrt,fuehren,VERB
",",--,PUNCT
es,es,PRON
