Token,Lemma,POS
Karl,Karl,PROPN
Gutzkow,Gutzkow,PROPN
Der,der,DET
Zauberer,Zauberer,NOUN
von,von,ADP
Rom,Rom,PROPN
Karl,Karl,PROPN
Gutzkow,Gutzkow,PROPN
:,--,PUNCT
Der,der,DET
Zauberer,Zauberer,NOUN
von,von,ADP
Rom,Rom,PROPN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Inhalt,Inhalt,NOUN
.,--,PUNCT
Vorwort,Vorwort,NOUN
zur,zu,ADP
ersten,erster,ADJ
Auflage,Auflage,NOUN
Vorwort,Vorwort,NOUN
zur,zu,ADP
zweiten,zweiter,ADJ
Auflage,Auflage,NOUN
Erstes,erster,ADJ
Buch,Buch,NOUN
Zweites,Zweites,ADJ
Buch,Buch,NOUN
Drittes,dritter,ADJ
Buch,Buch,NOUN
Viertes,Viertes,ADJ
Buch,Buch,NOUN
Fünftes,Fünftes,ADJ
Buch,Buch,NOUN
Sechstes,Sechstes,ADJ
Buch,Buch,NOUN
Siebentes,Siebent,ADJ
Buch,Buch,NOUN
Achtes,Acht,ADJ
Buch,Buch,NOUN
Neuntes,Neuntes,ADJ
Buch,Buch,NOUN
Vorwort,Vorwort,NOUN
zur,zu,ADP
ersten,erster,ADJ
Auflage,Auflage,NOUN
.,--,PUNCT
Auf,auf,ADP
seiner,sein,DET
Harzesfeste,Harzesfeste,NOUN
jubelte,jubeln,VERB
Heinrich,Heinrich,PROPN
der,der,DET
Löwe,Löwe,PROPN
",",--,PUNCT
als,als,ADP
Friedrich,Friedrich,PROPN
Barbarossa,Barbarossa,PROPN
",",--,PUNCT
wie,wie,ADP
schon,schon,ADV
einmal,einmal,ADV
in,in,ADP
Chiavenna,Chiavenna,PROPN
vor,vor,ADP
ihm,ihm,PRON
selbst,selbst,ADV
",",--,PUNCT
so,so,ADV
in,in,ADP
Venedig,Venedig,PROPN
vor,vor,ADP
Papst,Papst,NOUN
Alexander,Alexander,PROPN
dem,der,DET
Dritten,dritter,PRON
die,der,DET
Kniee,Kniee,PROPN
beugte,beugen,VERB
und,und,CCONJ
der,der,DET
Stellvertreter,Stellvertreter,NOUN
Christi,Christi,PROPN
die,der,DET
Worte,Wort,NOUN
der,der,DET
Schrift,Schrift,NOUN
über,über,ADP
den,der,DET
gedemüthigten,gedemüthigt,ADJ
Kaiser,Kaiser,NOUN
sprechen,sprechen,VERB
durfte,dürfen,AUX
:,--,PUNCT
»,--,PUNCT
Ueber,Ueber,NOUN
Nattern,Natter,NOUN
und,und,CCONJ
Vipern,Viper,NOUN
will,wollen,VERB
ich,ich,PRON
deine,dein,DET
Schritte,Schritt,NOUN
führen,führen,VERB
!,--,PUNCT
«,--,PUNCT
Jetzt,jetzt,ADV
freilich,freilich,ADV
",",--,PUNCT
und,und,CCONJ
in,in,ADP
diesem,dieser,DET
Jahre,Jahr,NOUN
erst,erst,ADV
",",--,PUNCT
sah,sehen,VERB
der,der,DET
Verfasser,Verfasser,NOUN
einen,ein,DET
erlauchten,erlauchter,ADJ
ritterlichen,ritterlich,ADJ
Prinzen,Prinz,NOUN
des,der,DET
österreichischen,österreichisch,ADJ
Kaiserhauses,Kaiserhaus,NOUN
unter,unter,ADP
demselben,derselbe,DET
Baldachin,Baldachin,NOUN
",",--,PUNCT
der,der,PRON
des,der,DET
Patriarchen,Patriarch,ADJ
Haupt,Haupt,NOUN
bedeckte,bedecken,VERB
",",--,PUNCT
in,in,ADP
Venedig,Venedig,PROPN
friedlich,friedlich,ADV
dahinschreiten,dahinschreien,VERB
am,an,ADP
Tage,Tag,NOUN
des,der,DET
Fronleichnam,Fronleichnam,PROPN
.,--,PUNCT
Die,der,DET
schmetternden,schmetternd,ADJ
Klänge,Klang,NOUN
der,der,DET
Hörner,Hörner,NOUN
",",--,PUNCT
Posaunen,Posaune,NOUN
und,und,CCONJ
Ophiklëiden,Ophiklëide,NOUN
der,der,DET
deutschen,deutsch,ADJ
