Token,Lemma,POS
Siebentes,Siebent,ADJ
Bändchen,Bändchen,NOUN
.,--,PUNCT
1,1,NUM
Viertes,Viertes,ADJ
Buch,Buch,NOUN
.,--,PUNCT
3,3,NUM
1.,1.,ADV
An,an,ADP
einem,ein,DET
milden,mild,ADJ
Novemberabend,Novemberabend,NOUN
wurde,werden,AUX
Graf,Graf,NOUN
Truchseß-Gallenberg,Truchseß-Gallenberg,PROPN
mit,mit,ADP
einem,ein,DET
Aufgebot,Aufgebot,NOUN
zahlreicher,zahlreich,ADJ
Truppen,Truppe,NOUN
von,von,ADP
seinem,sein,DET
kirchenfürstlichen,kirchenfürstlich,ADJ
Stuhl,Stuhl,NOUN
entfernt,entfernt,ADV
und,und,CCONJ
gefangen,gefangen,ADV
in,in,ADP
eine,ein,DET
ostwärts,ostwärts,ADV
gelegene,gelegen,ADJ
Festung,Festung,NOUN
geführt,führen,VERB
–,--,PUNCT
mit,mit,ADP
ihm,ihm,PRON
sein,sein,DET
Kaplan,Kaplan,NOUN
und,und,CCONJ
Secretär,Secretär,NOUN
Eduard,Eduard,PROPN
Michahelles,Michahelles,PROPN
.,--,PUNCT
Die,der,DET
gewaltige,gewaltig,ADJ
Entschließung,Entschließung,NOUN
des,der,DET
Landesherrn,Landesherr,NOUN
zu,zu,PART
hindern,hindern,VERB
",",--,PUNCT
hatte,haben,AUX
sich,sich,PRON
keine,kein,DET
Hand,Hand,NOUN
gerührt,rühren,VERB
.,--,PUNCT
Diejenigen,Diejenigen,PRON
",",--,PUNCT
die,der,PRON
sich,sich,PRON
zu,zu,ADP
offnem,offn,ADJ
Widerstande,Widerstand,NOUN
gerüstet,rüsten,VERB
hatten,haben,AUX
für,für,ADP
den,der,DET
Fall,Fall,NOUN
dieses,dieser,DET
längsterwarteten,längsterwartet,ADJ
Schritts,Schritt,NOUN
der,der,DET
Regierung,Regierung,NOUN
",",--,PUNCT
wurden,werden,AUX
an,an,ADP
jenem,jener,DET
Septemberabend,septemberabend,ADV
im,in,ADP
Gasthaus,Gasthaus,NOUN
zum,zu,ADP
Roland,Roland,PROPN
am,an,ADP
Hüneneck,Hüneneck,NOUN
aufgehoben,aufheben,VERB
.,--,PUNCT
Auch,auch,ADV
sie,sie,PRON
befanden,befinden,VERB
sich,sich,PRON
seitdem,seitdem,ADV
schon,schon,ADV
im,in,ADP
Gefängniß,Gefängniß,NOUN
–,--,PUNCT
Stephan,Stephan,PROPN
Lengenich,Lengenich,PROPN
",",--,PUNCT
Joseph,Joseph,PROPN
Zapf,Zapf,PROPN
",",--,PUNCT
ein,ein,DET
Arzt,Arzt,NOUN
",",--,PUNCT
ein,ein,DET
Priester,Priester,NOUN
",",--,PUNCT
einige,einiger,DET
Gemeindevorstände,Gemeindevorständ,NOUN
",",--,PUNCT
Ackerwirthe,Ackerwirthe,PROPN
",",--,PUNCT
Schreiber,Schreiber,PROPN
",",--,PUNCT
Landleute,Landleute,PROPN
–,--,PUNCT
Benno,Benno,PROPN
von,von,ADP
Asselyn,Asselyn,PROPN
war,sein,AUX
durch,durch,ADP
sein,sein,DET
Abenteuer,Abenteuer,NOUN
mit,mit,ADP
Thiebold,Thiebold,PROPN
de,de,PROPN
Jonge,Jonge,PROPN
und,und,CCONJ
Armgart,Armgart,NOUN
von,von,ADP
Hülleshoven,Hülleshoven,NOUN
vor,vor,ADP
diesem,dieser,DET
Schicksal,Schicksal,NOUN
glücklicherweise,glücklicherweise,ADV
bewahrt,bewahren,VERB
geblieben,bleiben,VERB
.,--,PUNCT
Die,der,DET
fortdauernd,fortdauernd,ADV
milde,mild,ADJ
Witterung,Witterung,NOUN
begünstigte,begünstigt,ADJ
dasjenige,dasjenig,ADJ
",",--,PUNCT
was,wer,PRON
Dominicus,Dominicus,PROPN
Nück,Nück,PROPN
»,--,PUNCT
Treppenwitz,Treppenwitz,PROPN
«,--,PUNCT
nannte,nennen,VERB
.,--,PUNCT
Jeden,jeder,DET
Abend,Abend,NOUN
erfolgte,erfolgen,VERB
in,in,ADP
den,der,DET
Straßen,Straße,NOUN
ein,ein,ADV
zu,zu,PART
spät,spät,ADV
kommender,kommend,ADJ
Protest,Protest,NOUN
–,--,PUNCT
Rottirungen,Rottirunge,NOUN
–,--,PUNCT
Zusammenstöße,Zusammenstoß,NOUN
mit,mit,ADP
Patrouillen,Patrouill,NOUN
–,--,PUNCT
einzelne,einzeln,ADJ
Verwundungen,Verwundung,NOUN
–,--,PUNCT
Die,der,DET
Aufregung,Aufregung,NOUN
hatte,haben,AUX
sich,sich,PRON
ganz,ganz,ADV
Deutschland,Deutschland,PROPN
",",--,PUNCT
selbst,selbst,ADV
Europa,Europa,PROPN
mitgetheilt,mitgetheilen,VERB
.,--,PUNCT
Auch,auch,ADV
im,in,ADP
Osten,Osten,NOUN
wurde,werden,AUX
ein,ein,DET
anderer,anderer,ADJ
Erzbischof,Erzbischof,NOUN
von,von,ADP
derselben,derselbe,DET
Regierung,Regierung,NOUN
aufgehoben,aufheben,VERB
.,--,PUNCT
Eine,ein,PRON
wilde,wild,ADJ
Zeit,Zeit,NOUN
.,--,PUNCT
Sie,sie,PRON
entfesselte,entfesselen,VERB
4,4,NUM
Geister,Geist,NOUN
",",--,PUNCT
die,der,PRON
der,der,DET
protestantische,protestantisch,ADJ
Fürst,Fürst,NOUN
nicht,nicht,PART
geahnt,ahnen,VERB
hatte,haben,AUX
und,und,CCONJ
die,der,PRON
ihm,ihm,PRON
nach,nach,ADP
langem,lang,ADJ
glücklichen,glücklich,ADJ
Frieden,Frieden,NOUN
die,der,DET
Ruhe,Ruhe,NOUN
seiner,sein,DET
letzten,letzter,ADJ
Lebensjahre,Lebensjahre,NOUN
verbittern,verbittern,VERB
sollten,sollen,AUX
.,--,PUNCT
Vom,von,ADP
Vatican,Vatican,NOUN
hatte,haben,AUX
»,--,PUNCT
der,der,DET
Knecht,Knecht,NOUN
der,der,DET
Knechte,Knecht,NOUN
«,--,PUNCT
am,an,ADP
10.,10.,ADJ
December,December,NOUN
in,in,ADP
einer,ein,DET
Allocution,Allocution,NOUN
an,an,ADP
die,der,DET
Cardinäle,Cardinal,NOUN
Blitze,Blitz,NOUN
geschleudert,schleudern,VERB
.,--,PUNCT
In,in,ADP
den,der,DET
Landen,Lande,NOUN
",",--,PUNCT
die,der,PRON
zunächst,zunächst,ADV
betheiligt,betheiligen,VERB
waren,sein,AUX
",",--,PUNCT
stockte,stocken,VERB
das,der,PRON
kirchliche,kirchlich,ADJ
Leben,Leben,NOUN
;,--,PUNCT
wie,wie,ADP
Bann,Bann,PROPN
und,und,CCONJ
Interdict,Interdict,NOUN
",",--,PUNCT
wie,wie,SCONJ
ein,ein,DET
Fluch,Fluch,NOUN
über,über,ADP
Feuer,Feuer,NOUN
und,und,CCONJ
Wasser,Wasser,NOUN
lag,liegen,VERB
es,es,PRON
auf,auf,ADP
allen,aller,DET
Handlungen,Handlung,NOUN
der,der,DET
Kirche,Kirche,NOUN
",",--,PUNCT
allen,aller,DET
Weihen,Weihe,NOUN
und,und,CCONJ
Segnungen,Segnung,NOUN
",",--,PUNCT
der,der,PRON
ganzen,ganz,ADJ
geregelten,geregelt,ADJ
Ordnung,Ordnung,NOUN
des,der,DET
Lebens,Leben,NOUN
;,--,PUNCT
der,der,DET
apostolische,apostolisch,ADJ
Stuhl,Stuhl,NOUN
hatte,haben,VERB
keine,kein,DET
Stellvertretung,Stellvertretung,NOUN
des,der,DET
gefangenen,gefangen,ADJ
Kirchenfürsten,Kirchenfürst,NOUN
anerkannt,anerkennen,VERB
;,--,PUNCT
–,--,PUNCT
die,der,DET
geweihte,geweiht,ADJ
Hand,Hand,NOUN
des,der,DET
Priesters,Priester,NOUN
Immanuel,Immanuel,PROPN
fehlte,fehln,VERB
",",--,PUNCT
sie,sie,PRON
",",--,PUNCT
die,der,PRON
allein,allein,ADV
die,der,DET
Fasten,Fast,NOUN
",",--,PUNCT
Ablässe,Abläs,NOUN
",",--,PUNCT
Dispense,Dispense,PROPN
",",--,PUNCT
Consense,Consense,PROPN
ertheilen,ertheilen,VERB
konnte,können,AUX
;,--,PUNCT
rings,Ring,ADV
waren,sein,AUX
die,der,DET
Wege,Weg,NOUN
des,der,DET
Heils,Heil,NOUN
versperrt,versperren,VERB
;,--,PUNCT
niemand,niemand,PRON
besaß,besitzen,VERB
die,der,DET
Vollmachten,Vollmacht,NOUN
Christi,Christi,PROPN
",",--,PUNCT
die,der,PRON
der,der,DET
Schlüssel,Schlüssel,NOUN
Petri,Petri,PROPN
allein,allein,ADV
unter,unter,ADP
Verschluß,Verschluß,NOUN
hält,halten,VERB
.,--,PUNCT
Die,der,PRON
",",--,PUNCT
welche,welcher,PRON
nach,nach,ADP
dem,der,DET
Willen,Wille,NOUN
des,der,DET
Landesherrn,Landesherr,NOUN
den,der,DET
entthronten,entthront,ADJ
Kirchenfürsten,Kirchenfürst,NOUN
zu,zu,PART
ersetzen,ersetzen,VERB
hatten,haben,AUX
",",--,PUNCT
die,der,DET
Kapitel,Kapitel,NOUN
",",--,PUNCT
die,der,PRON
Administratoren,Administratore,NOUN
",",--,PUNCT
geriethen,geriethen,VERB
in,in,ADP
Schwankungen,Schwankung,NOUN
",",--,PUNCT
in,in,ADP
Angst,Angst,NOUN
und,und,CCONJ
Schrecken,Schrecken,NOUN
über,über,ADP
ihre,ihr,DET
vom,von,ADP
Heiligen,heilig,ADJ
Vater,Vater,NOUN
verwirrten,verwirren,VERB
Gewissen,Gewissen,NOUN
.,--,PUNCT
Die,der,DET
Lämmer,Lämmer,NOUN
flohen,fliehen,VERB
vor,vor,ADP
den,der,DET
Hirten,Hirte,NOUN
.,--,PUNCT
Nück,Nück,PROPN
und,und,CCONJ
die,der,DET
Sporenritter,Sporenritter,NOUN
und,und,CCONJ
die,der,DET
Beda,Beda,PROPN
Hunnius,Hunnius,PROPN
riefen,rufen,VERB
ein,ein,DET
Feuerjo,Feuerjo,NOUN
!,--,PUNCT
nach,nach,ADP
dem,der,DET
andern,anderer,PRON
",",--,PUNCT
so,so,ADV
daß,daß,SCONJ
der,der,DET
rothe,roth,ADJ
Hahn,Hahn,NOUN
allen,alle,PRON
Palästen,Palast,NOUN
und,und,CCONJ
Staatskanzleien,Staatskanzleie,NOUN
drohte,drohen,VERB
und,und,CCONJ
das,der,DET
Vaterland,Vaterland,NOUN
in,in,ADP
eine,ein,DET
Spaltung,Spaltung,NOUN
gerieth,gerieth,ADV
",",--,PUNCT
wie,wie,ADP
wenn,wenn,SCONJ
Tilly,Tilly,ADV
wieder,wieder,ADV
vor,vor,ADP
den,der,DET
Thoren,Thor,NOUN
Magdeburgs,Magdeburg,PROPN
stehen,stehen,VERB
sollte,sollen,AUX
.,--,PUNCT
Nück's,Nück',PROPN
»,--,PUNCT
Treppenwitz,Treppenwitz,PROPN
«,--,PUNCT
",",--,PUNCT
seine,sein,DET
zu,zu,PART
spät,spät,ADV
gekommene,gekommen,ADJ
Antwort,Antwort,NOUN
auf,auf,ADP
die,der,DET
kühne,kühn,ADJ
That,That,NOUN
der,der,DET
»,--,PUNCT
Neunmal-Weisen,Neunmal-Weise,NOUN
«,--,PUNCT
",",--,PUNCT
ein,ein,DET
Protest,Protest,NOUN
",",--,PUNCT
der,der,PRON
bei,bei,ADP
alledem,alledem,PRON
von,von,ADP
ihm,ihm,PRON
geleitet,leiten,VERB
wurde,werden,AUX
",",--,PUNCT
hatte,haben,AUX
sich,sich,PRON
nur,nur,ADV
seit,seit,ADP
den,der,DET
Weihnachtstagen,Weihnachtstage,NOUN
und,und,CCONJ
dem,der,DET
Beginn,Beginn,NOUN
des,der,DET
neuen,neu,ADJ
Jahres,Jahr,NOUN
etwas,etwas,PRON
gemildert,mildern,VERB
.,--,PUNCT
Am,an,ADP
Morgen,Morgen,NOUN
nach,nach,ADP
dem,der,DET
heiligen,heilig,ADJ
Dreikönigsabend,Dreikönigsabend,NOUN
hatte,haben,AUX
dann,dann,ADV
auch,auch,ADV
Jodocus,Jodocus,PROPN
Hammaker,Hammaker,PROPN
unter,unter,ADP
dem,der,DET
Messer,Messer,NOUN
der,der,DET
Guillotine,Guillotine,NOUN
geendet,enden,VERB
.,--,PUNCT
Der,der,DET
Mörder,Mörder,NOUN
des,der,DET
Fräuleins,Fräulein,NOUN
Brigitte,Brigitte,PROPN
von,von,ADP
Gülpen,Gülpe,NOUN
",",--,PUNCT
genannt,nennen,VERB
Frau,Frau,NOUN
Hauptmann,Hauptmann,PROPN
von,von,ADP
Buschbeck,Buschbeck,PROPN
",",--,PUNCT
gestand,gestehen,VERB
Dinge,Ding,NOUN
",",--,PUNCT
die,der,PRON
verdrießlich,verdrießlich,ADV
sein,sein,DET
5,5,NUM
mußten,müssen,AUX
für,für,ADP
die,der,DET
Herrschaft,Herrschaft,NOUN
»,--,PUNCT
der,der,DET
Achselklappen,Achselklappe,NOUN
mit,mit,ADP
den,der,DET
numerirten,numerirt,ADJ
Knöpfen,Knöpfe,NOUN
«,--,PUNCT
und,und,CCONJ
der,der,DET
»,--,PUNCT
Avantgarde,Avantgarde,NOUN
des,der,DET
großen,groß,ADJ
Czernebog,Czernebog,NOUN
«,--,PUNCT
.,--,PUNCT
Hammaker,Hammaker,PROPN
sah,sehen,VERB
sich,sich,PRON
vom,von,ADP
Staat,Staat,NOUN
geopfert,opfern,VERB
.,--,PUNCT
So,so,ADV
wollte,wollen,AUX
er,er,PRON
denn,denn,ADV
mit,mit,ADP
der,der,DET
Kirche,Kirche,NOUN
",",--,PUNCT
der,der,PRON
er,er,PRON
nicht,nicht,PART
minder,minder,ADV
gedient,dienen,VERB
hatte,haben,AUX
",",--,PUNCT
im,in,ADP
Frieden,Frieden,NOUN
scheiden,scheiden,VERB
.,--,PUNCT
Nück,Nück,PROPN
vertheidigte,vertheidigen,VERB
ihn,ihn,PRON
.,--,PUNCT
Hammaker,Hammaker,PROPN
dankte,danken,VERB
ihm,ihm,PRON
für,für,ADP
seine,sein,DET
Anstrengung,Anstrengung,NOUN
",",--,PUNCT
ihn,ihn,PRON
vor,vor,ADP
den,der,DET
Assisen,Assi,NOUN
durchzubringen,durchzubringen,VERB
",",--,PUNCT
mit,mit,ADP
manchem,mancher,DET
schmachtenden,schmachtender,ADJ
Blicke,Blick,NOUN
",",--,PUNCT
den,der,PRON
er,er,PRON
aus,aus,ADP
seinem,sein,DET
so,so,ADV
kunstvoll,kunstvoll,ADV
beherrschten,beherrschen,VERB
",",--,PUNCT
doch,doch,CCONJ
verzweiflungsvollen,verzweiflungsvollen,VERB
Auge,Auge,NOUN
auf,auf,ADP
ihn,ihn,PRON
warf,werfen,VERB
",",--,PUNCT
mit,mit,ADP
manchem,mancher,DET
gen,gen,ADP
Himmel,Himmel,NOUN
gerichteten,gerichtet,ADJ
Aufseufzer,Aufseufzer,NOUN
",",--,PUNCT
und,und,CCONJ
nur,nur,ADV
einmal,einmal,ADV
",",--,PUNCT
als,als,SCONJ
ihm,ihm,PRON
Nück,Nück,NOUN
beim,bei,ADP
Plaidiren,Plaidir,NOUN
und,und,CCONJ
gerade,gerade,ADV
seine,sein,DET
Dose,Dose,NOUN
ziehend,ziehend,ADV
schaudernd,schaudernd,ADV
die,der,DET
Prise,Prise,NOUN
verweigerte,verweigern,VERB
",",--,PUNCT
die,der,PRON
von,von,ADP
ihm,ihm,PRON
der,der,DET
Freche,Freche,NOUN
zu,zu,PART
nehmen,nehmen,VERB
begehrte,begehren,VERB
",",--,PUNCT
da,da,ADV
zuckten,zucken,VERB
seine,sein,DET
weißen,weiß,ADJ
Augen,Auge,NOUN
unheimlich,unheimlich,ADV
drohend,drohend,ADV
auf,auf,ADP
–,--,PUNCT
doch,doch,CCONJ
der,der,DET
Agent,Agent,NOUN
beherrschte,beherrschen,VERB
sich,sich,PRON
",",--,PUNCT
schonte,schonen,VERB
alles,alle,PRON
",",--,PUNCT
was,wer,PRON
die,der,DET
eine,einer,PRON
seiner,sein,DET
beiden,beide,DET
Schultern,Schulter,NOUN
getragen,tragen,VERB
hatte,haben,AUX
",",--,PUNCT
die,der,PRON
kirchliche,kirchlichen,VERB
",",--,PUNCT
und,und,CCONJ
nur,nur,ADV
in,in,ADP
seiner,sein,DET
letzten,letzter,ADJ
Beichte,Beicht,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
dem,der,DET
neuen,neu,ADJ
jungen,junge,NOUN
Domherrn,Domherr,NOUN
",",--,PUNCT
Herrn,Herr,NOUN
Bonaventura,Bonaventura,PROPN
von,von,ADP
Asselyn,Asselyn,PROPN
",",--,PUNCT
gesprochen,sprechen,VERB
",",--,PUNCT
mochte,mögen,VERB
er,er,PRON
Rückblicke,Rückblick,NOUN
gegeben,geben,VERB
haben,haben,AUX
auf,auf,ADP
sein,sein,DET
Leben,Leben,NOUN
",",--,PUNCT
Enthüllungen,Enthüllung,NOUN
auch,auch,ADV
über,über,ADP
den,der,DET
Verdacht,Verdacht,NOUN
",",--,PUNCT
ob,ob,SCONJ
er,er,PRON
einst,einst,ADV
wirklich,wirklich,ADV
einen,ein,DET
Mann,Mann,NOUN
hatte,haben,AUX
aufhängen,aufhängen,VERB
wollen,wollen,AUX
",",--,PUNCT
der,der,PRON
ihn,ihn,PRON
jetzt,jetzt,ADV
noch,noch,ADV
einmal,einmal,ADV
",",--,PUNCT
wie,wie,ADV
schon,schon,ADV
früher,früh,ADV
",",--,PUNCT
vertheidigte,vertheidigen,VERB
.,--,PUNCT
Nach,nach,ADP
diesem,dieser,DET
