Token,Lemma,POS
Karl,Karl,PROPN
Gutzkow,Gutzkow,PROPN
Die,der,DET
Nihilisten,Nihilist,NOUN
Eine,ein,DET
Erzählung,Erzählung,NOUN
Erstes,erster,ADJ
Capitel,Capitel,NOUN
Das,der,DET
Recht,Recht,NOUN
der,der,DET
freien,frei,ADJ
Selbstbestimmung,Selbstbestimmung,NOUN
Zweites,Zweites,ADJ
Capitel,Capitel,NOUN
Constantin,Constantin,PROPN
Ulrichs,Ulrichs,PROPN
Drittes,dritter,ADJ
Capitel,Capitel,PROPN
Rechte,Recht,NOUN
und,und,CCONJ
Pflichten,Pflicht,NOUN
Viertes,vierter,ADJ
Capitel,Capitel,PROPN
Frieda,Frieda,PROPN
",",--,PUNCT
das,der,DET
Kind,Kind,NOUN
Gottes,Gott,NOUN
Fünftes,Fünftes,ADJ
Capitel,Capitel,PROPN
Das,der,DET
Pfarrhaus,Pfarrhaus,NOUN
in,in,ADP
Liederbach,Liederbach,PROPN
Sechstes,Sechstes,ADJ
Capitel,Capitel,NOUN
Der,der,DET
Stiftshof,Stiftshof,NOUN
und,und,CCONJ
die,der,DET
Symbolik,Symbolik,NOUN
des,der,DET
Ringes,Ring,NOUN
Siebentes,siebent,ADJ
Capitel,Capitel,PROPN
Bewährungen,Bewährung,NOUN
und,und,CCONJ
Ausgänge,Ausgang,NOUN
Erstes,erster,ADJ
Capitel,Capitel,NOUN
Das,der,DET
Recht,Recht,NOUN
der,der,DET
freien,frei,ADJ
Selbstbestimmung,Selbstbestimmung,NOUN
In,in,ADP
einem,ein,DET
traulich,traulich,ADV
eingerichteten,eingerichtet,ADJ
Zimmer,Zimmer,NOUN
deckte,decken,VERB
ein,ein,DET
junges,jung,ADJ
Mädchen,Mädchen,NOUN
den,der,DET
vor,vor,ADP
dem,der,DET
Sofa,Sofa,PROPN
stehenden,stehend,ADJ
runden,rund,ADJ
Tisch,Tisch,NOUN
mit,mit,ADP
einer,ein,DET
grauglänzenden,grauglänzend,ADJ
",",--,PUNCT
buntgemusterten,buntgemustert,ADJ
",",--,PUNCT
großen,groß,ADJ
Theetischdecke,Theetischdecke,NOUN
von,von,ADP
Damast,Damast,NOUN
.,--,PUNCT
Sie,sie,PRON
stellte,stellen,VERB
von,von,ADP
einer,ein,DET
Etagère,Etagère,NOUN
",",--,PUNCT
auf,auf,ADP
der,der,PRON
sich,sich,PRON
allerhand,allerhand,DET
buntes,bunt,ADJ
Glas,Glas,NOUN
und,und,CCONJ
Porzellan,Porzellan,NOUN
befand,befinden,VERB
",",--,PUNCT
auf,auf,ADP
diese,dieser,DET
Decke,Decke,NOUN
drei,drei,NUM
goldgeränderte,goldgerändert,ADJ
Tassen,Tasse,NOUN
",",--,PUNCT
ordnete,ordnen,VERB
Teller,Teller,PROPN
",",--,PUNCT
Zuckerschale,Zuckerschal,NOUN
",",--,PUNCT
Messer,Messer,NOUN
",",--,PUNCT
die,der,PRON
sie,sie,PRON
in,in,ADP
kleine,klein,ADJ
zierliche,zierlich,NOUN
Servietten,Serviett,NOUN
einschlug,einschlug,VERB
",",--,PUNCT
rückte,rücken,VERB
an,an,ADP
den,der,DET
Stühlen,Stuhl,NOUN
",",--,PUNCT
legte,legen,VERB
die,der,DET
Sofakissen,Sofakisse,NOUN
in,in,ADP
Ordnung,Ordnung,NOUN
und,und,CCONJ
verrichtete,verrichten,VERB
somit,somit,ADV
eine,ein,DET
Reihefolge,Reihefolg,NOUN
von,von,ADP
Handlungen,Handlung,NOUN
",",--,PUNCT
die,der,PRON
wir,wir,PRON
nicht,nicht,PART
beschreiben,beschreiben,VERB
würden,werden,AUX
",",--,PUNCT
wenn,wenn,SCONJ
die,der,DET
junge,jung,ADJ
Dame,Dame,NOUN
sich,sich,PRON
auf,auf,ADP
den,der,DET
Besuch,Besuch,NOUN
",",--,PUNCT
den,der,PRON
sie,sie,PRON
zum,zu,ADP
Thee,Thee,NOUN
zu,zu,PART
erwarten,erwarten,VERB
schien,scheinen,VERB
",",--,PUNCT
nicht,nicht,PART
mit,mit,ADP
einem,ein,DET
Ernste,Ernst,NOUN
und,und,CCONJ
einer,ein,DET
Feierlichkeit,Feierlichkeit,NOUN
vorbereitet,vorbereiten,VERB
hätte,haben,AUX
",",--,PUNCT
die,der,PRON
selbst,selbst,ADV
die,der,DET
darauffolgenden,darauffolgend,ADJ
Rüstungen,Rüstung,NOUN
der,der,DET
kleinen,klein,ADJ
Lampe,Lampe,NOUN
",",--,PUNCT
der,der,DET
Theemaschine,Theemaschine,NOUN
",",--,PUNCT
der,der,PRON
von,von,ADP
einer,ein,DET
Magd,Magd,NOUN
hereingetragenen,hereingetragen,ADP
bezuckerten,bezuckert,ADJ
Bäckereien,Bäckerei,NOUN
",",--,PUNCT
des,der,DET
Milchtopfs,Milchtopf,NOUN
und,und,CCONJ
welche,welcher,DET
Vorsorgen,Vorsorg,NOUN
alle,alle,PRON
zu,zu,ADP
einem,ein,DET
behaglichen,behaglich,ADJ
