Token,Lemma,POS
Karl,Karl,PROPN
May,May,PROPN
El,El,PROPN
Sendador,Sendador,PROPN
–,--,PUNCT
Teil,Teil,NOUN
II,II,NUM
Der,der,DET
Schatz,Schatz,NOUN
der,der,DET
Inkas,Inka,PROPN
Viertes,Viertes,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Nuestro,Nuestro,DET
Sennor,Sennor,NOUN
Jesu,Jesu,PROPN
Christo,Christo,PROPN
de,de,PROPN
la,--,PROPN
floresta,floresta,X
virgen,virgen,VERB
.,--,PUNCT
Wer,wer,PRON
den,der,DET
ersten,erster,ADJ
Teil,Teil,NOUN
meiner,mein,DET
neuen,neu,ADJ
Reiseabenteuer,Reiseabenteuer,NOUN
gelesen,lesen,VERB
hat,haben,AUX
",",--,PUNCT
weiß,wissen,VERB
",",--,PUNCT
welche,welcher,PRON
seltsamen,seltsam,ADJ
Fahrten,Fahrt,NOUN
und,und,CCONJ
Gefahren,Gefahr,NOUN
ich,ich,PRON
zu,zu,PART
bestehen,bestehen,VERB
hatte,haben,AUX
.,--,PUNCT
Für,für,ADP
die,der,DET
wenigen,weniger,PRON
",",--,PUNCT
welche,welcher,PRON
die,der,DET
vorhergegangenen,vorhergegangen,ADJ
Ereignisse,Ereignis,NOUN
noch,noch,ADV
nicht,nicht,PART
kennen,kennen,VERB
",",--,PUNCT
füge,fügen,VERB
ich,ich,PRON
folgende,folgend,ADJ
kleine,klein,ADJ
Einleitung,Einleitung,NOUN
hinzu,hinzu,ADV
.,--,PUNCT
Durch,durch,ADP
eine,ein,DET
überraschende,überraschend,ADJ
Verwicklung,Verwicklung,NOUN
der,der,DET
Umstände,Umstand,NOUN
war,sein,AUX
ich,ich,PRON
in,in,ADP
Argentinien,Argentinien,PROPN
in,in,ADP
die,der,DET
Hände,Hand,NOUN
des,der,DET
aufrührerischen,aufrührerisch,ADJ
Generals,General,NOUN
Lopez,Lopez,PROPN
Jordan,Jordan,PROPN
gefallen,fallen,VERB
",",--,PUNCT
dem,der,PRON
es,es,PRON
indessen,indessen,ADV
nicht,nicht,PART
gelungen,gelingen,VERB
war,sein,AUX
",",--,PUNCT
mich,mich,PRON
festzuhalten,festhalten,VERB
.,--,PUNCT
Ich,ich,PRON
hatte,haben,VERB
ihm,ihm,PRON
sogar,sogar,ADV
den,der,DET
Major,Major,PROPN
Cadera,Cadera,PROPN
entführt,entführen,VERB
und,und,CCONJ
denselben,derselbe,DET
unterwegs,unterwegs,ADV
auf,auf,ADP
einer,ein,DET
schwimmenden,schwimmend,ADJ
Insel,Insel,NOUN
abgesetzt,absetzen,VERB
.,--,PUNCT
Von,von,ADP
meinen,meinen,DET
Begleitern,Begleiter,NOUN
hatten,haben,AUX
der,der,DET
Estanziero,Estanziero,NOUN
und,und,CCONJ
sein,sein,DET
Sohn,Sohn,NOUN
",",--,PUNCT
sowie,sowie,CCONJ
der,der,DET
von,von,ADP
Jordan,Jordan,PROPN
desertierte,desertiert,DET
Offizier,Offizier,NOUN
uns,uns,PRON
verlassen,verlassen,VERB
.,--,PUNCT
Dann,dann,ADV
ging,gehen,VERB
ich,ich,PRON
mit,mit,ADP
