Token,Lemma,POS
Karl,Karl,PROPN
May,May,PROPN
Der,der,DET
Weg,Weg,NOUN
zum,zu,ADP
Glück,Glück,NOUN
.,--,PUNCT
Sechster,Sechster,NOUN
Band,Band,NOUN
Roman,Roman,NOUN
aus,aus,ADP
dem,der,DET
Leben,Leben,NOUN
Ludwig,Ludwig,PROPN
des,der,DET
Zweiten,zweiter,ADJ
In,in,ADP
den,der,DET
Saal,Saal,NOUN
zurückgekehrt,zurückkehren,VERB
",",--,PUNCT
suchte,suchen,VERB
die,der,DET
Leni,Leni,PROPN
den,der,DET
Sepp,Sepp,NOUN
auf,auf,ADP
.,--,PUNCT
Sie,sie,PRON
fand,finden,VERB
ihn,ihn,PRON
",",--,PUNCT
mit,mit,ADP
dem,der,PRON
einen,ein,DET
Türken,Türke,NOUN
",",--,PUNCT
nämlich,nämlich,ADV
dem,der,DET
Baron,Baron,PROPN
",",--,PUNCT
und,und,CCONJ
zwei,zwei,NUM
weiblichen,weiblich,ADJ
Masken,Maske,NOUN
an,an,ADP
einem,ein,DET
Tische,Tisch,NOUN
sitzend,sitzend,ADV
",",--,PUNCT
und,und,CCONJ
er,er,PRON
bemerkte,bemerken,VERB
sie,sie,PRON
.,--,PUNCT
Sie,sie,PRON
gab,geben,VERB
ihm,ihm,PRON
durch,durch,ADP
ein,ein,DET
Zeichen,Zeichen,NOUN
zu,zu,PART
verstehen,verstehen,VERB
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
gehen,gehen,VERB
wolle,wollen,AUX
.,--,PUNCT
Er,er,PRON
machte,machen,VERB
Miene,Miene,NOUN
",",--,PUNCT
sich,sich,PRON
zu,zu,PART
erheben,erheben,VERB
;,--,PUNCT
sie,sie,PRON
aber,aber,ADV
winkte,winken,VERB
ihm,ihm,PRON
energisch,energisch,ADV
",",--,PUNCT
sitzen,sitzen,VERB
zu,zu,PART
bleiben,bleiben,VERB
",",--,PUNCT
da,da,SCONJ
sie,sie,PRON
ahnte,ahnen,VERB
",",--,PUNCT
daß,daß,SCONJ
er,er,PRON
sich,sich,PRON
den,der,DET
Baron,Baron,PROPN
doch,doch,ADV
nicht,nicht,PART
gern,gern,ADV
entgehen,entgehen,VERB
lassen,lassen,VERB
werde,werden,AUX
",",--,PUNCT
und,und,CCONJ
dann,dann,ADV
begab,begeben,VERB
sie,sie,PRON
sich,sich,PRON
nach,nach,ADP
der,der,DET
Garderobe,Garderobe,NOUN
zurück,zurück,ADV
",",--,PUNCT
um,um,SCONJ
Maske,Maske,NOUN
und,und,CCONJ
Domino,Domino,PROPN
abzuliefern,abliefern,VERB
.,--,PUNCT
Auf,auf,ADP
der,der,DET
Straße,Straße,NOUN
angekommen,ankommen,VERB
",",--,PUNCT
athmete,athmeen,VERB
sie,sie,PRON
tief,tief,ADV
auf,auf,ADP
.,--,PUNCT
Es,es,PRON
war,sein,AUX
ihr,ihr,PRON
ganz,ganz,ADV
unbeschreiblich,unbeschreiblich,ADV
zu,zu,ADP
Muthe,Muthe,PROPN
.,--,PUNCT
Sie,sie,PRON
fühlte,fühlen,VERB
ein,ein,DET
inneres,innerer,ADJ
