Token,Lemma,POS
Karl,Karl,PROPN
May,May,PROPN
Die,der,DET
Juweleninsel,Juweleninsel,NOUN
Roman,Roman,NOUN
Dieser,dieser,DET
Text,Text,NOUN
folgt,folgen,VERB
zeichengetreu,zeichengetreu,ADV
dem,der,DET
Zeitschriften-Erstdruck,Zeitschriften-Erstdruck,NOUN
",",--,PUNCT
Stuttgart,Stuttgart,PROPN
1880,1880,NUM
-,--,PUNCT
1882,1882,NUM
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Im,in,ADP
Seebade,Seebade,NOUN
Die,der,DET
Bucht,Bucht,PROPN
",",--,PUNCT
an,an,ADP
welcher,welcher,PRON
das,der,DET
wegen,wegen,ADP
seines,sein,DET
Seebades,Seebad,NOUN
berühmte,berühmt,VERB
Städtchen,Städtchen,NOUN
Fallum,Fallum,PROPN
liegt,liegen,VERB
",",--,PUNCT
wird,werden,AUX
zur,zu,ADP
Rechten,rechte,NOUN
von,von,ADP
der,der,DET
weit,weit,ADV
vortretenden,vortretend,ADJ
",",--,PUNCT
aus,aus,ADP
schroffen,schroff,ADJ
Felsen,Fels,NOUN
zusammengesetzten,zusammengesetzt,ADJ
Küste,Küste,NOUN
",",--,PUNCT
zur,zu,ADP
Linken,linke,NOUN
aber,aber,ADV
von,von,ADP
einer,ein,DET
Landzunge,Landzunge,NOUN
eingefaßt,einfassen,VERB
",",--,PUNCT
die,der,PRON
in,in,ADP
Form,Form,NOUN
eines,ein,DET
scharf,scharf,ADV
gebogenen,gebogen,ADJ
Hornes,Hornes,NOUN
in,in,ADP
die,der,DET
See,See,NOUN
hinausragt,hinausragen,VERB
und,und,CCONJ
bis,bis,ADP
an,an,ADP
ihre,ihr,DET
äußerste,äußerer,ADJ
Spitze,Spitze,NOUN
einen,ein,DET
dichten,dicht,ADJ
Eichen-,Eiche,X
und,und,CCONJ
Buchenwald,Buchenwald,PROPN
trägt,tragen,VERB
",",--,PUNCT
durch,durch,ADP
den,der,PRON
nur,nur,ADV
wenige,weniger,DET
schmale,schmal,ADJ
Pfade,Pfad,NOUN
führen,führen,VERB
",",--,PUNCT
welche,welcher,PRON
es,es,PRON
den,der,DET
Badegästen,badegäster,NOUN
ermöglichen,ermöglichen,VERB
",",--,PUNCT
sich,sich,PRON
aus,aus,ADP
dem,der,DET
Geräusche,Geräusch,NOUN
des,der,DET
während,während,ADP
der,der,DET
Saison,Saison,NOUN
vielbesuchten,vielbesucht,ADJ
Ortes,Ort,NOUN
in,in,ADP
die,der,DET
tiefste,tief,ADJ
Einsamkeit,Einsamkeit,NOUN
und,und,CCONJ
Stille,Stille,NOUN
der,der,DET
Natur,Natur,NOUN
zurückzuziehen,zurückziehen,VERB
.,--,PUNCT
Die,der,DET
Landzunge,Landzunge,NOUN
hält,halten,VERB
die,der,DET
hohen,hoch,ADJ
Wogen,Woge,NOUN
und,und,CCONJ
der,der,DET
Wald,Wald,NOUN
die,der,DET
Winde,Wind,NOUN
von,von,ADP
der,der,DET
Bucht,Bucht,PROPN
ab,ab,ADP
",",--,PUNCT
ein,ein,DET
Umstand,Umstand,PROPN
",",--,PUNCT
