Token,Lemma,POS
Karl,Karl,PROPN
May,May,PROPN
El,El,PROPN
Sendador,Sendador,PROPN
–,--,PUNCT
Teil,Teil,NOUN
I,I,NUM
Lopez,Lopez,PROPN
Jordan,Jordan,PROPN
Entstehungsgeschichte,Entstehungsgeschicht,NOUN
Der,der,DET
Roman,Roman,NOUN
»,--,PUNCT
El,El,PROPN
Sendador,Sendador,PROPN
«,--,PUNCT
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
im,in,ADP
»,--,PUNCT
Deutschen,deutsch,ADJ
Hausschatz,Hausschatz,NOUN
«,--,PUNCT
von,von,ADP
1889,1889,NUM
bis,bis,CCONJ
1891,1891,NUM
erschien,erscheinen,VERB
",",--,PUNCT
besteht,bestehen,VERB
aus,aus,ADP
den,der,DET
beiden,beide,DET
Teilen,Teil,NOUN
»,--,PUNCT
Lopez,Lopez,PROPN
Jordan,Jordan,PROPN
«,--,PUNCT
und,und,CCONJ
»,--,PUNCT
Der,der,DET
Schatz,Schatz,NOUN
der,der,DET
Inkas,Inka,PROPN
«,--,PUNCT
.,--,PUNCT
Später,spät,ADV
überarbeitete,überarbeiten,VERB
Karl,Karl,PROPN
May,May,PROPN
die,der,DET
Erzählungen,Erzählung,NOUN
und,und,CCONJ
übernahm,übernehmen,VERB
sie,sie,PRON
in,in,ADP
die,der,DET
Bände,Band,NOUN
12,12,NUM
und,und,CCONJ
13,13,NUM
(,--,PUNCT
»,--,PUNCT
Am,an,ADP
Rio,Rio,PROPN
de,de,PROPN
la,la,PROPN
Plata,Plata,PROPN
«,--,PUNCT
und,und,CCONJ
»,--,PUNCT
In,in,ADP
den,der,DET
Cordilleren,Cordiller,NOUN
«,--,PUNCT
),--,PUNCT
der,der,DET
von,von,ADP
Fehsenfeld,Fehsenfeld,NOUN
herausgegebenen,herausgegeben,ADJ
Reiseromane,Reiseroman,NOUN
.,--,PUNCT
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
.,--,PUNCT
Der,der,DET
Yerbatero,Yerbatero,PROPN
.,--,PUNCT
Ein,ein,DET
kalter,kalt,ADJ
Pampero,Pampero,NOUN
strich,streichen,VERB
über,über,ADP
die,der,DET
meerbusenartige,meerbusenartig,ADJ
Mündung,Mündung,NOUN
des,der,DET
La,La,PROPN
Plata,Plata,PROPN
herüber,herüber,ADV
und,und,CCONJ
bestrich,bestrich,ADV
die,der,DET
Straßen,Straße,NOUN
von,von,ADP
Montevideo,Montevideo,NOUN
mit,mit,ADP
einem,ein,DET
Gemisch,Gemisch,NOUN
von,von,ADP
Sand,Sand,NOUN
",",--,PUNCT
Staub,Staub,NOUN
und,und,CCONJ
großen,groß,ADJ
Regentropfen,Regentropfe,NOUN
.,--,PUNCT
Man,man,PRON
konnte,können,AUX
nicht,nicht,PART
auf,auf,ADP
der,der,DET
Straße,Straße,NOUN
verweilen,verweilen,VERB
",",--,PUNCT
und,und,CCONJ
darum,darum,ADV
saß,sitzen,VERB
ich,ich,PRON
in,in,ADP
meinem,mein,DET
Zimmer,Zimmer,NOUN
des,der,DET
Hotel,Hotel,NOUN
Oriental,Oriental,PROPN
und,und,CCONJ
