Token,Lemma,POS
Karl,Karl,PROPN
Wilhelm,Wilhelm,PROPN
Salice,Salice,PROPN
Contessa,Contessa,PROPN
Die,der,DET
Schatzgräber,Schatzgräber,NOUN
Eine,ein,DET
Erzählung,Erzählung,NOUN
1,1,NUM
An,an,ADP
den,der,DET
Herrn,Herr,NOUN
Kammergerichtsrat,Kammergerichtsrat,NOUN
Hoffmann,Hoffmann,PROPN
in,in,ADP
Berlin,Berlin,PROPN
(,--,PUNCT
Verfasser,Verfasser,NOUN
der,der,DET
"""",--,PUNCT
Fantasiestücke,Fantasiestück,NOUN
in,in,ADP
Callots,Callot,NOUN
Manier,Manier,NOUN
"""",--,PUNCT
etc.,etc.,ADV
),--,PUNCT
Verehrter,Verehrter,NOUN
Freund,Freund,NOUN
!,--,PUNCT
Ich,ich,PRON
habe,haben,AUX
Ihrem,ihr,DET
Treiben,treiben,NOUN
lange,lange,ADV
",",--,PUNCT
wenn,wenn,SCONJ
auch,auch,ADV
nicht,nicht,PART
immer,immer,ADV
freundlich,freundlich,ADV
",",--,PUNCT
doch,doch,CCONJ
schweigend,schweigend,ADV
zugesehen,zusehen,VERB
;,--,PUNCT
ich,ich,PRON
habe,haben,AUX
sogar,sogar,ADV
Ihnen,ihnen,PRON
zu,zu,ADP
Liebe,Liebe,NOUN
Ihre,ihr,DET
Fantasiestücke,Fantasiestück,NOUN
gelesen,lesen,VERB
–,--,PUNCT
das,der,PRON
Märchen,Märchen,NOUN
vom,von,ADP
goldnen,goldn,ADJ
Topf,Topf,NOUN
ausgenommen,ausnehmen,VERB
",",--,PUNCT
was,was,PRON
Sie,sie,PRON
mir,mir,PRON
nicht,nicht,PART
verübeln,verübeln,VERB
werden,werden,AUX
.,--,PUNCT
Als,als,ADP
ein,ein,DET
Bekannter,Bekannter,NOUN
mir,mir,PRON
von,von,ADP
dem,der,DET
Archivarius,Archivarius,NOUN
erzählte,erzählen,VERB
",",--,PUNCT
der,der,PRON
zugleich,zugleich,ADV
ein,ein,DET
Salamander,Salamander,NOUN
sein,sein,AUX
sollte,sollen,AUX
",",--,PUNCT
da,da,ADV
bin,sein,AUX
ich,ich,PRON
",",--,PUNCT
nach,nach,ADP
Aussage,Aussage,NOUN
des,der,DET
Bekannten,bekannte,NOUN
",",--,PUNCT
und,und,CCONJ
zum,zu,ADP
Schrecken,Schrecken,NOUN
desselben,derselbe,PRON
",",--,PUNCT
ganz,ganz,ADV
leichenblaß,leichenblaß,ADV
geworden,werden,AUX
und,und,CCONJ
habe,haben,AUX
auf,auf,ADP
der,der,DET
Stelle,Stelle,NOUN
beschlossen,beschließen,VERB
",",--,PUNCT
diese,dieser,PRON
Historie,Historie,NOUN
nicht,nicht,PART
zu,zu,PART
lesen,lesen,VERB
