Token,Lemma,POS
Leopold,Leopold,PROPN
Kompert,Kompert,PROPN
Die,der,DET
Jahrzeit,Jahrzeit,NOUN
(,--,PUNCT
1865,1865,NUM
),--,PUNCT
In,in,ADP
einer,ein,DET
mondhellen,mondhell,ADJ
Sommernacht,Sommernacht,NOUN
vermochte,vermochen,VERB
sich,sich,PRON
manches,mancher,DET
schlaftrunkene,schlaftrunken,ADJ
Auge,Auge,NOUN
in,in,ADP
der,der,DET
›Gasse‹,›Gasse‹,PROPN
nicht,nicht,PART
zu,zu,PART
schließen,schließen,VERB
.,--,PUNCT
Ein,ein,DET
Hund,Hund,NOUN
bellte,belln,VERB
ohne,ohne,ADP
Unterlaß,Unterlaß,NOUN
.,--,PUNCT
Schon,schon,ADV
brach,brechen,VERB
das,der,DET
graue,grau,ADJ
Dämmerlicht,Dämmerlicht,NOUN
des,der,DET
Morgens,Morgen,NOUN
an,an,ADP
und,und,CCONJ
noch,noch,ADV
immer,immer,ADV
schien,scheinen,VERB
das,der,DET
wachsame,wachsam,ADJ
",",--,PUNCT
von,von,ADP
einer,ein,DET
seltsamen,seltsam,ADJ
Unruhe,Unruhe,NOUN
aufgestörte,aufgestört,ADJ
Thier,Thier,NOUN
das,der,DET
Ende,Ende,NOUN
seiner,sein,DET
nächtlichen,nächtlich,ADJ
Klagen,Klage,NOUN
nicht,nicht,PART
finden,finden,VERB
zu,zu,PART
können,können,AUX
.,--,PUNCT
Galten,Galten,VERB
sie,sie,PRON
dem,der,DET
leuchtenden,leuchtend,ADJ
Gestirne,Gestirn,NOUN
am,an,ADP
Himmel,Himmel,NOUN
?,--,PUNCT
Waren,sein,AUX
Diebe,Dieb,NOUN
in,in,ADP
irgend,irgend,ADV
ein,ein,DET
Eigenthum,Eigenthum,NOUN
der,der,DET
Gasse,Gasse,NOUN
geschlichen,geschlichen,VERB
?,--,PUNCT
Erst,erst,ADV
allmälig,allmälig,ADV
",",--,PUNCT
fast,fast,ADV
ersterbend,ersterbend,ADV
",",--,PUNCT
fast,fast,ADV
als,als,ADP
ob,ob,SCONJ
der,der,DET
Hund,Hund,NOUN
die,der,DET
ganze,ganz,ADJ
seiner,sein,DET
Thierseele,Thierseele,NOUN
innewohnende,innewohnend,ADJ
Beredsamkeit,Beredsamkeit,NOUN
bis,bis,ADP
auf,auf,ADP
den,der,DET
letzten,letzter,ADJ
Laut,laut,NOUN
erschöpft,erschöpft,VERB
hätte,haben,AUX
",",--,PUNCT
verscholl,verscholl,VERB
das,der,DET
schmerzlich,schmerzlich,ADV
gezogene,gezogen,ADJ
",",--,PUNCT
grauenhafte,grauenhaft,ADJ
Heulen,Heule,NOUN
.,--,PUNCT
Aber,aber,CCONJ
so,so,ADV
lebendig,lebendig,ADV
wirkte,wirken,VERB
die,der,DET
Erinnerung,Erinnerung,NOUN
an,an,ADP
die,der,DET
Schrecken,Schrecken,NOUN
dieser,dieser,DET
Nacht,Nacht,NOUN
in,in,ADP
allen,aller,DET
Gemüthern,Gemüther,NOUN
",",--,PUNCT
daß,daß,SCONJ
beinahe,beinahe,ADV
in,in,ADP
jedem,jeder,DET
Hause,Haus,NOUN
",",--,PUNCT
dem,der,PRON
der,der,DET
Schlaf,Schlaf,NOUN
fern,fern,ADV
geblieben,bleiben,VERB
war,sein,AUX
",",--,PUNCT
die,der,DET
erste,erster,ADJ
Frage,Frage,NOUN
am,an,ADP
frühen,früh,ADJ
Morgen,Morgen,NOUN
überall,überall,ADV
fast,fast,ADV
gleichmäßig,gleichmäßig,ADV
lautete,lauten,VERB
:,--,PUNCT
»,--,PUNCT
Was,was,PRON
hat,haben,AUX
Jacob,Jacob,PROPN
Löw's,Löw's,PROPN
Hund,Hund,PROPN
heute,heute,ADV
Nacht,Nacht,NOUN
nur,nur,ADV
gewollt,wollen,VERB
?,--,PUNCT
Es,es,PRON
muß,müssen,AUX
etwas,etwas,DET
Besonderes,besondere,NOUN
über,über,ADP
ihn,ihn,PRON
gekommen,kommen,VERB
sein,sein,AUX
.,--,PUNCT
«,--,PUNCT
Resel,Resel,NOUN
",",--,PUNCT
das,der,DET
›fromme‹,›fromme‹,PROPN
Weib,Weib,PROPN
",",--,PUNCT
das,der,PRON
in,in,ADP
der,der,DET
Nachbarschaft,Nachbarschaft,NOUN
jenes,jener,DET
Hauses,Haus,NOUN
",",--,PUNCT
woher,woher,SCONJ
die,der,DET
Unruhe,Unruhe,NOUN
gekommen,kommen,VERB
",",--,PUNCT
ein,ein,DET
krankes,krank,ADJ
Kind,Kind,NOUN
zu,zu,PART
warten,warten,VERB
hatte,haben,AUX
",",--,PUNCT
und,und,CCONJ
daher,daher,ADV
besonders,besonders,ADV
übler,übl,ADV
Laune,Laune,NOUN
war,sein,AUX
",",--,PUNCT
meinte,meinen,VERB
sogar,sogar,ADV
mit,mit,ADP
dem,der,DET
Ausdrucke,Ausdruck,NOUN
tiefster,tief,ADJ
Erbitterung,Erbitterung,NOUN
:,--,PUNCT
»,--,PUNCT
Da,da,ADV
kann,können,AUX
man,man,PRON
gewahr,gewahr,VERB
werden,werden,AUX
",",--,PUNCT
was,was,PRON
bei,bei,ADP
uns,uns,PRON
",",--,PUNCT
leider,leider,ADV
Gottes,Gott,NOUN
!,--,PUNCT
ein,ein,DET
reicher,reich,ADJ
Mann,Mann,NOUN
ist,sein,AUX
und,und,CCONJ
ein,ein,DET
armer,Armer,NOUN
.,--,PUNCT
Wo,wo,ADV
hat,haben,AUX
man's,man's,PROPN
schon,schon,ADV
gehört,hören,VERB
und,und,CCONJ
erlebt,erleben,VERB
",",--,PUNCT
daß,daß,SCONJ
ein,ein,DET
armer,arm,ADJ
Mann,Mann,NOUN
sich,sich,PRON
einen,ein,DET
Hund,Hund,NOUN
halten,halten,VERB
darf,dürfen,AUX
?,--,PUNCT
Aber,aber,CCONJ
weil,weil,SCONJ
Jacob,Jacob,PROPN
Löw,Löw,PROPN
Geld,Geld,NOUN
hat,haben,VERB
und,und,CCONJ
die,der,DET
Leute,Leute,NOUN
ihm,ihm,PRON
schuldig,schuldig,ADV
sind,sein,AUX
",",--,PUNCT
darf,dürfen,AUX
er,er,PRON
sich,sich,PRON
einen,ein,DET
Hund,Hund,NOUN
halten,halten,VERB
",",--,PUNCT
der,der,DET
›Gewaltnik‹,›Gewaltnik‹,PROPN
!,--,PUNCT
Seinetwegen,Seinetweg,PROPN
muß,müssen,AUX
so,so,ADV
ein,ein,DET
krankes,krank,ADJ
Kind,Kind,NOUN
die,der,DET
Augen,Auge,NOUN
offen,offen,ADV
halten,halten,VERB
und,und,CCONJ
kann,können,AUX
nicht,nicht,PART
schlafen,schlafen,VERB
.,--,PUNCT
Pfui,Pfui,NOUN
über,über,ADP
die,der,DET
ganze,ganz,ADJ
Gemeinde,Gemeinde,NOUN
",",--,PUNCT
daß,daß,SCONJ
sie,sie,PRON
dazu,dazu,ADV
schweigt,schweigen,VERB
und,und,CCONJ
läßt,lassen,VERB
den,der,DET
Hund,Hund,NOUN
bellen,bellen,VERB
",",--,PUNCT
wie,wie,SCONJ
er,er,PRON
will,wollen,VERB
!,--,PUNCT
Aber,aber,CCONJ
heutzutage,heutzutage,ADV
giebt's,giebt's,VERB
keine,kein,DET
Leut,Leut,NOUN
',--,PUNCT
mehr,mehr,ADV
.,--,PUNCT
Sie,sie,PRON
fürchten,fürchten,VERB
sich,sich,PRON
vor,vor,ADP
Jacob,Jacob,PROPN
Löw,Löw,PROPN
und,und,CCONJ
fürchten,fürchten,VERB
sich,sich,PRON
vor,vor,ADP
seinem,sein,DET
Hund,Hund,NOUN
.,--,PUNCT
Ich,ich,PRON
sollte,sollen,AUX
die,der,DET
Gemeinde,Gemeinde,NOUN
sein,sein,AUX
",",--,PUNCT
so,so,ADV
sollte,sollen,AUX
der,der,DET
›Gewaltnik‹,›Gewaltnik‹,PROPN
sehen,sehen,VERB
",",--,PUNCT
ob,ob,SCONJ
mir,mir,PRON
so,so,ADV
ein,ein,DET
Hund,Hund,NOUN
die,der,DET
Nacht,Nacht,NOUN
verstören,verstören,VERB
darf,dürfen,AUX
Aber,aber,CCONJ
es,es,PRON
giebt,gieben,VERB
jetzt,jetzt,ADV
keine,kein,DET
Leut,Leut,NOUN
',--,PUNCT
mehr,mehr,ADV
.,--,PUNCT
«,--,PUNCT
Es,es,PRON
gab,geben,VERB
eine,ein,DET
Zeit,Zeit,NOUN
",",--,PUNCT
und,und,CCONJ
sie,sie,PRON
ist,sein,AUX
noch,noch,ADV
nicht,nicht,PART
gar,gar,ADV
zu,zu,PART
fern,fern,ADV
",",--,PUNCT
da,da,SCONJ
lauteten,lauten,VERB
die,der,DET
Äußerungen,Äußerung,NOUN
über,über,ADP
Jacob,Jacob,PROPN
Löw,Löw,PROPN
wesentlich,wesentlich,ADV
anders,anders,ADV
.,--,PUNCT
Wer,wer,PRON
damals,damals,ADV
den,der,DET
Ausdruck,Ausdruck,NOUN
›Gewaltnik‹,›Gewaltnik‹,PROPN
von,von,ADP
ihm,ihm,PRON
gebraucht,brauchen,VERB
