Token,Lemma,POS
Judith,Judith,PROPN
die,der,DET
Zweite,Zweiter,NOUN
Leopold,Leopold,PROPN
Kompert,Kompert,PROPN
Zur,zu,ADP
Zeit,Zeit,NOUN
",",--,PUNCT
als,als,SCONJ
sich,sich,PRON
die,der,DET
folgende,folgend,ADJ
Begebenheit,Begebenheit,NOUN
zutrug,zutragen,VERB
",",--,PUNCT
sah,sehen,VERB
es,es,PRON
im,in,ADP
Ghetto,Ghetto,NOUN
ganz,ganz,ADV
anders,anders,ADV
aus,aus,ADP
",",--,PUNCT
als,als,SCONJ
jetzt,jetzt,ADV
.,--,PUNCT
Die,der,DET
Leute,Leute,NOUN
waren,sein,AUX
damals,damals,ADV
viel,viel,ADV
unglücklicher,unglücklich,ADV
daran,daran,ADV
als,als,ADP
heutzutage,heutzutage,ADV
",",--,PUNCT
und,und,CCONJ
das,der,DET
rührte,Rührte,NOUN
hauptsächlich,hauptsächlich,ADV
davon,davon,ADV
her,her,ADV
–,--,PUNCT
weil,weil,SCONJ
sie,sie,PRON
keine,kein,DET
Zeitungen,Zeitung,NOUN
lasen,lasen,VERB
.,--,PUNCT
Jetzt,jetzt,ADV
ist,sein,AUX
das,der,PRON
freilich,freilich,ADV
ganz,ganz,ADV
anders,anders,ADV
worden,werden,AUX
.,--,PUNCT
Das,der,DET
Ghetto,Ghetto,NOUN
liest,lesen,VERB
nicht,nicht,PART
nur,nur,ADV
",",--,PUNCT
sondern,sondern,CCONJ
schreibt,schreiben,VERB
sich,sich,PRON
selbst,selbst,ADV
seine,sein,DET
Zeitungen,Zeitung,NOUN
",",--,PUNCT
und,und,CCONJ
zur,zu,ADP
Bundesarmee,Bundesarmee,NOUN
des,der,DET
gedruckten,gedruckt,ADJ
Wortes,Wort,NOUN
stellt,stellen,VERB
es,es,PRON
ein,ein,DET
gar,gar,ADV
beträchtliches,beträchtlich,ADJ
Contingent,Contingent,NOUN
.,--,PUNCT
Das,der,DET
Ghetto,Ghetto,NOUN
hat,haben,VERB
Federn,Feder,NOUN
",",--,PUNCT
die,der,PRON
bloß,bloß,ADV
in,in,ADP
seinem,sein,DET
Solde,Solde,NOUN
stehen,stehen,VERB
;,--,PUNCT
nur,nur,ADV
schade,schade,ADV
",",--,PUNCT
daß,daß,SCONJ
es,es,PRON
nicht,nicht,PART
schon,schon,ADV
damals,damals,ADV
verstand,verstehen,VERB
",",--,PUNCT
sie,sie,PRON
gehörig,gehörig,ADV
in,in,ADP
Bewegung,Bewegung,NOUN
zu,zu,PART
setzen,setzen,VERB
.,--,PUNCT
Denn,denn,CCONJ
dadurch,dadurch,ADV
ist,sein,AUX
manche,mancher,DET
Geschichte,Geschichte,NOUN
zu,zu,ADP
Boden,Boden,NOUN
gefallen,fallen,VERB
",",--,PUNCT
die,der,PRON
jetzt,jetzt,ADV
wie,wie,ADP
eine,ein,DET
gestrandete,gestrandet,ADJ
kostbare,kostbar,ADJ
Beute,Beute,NOUN
mit,mit,ADP
Stricken,Strick,NOUN
und,und,CCONJ
Haken,Haken,NOUN
ans,an,ADP
Land,Land,NOUN
gerettet,retten,VERB
würde,werden,AUX
–,--,PUNCT
und,und,CCONJ
nun,nun,ADV
vergessen,vergessen,VERB
bleibt,bleiben,VERB
.,--,PUNCT
Wenn,wenn,SCONJ
aber,aber,ADV
heutzutage,heutzutage,ADV
der,der,DET
Vorsteher,Vorsteher,NOUN
