Token,Lemma,POS
Leopold,Leopold,PROPN
von,von,ADP
Sacher-Masoch,Sacher-Masoch,PROPN
Der,der,DET
Wanderer,Wanderer,NOUN
Novelle,Novelle,NOUN
»,--,PUNCT
Gott,Gott,NOUN
allein,allein,ADV
weiß,wissen,VERB
",",--,PUNCT
wie,wie,ADV
lange,lange,ADV
diese,dieser,PRON
Pilgerschaft,Pilgerschaft,NOUN
noch,noch,ADV
dauern,dauern,VERB
wird,werden,AUX
.,--,PUNCT
«,--,PUNCT
Iwan,Iwan,PROPN
Turgenjew,Turgenjew,PROPN
Bedächtig,Bedächtig,ADV
",",--,PUNCT
die,der,DET
Flinten,Flint,NOUN
auf,auf,ADP
der,der,DET
Schulter,Schulter,NOUN
",",--,PUNCT
schritten,schriten,VERB
wir,wir,PRON
",",--,PUNCT
der,der,DET
alte,alt,ADJ
Heger,Heger,NOUN
und,und,CCONJ
ich,ich,PRON
",",--,PUNCT
durch,durch,ADP
den,der,DET
Urwald,Urwald,NOUN
",",--,PUNCT
welcher,welcher,PRON
in,in,ADP
schweren,schwer,ADJ
",",--,PUNCT
dunklen,dunkel,ADJ
Massen,Masse,NOUN
am,an,ADP
Fuße,Fuß,NOUN
unseres,unser,DET
Gebirges,Gebirg,NOUN
lagert,lagern,VERB
",",--,PUNCT
und,und,CCONJ
seine,sein,DET
Riesenglieder,Riesenglied,NOUN
weithin,weithin,ADV
in,in,ADP
die,der,DET
Ebene,Ebene,NOUN
streckt,strecken,VERB
.,--,PUNCT
Der,der,DET
Abend,Abend,NOUN
ließ,lassen,VERB
das,der,DET
scheinbar,scheinbar,ADV
unbegrenzte,unbegrenzt,ADJ
Gebiet,Gebiet,NOUN
schwarzen,schwarz,ADJ
jungfräulichen,jungfräulich,ADJ
Nadelholzes,Nadelholz,NOUN
noch,noch,ADV
finsterer,Finsterer,NOUN
und,und,CCONJ
schweigender,schweigend,ADV
als,als,ADP
sonst,sonst,ADV
erscheinen,erscheinen,VERB
;,--,PUNCT
weithin,weithin,ADV
war,sein,AUX
keine,kein,DET
Stimme,Stimme,NOUN
eines,ein,DET
Lebenden,lebend,NOUN
",",--,PUNCT
kein,kein,DET
Laut,laut,NOUN
",",--,PUNCT
kein,kein,DET
Rauschen,Rauschen,NOUN
eines,ein,DET
Wipfels,Wipfel,NOUN
zu,zu,PART
vernehmen,vernehmen,VERB
",",--,PUNCT
und,und,CCONJ
weithin,weithin,ADV
kein,kein,DET
Licht,Licht,NOUN
außer,außer,ADP
von,von,ADP
Zeit,Zeit,NOUN
zu,zu,ADP
Zeit,Zeit,NOUN
ein,ein,DET
blasses,blass,ADJ
mattgoldenes,mattgolden,ADJ
Netz,Netz,NOUN
",",--,PUNCT
das,der,PRON
die,der,DET
scheidende,scheidend,ADJ
Sonne,Sonne,NOUN
über,über,ADP
Moos,Moos,NOUN
und,und,CCONJ
Kräuter,Kräuter,NOUN
gespannt,spannen,VERB
hatte,haben,AUX
.,--,PUNCT
Der,der,DET
Himmel,Himmel,NOUN
",",--,PUNCT
wolkenlos,wolkenlos,ADV
",",--,PUNCT
blaßblau,blaßblau,ADV
wurde,werden,AUX
nur,nur,ADV
in,in,ADP
einzelnen,einzeln,ADJ
Stücken,Stück,NOUN
zwischen,zwischen,ADP
den,der,DET
unbeweglichen,unbeweglichen,VERB
",",--,PUNCT
ehrwürdigen,ehrwürdig,ADJ
Fichtenhäuptern,Fichtenhäupter,NOUN
sichtbar,sichtbar,ADV
.,--,PUNCT
Ein,ein,DET
schwerer,schwer,ADJ
Geruch,Geruch,NOUN
feuchter,feucht,ADJ
Fäulniß,Fäulniß,NOUN
schwebte,schweben,VERB
in,in,ADP
den,der,DET
riesigen,riesig,ADJ
Nadeln,Nadel,NOUN
und,und,CCONJ
Halmen,Halm,NOUN
",",--,PUNCT
nicht,nicht,PART
einmal,einmal,ADV
unter,unter,ADP
unsern,unsern,ADV
Füßen,Fuß,NOUN
knisterte,knisteren,VERB
es,es,PRON
.,--,PUNCT
Wir,wir,PRON
gingen,gehen,VERB
auf,auf,ADP
einem,ein,DET
weichen,weich,ADJ
nachgiebigen,nachgiebig,ADJ
Teppich,Teppich,NOUN
.,--,PUNCT
Manchmal,manchmal,ADV
erblickte,erblicken,VERB
man,man,PRON
eines,einer,PRON
jener,jener,DET
verwitterten,verwittert,ADJ
grün,grün,ADV
überzogenen,überzogen,ADJ
Felsstücke,Felsstücke,NOUN
",",--,PUNCT
wie,wie,SCONJ
sie,sie,PRON
an,an,ADP
dem,der,DET
Abhange,Abhange,NOUN
der,der,DET
Karpathen,Karpathen,NOUN
tief,tief,ADV
in,in,ADP
die,der,DET
Wälder,Wald,NOUN
und,und,CCONJ
sogar,sogar,ADV
bis,bis,ADP
in,in,ADP
die,der,DET
getreidegelbe,getreidegelb,ADJ
Fläche,Fläche,NOUN
hinab,hinab,ADV
zerstreut,zerstreuen,VERB
sind,sein,AUX
;,--,PUNCT
stumme,stumm,ADJ
Zeugen,Zeuge,NOUN
jener,jener,DET
halbvergessenen,halbvergessen,ADJ
Zeit,Zeit,NOUN
",",--,PUNCT
wo,wo,SCONJ
ein,ein,DET
großes,groß,ADJ
Meer,Meer,NOUN
seine,sein,DET
Fluthen,Fluth,NOUN
gegen,gegen,ADP
die,der,DET
zackigen,zackig,ADJ
Ufer,Ufer,NOUN
unseres,unser,DET
Gebirges,Gebirg,NOUN
trieb,treiben,VERB
",",--,PUNCT
und,und,CCONJ
als,als,SCONJ
sollte,sollen,AUX
es,es,PRON
uns,uns,PRON
an,an,ADP
jene,jener,DET
feierlich,feierlich,ADV
monotonen,monoton,ADJ
Schöpfungstage,Schöpfungstage,NOUN
mahnen,mahnen,VERB
",",--,PUNCT
erhob,erheben,VERB
sich,sich,PRON
plötzlich,plötzlich,ADV
ein,ein,DET
starker,stark,ADJ
Wind,Wind,NOUN
",",--,PUNCT
und,und,CCONJ
jagte,jagen,VERB
seine,sein,DET
unsichtbaren,unsichtbar,ADJ
Wellen,Welle,NOUN
brausend,brausend,ADV
durch,durch,ADP
die,der,DET
schweren,schwer,ADJ
Wipfel,Wipfel,NOUN
",",--,PUNCT
die,der,DET
zitternden,zitternd,ADJ
grünen,grün,ADJ
Nadeln,Nadel,NOUN
",",--,PUNCT
die,der,PRON
tausend,tausend,NUM
und,und,CCONJ
tausend,tausend,NUM
Gräser,Gräser,NOUN
und,und,CCONJ
Kräuter,Kräuter,NOUN
",",--,PUNCT
welche,welcher,PRON
sich,sich,PRON
demüthig,demüthig,ADV
vor,vor,ADP
ihm,ihm,PRON
neigten,neigen,VERB
.,--,PUNCT
Der,der,DET
alte,alt,ADJ
Heger,Heger,NOUN
blieb,bleiben,VERB
stehen,stehen,VERB
",",--,PUNCT
strich,streichen,VERB
sich,sich,PRON
das,der,DET
weiße,weiß,ADJ
