Token,Lemma,POS
Leopold,Leopold,PROPN
von,von,ADP
Sacher-Masoch,Sacher-Masoch,PROPN
Mondnacht,Mondnacht,NOUN
.,--,PUNCT
Novelle,Novelle,NOUN
.,--,PUNCT
Motto,Motto,NOUN
:,--,PUNCT
[,[,PROPN
mondncht,Mondncht,VERB
],],NOUN
Beethoven,Beethove,NOUN
Mondscheinsonate,Mondscheinsonate,NOUN
.,--,PUNCT
Oeuvre,Oeuvre,PROPN
27,27,NUM
",",--,PUNCT
2.,2.,ADV
Statt,statt,ADP
eines,ein,DET
Vorwortes,Vorwort,NOUN
.,--,PUNCT
Aus,aus,ADP
einem,ein,DET
Brief,Brief,NOUN
des,der,DET
Verfassers,Verfasser,NOUN
an,an,ADP
die,der,DET
Herausgeber,Herausgeber,NOUN
des,der,DET
»,--,PUNCT
Salon,Salon,NOUN
.,--,PUNCT
«,--,PUNCT
Da,da,ADV
haben,haben,VERB
Sie,sie,PRON
endlich,endlich,ADV
die,der,DET
»,--,PUNCT
Mondnacht,Mondnacht,NOUN
.,--,PUNCT
«,--,PUNCT
Wenn,wenn,SCONJ
ich,ich,PRON
etwas,etwas,ADV
spät,spät,ADV
damit,damit,ADV
komme,kommen,VERB
",",--,PUNCT
so,so,ADV
werden,werden,AUX
Sie,sie,PRON
es,es,PRON
mir,mir,PRON
vergeben,vergeben,VERB
.,--,PUNCT
Die,der,DET
Novelle,Novelle,NOUN
ist,sein,AUX
etwas,etwas,ADV
ganz,ganz,ADV
Anderes,andere,PRON
geworden,werden,AUX
",",--,PUNCT
als,als,ADP
ich,ich,PRON
zuerst,zuerst,ADV
beabsichtigte,beabsichtigen,VERB
und,und,CCONJ
mit,mit,ADP
der,der,DET
Idee,Idee,NOUN
und,und,CCONJ
dem,der,DET
Vorwurfe,Vorwurfe,NOUN
wuchs,wachsen,VERB
auch,auch,ADV
der,der,DET
Umfang,Umfang,NOUN
.,--,PUNCT
Erlauben,erlauben,VERB
Sie,sie,PRON
mir,mir,PRON
",",--,PUNCT
ehe,ehe,SCONJ
Sie,sie,PRON
dieselbe,derselbe,DET
lesen,lesen,VERB
",",--,PUNCT
mit,mit,ADP
Ihnen,ihnen,PRON
eingehender,eingehend,NOUN
von,von,ADP
meiner,mein,DET
Dichtung,Dichtung,NOUN
zu,zu,PART
sprechen,sprechen,VERB
.,--,PUNCT
Ich,ich,PRON
fürchte,fürchten,VERB
",",--,PUNCT
daß,daß,SCONJ
dieselbe,derselbe,PRON
dem,der,DET
Rahmen,Rahmen,NOUN
einer,ein,DET
eleganten,elegant,ADJ
Zeitschrift,Zeitschrift,NOUN
beinahe,beinahe,ADV
entwachsen,entwachsen,VERB
ist,sein,AUX
;,--,PUNCT
aber,aber,CCONJ
der,der,DET
»,--,PUNCT
Salon,Salon,NOUN
«,--,PUNCT
ist,sein,AUX
auch,auch,ADV
ein,ein,DET
Organ,Organ,NOUN
für,für,ADP
alle,aller,DET
ernsten,ernst,ADJ
Interessen,Interesse,NOUN
der,der,DET
Nation,Nation,NOUN
",",--,PUNCT
der,der,DET
Gesellschaft,Gesellschaft,NOUN
und,und,CCONJ
so,so,ADV
hoffe,hoffen,VERB
ich,ich,PRON
wieder,wieder,ADV
nicht,nicht,PART
ganz,ganz,ADV
Unwillkommenes,unwillkommene,PRON
zu,zu,PART
bieten,bieten,VERB
.,--,PUNCT
Eben,eben,ADV
ein,ein,DET
Blatt,Blatt,NOUN
wie,wie,ADP
das,der,DET
Ihre,ihr,NOUN
",",--,PUNCT
denke,denken,VERB
ich,ich,PRON
",",--,PUNCT
müßte,müssen,AUX
vor,vor,ADP
Allem,Alle,PRON
jener,jener,DET
Prüderie,Prüderie,NOUN
",",--,PUNCT
jener,jener,DET
Heuchelei,Heuchelei,NOUN
den,der,DET
Rücken,Rücken,NOUN
kehren,kehren,VERB
",",--,PUNCT
welche,welcher,PRON
noch,noch,ADV
auf,auf,ADP
unserem,unser,DET
ganzen,ganz,ADJ
Leben,Leben,NOUN
lastet,lasten,VERB
und,und,CCONJ
im,in,ADP
Norden,Norden,NOUN
mehr,mehr,ADV
wie,wie,ADP
im,in,ADP
Süden,Süden,NOUN
.,--,PUNCT
Es,es,PRON
hat,haben,AUX
mich,mich,PRON
oft,oft,ADV
schon,schon,ADV
mit,mit,ADP
Bitterkeit,Bitterkeit,NOUN
erfüllt,erfüllen,VERB
",",--,PUNCT
daß,daß,SCONJ
dem,der,PRON
deutschen,deutsch,ADJ
Dichter,Dichter,NOUN
nicht,nicht,PART
gestattet,gestatten,VERB
werden,werden,AUX
will,wollen,AUX
",",--,PUNCT
gleich,gleich,ADV
dem,der,DET
französischen,französisch,ADJ
oder,oder,CCONJ
russischen,russischen,VERB
",",--,PUNCT
die,der,DET
tiefen,tief,ADJ
Probleme,Problem,NOUN
des,der,DET
Menschenlebens,Menschenleben,NOUN
und,und,CCONJ
der,der,DET
Gesellschaft,Gesellschaft,NOUN
in,in,ADP
den,der,DET
Kreis,Kreis,NOUN
seiner,sein,DET
Darstellung,Darstellung,NOUN
zu,zu,PART
ziehen,ziehen,VERB
",",--,PUNCT
daß,daß,SCONJ
Bücher,Buch,NOUN
wie,wie,ADP
der,der,DET
Faust,Faust,NOUN
",",--,PUNCT
Werther,Werther,NOUN
und,und,CCONJ
die,der,DET
Wahlverwandtschaften,Wahlverwandtschaft,NOUN
",",--,PUNCT
welche,welcher,PRON
den,der,DET
anderen,anderer,ADJ
Nationen,Nation,NOUN
vorzugsweise,vorzugsweise,ADV
Achtung,Achtung,NOUN
vor,vor,ADP
dem,der,DET
deutschen,deutsch,ADJ
Genius,Genius,NOUN
einflößen,einflößen,VERB
",",--,PUNCT
in,in,ADP
der,der,DET
deutschen,deutsch,ADJ
Literatur,Literatur,NOUN
so,so,ADV
entsetzlich,entsetzlich,ADV
vereinsamt,vereinsamt,ADV
dastehen,dastehen,VERB
.,--,PUNCT
Es,es,PRON
darf,dürfen,AUX
freilich,freilich,ADV
verlangt,verlangen,VERB
werden,werden,AUX
",",--,PUNCT
daß,daß,SCONJ
diese,dieser,DET
Fragen,Frage,NOUN
",",--,PUNCT
welche,welcher,PRON
gleichsam,gleichsam,ADV
in,in,ADP
den,der,DET
Eingeweiden,Eingeweide,NOUN
jedes,jeder,DET
Menschen,Mensch,NOUN
wühlen,wühlen,VERB
",",--,PUNCT
nur,nur,ADV
mit,mit,ADP
wirklichem,wirklich,ADJ
Ernst,Ernst,NOUN
behandelt,behandeln,VERB
werden,werden,AUX
",",--,PUNCT
daß,daß,SCONJ
da,da,ADV
jede,jeder,DET
Frivolität,Frivolität,NOUN
bei,bei,ADP
Seite,Seite,NOUN
gelassen,lassen,VERB
wird,werden,AUX
;,--,PUNCT
aber,aber,CCONJ
eine,ein,DET
Nation,Nation,NOUN
",",--,PUNCT
