Token,Lemma,POS
Louise,Louise,PROPN
Aston,Aston,PROPN
Aus,aus,ADP
dem,der,DET
Leben,Leben,NOUN
einer,ein,DET
Frau,Frau,NOUN
Roman,Roman,NOUN
(,--,PUNCT
1847,1847,NUM
),--,PUNCT
Vorwort,Vorwort,NOUN
.,--,PUNCT
Das,der,DET
Leben,Leben,NOUN
ist,sein,AUX
fragmentarisch,fragmentarisch,ADV
;,--,PUNCT
die,der,DET
Kunst,Kunst,NOUN
soll,sollen,AUX
ein,ein,DET
Ganzes,ganze,NOUN
schaffen,schaffen,VERB
!,--,PUNCT
Diese,dieser,DET
Blätter,Blatt,NOUN
gehören,gehören,VERB
in,in,ADP
Dichtung,Dichtung,NOUN
und,und,CCONJ
Wahrheit,Wahrheit,NOUN
dem,der,DET
Leben,Leben,NOUN
an,an,ADP
",",--,PUNCT
und,und,CCONJ
machen,machen,VERB
nicht,nicht,PART
Anspruch,Anspruch,NOUN
auf,auf,ADP
künstlerischen,künstlerisch,ADJ
Werth,Werth,NOUN
!,--,PUNCT
Darum,darum,ADV
sind,sein,AUX
sie,sie,PRON
fragmentarisch,fragmentarisch,ADV
",",--,PUNCT
wie,wie,ADP
diese,dieser,PRON
ganze,ganz,ADJ
moderne,modern,ADJ
Welt,Welt,NOUN
",",--,PUNCT
aus,aus,ADP
deren,der,DET
gährenden,gährend,ADJ
Elementen,Element,NOUN
sie,sie,PRON
hervorgegangen,hervorgehen,VERB
",",--,PUNCT
ein,ein,DET
Beitrag,Beitrag,NOUN
zur,zu,ADP
Charakteristik,Charakteristik,NOUN
unseres,unser,DET
Lebens,Leben,NOUN
!,--,PUNCT
Wer,wer,PRON
den,der,DET
reichen,reich,ADJ
Zauber,Zauber,NOUN
der,der,DET
Gestaltung,Gestaltung,NOUN
besitzt,besitzen,VERB
",",--,PUNCT
und,und,CCONJ
die,der,DET
Idee,Idee,NOUN
zu,zu,PART
bannen,bannen,VERB
versteht,verstehen,VERB
in,in,ADP
ewige,ewig,ADJ
Formen,Form,NOUN
:,--,PUNCT
der,der,PRON
wird,werden,AUX
nach,nach,ADP
Maß,Maß,NOUN
und,und,CCONJ
Regeln,Regel,NOUN
der,der,DET
Schönheit,Schönheit,NOUN
",",--,PUNCT
auch,auch,ADV
dies,dieser,PRON
zersplitterte,zersplittert,ADJ
",",--,PUNCT
moderne,modern,ADJ
Leben,Leben,NOUN
zu,zu,ADP
einem,ein,DET
harmonischen,harmonisch,ADJ
Kunstwerk,Kunstwerk,NOUN
zusammenfassen,zusammenfassen,VERB
",",--,PUNCT
ihm,ihm,PRON
dauernde,dauernd,ADJ
Bedeutung,Bedeutung,NOUN
geben,geben,VERB
und,und,CCONJ
sich,sich,PRON
selbst,selbst,ADV
mit,mit,ADP
ihm,ihm,PRON
unsterblich,unsterblich,ADV
machen,machen,VERB
!,--,PUNCT
Wir,wir,PRON
andern,andern,VERB
aber,aber,ADV
können,können,AUX
nur,nur,ADV
einzelne,einzeln,ADJ
Blätter,Blatt,NOUN
",",--,PUNCT
vielleicht,vielleicht,ADV
Früchte,Frucht,NOUN
von,von,ADP
den,der,DET
Lebensbäumen,lebensbäume,NOUN
dieser,dieser,DET
Zeit,Zeit,NOUN
pflücken,pflücken,VERB
!,--,PUNCT
Wir,wir,PRON
schreiben,schreiben,VERB
flüchtige,flüchtig,ADJ
Zeilen,Zeile,NOUN
;,--,PUNCT
aber,aber,CCONJ
wir,wir,PRON
schreiben,schreiben,VERB
sie,sie,PRON
mit,mit,ADP
unserem,unser,DET
Herzblut,Herzblut,NOUN
!,--,PUNCT
Findet,Finden,VERB
dies,dieser,PRON
Fragment,Fragment,NOUN
Anklang,Anklang,NOUN
",",--,PUNCT
hat,haben,AUX
der,der,DET
Kern,Kern,NOUN
dieses,dieser,DET
Lebens,Leben,NOUN
