Token,Lemma,POS
Louise,Louise,PROPN
Aston,Aston,PROPN
Lydia,Lydia,X
Erstes,erster,ADJ
Kapitel,Kapitel,NOUN
»,--,PUNCT
Das,der,PRON
nenn,nenn,ADV
',--,PUNCT
ich,ich,PRON
in,in,ADP
der,der,DET
That,That,NOUN
ein,ein,DET
eigenthümliches,eigenthümlich,ADJ
Spiel,Spiel,NOUN
des,der,DET
Zufalls,Zufall,NOUN
",",--,PUNCT
Cornelia,Cornelia,PROPN
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
Sie,sie,PRON
hier,hier,ADV
wiedertreffen,wiedertreffen,VERB
muß,müssen,AUX
!,--,PUNCT
«,--,PUNCT
–,--,PUNCT
rief,rufen,VERB
ein,ein,DET
junger,jung,ADJ
Mann,Mann,NOUN
in,in,ADP
elegantem,elegant,ADJ
Reisekostüm,Reisekostüm,NOUN
auf,auf,ADP
der,der,DET
Promenade,Promenade,NOUN
des,der,DET
deutschen,deutsch,ADJ
Bades,Bad,NOUN
Pr---t,Pr---t,NOUN
einer,ein,DET
nicht,nicht,PART
minder,minder,ADV
elegant,elegant,ADV
",",--,PUNCT
aber,aber,CCONJ
weniger,weniger,ADV
geschmackvoll,geschmackvoll,ADV
gekleideten,gekleidet,ADJ
Dame,Dame,NOUN
zu,zu,ADP
",",--,PUNCT
deren,der,DET
ganze,ganz,ADJ
Erscheinung,Erscheinung,NOUN
den,der,DET
Eindruck,Eindruck,NOUN
machte,machen,VERB
",",--,PUNCT
als,als,SCONJ
wollte,wollen,AUX
sie,sie,PRON
den,der,DET
natürlichen,natürlich,ADJ
Reiz,Reiz,NOUN
der,der,DET
Jugend,Jugend,NOUN
",",--,PUNCT
welcher,welcher,PRON
den,der,DET
Zügen,Züg,NOUN
ihres,ihr,DET
Gesichts,Gesicht,NOUN
bereits,bereits,ADV
entflohen,entfliehen,VERB
war,sein,AUX
",",--,PUNCT
durch,durch,ADP
künstliche,künstlich,ADJ
Mittel,Mittel,NOUN
mit,mit,ADP
Gewalt,Gewalt,NOUN
an,an,ADP
sich,sich,PRON
fesseln,fesseln,VERB
.,--,PUNCT
»,--,PUNCT
Des,der,DET
Zufalls,Zufall,NOUN
",",--,PUNCT
lieber,lieb,ADJ
Baron,Baron,PROPN
?,--,PUNCT
des,der,DET
Glücks,Glück,NOUN
",",--,PUNCT
wollen,wollen,AUX
Sie,sie,PRON
sagen,sagen,VERB
.,--,PUNCT
–,--,PUNCT
Wahrhaftig,Wahrhaftig,ADV
des,der,DET
Glücks,glücks,NOUN
",",--,PUNCT
für,für,ADP
mich,mich,PRON
wenigstens,wenigstens,ADV
«,--,PUNCT
–,--,PUNCT
setzte,setzen,VERB
sie,sie,PRON
mit,mit,ADP
halb,halb,ADV
aufrichtiger,aufrichtig,ADJ
",",--,PUNCT
halb,halb,ADV
ironischer,ironisch,ADJ
Stimme,Stimme,NOUN
hinzu,hinzu,ADV
",",--,PUNCT
während,während,SCONJ
ein,ein,DET
eigenthümliches,eigenthümlich,ADJ
Lächeln,lächeln,NOUN
um,um,ADP
ihren,ihr,DET
farblosen,farblosen,NOUN
",",--,PUNCT
dünnen,dünn,ADJ
Mund,Mund,NOUN
spielte,spielen,VERB
.,--,PUNCT
Bekanntlich,bekanntlich,ADV
hat,haben,AUX
der,der,DET
Mensch,Mensch,NOUN
vor,vor,ADP
den,der,DET
Thieren,Thier,NOUN
–,--,PUNCT
den,der,DET
Affen,Affe,NOUN
etwa,etwa,ADV
ausgenommen,ausnehmen,VERB
–,--,PUNCT
unter,unter,ADP
vielen,vieler,DET
anderen,anderer,ADJ
Vorzügen,Vorzug,NOUN
hauptsächlich,hauptsächlich,ADV
zwei,zwei,NUM
",",--,PUNCT
die,der,PRON
ihn,ihn,PRON
ganz,ganz,ADV
besonders,besonders,ADV
