Token,Lemma,POS
Ludwig,Ludwig,PROPN
Anzengruber,Anzengruber,PROPN
Kalendergeschichten,Kalendergeschicht,NOUN
Eine,ein,DET
kleine,klein,ADJ
Plauderei,Plauderei,NOUN
als,als,ADP
Vorrede,Vorrede,NOUN
.,--,PUNCT
Es,es,PRON
ist,sein,AUX
eine,ein,DET
eigene,eigen,ADJ
Sache,Sache,NOUN
um,um,ADP
das,der,DET
Kalendermachen,Kalendermache,NOUN
",",--,PUNCT
ich,ich,PRON
meine,meinen,VERB
nicht,nicht,PART
",",--,PUNCT
um,um,SCONJ
das,der,PRON
Aufteilen,Aufteile,NOUN
der,der,DET
Tage,Tag,NOUN
und,und,CCONJ
das,der,DET
Zuteilen,zuteilen,NOUN
heiliger,heilig,ADJ
oder,oder,CCONJ
profaner,profan,ADJ
Namen,Name,NOUN
für,für,ADP
einen,ein,DET
jeden,jeder,PRON
derselben,derselbe,PRON
",",--,PUNCT
das,der,DET
Vorberichten,Vorberichten,NOUN
von,von,ADP
Mondes-,Monde,X
und,und,CCONJ
Sonnenfinsternissen,Sonnenfinsternissen,NOUN
",",--,PUNCT
Aufzählen,aufzählen,NOUN
der,der,DET
Fest-,Fest,X
und,und,CCONJ
Fasttage,Fasttage,NOUN
und,und,CCONJ
Anführen,Anführ,NOUN
der,der,DET
Bauernregeln,Bauernregel,NOUN
",",--,PUNCT
welche,welcher,PRON
so,so,ADV
heißen,heißen,VERB
",",--,PUNCT
weil,weil,SCONJ
sich,sich,PRON
wohl,wohl,ADV
die,der,DET
Bauern,Bauer,NOUN
danach,danach,ADV
richten,richten,VERB
",",--,PUNCT
aber,aber,CCONJ
leider,leider,ADV
nicht,nicht,PART
immer,immer,ADV
die,der,DET
Witterung,Witterung,NOUN
",",--,PUNCT
kurz,kurz,ADV
",",--,PUNCT
ich,ich,PRON
meine,meinen,VERB
nicht,nicht,PART
das,der,DET
Zusammenstellen,zusammenstellen,NOUN
alles,aller,PRON
dessen,der,PRON
",",--,PUNCT
wovon,wovon,SCONJ
laufenden,laufend,ADJ
Jahres,Jahr,NOUN
über,über,ADP
jeder,jeder,DET
Käufer,Käufer,NOUN
jedes,jeder,DET
Kalenders,Kalender,NOUN
aufs,auf,ADP
beste,gut,NOUN
unterrichtet,unterrichten,VERB
zu,zu,ADP
sein,sein,AUX
verlangt,verlangen,VERB
",",--,PUNCT
sondern,sondern,CCONJ
ich,ich,PRON
meine,meinen,VERB
die,der,DET
Abfassung,Abfassung,NOUN
des,der,DET
erzählenden,erzählend,ADJ
