Token,Lemma,POS
Ludwig,Ludwig,PROPN
Ganghofer,Ganghofer,PROPN
Der,der,DET
Jäger,Jäger,NOUN
von,von,ADP
Fall,Fall,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Vorspiel,vorspiel,NOUN
Eine,ein,DET
stille,still,ADJ
",",--,PUNCT
kalte,kalt,ADJ
Dezembernacht,Dezembernacht,NOUN
lag,liegen,VERB
über,über,ADP
dem,der,DET
Bergdorfe,Bergdorfe,NOUN
Lenggries,Lenggrie,PROPN
.,--,PUNCT
Die,der,DET
beschneiten,beschneit,ADJ
Berge,Berg,NOUN
schnitten,schneiden,VERB
scharf,scharf,ADV
in,in,ADP
das,der,DET
tiefe,tief,ADJ
Nachtblau,Nachtblau,NOUN
des,der,DET
Himmels,Himmel,NOUN
",",--,PUNCT
aus,aus,ADP
dem,der,PRON
die,der,DET
Sterne,Stern,NOUN
mit,mit,ADP
ruhigem,ruhig,ADJ
Glanz,Glanz,NOUN
herunterblickten,herunterblickt,VERB
in,in,ADP
das,der,DET
lange,lang,ADJ
",",--,PUNCT
schmale,schmal,ADJ
Tal,Tal,NOUN
.,--,PUNCT
Dick,Dick,PROPN
lag,liegen,VERB
der,der,DET
Schnee,Schnee,NOUN
auf,auf,ADP
Flur,Flur,NOUN
und,und,CCONJ
Weg,Weg,NOUN
",",--,PUNCT
auf,auf,ADP
den,der,DET
starrenden,starrend,ADJ
Ästen,Ast,NOUN
der,der,DET
Bäume,Baum,NOUN
und,und,CCONJ
auf,auf,ADP
den,der,DET
breiten,breit,ADJ
Dächern,Dach,NOUN
der,der,DET
Häuser,Haus,NOUN
",",--,PUNCT
hinter,hinter,ADP
deren,der,PRON
kleinen,klein,ADJ
Fenstern,Fenster,NOUN
das,der,DET
letzte,letzter,ADJ
Licht,Licht,NOUN
schon,schon,ADV
vor,vor,ADP
Stunden,Stunde,NOUN
erloschen,erloschen,VERB
war,sein,AUX
.,--,PUNCT
Nur,nur,ADV
die,der,DET
Wellen,Welle,NOUN
der,der,DET
Isar,Isar,PROPN
",",--,PUNCT
deren,der,DET
raschen,rasch,ADJ
Lauf,Lauf,NOUN
auch,auch,ADV
die,der,DET
eisige,eisig,ADJ
Winternacht,Winternacht,NOUN
nicht,nicht,PART
zum,zu,ADP
Stocken,stocken,NOUN
brachte,bringen,VERB
",",--,PUNCT
sprachen,sprechen,VERB
mit,mit,ADP
ihrem,ihr,DET
eintönigen,eintönig,ADJ
Rauschen,Rauschen,NOUN
ein,ein,DET
Wort,Wort,NOUN
in,in,ADP
die,der,DET
allesumfangende,allesumfangend,ADJ
Stille,Stille,NOUN
;,--,PUNCT
und,und,CCONJ
zwischendrein,zwischendrein,ADV
noch,noch,ADV
klang,klingen,VERB
von,von,ADP
Zeit,Zeit,NOUN
zu,zu,ADP
Zeit,Zeit,NOUN
der,der,DET
Anschlag,Anschlag,NOUN
eines,ein,DET
Hundes,Hund,NOUN
",",--,PUNCT
dem,der,PRON
die,der,DET
Vergeßlichkeit,Vergeßlichkeit,NOUN
oder,oder,CCONJ
das,der,DET
harte,hart,ADJ
Herz,Herz,NOUN
seines,sein,DET
Herrn,Herr,NOUN
die,der,DET
Tür,Tür,NOUN
verschlossen,verschließen,VERB
hatte,haben,AUX
und,und,CCONJ
der,der,PRON
nun,nun,ADV
aus,aus,ADP
seiner,sein,DET
fröstelnden,fröstelnd,ADJ
Ruhe,Ruhe,NOUN
unter,unter,ADP
der,der,DET
Hausbank,Hausbank,NOUN
auffuhr,auffahren,VERB
",",--,PUNCT
wenn,wenn,SCONJ
vor,vor,ADP
dem,der,DET
Hofgatter,Hofgatter,NOUN
die,der,DET
Tritte,Tritt,NOUN
des,der,DET
Nachtwächters,Nachtwächter,NOUN
im,in,ADP
Schnee,Schnee,NOUN
vorüberknirschten,vorüberknirschn,VERB
.,--,PUNCT
Langsam,langsam,ADV
machte,machen,VERB
der,der,DET
Mann,Mann,NOUN
dieses,dieser,DET
einsamen,einsam,ADJ
Geschäftes,Geschäft,NOUN
seine,sein,DET
Runde,Runde,NOUN
im,in,ADP
Dorf,Dorf,NOUN
",",--,PUNCT
eine,ein,DET
hagere,hag,VERB
",",--,PUNCT
noch,noch,ADV
junge,jung,ADJ
Gestalt,Gestalt,NOUN
",",--,PUNCT
eingehüllt,eingehüllen,VERB
in,in,ADP
einen,ein,DET
weitfaltigen,weitfaltig,ADJ
",",--,PUNCT
bis,bis,ADP
auf,auf,ADP
die,der,DET
Erde,Erde,NOUN
reichenden,reichend,ADJ
Mantel,Mantel,NOUN
",",--,PUNCT
dessen,der,DET
Pelzkragen,Pelzkrag,NOUN
aufgeschlagen,aufschlagen,VERB
war,sein,AUX
;,--,PUNCT
eine,ein,DET
dicke,dick,ADJ
Pelzmütze,Pelzmütze,NOUN
war,sein,AUX
tief,tief,ADV
über,über,ADP
den,der,DET
Kopf,Kopf,NOUN
gezogen,ziehen,VERB
",",--,PUNCT
so,so,ADV
daß,daß,SCONJ
zwischen,zwischen,ADP
Mantel,Mantel,NOUN
und,und,CCONJ
Mütze,Mütze,NOUN
nur,nur,ADV
der,der,DET
starke,stark,ADJ
",",--,PUNCT
eisgehauchte,eisgehaucht,ADJ
Schnurrbart,Schnurrbart,NOUN
hervorlugte,hervorlugen,VERB
.,--,PUNCT
Die,der,DET
Hände,Hand,NOUN
des,der,DET
nächtlichen,nächtlich,ADJ
Wanderers,Wanderer,NOUN
staken,staken,VERB
in,in,ADP
einem,ein,DET
Schliefer,Schliefer,NOUN
aus,aus,ADP
Fuchspelz,Fuchspelz,PROPN
.,--,PUNCT
Mit,mit,ADP
dem,der,DET
Quereisen,Quereise,NOUN
in,in,ADP
den,der,DET
Ellbogen,Ellbogen,ADV
eingehakt,eingehikten,VERB
",",--,PUNCT
hing,Hing,VERB
unter,unter,ADP
dem,der,DET
rechten,rechter,ADJ
Arm,Arm,NOUN
der,der,DET
hellebardenähnliche,hellebardenähnliche,NOUN
›Wachterspieß‹,›Wachterspieß‹,PUNCT
",",--,PUNCT
dessen,der,DET
Holzschaft,Holzschaft,NOUN
lautlos,lautlos,ADV
nachschleifte,nachschleifen,VERB
im,in,ADP
fußtiefen,fußtief,ADJ
Schnee,Schnee,NOUN
.,--,PUNCT
Plötzlich,plötzlich,ADV
hielt,halten,VERB
der,der,DET
Wächter,Wächter,NOUN
inne,inne,ADV
in,in,ADP
seiner,sein,DET
Wanderung,Wanderung,NOUN
.,--,PUNCT
Vor,vor,ADP
ihm,ihm,PRON
stand,stehen,VERB
ein,ein,DET
kleines,klein,ADJ
Haus,Haus,NOUN
",",--,PUNCT
dessen,der,DET
Giebelseite,Giebelseite,NOUN
bis,bis,ADP
dicht,dicht,ADV
an,an,ADP
die,der,DET
Straße,Straße,NOUN
reichte,reichen,VERB
",",--,PUNCT
von,von,ADP
der,der,PRON
es,es,PRON
durch,durch,ADP
einen,ein,DET
schmalen,schmal,ADJ
",",--,PUNCT
eingezäunten,eingezäunt,ADJ
Raum,Raum,NOUN
getrennt,trennen,VERB
wurde,werden,AUX
.,--,PUNCT
Wenn,wenn,SCONJ
man,man,PRON
sich,sich,PRON
ein,ein,DET
wenig,wenig,PRON
streckte,strecken,VERB
",",--,PUNCT
konnte,können,AUX
man,man,PRON
mit,mit,ADP
der,der,DET
Hand,Hand,NOUN
über,über,ADP
den,der,DET
Zaun,Zaun,NOUN
bis,bis,ADP
ans,an,ADP
Fenster,Fenster,NOUN
greifen,greifen,VERB
.,--,PUNCT
So,so,ADV
tat,tun,VERB
der,der,DET
Einsame,Einsame,NOUN
",",--,PUNCT
und,und,CCONJ
zweimal,zweimal,ADV
klirrte,klirren,VERB
unter,unter,ADP
einem,ein,DET
schwachen,schwach,ADJ
Klopfen,Klopfen,NOUN
das,der,DET
letzte,letzter,ADJ
der,der,DET
drei,drei,NUM
Fenster,Fenster,NOUN
.,--,PUNCT
Nach,nach,ADP
einer,ein,DET
Minute,Minute,NOUN
klopfte,klopften,VERB
er,er,PRON
wieder,wieder,ADV
",",--,PUNCT
etwas,etwas,ADV
stärker,stark,ADV
.,--,PUNCT
Wieder,wieder,ADV
wartete,warten,VERB
er,er,PRON
",",--,PUNCT
klopfte,klopften,VERB
von,von,ADP
neuem,neu,ADJ
und,und,CCONJ
immer,immer,ADV
wieder,wieder,ADV
.,--,PUNCT
Hinter,hinter,ADP
dem,der,DET
eisblumenbedeckten,eisblumenbedeckt,ADJ
Fenster,Fenster,NOUN
wollte,wollen,AUX
nichts,nichts,PRON
lebendig,lebendig,ADV
werden,werden,AUX
.,--,PUNCT
»,--,PUNCT
Heut,Heut,ADV
hört's,hört's,ADV
wieder,wieder,ADV
amal,amal,ADV
gar,gar,ADV
nix,nix,PRON
",",--,PUNCT
dös,dös,DET
Teufelsmadl,Teufelsmadl,NOUN
!,--,PUNCT
«,--,PUNCT
brummte,brummen,VERB
der,der,DET
Wächter,Wächter,NOUN
",",--,PUNCT
während,während,SCONJ
er,er,PRON
zusammenschauerte,zusammenschaueren,VERB
und,und,CCONJ
mit,mit,ADP
den,der,DET
Lippen,Lippe,NOUN
schnaubte,schnauben,VERB
",",--,PUNCT
daß,daß,SCONJ
ihm,ihm,PRON
die,der,DET
Eistropfen,eistropfen,NOUN
vom,von,ADP
Schnurrbart,Schnurrbart,NOUN
