Token,Lemma,POS
Ludwig,Ludwig,PROPN
Ganghofer,Ganghofer,PROPN
Die,der,DET
Brautfahrt,Brautfahrt,NOUN
des,der,DET
Damian,Damian,PROPN
Zagg,Zagg,PROPN
Bevor,bevor,SCONJ
ich,ich,PRON
die,der,DET
Epopöe,Epopöe,PROPN
dieser,dieser,DET
merkwürdigen,merkwürdig,ADJ
Brautfahrt,Brautfahrt,NOUN
erzähle,erzählen,VERB
",",--,PUNCT
hab,hab,ADV
',--,PUNCT
ich,ich,PRON
von,von,ADP
Damian,Damian,PROPN
Zagg,Zagg,PROPN
noch,noch,ADV
manches,mancher,DET
andere,anderer,PRON
zu,zu,PART
berichten,berichten,VERB
.,--,PUNCT
Sieben,sieben,NUM
Jahre,Jahr,NOUN
stand,stehen,VERB
er,er,PRON
als,als,ADP
Jäger,Jäger,NOUN
in,in,ADP
meinem,mein,DET
Dienst,Dienst,NOUN
",",--,PUNCT
und,und,CCONJ
obwohl,obwohl,SCONJ
er,er,PRON
sich,sich,PRON
schließlich,schließlich,ADV
die,der,DET
Stange,Stange,NOUN
bei,bei,ADP
mir,mir,PRON
zerbrach,Zerbrach,PROPN
",",--,PUNCT
so,so,ADV
daß,daß,SCONJ
ich,ich,PRON
ihn,ihn,PRON
nicht,nicht,PART
mehr,mehr,ADV
halten,halten,VERB
konnte,können,AUX
",",--,PUNCT
fiel,fallen,VERB
es,es,PRON
mir,mir,PRON
doch,doch,ADV
schwer,schwer,ADV
",",--,PUNCT
ihn,ihn,PRON
gehen,gehen,VERB
zu,zu,ADP
lassen,lassen,VERB
.,--,PUNCT
Da,da,ADV
kam,kommen,VERB
eines,ein,DET
Tages,Tag,NOUN
der,der,DET
Förster,Förster,NOUN
zu,zu,ADP
mir,mir,PRON
und,und,CCONJ
fragte,fragen,VERB
",",--,PUNCT
ob,ob,SCONJ
ich,ich,PRON
nicht,nicht,PART
einen,ein,DET
Jäger,Jäger,NOUN
brauchen,brauchen,VERB
könnte,können,AUX
;,--,PUNCT
er,er,PRON
wüßte,wüssen,VERB
mir,mir,PRON
einen,ein,DET
Menschen,Mensch,NOUN
zu,zu,PART
empfehlen,empfehlen,VERB
",",--,PUNCT
aus,aus,ADP
dem,der,PRON
was,was,PRON
zu,zu,ADP
machen,machen,VERB
wäre,sein,AUX
.,--,PUNCT
Die,der,DET
Sache,Sache,NOUN
hätte,haben,AUX
nur,nur,ADV
einen,ein,DET
kleinen,klein,ADJ
Haken,Haken,NOUN
;,--,PUNCT
der,der,DET
Damian,Damian,PROPN
Zagg,Zagg,PROPN
wäre,sein,AUX
bisher,bisher,ADV
ein,ein,DET
scharfer,scharf,ADJ
Wildschütz,Wildschütz,NOUN
gewesen,sein,AUX
.,--,PUNCT
Und,und,CCONJ
ein,ein,DET
schlauer,Schlauer,NOUN
!,--,PUNCT
Den,der,DET
man,man,PRON
in,in,ADP
zehn,zehn,NUM
Jahren,Jahr,NOUN
nicht,nicht,PART
ein,ein,DET
einzigesmal,einzigesmal,ADV
erwischt,erwischen,VERB
hätte,haben,AUX
.,--,PUNCT
Aber,aber,CCONJ
im,in,ADP
Gefühl,Gefühl,NOUN
seiner,sein,DET
erfolgreichen,erfolgreich,ADJ
Schlauheit,Schlauheit,NOUN
wäre,sein,AUX
er,er,PRON
übermütig,übermütig,ADV
geworden,werden,AUX
und,und,CCONJ
hätte,haben,AUX
am,an,ADP
hellen,hell,ADJ
Tag,Tag,NOUN
und,und,CCONJ
ganz,ganz,ADV
in,in,ADP
der,der,DET
Nähe,Nähe,NOUN
des,der,DET
Dorfes,Dorf,NOUN
einen,ein,DET
Rehbock,Rehbock,NOUN
geschossen,schießen,VERB
.,--,PUNCT
Und,und,CCONJ
da,da,ADV
wäre,sein,AUX
das,der,DET
Krüglein,Krüglein,NOUN
",",--,PUNCT
das,der,PRON
so,so,ADV
oft,oft,ADV
zum,zu,ADP
Brunnen,Brunnen,NOUN
gegangen,gehen,VERB
",",--,PUNCT
endlich,endlich,ADV
zerbrochen,zerbrechen,VERB
.,--,PUNCT
Und,und,CCONJ
der,der,DET
Danüan,Danüan,PROPN
hätte,haben,AUX
vierzehn,vierzehn,NUM
Tage,Tag,NOUN
brummen,brummen,VERB
müssen,müssen,AUX
.,--,PUNCT
Wenn,wenn,SCONJ
mich,mich,PRON
das,der,PRON
nicht,nicht,PART
scheniere,scheniern,VERB
–,--,PUNCT
?,--,PUNCT
Nein,nein,PART
",",--,PUNCT
das,der,PRON
schenierte,scheniern,VERB
mich,mich,PRON
nicht,nicht,PART
.,--,PUNCT
Wildschützen,wildschützen,NOUN
",",--,PUNCT
die,der,PRON
nicht,nicht,PART
aus,aus,ADP
Gewinnsucht,Gewinnsucht,NOUN
",",--,PUNCT
sondern,sondern,CCONJ
aus,aus,ADP
Leidenschaft,Leidenschaft,NOUN
wildern,wildern,VERB
",",--,PUNCT
sind,sein,AUX
noch,noch,ADV
immer,immer,ADV
gute,gut,ADJ
Jäger,Jäger,NOUN
geworden,werden,AUX
.,--,PUNCT
»,--,PUNCT
Bitte,bitte,PART
",",--,PUNCT
Herr,Herr,NOUN
Förster,Förster,PROPN
",",--,PUNCT
schicken,schicken,VERB
Sie,sie,PRON
mir,mir,PRON
den,der,DET
Mann,Mann,NOUN
!,--,PUNCT
«,--,PUNCT
Zwei,zwei,NUM
Tage,Tag,NOUN
später,spät,ADV
kam,kommen,VERB
der,der,DET
Damian,Damian,ADJ
Zagg,Zagg,PROPN
.,--,PUNCT
Ein,ein,DET
Prachtmensch,Prachtmensch,NOUN
",",--,PUNCT
der,der,PRON
mir,mir,PRON
auf,auf,ADP
den,der,DET
ersten,erster,ADJ
Blick,Blick,NOUN
gefiel,gefallen,VERB
.,--,PUNCT
So,so,ADV
an,an,ADP
die,der,DET
Dreißig,Dreißig,PROPN
",",--,PUNCT
und,und,CCONJ
gewachsen,wachsen,ADV
wie,wie,ADP
ein,ein,DET
Baum,Baum,NOUN
",",--,PUNCT
mit,mit,ADP
pechschwarzem,pechschwarz,ADJ
Haar,Haar,NOUN
und,und,CCONJ
Vollbart,Vollbart,NOUN
",",--,PUNCT
mit,mit,ADP
klugen,klug,ADJ
",",--,PUNCT
scharfen,scharf,ADJ
Augen,Auge,NOUN
",",--,PUNCT
die,der,PRON
feurig,feurig,ADV
herausblitzten,herausblitzten,VERB
aus,aus,ADP
dem,der,DET
streng,streng,ADV
geschnittenen,geschnitten,ADJ
Gesicht,Gesicht,NOUN
.,--,PUNCT
Sein,sein,DET
breiter,breit,ADJ
Rücken,Rücken,NOUN
war,sein,AUX
ein,ein,DET
bißchen,bißchen,PRON
gekrümmt,krümmen,VERB
–,--,PUNCT
später,spät,ADV
sagte,sagen,VERB
mir,mir,PRON
der,der,DET
Damian,Damian,NOUN
einmal,einmal,ADV
:,--,PUNCT
das,der,PRON
käme,kommen,VERB
vom,von,ADP
Hirschtragen,Hirschtragen,NOUN
in,in,ADP
der,der,DET
Nacht,Nacht,NOUN
.,--,PUNCT
Aber,aber,CCONJ
diese,dieser,DET
leichte,leicht,ADJ
Beugung,Beugung,NOUN
tat,tun,VERB
seinem,sein,DET
stattlichen,stattlich,ADJ
Bild,Bild,NOUN
keinen,kein,DET
Eintrag,Eintrag,NOUN
.,--,PUNCT
Auch,auch,ADV
gut,gut,ADV
gekleidet,kleiden,VERB
war,sein,AUX
er,er,PRON
.,--,PUNCT
Man,man,PRON
merkte,merken,VERB
gleich,gleich,ADV
",",--,PUNCT
daß,daß,SCONJ
Damian,Damian,PROPN
Zagg,Zagg,PROPN
was,was,PRON
hielt,halten,VERB
auf,auf,ADP
sich,sich,PRON
.,--,PUNCT
»,--,PUNCT
Also,also,ADV
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
ich,ich,PRON
.,--,PUNCT
»,--,PUNCT
Sie,sie,PRON
waren,sein,AUX
ein,ein,DET
Wildschütz,Wildschütz,NOUN
?,--,PUNCT
«,--,PUNCT
Bevor,bevor,SCONJ
er,er,PRON
antwortete,antworten,VERB
",",--,PUNCT
sah,sehen,VERB
er,er,PRON
mich,sich,PRON
an,an,ADP
mit,mit,ADP
einem,ein,DET
Blick,Blick,NOUN
",",--,PUNCT
als,als,SCONJ
müßte,müssen,AUX
er,er,PRON
mir,mir,PRON
durch,durch,ADP
die,der,DET
Nieren,Niere,NOUN
gucken,gucken,VERB
.,--,PUNCT
Dann,dann,ADV
sagte,sagen,VERB
er,er,PRON
ruhig,ruhig,ADV
:,--,PUNCT
»,--,PUNCT
Jetzt,jetzt,ADV
kon,kon,NOUN
i,i,ADP
allweil,Allweil,NOUN
nimmer,nimmer,ADV
na,na,PART
sagen,sagen,VERB
...,--,PUNCT
derzeit,derzeit,ADV
s',s',X
mi,mi,X
ein,ein,DET
gspunna,Gspunna,ADV
haben,haben,AUX
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Und,und,CCONJ
jetzt,jetzt,ADV
wollen,wollen,AUX
Sie,sie,PRON
Jäger,Jäger,NOUN
werden,werden,AUX
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Ja,ja,PART
",",--,PUNCT
taat,Taat,NOUN
scho,Scho,PROPN
bitten,bitten,VERB
.,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Warum,warum,ADV
?,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Weil,weil,SCONJ
is,--,X
net,net,ADV
lassen,lassen,VERB
kon,kon,NOUN
.,--,PUNCT
Und,und,CCONJ
in,in,ADP
der,der,DET
Grichtssuppen,Grichtssuppe,NOUN
hab,Hab,ADP
i,i,PROPN
a,a,PROPN
Haar,Haar,PROPN
gfunden,gfunden,VERB
.,--,PUNCT
I,I,NUM
bin,sein,X
a,--,X
bessere,gut,ADJ
Kost,Kost,NOUN
gwöhnt,gwöhnen,VERB
.,--,PUNCT
«,--,PUNCT
Wie,wie,SCONJ
er,er,PRON
das,der,PRON
sagte,sagen,VERB
",",--,PUNCT
das,der,PRON
wirkte,wirken,VERB
so,so,ADV
drollig,drollig,ADV
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
lachen,lachen,VERB
mußte,müssen,AUX
.,--,PUNCT
»,--,PUNCT
Da,da,ADV
!,--,PUNCT
Nehmen,nehmen,VERB
Sie,sie,PRON
einen,ein,DET
Stuhl,Stuhl,NOUN
und,und,CCONJ
setzen,setzen,VERB
Sie,sie,PRON
