Token,Lemma,POS
Ludwig,Ludwig,PROPN
Ganghofer,Ganghofer,PROPN
Die,der,DET
Mühle,Mühle,NOUN
am,an,ADP
Fundensee,Fundensee,PROPN
Gegen,gegen,ADP
Westen,Westen,NOUN
",",--,PUNCT
jenseits,jenseits,ADP
der,der,DET
dunklen,dunkel,ADJ
Massen,Masse,NOUN
des,der,DET
Kranzgebirges,Kranzgebirg,NOUN
und,und,CCONJ
der,der,DET
Palfenhömer,Palfenhömer,NOUN
",",--,PUNCT
standen,stehen,VERB
am,an,ADP
nachtblauen,nachtblau,ADJ
Himmel,Himmel,NOUN
noch,noch,ADV
mit,mit,ADP
sanftem,sanft,ADJ
Schein,Schein,NOUN
die,der,DET
Sterne,Stern,NOUN
",",--,PUNCT
während,während,SCONJ
sich,sich,PRON
im,in,ADP
Osten,Osten,NOUN
zwischen,zwischen,ADP
tiefgesenkten,tiefgesenkten,ADJ
Felsenscharten,Felsenscharten,NOUN
schon,schon,ADV
der,der,DET
erste,erster,ADJ
fahle,fahl,ADJ
Schimmer,Schimmer,NOUN
des,der,DET
werdenden,werdend,ADJ
Septembertages,Septembertag,NOUN
zeigen,zeigen,VERB
wollte,wollen,AUX
.,--,PUNCT
Höher,Höher,ADV
und,und,CCONJ
höher,hoch,ADV
zog,ziehen,VERB
das,der,DET
erdämmernde,erdämmernd,ADJ
Licht,Licht,NOUN
.,--,PUNCT
Stern,Stern,NOUN
um,um,ADP
Stern,Stern,NOUN
erlosch,erlosch,ADV
.,--,PUNCT
In,in,ADP
mattem,matt,ADJ
Glanze,Glanze,NOUN
tauchten,tauchen,VERB
die,der,DET
steilen,steil,ADJ
Kuppen,Kuppe,NOUN
aus,aus,ADP
dem,der,DET
weichenden,weichend,ADJ
Dunkel,Dunkel,NOUN
hervor,hervor,ADV
.,--,PUNCT
Kleine,klein,NOUN
",",--,PUNCT
langgestreckte,langgestreckt,ADJ
Wolken,Wolke,NOUN
säumten,säumen,VERB
sich,sich,PRON
schon,schon,ADV
mit,mit,ADP
blassem,blass,ADJ
Rot,rote,NOUN
",",--,PUNCT
leise,leise,ADV
rauschend,rauschend,ADV
erwachte,erwachen,VERB
der,der,DET
Morgenwind,Morgenwind,NOUN
",",--,PUNCT
und,und,CCONJ
tief,tief,ADV
im,in,ADP
Tal,Tal,NOUN
begannen,beginnen,VERB
sich,sich,PRON
die,der,DET
schweren,schwer,ADJ
Nebel,Nebel,NOUN
zu,zu,ADP
heben,heben,VERB
.,--,PUNCT
Auch,auch,ADV
auf,auf,ADP
der,der,DET
schroffen,schroff,ADJ
Höhe,Höhe,NOUN
des,der,DET
Stuhljoches,Stuhljoch,NOUN
",",--,PUNCT
eines,ein,DET
kahlen,kahl,ADJ
Ausläufers,Ausläufer,NOUN
der,der,DET
Fundensee-Tauern,Fundensee-Tau,NOUN
",",--,PUNCT
entwirrte,entwirrn,VERB
das,der,DET
steigende,steigend,ADJ
Licht,Licht,NOUN
die,der,DET
hundertfältigen,hundertfältig,ADJ
Konturen,Kontur,NOUN
der,der,DET
klotzigen,klotzig,ADJ
Steine,Stein,NOUN
.,--,PUNCT
Und,und,CCONJ
nun,nun,ADV
behauchte,behauchen,VERB
das,der,DET
flimmernde,flimmernd,ADJ
Frührot,Frührot,NOUN
den,der,DET
Felsblock,Felsblock,NOUN
",",--,PUNCT
der,der,DET
als,als,ADP
höchster,hoch,NOUN
über,über,ADP
seinen,sein,DET
Brüdern,Brüdern,NOUN
thronte,thronen,VERB
.,--,PUNCT
Ihm,ihm,PRON
zu,zu,ADP
Füßen,Fuß,NOUN
saß,sitzen,VERB
ein,ein,DET
junger,jung,ADJ
Jäger,Jäger,NOUN
.,--,PUNCT
Quer,Quer,ADV
im,in,ADP
Schoße,Schoße,NOUN
lag,liegen,VERB
ihm,ihm,PRON
die,der,DET
Büchse,Büchse,NOUN
",",--,PUNCT
und,und,CCONJ
die,der,DET
beiden,beide,DET
Arme,Arm,NOUN
hielt,halten,VERB
er,er,PRON
um,um,ADP
die,der,DET
aufgezogenen,aufgezogen,ADJ
Knie,Knie,NOUN
geschlungen,geschlungen,VERB
.,--,PUNCT
Das,der,DET
hagere,hag,ADJ
",",--,PUNCT
bartlose,bartlos,ADJ
Gesicht,Gesicht,NOUN
war,sein,AUX
gebräunt,gebräunt,ADV
",",--,PUNCT
doch,doch,CCONJ
blaß,Blaß,PROPN
",",--,PUNCT
mit,mit,ADP
schmalen,schmal,ADJ
",",--,PUNCT
trockenen,trocken,ADJ
Lippen,Lippe,NOUN
.,--,PUNCT
Ein,ein,DET
rötlichblondes,rötlichblond,ADJ
Haar,Haar,NOUN
quoll,quoll,ADV
in,in,ADP
schlaffen,schlaffen,VERB
Strähnen,Strähne,NOUN
unter,unter,ADP
dem,der,DET
dunkelgrünen,dunkelgrün,ADJ
Hut,Hut,NOUN
hervor,hervor,ADV
.,--,PUNCT
Der,der,DET
Jäger,Jäger,NOUN
rührte,rühren,VERB
sich,sich,PRON
nicht,nicht,PART
.,--,PUNCT
Nur,nur,ADV
in,in,ADP
seinen,sein,DET
Augen,Auge,NOUN
war,sein,AUX
Leben,Leben,NOUN
.,--,PUNCT
Das,der,PRON
waren,sein,AUX
große,groß,ADJ
",",--,PUNCT
dunkle,dunkel,ADJ
Augen,Auge,NOUN
",",--,PUNCT
in,in,ADP
denen,der,PRON
ein,ein,DET
heißes,heiß,ADJ
",",--,PUNCT
unruhiges,unruhig,ADJ
Feuer,Feuer,NOUN
brannte,brennen,VERB
.,--,PUNCT
Mit,mit,ADP
dem,der,DET
furchtlosen,furchtlose,ADJ
Blick,Blick,NOUN
dieser,dieser,DET
Augen,Auge,NOUN
",",--,PUNCT
die,der,DET
dem,der,DET
Gesicht,Gesicht,NOUN
einen,ein,DET
kraftvollen,kraftvoll,ADJ
Ausdruck,Ausdruck,NOUN
gaben,geben,VERB
",",--,PUNCT
bildete,bilden,VERB
das,der,DET
Knabenhafte,Knabenhafte,NOUN
der,der,DET
schmalen,schmal,ADJ
Wangen,Wang,NOUN
und,und,CCONJ
das,der,DET
runde,rund,ADJ
",",--,PUNCT
sanfte,sanft,ADJ
Kinn,Kinn,NOUN
einen,ein,DET
seltsamen,seltsam,ADJ
Widerspruch,Widerspruch,NOUN
.,--,PUNCT
Aus,aus,ADP
diesem,dieser,DET
Gesichte,Gesicht,NOUN
redete,reden,VERB
eine,ein,DET
leidenschaftliche,leidenschaftlich,ADJ
Seele,Seele,NOUN
und,und,CCONJ
ein,ein,DET
weiches,weich,ADJ
",",--,PUNCT
kindliches,kindlich,ADJ
Herz,Herz,NOUN
.,--,PUNCT
Immer,immer,ADV
höher,hoch,ADV
stieg,steigen,VERB
der,der,DET
Tag,Tag,NOUN
.,--,PUNCT
In,in,ADP
langen,lang,ADJ
",",--,PUNCT
farbigen,farbig,ADJ
Bändern,Bänder,NOUN
schwamm,schwamm,VERB
das,der,DET
Licht,Licht,NOUN
der,der,DET
nahenden,nahend,ADJ
Sonne,Sonne,NOUN
über,über,ADP
den,der,DET
Himmel,Himmel,NOUN
empor,empor,ADV
.,--,PUNCT
Alle,aller,DET
Spitzen,Spitze,NOUN
waren,sein,AUX
in,in,ADP
rosige,rosig,ADJ
Glut,Glut,NOUN
getaucht,tauchen,VERB
.,--,PUNCT
Und,und,CCONJ
während,während,SCONJ
durch,durch,ADP
die,der,DET
mächtige,mächtig,ADJ
Felsenscharte,Felsenschart,NOUN
des,der,DET
Wildtores,Wildtore,NOUN
die,der,PRON
übergossene,übergossen,ADJ
Alm,Alm,NOUN
herüberblickte,herüberblicken,VERB
wie,wie,ADP
ein,ein,DET
regungsloser,regungslos,ADJ
Blut–See,Blut–See,NOUN
",",--,PUNCT
deckten,deckt,VERB
violette,Violette,NOUN
Tinten,Tint,NOUN
die,der,DET
wellige,wellig,ADJ
Fläche,Fläche,NOUN
des,der,DET
Steinernen,steinern,ADJ
Meeres,Meer,NOUN
.,--,PUNCT
Schon,schon,ADV
senkte,senken,VERB
sich,sich,PRON
das,der,DET
farbige,farbig,ADJ
Frühlicht,Frühlicht,NOUN
in,in,ADP
das,der,DET
von,von,ADP
terrassenförmigen,terrassenförmigen,ADJ
Höhen,Höhe,NOUN
umschlossene,umschlossen,ADJ
Almental,Almental,NOUN
",",--,PUNCT
das,der,PRON
",",--,PUNCT
zweitausend,zweitausend,ADV
Meter,Meter,NOUN
über,über,ADP
dem,der,DET
Meer,Meer,NOUN
",",--,PUNCT
inmitten,inmitten,ADP
eines,ein,DET
langgestreckten,langgestreckt,VERB
",",--,PUNCT
grünen,grün,ADJ
Weidelandes,Weideland,NOUN
ein,ein,DET
tiefes,tief,ADJ
Becken,Becken,NOUN
bildet,bilden,VERB
",",--,PUNCT
in,in,ADP
dem,der,PRON
der,der,DET
Fundensee,Fundensee,PROPN
seine,sein,DET
grünblauen,grünblau,ADJ
",",--,PUNCT
geheimnisvollen,geheimnisvoll,ADJ
Fluten,Flut,NOUN
sammelte,sammeln,VERB
.,--,PUNCT
Graue,Graue,PROPN
Nebel,Nebel,NOUN
dampften,dampften,VERB
von,von,ADP
dem,der,DET
stillen,still,ADJ
Spiegel,Spiegel,NOUN
auf,auf,ADP
;,--,PUNCT
je,je,ADV
höher,hoch,ADV
sie,sie,PRON
stiegen,steigen,VERB
",",--,PUNCT
desto,desto,ADV
leichter,leicht,ADV
wurden,werden,AUX
ihre,ihr,DET
Formen,Form,NOUN
.,--,PUNCT
Sie,sie,PRON
färbten,färben,VERB
sich,sich,PRON
violett,violett,VERB
und,und,CCONJ
wogten,wogen,VERB
im,in,ADP
Streit,Streit,NOUN
des,der,DET
Morgenwindes,Morgenwind,PRON
hin,hin,ADV
und,und,CCONJ
her,her,ADV
",",--,PUNCT
bis,bis,SCONJ
sie,sie,PRON
in,in,ADP
den,der,DET
Lüften,Lüft,NOUN
zu,zu,ADP
rosigem,rosig,ADJ
Dunst,Dunst,NOUN
zerflossen,zerflossen,VERB
.,--,PUNCT
Auf,auf,ADP
der,der,DET
Kuppe,Kuppe,NOUN
des,der,DET
Stuhljoches,Stuhljoch,NOUN
saß,sitzen,VERB
der,der,DET
junge,jung,ADJ
Jäger,Jäger,NOUN
noch,noch,ADV
immer,immer,ADV
unbeweglich,unbeweglich,ADV
zu,zu,ADP
Füßen,Fuß,NOUN
der,der,DET
rotglühenden,rotglühend,ADJ
