Token,Lemma,POS
Ludwig,Ludwig,PROPN
Ganghofer,Ganghofer,PROPN
Schloß,Schloß,NOUN
Hubertus,Hubertus,PROPN
Roman,Roman,NOUN
Erstes,erster,ADJ
Buch,Buch,NOUN
1,1,NUM
Schwül,Schwül,PROPN
und,und,CCONJ
dunstig,dunstig,ADV
lag,liegen,VERB
der,der,DET
heiße,heiß,ADJ
Nachmittag,Nachmittag,NOUN
über,über,ADP
dem,der,DET
Bergwald,Bergwald,NOUN
.,--,PUNCT
An,an,ADP
den,der,DET
Buchen,Buche,NOUN
rührte,rühren,VERB
sich,sich,PRON
kein,kein,DET
Blatt,Blatt,NOUN
",",--,PUNCT
an,an,ADP
den,der,DET
dunklen,dunkel,ADJ
Fichten,Fichte,NOUN
schwankte,schwanken,VERB
kein,kein,DET
Wipfel,Wipfel,NOUN
.,--,PUNCT
Aus,aus,ADP
der,der,DET
Tiefe,Tiefe,NOUN
des,der,DET
Tales,Tal,NOUN
klang,klingen,VERB
zuweilen,zuweilen,ADV
ein,ein,DET
verschwommener,verschwommen,ADJ
Laut,laut,NOUN
herauf,Herauf,ADV
–,--,PUNCT
die,der,PRON
schwere,schwer,ADJ
Luft,Luft,NOUN
erstickte,ersticken,VERB
jeden,jeder,DET
Ton,Ton,NOUN
zu,zu,ADP
einem,ein,DET
unbestimmten,unbestimmt,ADJ
Geräusch,Geräusch,NOUN
.,--,PUNCT
Sonst,sonst,ADV
keine,kein,DET
Stimme,Stimme,NOUN
des,der,DET
Lebens,Leben,NOUN
",",--,PUNCT
kein,kein,DET
Vogelruf,Vogelruf,NOUN
im,in,ADP
Bergwald,Bergwald,NOUN
.,--,PUNCT
Nur,nur,ADV
manchmal,manchmal,ADV
ein,ein,DET
leises,leis,ADJ
Rascheln,Raschel,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
ein,ein,DET
dürrer,dürr,ADJ
Zweig,Zweig,NOUN
durch,durch,ADP
die,der,DET
Blätter,Blatt,NOUN
fiel,fallen,VERB
.,--,PUNCT
In,in,ADP
dieser,dieser,DET
Stille,Stille,NOUN
ein,ein,DET
leichter,leicht,ADJ
Schritt,Schritt,NOUN
.,--,PUNCT
Auf,auf,ADP
dem,der,DET
tiefer,tief,ADV
liegenden,liegend,ADJ
Pfad,Pfad,NOUN
",",--,PUNCT
zwischen,zwischen,ADP
sonnigem,sonnig,ADJ
Laubwerk,Laubwerk,NOUN
",",--,PUNCT
schimmerte,schimmeren,VERB
ein,ein,DET
weißes,weiß,ADJ
Gewand,Gewand,NOUN
.,--,PUNCT
»,--,PUNCT
Gundi,Gundi,NOUN
?,--,PUNCT
«,--,PUNCT
Der,der,DET
fragende,fragend,ADJ
Ruf,Ruf,NOUN
klang,klingen,VERB
durch,durch,ADP
den,der,DET
stillen,still,ADJ
Wald,Wald,NOUN
wie,wie,ADP
der,der,DET
Ton,Ton,NOUN
einer,ein,DET
silbernen,Silbern,NOUN
Glocke,Glocke,NOUN
.,--,PUNCT
Dann,dann,ADV
ein,ein,DET
perlendes,perlend,ADJ
Lachen,lachen,NOUN
.,--,PUNCT
An,an,ADP
einer,ein,DET
Wendung,Wendung,NOUN
des,der,DET
Pfades,Pfad,NOUN
erschien,erscheinen,VERB
eine,ein,DET
schlanke,schlank,ADJ
Mädchengestalt,Mädchengestalt,NOUN
in,in,ADP
duftigem,duftig,ADJ
Sommerkleid,Sommerkleid,NOUN
.,--,PUNCT
Hut,Hut,NOUN
und,und,CCONJ
Fächer,Fach,NOUN
flogen,fliegen,VERB
ins,in,ADP
Moos,Moos,NOUN
",",--,PUNCT
und,und,CCONJ
zu,zu,ADP
Füßen,Fuß,NOUN
einer,ein,DET
riesigen,riesig,ADJ
Buche,Buch,NOUN
",",--,PUNCT
die,der,PRON
mit,mit,ADP
weitgespannten,weitgespannt,ADJ
Ästen,Ast,NOUN
den,der,DET
Platz,Platz,NOUN
überschattete,überschatten,VERB
",",--,PUNCT
ließ,lassen,VERB
sie,sie,PRON
sich,sich,PRON
niedersinken,niedersinken,VERB
.,--,PUNCT
Leuchtend,Leuchtend,ADV
hob,heben,VERB
sich,sich,PRON
die,der,DET
weiße,weiß,ADJ
Gestalt,Gestalt,NOUN
mit,mit,ADP
ihren,ihr,DET
feinen,fein,ADJ
Linien,Linie,NOUN
aus,aus,ADP
dem,der,DET
grünen,grün,ADJ
Grund,Grund,NOUN
;,--,PUNCT
unter,unter,ADP
dem,der,DET
Saum,Saum,NOUN
des,der,DET
Kleides,Kleid,NOUN
lugten,lugn,VERB
die,der,DET
schmalen,schmal,ADJ
Füßchen,Füßche,NOUN
hervor,hervor,ADV
",",--,PUNCT
deren,der,DET
zierliche,zierlich,ADJ
Schuhe,Schuh,NOUN
von,von,ADP
den,der,DET
scharfen,scharf,ADJ
Steinen,Stein,NOUN
des,der,DET
Bergpfades,Bergpfad,NOUN
übel,übel,ADV
gelitten,gelitten,VERB
hatten,haben,AUX
;,--,PUNCT
zwischen,zwischen,ADP
dem,der,DET
kurzen,kurz,ADJ
",",--,PUNCT
fein,fein,ADV
gefälteten,gefältet,ADJ
Ärmel,Ärmel,NOUN
und,und,CCONJ
dem,der,DET
hohen,hoch,ADJ
blaßgelben,blaßgelb,ADJ
Lederhandschuh,Lederhandschuh,NOUN
zeigte,zeigen,VERB
sich,sich,PRON
ein,ein,DET
schmaler,schmal,ADJ
Streif,Streif,NOUN
des,der,DET
rosigen,rosig,ADJ
Armes,Arme,NOUN
;,--,PUNCT
unter,unter,ADP
raschen,rasch,ADJ
Atemzügen,Atemzüg,NOUN
",",--,PUNCT
von,von,ADP
denen,der,PRON
sie,sie,PRON
jeden,jeder,DET
wie,wie,ADP
eine,ein,DET
Erquickung,Erquickung,NOUN
zu,zu,PART
genießen,genießen,VERB
schien,scheinen,VERB
",",--,PUNCT
hob,heben,VERB
und,und,CCONJ
senkte,senken,VERB
sich,sich,PRON
die,der,DET
junge,jung,ADJ
Brust,Brust,NOUN
.,--,PUNCT
Gleich,gleich,ADV
einer,ein,DET
Blume,Blume,NOUN
",",--,PUNCT
die,der,DET
in,in,ADP
der,der,DET
Sonne,Sonne,NOUN
dürstet,dürsten,VERB
",",--,PUNCT
hing,Hing,VERB
das,der,DET
Köpfchen,Köpfchen,NOUN
auf,auf,ADP
die,der,DET
Schulter,Schulter,NOUN
;,--,PUNCT
ein,ein,DET
schmales,schmal,ADJ
",",--,PUNCT
edles,edl,ADJ
Gesicht,Gesicht,NOUN
",",--,PUNCT
nun,nun,ADV
freilich,freilich,ADV
glühend,glühend,ADV
wie,wie,ADP
Purpur,Purpur,PROPN
",",--,PUNCT
umrahmt,umrahmen,VERB
von,von,ADP
aschblondem,Aschblondem,ADJ
Haar,Haar,NOUN
",",--,PUNCT
dessen,der,PRON
losgesprungene,losgesprungen,ADJ
Löckchen,Löckchen,NOUN
sich,sich,PRON
schimmernd,schimmernd,ADV
um,um,ADP
die,der,DET
Stirne,Stirne,NOUN
kräuselten,kräuselen,VERB
;,--,PUNCT
darunter,darunter,ADV
zwei,zwei,NUM
große,groß,ADJ
blaue,blau,ADJ
Augen,Auge,NOUN
",",--,PUNCT
lichter,licht,ADV
als,als,ADP
das,der,DET
Blau,blaue,NOUN
der,der,DET
Veilchen,Veilchen,NOUN
",",--,PUNCT
dunkler,dunkel,ADV
als,als,ADP
die,der,DET
Bläue,Bläue,NOUN
des,der,DET
Himmels,Himmel,NOUN
und,und,CCONJ
staunend,staunend,ADV
",",--,PUNCT
strahlend,strahlend,ADV
in,in,ADP
heiterer,Heiterer,ADJ
Lebensfreude,Lebensfreude,NOUN
.,--,PUNCT
Als,als,SCONJ
sie,sie,PRON
den,der,DET
Schatten,Schatten,NOUN
gesucht,suchen,VERB
",",--,PUNCT
war,sein,AUX
es,es,PRON
diesen,dieser,DET
lachenden,lachend,ADJ
Augen,Auge,NOUN
entgangen,entgehen,VERB
",",--,PUNCT
daß,daß,SCONJ
an,an,ADP
dem,der,DET
Stamm,Stamm,NOUN
der,der,DET
Buche,Buch,NOUN
ein,ein,DET
Täfelchen,Täfelchen,NOUN
befestigt,befestigen,VERB
hing,Hing,PROPN
",",--,PUNCT
ein,ein,DET
»,--,PUNCT
Marterl,Marterl,NOUN
«,--,PUNCT
.,--,PUNCT
Das,der,PRON
verwitterte,verwittert,ADJ
Bild,Bild,NOUN
mit,mit,ADP
der,der,DET
halb,halb,ADV
erloschenen,erloschen,ADJ
Schrift,Schrift,NOUN
erzählte,erzählen,VERB
",",--,PUNCT
daß,daß,SCONJ
an,an,ADP
dieser,dieser,DET
Stelle,Stelle,NOUN
vor,vor,ADP
Jahr,Jahr,NOUN
und,und,CCONJ
Tag,Tag,NOUN
der,der,DET
Tod,Tod,NOUN
ein,ein,DET
Leben,Leben,NOUN
zerbrochen,zerbrechen,VERB
habe,haben,AUX
.,--,PUNCT
Hier,hier,ADV
ruhte,ruhen,VERB
sie,sie,PRON
",",--,PUNCT
lächelnd,lächelnd,ADV
und,und,CCONJ
träumend,träumend,ADV
in,in,ADP
ihrer,ihr,DET
Jugend,Jugend,NOUN
und,und,CCONJ
Schönheit,Schönheit,NOUN
.,--,PUNCT
Und,und,CCONJ
die,der,DET
Erde,Erde,NOUN
",",--,PUNCT
auf,auf,ADP
der,der,PRON
sie,sie,PRON
ruhte,ruhen,VERB
",",--,PUNCT
hatte,haben,AUX
Blut,Blut,NOUN
getrunken,trinken,VERB
.,--,PUNCT
Gewannen,Gewann,NOUN
die,der,DET
dunklen,dunkel,ADJ
Schatten,Schatten,NOUN
",",--,PUNCT
die,der,PRON
den,der,DET
Ort,Ort,NOUN
umschwebten,umschwebten,VERB
",",--,PUNCT
Macht,Macht,NOUN
über,über,ADP
die,der,DET
junge,jung,ADJ
Seele,Seele,NOUN
?,--,PUNCT
Das,der,DET
Lächeln,lächeln,NOUN
schwand,schwehen,VERB
von,von,ADP
den,der,DET
Lippen,Lippe,NOUN
des,der,DET
Mädchens,Mädchen,NOUN
",",--,PUNCT
der,der,DET
Frohsinn,Frohsinn,NOUN
ihres,ihr,DET
Gesichtes,Gesicht,NOUN
verwandelte,verwandeln,VERB
sich,sich,PRON
in,in,ADP
sinnenden,sinnencd,ADJ
Ernst,Ernst,NOUN
.,--,PUNCT
Ihre,ihr,DET
Augen,Auge,NOUN
blickten,blicken,VERB
ziellos,ziellos,ADV
durch,durch,ADP
eine,ein,DET
