Token,Lemma,POS
Ludwig,Ludwig,PROPN
Salomon,Salomon,PROPN
Die,der,DET
Blüchertrompete,Blüchertrompet,NOUN
Eine,ein,DET
Geschichte,Geschichte,NOUN
aus,aus,ADP
der,der,DET
Lüneburger,Lüneburger,ADJ
Heide,Heide,PROPN
Separat-Ausgabe,Separat-Ausgabe,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Meiner,meiner,DET
lieben,lieben,VERB
Frau,Frau,NOUN
",",--,PUNCT
der,der,DET
treuen,treu,ADJ
Begleiterin,Begleiterin,NOUN
auf,auf,ADP
meinen,mein,DET
literarischen,literarisch,ADJ
Pfaden,Pfad,NOUN
",",--,PUNCT
herzlich,herzlich,ADV
zugeeignet,zugeeignet,VERB
.,--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Vorwort,Vorwort,NOUN
zur,zu,ADP
dritten,dritter,ADJ
Ausgabe,Ausgabe,NOUN
Als,als,SCONJ
vor,vor,ADP
nunmehr,nunmehr,ADV
fünfunddreißig,fünfunddreißig,ADV
Jahren,Jahr,NOUN
der,der,DET
Verfasser,Verfasser,NOUN
diese,dieser,DET
Geschichte,Geschichte,NOUN
eines,ein,DET
Blücherschen,blüchersch,ADJ
Trompeters,Trompeter,NOUN
schrieb,schreiben,VERB
",",--,PUNCT
durchzitterte,durchzitteren,VERB
das,der,DET
deutsche,deutsch,ADJ
Volk,Volk,NOUN
noch,noch,CCONJ
die,der,DET
heftige,heftig,ADJ
Erregung,Erregung,NOUN
des,der,DET
soeben,soeben,ADV
erst,erst,ADV
zum,zu,ADP
Abschluß,Abschluß,NOUN
gebrachten,gebracht,ADJ
Kampfes,Kampf,NOUN
mit,mit,ADP
Frankreich,Frankreich,PROPN
;,--,PUNCT
doch,doch,CCONJ
zugleich,zugleich,ADV
blickte,blicken,VERB
die,der,DET
ganze,ganz,ADJ
Nation,Nation,NOUN
auch,auch,ADV
mit,mit,ADP
hochgestimmter,hochgestimmt,ADJ
Freude,Freude,NOUN
auf,auf,ADP
das,der,DET
wiedererstandene,wiedererstanden,ADJ
Reich,Reich,NOUN
",",--,PUNCT
das,der,PRON
so,so,ADV
lange,lange,ADV
die,der,DET
Sehnsucht,Sehnsucht,NOUN
aller,aller,DET
Patrioten,Patrioten,NOUN
gewesen,sein,AUX
",",--,PUNCT
für,für,ADP
das,der,PRON
die,der,DET
Väter,Vater,NOUN
gelitten,gelitten,VERB
und,und,CCONJ
selbst,selbst,ADV
in,in,ADP
Kerkern,Kerker,NOUN
geschmachtet,schmachten,VERB
hatten,haben,AUX
.,--,PUNCT
Mit,mit,ADP
tiefklopfendem,tiefklopfend,ADJ
Herzen,Herzen,NOUN
schauten,schauen,VERB
aller,aller,DET
Augen,Auge,NOUN
zu,zu,ADP
dem,der,DET
stolzen,stolz,ADJ
Gebäude,Gebäude,NOUN
empor,empor,ADV
–,--,PUNCT
jetzt,jetzt,ADV
endlich,endlich,ADV
stand,stehen,VERB
Deutschland,Deutschland,PROPN
wieder,wieder,ADV
groß,groß,ADV
und,und,CCONJ
mächtig,mächtig,ADV
da,da,ADV
",",--,PUNCT
jetzt,jetzt,ADV
endlich,endlich,ADV
durfte,dürfen,AUX
man,man,PRON
sich,sich,PRON
wieder,wieder,ADV
stolz,stolz,ADV
einen,ein,DET
Deutschen,deutsche,NOUN
nennen,nennen,VERB
!,--,PUNCT
Diese,dieser,DET
Freude,Freude,NOUN
ist,sein,AUX
auch,auch,ADV
die,der,DET
Grundstimmung,Grundstimmung,NOUN
der,der,DET
vorliegenden,vorliegend,ADJ
Erzählung,Erzählung,NOUN
",",--,PUNCT
sie,sie,PRON
mag,mögen,VERB
heute,heute,ADV
",",--,PUNCT
da,da,SCONJ
wir,wir,PRON
den,der,DET
Ereignissen,Ereignis,NOUN
ferner,ferner,ADV
stehen,stehen,VERB
",",--,PUNCT
vielleicht,vielleicht,ADV
diesem,dieser,PRON
und,und,CCONJ
jenem,jener,DET
zu,zu,ADP
enthusiastisch,enthusiastisch,ADV
erscheinen,erscheinen,VERB
;,--,PUNCT
mancher,mancher,PRON
will,wollen,AUX
sich,sich,PRON
vielleicht,vielleicht,ADV
auch,auch,ADV
nicht,nicht,PART
