Token,Lemma,POS
Ludwig,Ludwig,PROPN
Steub,Steub,PROPN
Benno,Benno,PROPN
und,und,CCONJ
Kriemhilde,Kriemhilde,PROPN
(,--,PUNCT
Zur,zu,ADP
Ausgleichung,Ausgleichung,NOUN
der,der,DET
Gegensätze,Gegensatz,NOUN
),--,PUNCT
1879,1879,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Benno,Benno,PROPN
Fichtner,Fichtner,PROPN
hieß,heißen,VERB
er,er,PRON
und,und,CCONJ
war,sein,AUX
ein,ein,DET
Rechtspraktikant,Rechtspraktikant,NOUN
.,--,PUNCT
In,in,ADP
Niederbayern,Niederbayer,NOUN
aufgewachsen,aufwachsen,VERB
",",--,PUNCT
besaß,besitzen,VERB
er,er,PRON
zwar,zwar,ADV
viel,viel,DET
Gemüt,Gemüt,NOUN
",",--,PUNCT
aber,aber,CCONJ
wenig,wenig,DET
Schliff,Schliff,NOUN
.,--,PUNCT
Als,als,SCONJ
der,der,DET
Sohn,Sohn,NOUN
eines,ein,DET
wohlhabenden,wohlhabend,ADJ
Hauses,Haus,NOUN
war,sein,AUX
er,er,PRON
für,für,ADP
elegante,elegant,ADJ
Kleidung,Kleidung,NOUN
eingenommen,einnehmen,VERB
und,und,CCONJ
für,für,ADP
seine,sein,DET
Wäsche,Wäsche,NOUN
",",--,PUNCT
aber,aber,CCONJ
nicht,nicht,PART
für,für,ADP
elegante,elegant,ADJ
Manieren,Manier,NOUN
und,und,CCONJ
seine,sein,DET
Sitten,Sitte,NOUN
.,--,PUNCT
Er,er,PRON
war,sein,AUX
–,--,PUNCT
unter,unter,ADP
uns,uns,PRON
gesagt,sagen,VERB
–,--,PUNCT
ein,ein,DET
bißchen,bißchen,DET
rauh,rauh,ADV
",",--,PUNCT
hielt,halten,VERB
sich,sich,PRON
aber,aber,ADV
für,für,ADP
ziemlich,ziemlich,ADV
liebenswürdig,liebenswürdig,ADV
und,und,CCONJ
glaubte,glauben,VERB
an,an,ADP
seine,sein,DET
Gabe,Gabe,NOUN
",",--,PUNCT
allenthalben,allenthalben,ADV
zu,zu,PART
gefallen,gefallen,VERB
.,--,PUNCT
Eines,ein,DET
Tages,Tag,NOUN
nahm,nehmen,VERB
er,er,PRON
seine,sein,DET
neue,neu,ADJ
Joppe,Joppe,NOUN
",",--,PUNCT
seinen,sein,DET
grünen,grün,ADJ
Spitzhut,Spitzhut,NOUN
",",--,PUNCT
seinen,sein,DET
Bergstock,Bergstock,NOUN
und,und,CCONJ
ging,gehen,VERB
ins,in,ADP
Gebirge,Gebirge,NOUN
.,--,PUNCT
Er,er,PRON
ging,gehen,VERB
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
seine,sein,DET
Art,Art,NOUN
war,sein,AUX
",",--,PUNCT
allein,allein,ADV
",",--,PUNCT
denn,denn,CCONJ
er,er,PRON
fand,finden,VERB
nicht,nicht,PART
leicht,leicht,ADV
einen,ein,DET
Gefährten,Gefährten,NOUN
",",--,PUNCT
der,der,PRON
sich,sich,PRON
in,in,ADP
seine,sein,DET
Weise,Weise,NOUN
schicken,schicken,VERB
mochte,mögen,VERB
",",--,PUNCT
und,und,CCONJ
eine,ein,DET
andere,anderer,PRON
gefiel,gefallen,VERB
ihm,ihm,PRON
nicht,nicht,PART
.,--,PUNCT
Sein,sein,DET
Gebiet,Gebiet,NOUN
war,sein,AUX
das,der,DET
Tal,Tal,NOUN
von,von,ADP
Schliersee,Schliersee,PROPN
und,und,CCONJ
von,von,ADP
Bayerisch,Bayerisch,NOUN
Zell,Zell,PROPN
.,--,PUNCT
Auch,auch,ADV
über,über,ADP
die,der,PRON
Audorfer,Audorfer,ADJ
Almen,Alm,NOUN
ging,gehen,VERB
er,er,PRON
gerne,gerne,ADV
.,--,PUNCT
In,in,ADP
jenem,jener,DET
Tale,Tale,NOUN
und,und,CCONJ
auf,auf,ADP
diesen,dieser,DET
Höhen,Höhe,NOUN
hatte,haben,AUX
er,er,PRON
die,der,DET
Zither,Zither,ADV
spielen,spielen,VERB
und,und,CCONJ
manchen,mancher,DET
niedlichen,niedlich,ADJ
Sang,Sang,NOUN
gelernt,lernen,VERB
",",--,PUNCT
wie,wie,SCONJ
ihn,ihn,PRON
die,der,DET
Sennerinnen,Sennerinn,NOUN
singen,singen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
sie,sie,PRON
