Token,Lemma,POS
Ludwig,Ludwig,PROPN
Steub,Steub,PROPN
Die,der,DET
Rose,Rose,NOUN
der,der,DET
Sewi,Sewi,PROPN
(,--,PUNCT
Eine,ein,DET
ziemlich,ziemlich,ADV
wahre,wahr,ADJ
Geschichte,Geschichte,NOUN
),--,PUNCT
1879,1879,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I.,I.,NOUN
Im,in,ADP
Unterinntal,Unterinntal,NOUN
",",--,PUNCT
welches,welcher,PRON
ein,ein,DET
Teil,Teil,NOUN
der,der,DET
gefürsteten,gefürstet,ADJ
Grafschaft,Grafschaft,NOUN
Tirol,Tirol,PROPN
ist,sein,AUX
",",--,PUNCT
lebte,leben,VERB
vor,vor,ADP
vielen,vieler,DET
Jahren,Jahr,NOUN
ein,ein,DET
reicher,reich,ADJ
Wirt,Wirt,NOUN
",",--,PUNCT
der,der,PRON
eine,ein,DET
schöne,schön,ADJ
Tochter,Tochter,NOUN
hatte,haben,VERB
.,--,PUNCT
Er,er,PRON
schrieb,schreiben,VERB
sich,sich,PRON
Hechenplaickner,Hechenplaickner,PROPN
und,und,CCONJ
sie,sie,PRON
hieß,heißen,VERB
Rosi,Rosi,PROPN
.,--,PUNCT
Wenn,wenn,SCONJ
die,der,DET
Rosi,Rosi,NOUN
am,an,ADP
Fronleichnamstage,Fronleichnamstage,NOUN
mit,mit,ADP
dem,der,DET
großen,groß,ADJ
Umgang,Umgang,NOUN
andächtig,andächtig,ADV
durch,durch,ADP
die,der,DET
Fluren,Flur,NOUN
wallte,wallen,VERB
",",--,PUNCT
den,der,DET
Lilienkranz,Lilienkranz,NOUN
auf,auf,ADP
dem,der,DET
Haupte,Haupt,NOUN
und,und,CCONJ
in,in,ADP
der,der,DET
Hand,Hand,NOUN
die,der,DET
brennende,brennend,ADJ
Kerze,Kerze,NOUN
",",--,PUNCT
da,da,ADV
konnte,können,AUX
man,man,PRON
noch,noch,ADV
wochenlang,wochenlang,ADV
hören,hören,VERB
",",--,PUNCT
wie,wie,ADV
sauber,sauber,ADV
und,und,CCONJ
fein,fein,ADV
sie,sie,PRON
wieder,wieder,ADV
ausgesehen,aussehen,VERB
habe,haben,AUX
.,--,PUNCT
Was,was,PRON
aber,aber,ADV
ihre,ihr,DET
gewöhnliche,gewöhnlich,ADJ
Erscheinung,Erscheinung,NOUN
betrifft,betreffen,VERB
",",--,PUNCT
so,so,ADV
erzählen,erzählen,VERB
die,der,DET
Alten,alte,NOUN
",",--,PUNCT
welche,welcher,PRON
sie,sie,PRON
noch,noch,ADV
in,in,ADP
ihrer,ihr,DET
Jugend,Jugend,NOUN
gekannt,kennen,VERB
",",--,PUNCT
ihre,ihr,DET
Haare,Haar,NOUN
seien,sein,AUX
blond,blond,ADV
",",--,PUNCT
ihre,ihr,DET
Augen,Auge,NOUN
blau,blau,ADV
",",--,PUNCT
ihr,ihr,PRON
Gesicht,Gesicht,NOUN
sehr,sehr,ADV
lieblich,lieblich,ADV
und,und,CCONJ
die,der,DET
Gestalt,Gestalt,NOUN
zwar,zwar,ADV
hoch,hoch,ADV
",",--,PUNCT
jedoch,jedoch,ADV
ungemein,ungemein,ADV
zierlich,zierlich,ADV
gewesen,sein,AUX
.,--,PUNCT
Der,der,DET
Ort,Ort,NOUN
aber,aber,ADV
",",--,PUNCT
wo,wo,SCONJ
die,der,DET
Rosi,Rosi,PROPN
damals,damals,ADV
aufwuchs,aufwuchs,PROPN
",",--,PUNCT
heißt,heißen,VERB
noch,noch,ADV
heutigestages,heutigestages,VERB
die,der,DET
Sewi,Sewi,PROPN
.,--,PUNCT
Derselbe,derselbe,PRON
dürfte,dürfen,AUX
nun,nun,ADV
zwar,zwar,ADV
durch,durch,ADP
diese,dieser,DET
Erzählung,Erzählung,NOUN
und,und,CCONJ
den,der,DET
poetischen,poetisch,ADJ
Hauch,Hauch,NOUN
",",--,PUNCT
den,der,PRON
sie,sie,PRON
über,über,ADP
ihn,ihn,PRON
verbreiten,verbreiten,VERB
möchte,möchten,AUX
",",--,PUNCT
allen,aller,DET
schönen,schön,ADJ
Seelen,Seele,NOUN
fortan,fortan,ADV
lieb,leiben,VERB
und,und,CCONJ
teuer,teuer,ADV
werden,werden,AUX
",",--,PUNCT
aber,aber,CCONJ
da,da,SCONJ
ihn,ihn,PRON
die,der,DET
Mappierer,Mappierer,NOUN
