Token,Lemma,POS
Ludwig,Ludwig,PROPN
Steub,Steub,PROPN
Die,der,DET
falsche,falsch,ADJ
Mutter,Mutter,NOUN
Gottes,Gott,PROPN
Oberbayerische,oberbayerisch,ADJ
Dorfgeschichte,Dorfgeschicht,NOUN
1871,1871,NUM
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I.,I.,NOUN
(,--,PUNCT
Der,der,DET
Ökonom,Ökonom,NOUN
Johannes,Johannes,PROPN
Duldenhofer,Duldenhofer,PROPN
zu,zu,ADP
Grünau,Grünau,PROPN
schreibt,schreiben,VERB
an,an,ADP
Herrn,Herr,NOUN
Lorenz,Lorenz,PROPN
Rehböckel,Rehböckel,PROPN
",",--,PUNCT
Oberförster,Oberförster,NOUN
zu,zu,ADP
Markwartstein,Markwartstein,PROPN
:),:),NOUN
Grünau,grünau,PROPN
",",--,PUNCT
den,der,DET
15.,15.,ADJ
September,September,NOUN
l869.,l869.,PROPN
Lieber,lieb,ADJ
Freund,Freund,NOUN
Laurentius,Laurentius,PROPN
!,--,PUNCT
Es,es,PRON
geht,gehen,VERB
jetzt,jetzt,ADV
schon,schon,ADV
in,in,ADP
den,der,DET
Herbst,Herbst,NOUN
hinein,hinein,ADV
und,und,CCONJ
da,da,ADV
muß,müssen,AUX
ich,ich,PRON
Dir,dir,PRON
doch,doch,ADV
zu,zu,PART
wissen,wissen,VERB
tun,tun,VERB
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
Deinen,dein,DET
Brief,Brief,NOUN
zu,zu,ADP
Ostern,Oster,NOUN
richtig,richtig,ADV
erhalten,erhalten,VERB
habe,haben,AUX
.,--,PUNCT
Also,also,ADV
Oberförster,Oberförster,PROPN
bist,sein,AUX
Du,du,PRON
worden,werden,AUX
und,und,CCONJ
geheiratet,heiraten,VERB
hast,haben,AUX
Du,du,PRON
auch,auch,ADV
!,--,PUNCT
Hast,Hast,AUX
Dir,dir,PRON
wohl,wohl,ADV
Zeit,Zeit,NOUN
gelassen,lassen,ADV
",",--,PUNCT
lieber,lieb,ADJ
Freund,Freund,NOUN
",",--,PUNCT
mit,mit,ADP
der,der,DET
Oberförsterei,Oberförsterei,NOUN
und,und,CCONJ
mit,mit,ADP
der,der,DET
Hochzeit,Hochzeit,NOUN
!,--,PUNCT
Um,um,SCONJ
so,so,ADV
süßer,süß,ADV
wird,werden,AUX
er,er,PRON
Dir,dir,PRON
jetzt,jetzt,ADV
vorkommen,vorkommen,VERB
",",--,PUNCT
der,der,DET
neue,neu,ADJ
Stand,Stand,NOUN
",",--,PUNCT
der,der,DET
Ehestand,Ehestand,NOUN
nämlich,nämlich,ADV
",",--,PUNCT
und,und,CCONJ
auch,auch,ADV
die,der,DET
hohe,hoch,ADJ
Würde,Würde,NOUN
und,und,CCONJ
das,der,DET
nahrhafte,nahrhaft,ADJ
Einkommen,Einkommen,NOUN
",",--,PUNCT
welches,welcher,PRON
ja,ja,ADV
die,der,DET
Herren,Herr,NOUN
Oberförster,Oberförster,NOUN
haben,haben,VERB
sollen,sollen,AUX
.,--,PUNCT
Hast,Hast,X
es,es,PRON
längst,längst,ADV
verdient,verdienen,VERB
",",--,PUNCT
behaupt,behaupt,PRON
',--,PUNCT
ich,ich,PRON
",",--,PUNCT
eine,ein,DET
brave,brav,ADJ
Frau,Frau,NOUN
und,und,CCONJ
eine,ein,DET
hübsche,hübsch,ADJ
Lebenszehrung,Lebenszehrung,NOUN
",",--,PUNCT
wobei,wobei,SCONJ
ich,ich,PRON
mich,sich,PRON
Deiner,Deiner,ADJ
Herzallerliebsten,Herzallerliebst,NOUN
als,als,ADP
Unbekannter,unbekannte,NOUN
schönstens,schönstens,ADV
empfohlen,empfehlen,VERB
haben,haben,AUX
möchte,möchten,AUX
.,--,PUNCT
Es,es,PRON
muß,müssen,AUX
schon,schon,ADV
lange,lange,ADV
her,her,ADV
sein,sein,AUX
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
Dir,dir,PRON
nimmer,nimmer,ADV
geschrieben,schreiben,VERB
habe,haben,AUX
",",--,PUNCT
oder,oder,CCONJ
weißt,weißen,VERB
Du's,Du's,NUM
schon,schon,ADV
",",--,PUNCT
daß,daß,SCONJ
ich,ich,PRON
bei,bei,ADP
der,der,DET
letzten,letzter,ADJ
Wahl,Wahl,NOUN
in,in,ADP
der,der,DET
