Token,Lemma,POS
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
.,--,PUNCT
Abendgespräche,Abendgespräche,NOUN
.,--,PUNCT
1839.,1839.,PUNCT
Berlin,Berlin,PROPN
Druck,Druck,NOUN
und,und,CCONJ
Verlag,Verlag,NOUN
von,von,ADP
Georg,Georg,PROPN
Reimer,Reimer,PROPN
.,--,PUNCT
1853.,1853.,PUNCT
Der,der,DET
Sohn,Sohn,NOUN
war,sein,AUX
von,von,ADP
seinen,sein,DET
Reisen,Reise,NOUN
zurückgekehrt,zurückkehren,VERB
.,--,PUNCT
–,--,PUNCT
Warum,warum,SCONJ
nun,nun,ADV
gerade,gerade,ADV
im,in,ADP
Winter,Winter,NOUN
?,--,PUNCT
sagte,sagen,VERB
der,der,DET
Vater,Vater,NOUN
zu,zu,ADP
ihm,ihm,PRON
",",--,PUNCT
als,als,SCONJ
sie,sie,PRON
am,an,ADP
lodernden,lodernd,ADJ
Kaminfeuer,Kaminfeuer,NOUN
saßen,sitzen,VERB
.,--,PUNCT
Lieber,lieb,ADJ
Vater,Vater,NOUN
",",--,PUNCT
antwortete,antworten,VERB
dieser,dieser,PRON
",",--,PUNCT
ich,ich,PRON
wollte,wollen,AUX
noch,noch,ADV
das,der,DET
gute,gut,ADJ
Wetter,Wetter,NOUN
in,in,ADP
Italien,Italien,PROPN
und,und,CCONJ
der,der,DET
Schweiz,Schweiz,PROPN
genießen,genießen,VERB
",",--,PUNCT
und,und,CCONJ
so,so,ADV
meinte,meinen,VERB
ich,ich,PRON
",",--,PUNCT
es,es,PRON
sei,sein,AUX
gut,gut,ADV
gethan,Gethan,PROPN
",",--,PUNCT
in,in,ADP
Regen,Regen,NOUN
und,und,CCONJ
Schnee,Schnee,NOUN
durch,durch,ADP
diese,dieser,PRON
unsere,mein,DET
fast,fast,ADV
immer,immer,ADV
unfreundlichen,unfreundlich,ADJ
Gegenden,Gegende,NOUN
zurück,zurück,ADV
zu,zu,PART
reisen,reisen,VERB
.,--,PUNCT
Es,es,PRON
mag,mögen,AUX
gut,gut,ADV
seyn,seyn,VERB
",",--,PUNCT
sagte,sagen,VERB
der,der,DET
alte,alt,ADJ
Baron,Baron,NOUN
in,in,ADP
etwas,etwas,ADV
grämelnder,grämelnd,ADJ
Weise,Weise,NOUN
;,--,PUNCT
aber,aber,CCONJ
",",--,PUNCT
wenn,wenn,SCONJ
Du,du,PRON
mich,mich,PRON
nicht,nicht,PART
mehr,mehr,ADV
getroffen,treffen,VERB
hättest,Hättest,NOUN
",",--,PUNCT
und,und,CCONJ
war,sein,AUX
es,es,PRON
doch,doch,ADV
nahe,nahe,ADV
daran,daran,ADV
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
letzte,letzter,ADJ
Krankheit,Krankheit,NOUN
mich,mich,PRON
wegraffte,wegraffen,VERB
",",--,PUNCT
so,so,ADV
hattest,hattesen,VERB
Du,du,PRON
das,der,DET
Nachsehen,Nachsehen,NOUN
und,und,CCONJ
ich,ich,PRON
lag,liegen,VERB
dort,dort,ADV
im,in,ADP
Gewölbe,Gewölbe,PROPN
",",--,PUNCT
wo,wo,SCONJ
man,man,PRON
keine,kein,DET
Visiten,visiter,NOUN
mehr,mehr,PRON
annimmt,annehmen,VERB
.,--,PUNCT
Der,der,DET
junge,jung,ADJ
Mann,Mann,NOUN
stand,stehen,VERB
auf,auf,ADP
und,und,CCONJ
umarmte,umarmen,VERB
den,der,DET
Alten,alte,NOUN
.,--,PUNCT
Zürnen,Zürnen,VERB
Sie,sie,PRON
nicht,nicht,PART
länger,lang,ADV
",",--,PUNCT
rief,rufen,VERB
er,er,PRON
lebhaft,lebhaft,ADV
aus,aus,ADP
.,--,PUNCT
Ihr,ihr,DET
Verdruß,Verdruß,NOUN
schneidet,schneiden,VERB
mir,mir,PRON
durchs,durch,ADP
Herz,Herz,NOUN
.,--,PUNCT
Ist,sein,AUX
doch,doch,ADV
alles,alle,PRON
so,so,ADV
schön,schön,ADV
geworden,werden,AUX
",",--,PUNCT
Sie,sie,PRON
haben,haben,AUX
das,der,DET
strittige,strittig,ADJ
Gut,Gut,NOUN
erlangt,erlangen,VERB
",",--,PUNCT
um,um,SCONJ
welches,welcher,PRON
der,der,DET
ewige,ewig,ADJ
Prozeß,Prozeß,NOUN
geführt,führen,VERB
wurde,werden,AUX
",",--,PUNCT
und,und,CCONJ
den,der,PRON
Sie,sie,PRON
schon,schon,ADV
verloren,verlieren,VERB
gaben,geben,VERB
;,--,PUNCT
meine,mein,DET
Schwester,Schwester,NOUN
ist,sein,AUX
Braut,Braut,NOUN
und,und,CCONJ
einem,ein,DET
liebenswürdigen,liebenswürdig,ADJ
jungen,jung,ADJ
und,und,CCONJ
wohlhabenden,wohlhabend,ADJ
Manne,Manne,NOUN
verlobt,verloben,VERB
;,--,PUNCT
Ihre,ihr,DET
Gesundheit,Gesundheit,NOUN
