Token,Lemma,POS
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
.,--,PUNCT
Das,der,DET
alte,alt,ADJ
Buch,Buch,NOUN
und,und,CCONJ
die,der,DET
Reise,Reise,NOUN
ins,in,ADP
Blaue,Blau,NOUN
hinein,hinein,ADV
.,--,PUNCT
Eine,ein,DET
Mährchen-Novelle,Mährchen-Novell,NOUN
.,--,PUNCT
1835.,1835.,PUNCT
Berlin,Berlin,PROPN
",",--,PUNCT
Druck,Druck,NOUN
und,und,CCONJ
Verlag,Verlag,NOUN
von,von,ADP
Georg,Georg,PROPN
Reimer,Reimer,PROPN
.,--,PUNCT
1853.,1853.,PUNCT
Es,es,PRON
war,sein,AUX
ein,ein,DET
alter,alt,ADJ
Freund,Freund,NOUN
",",--,PUNCT
ein,ein,DET
Bekannter,Bekannter,NOUN
aus,aus,ADP
meiner,mein,DET
frühesten,frühest,ADJ
Jugend,Jugend,NOUN
",",--,PUNCT
der,der,PRON
mich,mich,PRON
vor,vor,ADP
ungefähr,ungefähr,ADV
drei,drei,NUM
Jahren,Jahr,NOUN
verließ,verlassen,VERB
",",--,PUNCT
um,um,SCONJ
sich,sich,PRON
wieder,wieder,ADV
einmal,einmal,ADV
in,in,ADP
den,der,DET
Gebirgsgegenden,Gebirgsgegend,NOUN
umzuschauen,umschauen,VERB
und,und,CCONJ
zu,zu,PART
ergötzen,ergötzen,VERB
",",--,PUNCT
die,der,PRON
er,er,PRON
immer,immer,ADV
wieder,wieder,ADV
besuchte,besuchen,VERB
",",--,PUNCT
wenn,wenn,SCONJ
es,es,PRON
ihm,ihm,PRON
möglich,möglich,ADV
war,sein,AUX
",",--,PUNCT
eine,ein,DET
Reise,Reise,NOUN
zu,zu,PART
unternehmen,unternehmen,VERB
.,--,PUNCT
Niemals,niemals,ADV
bereisete,bereisen,VERB
er,er,PRON
zum,zu,ADP
Vergnügen,Vergnügen,NOUN
ein,ein,DET
ebnes,ebn,ADJ
Land,Land,NOUN
",",--,PUNCT
noch,noch,ADV
weniger,weniger,ADV
richtete,richten,VERB
er,er,PRON
seinen,sein,DET
Zug,Zug,NOUN
jemals,jemals,ADV
nach,nach,ADP
Norden,Norden,NOUN
.,--,PUNCT
Dies,dieser,PRON
waren,sein,AUX
seine,sein,DET
Eigenheiten,Eigenheit,NOUN
",",--,PUNCT
deren,die,DET
er,er,PRON
viele,viele,PRON
hatte,haben,VERB
",",--,PUNCT
und,und,CCONJ
manche,mancher,PRON
so,so,ADV
wunderliche,wunderlich,ADJ
",",--,PUNCT
daß,daß,SCONJ
seine,sein,DET
Freunde,Freund,NOUN
unter,unter,ADP
diesen,dieser,DET
Capricen,Caprice,NOUN
oftmals,oftmals,ADV
litten,leiden,VERB
.,--,PUNCT
Was,was,PRON
am,am,PART
schwersten,schwer,ADV
zu,zu,PART
übertragen,übertragen,VERB
war,sein,AUX
und,und,CCONJ
was,was,PRON
uns,uns,PRON
Andere,anderer,PRON
am,am,PART
meisten,meister,PRON
störte,stören,VERB
",",--,PUNCT
war,sein,AUX
sein,sein,DET
unerschütterlicher,unerschütterlich,ADJ
Prosaismus,Prosaismus,NOUN
",",--,PUNCT
wie,wie,ADV
man,man,PRON
wohl,wohl,ADV
seit,seit,ADP
manchem,mancher,DET
Jahre,Jahr,NOUN
die,der,DET
Unfähigkeit,Unfähigkeit,NOUN
",",--,PUNCT
durch,durch,ADP
Poesie,Poesie,NOUN
",",--,PUNCT
oder,oder,CCONJ
seltsame,seltsam,ADJ
Verhältnisse,Verhältnis,NOUN
sich,sich,PRON
erhitzen,erhitzen,VERB
oder,oder,CCONJ
begeistern,begeistern,VERB
zu,zu,PART
lassen,lassen,VERB
",",--,PUNCT
hat,haben,AUX
nennen,nennen,VERB
wollen,wollen,AUX
.,--,PUNCT
Philisterei,Philisterei,NOUN
ist,sein,AUX
seit,seit,ADP
1774,1774,NUM
",",--,PUNCT
in,in,ADP
welchem,welcher,DET
Jahre,Jahr,NOUN
Göthe's,Göthe's,PROPN
Werther,Werther,PROPN
erschien,erscheinen,VERB
",",--,PUNCT
noch,noch,ADV
mehr,mehr,ADV
als,als,ADP
Bezeichnung,Bezeichnung,NOUN
ruhiger,ruhig,ADJ
",",--,PUNCT
verständiger,verständig,ADJ
und,und,CCONJ
brauchbarer,brauchbar,ADJ
Menschen,Mensch,NOUN
beliebt,belieben,VERB
worden,werden,AUX
",",--,PUNCT
die,der,DET
eben,eben,ADV
kein,kein,DET
heißes,heiß,ADJ
Herz,Herz,NOUN
",",--,PUNCT
keinen,kein,DET
Enthusiasmus,Enthusiasmus,NOUN
haben,haben,VERB
",",--,PUNCT
oder,oder,CCONJ
die,der,PRON
das,der,DET
Geheimniß,Geheimniß,NOUN
in,in,ADP
der,der,DET
menschlichen,menschlich,ADJ
Natur,Natur,NOUN
",",--,PUNCT
den,der,DET
Adel,Adel,NOUN
der,der,DET
