Token,Lemma,POS
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
Der,der,DET
Mondsüchtige,Mondsüchtige,NOUN
1832,1832,NUM
Ludwig,Ludwig,PROPN
Licht,Licht,NOUN
an,an,ADP
seinen,sein,DET
Oheim,Oheim,NOUN
.,--,PUNCT
Erster,erst,ADJ
Brief,Brief,NOUN
.,--,PUNCT
Es,es,PRON
ist,sein,AUX
nicht,nicht,PART
anders,anders,ADV
",",--,PUNCT
geliebter,geliebt,ADJ
Oheim,Oheim,NOUN
",",--,PUNCT
ich,ich,PRON
bin,sein,AUX
wieder,wieder,ADV
auf,auf,ADP
der,der,DET
Reise,Reise,NOUN
",",--,PUNCT
und,und,CCONJ
kann,können,AUX
gar,gar,ADV
nicht,nicht,PART
einmal,einmal,ADV
sagen,sagen,VERB
",",--,PUNCT
wann,wann,SCONJ
oder,oder,CCONJ
wo,wo,SCONJ
sie,sie,PRON
endigen,endigen,VERB
wird,werden,AUX
.,--,PUNCT
Mein,mein,DET
Leben,Leben,NOUN
kann,können,AUX
immer,immer,ADV
noch,noch,ADV
keine,kein,DET
Gestalt,Gestalt,NOUN
gewinnen,gewinnen,VERB
",",--,PUNCT
und,und,CCONJ
auf,auf,ADP
die,der,DET
Art,Art,NOUN
",",--,PUNCT
wie,wie,SCONJ
es,es,PRON
geschehen,geschehen,VERB
könnte,können,AUX
",",--,PUNCT
wie,wie,ADP
alle,aller,PRON
meine,mein,DET
Wünsche,Wunsch,NOUN
es,es,PRON
einzig,einzig,ADV
fordern,fordern,VERB
und,und,CCONJ
erstreben,erstreben,VERB
",",--,PUNCT
will,wollen,AUX
es,es,PRON
sich,sich,PRON
nicht,nicht,PART
fügen,fügen,VERB
.,--,PUNCT
Ich,ich,PRON
kenne,kennen,VERB
Ihren,ihr,DET
Widerwillen,Widerwille,NOUN
gegen,gegen,ADP
alle,aller,DET
Übertreibung,Übertreibung,NOUN
",",--,PUNCT
gegen,gegen,ADP
Das,der,NOUN
",",--,PUNCT
was,wer,PRON
Sie,sie,PRON
das,der,PRON
Excentrische,Excentrische,NOUN
und,und,CCONJ
Unnatürliche,Unnatürlich,NOUN
nennen,nennen,VERB
.,--,PUNCT
Aber,aber,CCONJ
erforschen,erforschen,VERB
Sie,sie,PRON
einmal,einmal,ADV
das,der,DET
Leben,Leben,NOUN
und,und,CCONJ
seine,sein,DET
Triebfedern,Triebfeder,NOUN
–,--,PUNCT
was,was,PRON
ist,sein,AUX
denn,denn,ADV
wohl,wohl,ADV
das,der,DET
Wahre,Wahr,NOUN
und,und,CCONJ
Alltägliche,alltägliche,NOUN
?,--,PUNCT
Lohnt,Lohnen,VERB
es,es,PRON
sich,sich,PRON
der,der,DET
Mühe,Mühe,NOUN
",",--,PUNCT
deshalb,deshalb,ADV
Athem,Athem,PROPN
zu,zu,PART
holen,holen,VERB
?,--,PUNCT
Auch,auch,ADV
das,der,DET
Beste,gute,NOUN
und,und,CCONJ
Edelste,Edelste,NOUN
",",--,PUNCT
ja,ja,ADV
Dasjenige,dasjenige,NOUN
",",--,PUNCT
was,wer,PRON
wir,wir,PRON
",",--,PUNCT
weil,weil,SCONJ
es,es,PRON
hergebracht,hergebrachen,VERB
ist,sein,AUX
und,und,CCONJ
heut,heuen,VERB
wie,wie,ADP
morgen,morgen,ADV
in,in,ADP
gleicher,gleich,ADJ
Gestalt,Gestalt,NOUN
wiederkehrt,wiederkehrt,VERB
",",--,PUNCT
nicht,nicht,PART
weiter,weiter,ADV
beachten,beachten,VERB
",",--,PUNCT
ist,sein,AUX
durch,durch,ADP
einen,ein,DET
leidenschaftlichen,leidenschaftlich,ADJ
Trieb,Trieb,NOUN
",",--,PUNCT
durch,durch,ADP
ein,ein,DET
Ewiges,Ewig,NOUN
",",--,PUNCT
Unsichtbares,Unsichtbares,NOUN
",",--,PUNCT
veranlaßt,veranlassen,VERB
.,--,PUNCT
Derjenige,derjenige,PRON
",",--,PUNCT
der,der,PRON
den,der,DET
Webstuhl,Webstuhl,NOUN
erfand,erfinden,VERB
",",--,PUNCT
mußte,müssen,AUX
lange,lange,ADV
vorher,vorher,ADV
gewiß,gewiß,ADV
für,für,ADP
einen,ein,DET
Thoren,Thor,NOUN
und,und,CCONJ
Schwärmer,Schwärmer,NOUN
gelten,gelten,VERB
.,--,PUNCT
Und,und,CCONJ
diese,dieser,DET
künstlichen,künstlich,ADJ
",",--,PUNCT
complizirten,complizirt,NOUN
Spinnmaschinen,Spinnmaschin,NOUN
!,--,PUNCT
Wie,wie,ADV
viele,vieler,DET
begeisterte,begeistert,ADJ
Nachtwachen,Nachtwach,NOUN
",",--,PUNCT
wie,wie,ADP
viel,viel,DET
Aufopferung,Aufopferung,NOUN
",",--,PUNCT
Enthusiasmus,Enthusiasmus,NOUN
",",--,PUNCT
Forschen,Forschen,NOUN
und,und,CCONJ
Grübeln,Grübel,NOUN
