Idx,Token,Lemma,PoS,Dependency,Dependency_head_idx,Dependency_head_text
0,Ludwig,Ludwig,PROPN,pnc,1,Tieck
1,Tieck,Tieck,PROPN,ROOT,1,Tieck
2,Der,der,DET,nk,3,Pokal
3,Pokal,Pokal,NOUN,ROOT,3,Pokal
4,Vom,von,ADP,mo,7,erscholl
5,großen,groß,ADJ,nk,6,Dom
6,Dom,Dom,NOUN,nk,4,Vom
7,erscholl,erscholl,VERB,ROOT,7,erscholl
8,das,der,DET,nk,10,Geläute
9,vormittägige,vormittägig,ADJ,nk,10,Geläute
10,Geläute,Geläute,NOUN,sb,7,erscholl
11,.,--,PUNCT,punct,7,erscholl
12,Über,über,ADP,ROOT,12,Über
13,den,der,DET,nk,15,Platz
14,weiten,weit,ADJ,nk,15,Platz
15,Platz,Platz,NOUN,nk,12,Über
16,wandelten,wandeln,VERB,ROOT,16,wandelten
17,in,in,ADP,mo,16,wandelten
18,verschiedenen,verschieden,ADJ,nk,19,Richtungen
19,Richtungen,Richtung,NOUN,nk,17,in
20,Männer,Mann,NOUN,sb,16,wandelten
21,und,und,CCONJ,cd,20,Männer
22,Weiber,Weiber,NOUN,cj,21,und
23,",",--,PUNCT,punct,16,wandelten
24,Wagen,Wagen,NOUN,sb,25,fuhren
25,fuhren,fahren,VERB,cj,16,wandelten
26,vorüber,vorüber,ADV,mo,25,fuhren
27,und,und,CCONJ,cd,28,Priester
28,Priester,Priester,NOUN,sb,29,gingen
29,gingen,gehen,VERB,ROOT,29,gingen
30,nach,nach,ADP,mo,29,gingen
31,ihren,ihr,DET,nk,32,Kirchen
32,Kirchen,Kirche,NOUN,nk,30,nach
33,.,--,PUNCT,punct,29,gingen
34,Ferdinand,Ferdinand,PROPN,sb,35,stand
35,stand,stehen,VERB,ROOT,35,stand
36,auf,auf,ADP,mo,35,stand
37,der,der,DET,nk,39,Treppe
38,breiten,breit,ADJ,nk,39,Treppe
39,Treppe,Treppe,NOUN,nk,36,auf
40,",",--,PUNCT,punct,35,stand
41,den,der,DET,nk,42,Wandelnden
42,Wandelnden,Wandelnd,NOUN,da,43,nachsehend
43,nachsehend,nachsehend,ADV,ROOT,43,nachsehend
