Token,Lemma,POS
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
.,--,PUNCT
Der,der,DET
Schutzgeist,Schutzgeist,NOUN
.,--,PUNCT
1839.,1839.,PUNCT
Berlin,Berlin,PROPN
",",--,PUNCT
Druck,Druck,NOUN
und,und,CCONJ
Verlag,Verlag,NOUN
von,von,ADP
Georg,Georg,PROPN
Reimer,Reimer,PROPN
.,--,PUNCT
1853.,1853.,PUNCT
Die,der,DET
große,groß,ADJ
Haushaltung,Haushaltung,NOUN
der,der,DET
Gräfin,Gräfin,NOUN
war,sein,AUX
seit,seit,ADP
einigen,einiger,DET
Tagen,Tag,NOUN
in,in,ADP
vielfacher,Vielfacher,ADJ
Aufregung,Aufregung,NOUN
.,--,PUNCT
Man,man,PRON
besorgte,besorgen,VERB
ihren,ihr,DET
Tod,Tod,NOUN
.,--,PUNCT
Und,und,CCONJ
da,da,SCONJ
die,der,DET
Kranke,kranke,NOUN
von,von,ADP
jedermann,jedermann,PRON
geliebt,lieben,VERB
war,sein,AUX
",",--,PUNCT
so,so,ADV
ängstigten,ängstigen,VERB
sich,sich,PRON
alle,alle,PRON
",",--,PUNCT
und,und,CCONJ
die,der,DET
Nachbarn,Nachbar,NOUN
sendeten,sendeen,VERB
fleißig,fleißig,ADV
",",--,PUNCT
um,um,SCONJ
sich,sich,PRON
zu,zu,ADP
erkundigen,erkundigen,VERB
",",--,PUNCT
wie,wie,SCONJ
der,der,DET
Zustand,Zustand,NOUN
der,der,DET
würdigen,würdig,ADJ
Frau,Frau,NOUN
beschaffen,beschaffen,VERB
sei,sein,AUX
.,--,PUNCT
Ihre,ihr,DET
nächste,nächster,ADJ
Umgebung,Umgebung,NOUN
war,sein,AUX
am,am,PART
meisten,meister,PRON
in,in,ADP
Trauer,Trauer,NOUN
.,--,PUNCT
Nur,nur,ADV
in,in,ADP
den,der,DET
Augenblicken,Augenblick,NOUN
",",--,PUNCT
wenn,wenn,SCONJ
das,der,DET
Leben,Leben,NOUN
erlöschen,erlöschen,VERB
soll,sollen,AUX
",",--,PUNCT
wissen,wissen,VERB
die,der,DET
Vertrauten,vertraute,NOUN
",",--,PUNCT
was,wer,PRON
sie,sie,PRON
am,an,ADP
Freunde,Freund,NOUN
besaßen,besitzen,VERB
.,--,PUNCT
Seine,sein,DET
Tugenden,Tugende,NOUN
treten,treten,VERB
uns,uns,PRON
dann,dann,ADV
erst,erst,ADV
ganz,ganz,ADV
sichtbar,sichtbar,ADV
hervor,hervor,ADV
",",--,PUNCT
und,und,CCONJ
was,was,PRON
oft,oft,ADV
Fehler,Fehler,NOUN
genannt,nennen,VERB
wurde,werden,AUX
",",--,PUNCT
verschwindet,verschwinden,VERB
",",--,PUNCT
oder,oder,CCONJ
die,der,DET
Einsicht,Einsicht,NOUN
erwacht,erwachen,VERB
",",--,PUNCT
daß,daß,SCONJ
diese,dieser,DET
Mängel,Mangel,NOUN
die,der,DET
Grundlage,Grundlage,NOUN
der,der,DET
Vorzüge,Vorzug,NOUN
bildeten,bilden,VERB
",",--,PUNCT
oder,oder,CCONJ
nur,nur,ADV
die,der,DET
Schatten,Schatten,NOUN
der,der,DET
bewunderten,bewundert,ADJ
Tugenden,Tugend,NOUN
selber,selber,ADV
waren,sein,AUX
.,--,PUNCT
Diese,dieser,DET
hohe,hoch,ADJ
",",--,PUNCT
vergeistigte,vergeistigt,ADJ
Billigkeit,Billigkeit,NOUN
ist,sein,AUX
der,der,DET
edelste,edel,ADJ
Abschied,Abschied,NOUN
",",--,PUNCT
den,der,PRON
wir,wir,PRON
von,von,ADP
dem,der,DET
Abreisenden,Abreisende,NOUN
nehmen,nehmen,VERB
",",--,PUNCT
der,der,PRON
jetzt,jetzt,ADV
das,der,DET
unbekannte,unbekannt,ADJ
",",--,PUNCT
räthselhafte,räthselhaft,ADJ
Reich,Reich,PROPN
betritt,betreten,VERB
",",--,PUNCT
dem,der,PRON
wir,wir,PRON
alle,alle,PRON
im,in,ADP
sogenannten,sogenannter,ADJ
Leben,Leben,NOUN
entgegen,entgegen,ADP
geführt,führen,VERB
werden,werden,AUX
.,--,PUNCT
Der,der,DET
einzige,einzig,ADJ
Sohn,Sohn,NOUN
",",--,PUNCT
der,der,DET
Obrist,Obrist,NOUN
",",--,PUNCT
war,sein,AUX
entfernt,entfernt,ADV
und,und,CCONJ
auf,auf,ADP
einer,ein,DET
Dienstreise,Dienstreise,NOUN
begriffen,begreifen,VERB
.,--,PUNCT
Er,er,PRON
wußte,wissen,VERB
",",--,PUNCT
daß,daß,SCONJ
seine,sein,DET
Mutter,Mutter,NOUN
krank,krank,ADV
sei,sein,AUX
",",--,PUNCT
er,er,PRON
kannte,kennen,VERB
sie,sie,PRON
als,als,ADP
eine,ein,DET
stets,stets,ADV
Leidende,Leidend,NOUN
",",--,PUNCT
aber,aber,CCONJ
von,von,ADP
ihrer,ihr,DET
