Token,Lemma,POS
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
.,--,PUNCT
Die,der,DET
Reisenden,reisend,NOUN
.,--,PUNCT
1824.,1824.,NOUN
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Berlin,Berlin,PROPN
",",--,PUNCT
Druck,Druck,NOUN
und,und,CCONJ
Verlag,Verlag,NOUN
von,von,ADP
Georg,Georg,PROPN
Reimer,Reimer,PROPN
",",--,PUNCT
1852.,1852.,X
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
Es,es,PRON
war,sein,AUX
an,an,ADP
einem,ein,DET
schönen,schön,ADJ
Sommernachmittage,Sommernachmittage,NOUN
",",--,PUNCT
als,als,ADP
drei,drei,NUM
junge,jung,ADJ
Männer,Mann,NOUN
in,in,ADP
lebhaften,lebhaft,NOUN
Gesprächen,Gespräch,NOUN
im,in,ADP
schattigen,schattiger,ADJ
Lindengange,Lindengang,NOUN
auf-,auf,X
und,und,CCONJ
niederwandelten,Niederwandelte,NOUN
.,--,PUNCT
Keiner,keiner,PRON
kannte,kennen,VERB
den,der,DET
Andern,Ander,NOUN
genau,genau,ADV
;,--,PUNCT
noch,noch,ADV
weniger,weniger,PRON
waren,sein,AUX
sie,sie,PRON
Freunde,Freund,NOUN
",",--,PUNCT
und,und,CCONJ
daher,daher,ADV
betraf,betreffen,VERB
ihre,ihr,DET
Unterhaltung,Unterhaltung,NOUN
auch,auch,ADV
nur,nur,ADV
unbedeutende,unbedeutend,ADJ
Gegenstände,Gegenstand,NOUN
.,--,PUNCT
Doch,doch,CCONJ
wurde,werden,AUX
laut,laut,ADV
und,und,CCONJ
sogar,sogar,ADV
heftig,heftig,ADV
gesprochen,sprechen,VERB
",",--,PUNCT
weil,weil,SCONJ
der,der,DET
jüngste,jung,ADJ
der,der,DET
Redenden,Redende,NOUN
es,es,PRON
seinem,sein,DET
Charakter,Charakter,NOUN
und,und,CCONJ
ausgezeichneten,ausgezeichnet,ADJ
Verstande,Verstande,NOUN
angemessen,angemessen,ADV
hielt,halten,VERB
",",--,PUNCT
seine,sein,DET
Gedanken,Gedanke,NOUN
und,und,CCONJ
Meinungen,Meinung,NOUN
nicht,nicht,PART
ruhig,ruhig,ADV
",",--,PUNCT
sondern,sondern,CCONJ
in,in,ADP
einem,ein,DET
gewissen,gewiß,ADJ
zänkischen,zänkisch,ADJ
und,und,CCONJ
anmaßenden,anmaßend,ADJ
Tone,Tone,NOUN
vorzutragen,vorzutragen,VERB
",",--,PUNCT
durch,durch,ADP
welchen,welcher,DET
er,er,PRON
vielleicht,vielleicht,ADV
seine,sein,DET
Gegner,Gegner,NOUN
eher,eher,ADV
zum,zu,ADP
Schweigen,schweigen,NOUN
zu,zu,PART
bringen,bringen,VERB
