Token,Lemma,POS
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
Der,der,DET
Hexensabbat,Hexensabbat,NOUN
Novelle,Novelle,NOUN
In,in,ADP
Arras,Arras,PROPN
lebte,leben,VERB
",",--,PUNCT
in,in,ADP
den,der,DET
letzten,letzter,ADJ
Regierungsjahren,Regierungsjahre,NOUN
Philipp,Philipp,PROPN
des,der,DET
Guten,gute,NOUN
",",--,PUNCT
eine,ein,DET
reiche,reich,ADJ
schöne,schön,ADJ
Witwe,Witwe,NOUN
",",--,PUNCT
die,der,PRON
sich,sich,PRON
am,am,PART
liebsten,lieb,ADV
",",--,PUNCT
da,da,SCONJ
sie,sie,PRON
mit,mit,ADP
ihrem,ihr,DET
Manne,Manne,NOUN
nicht,nicht,PART
glücklich,glücklich,ADV
gewesen,sein,AUX
war,sein,AUX
",",--,PUNCT
Frau,Frau,NOUN
Catharina,Catharina,PROPN
nennen,nennen,VERB
hörte,hören,VERB
.,--,PUNCT
Sie,sie,PRON
besaß,besitzen,VERB
ein,ein,DET
großes,groß,ADJ
Haus,Haus,NOUN
in,in,ADP
der,der,DET
Stadt,Stadt,NOUN
",",--,PUNCT
in,in,ADP
welchem,welcher,PRON
sie,sie,PRON
viele,vieler,DET
Gesellschaften,Gesellschaft,NOUN
sah,sehen,VERB
",",--,PUNCT
sowie,sowie,CCONJ
vor,vor,ADP
dem,der,DET
Tore,Tor,NOUN
einen,ein,DET
anmutigen,anmutig,ADJ
Garten,Garten,NOUN
",",--,PUNCT
wo,wo,SCONJ
in,in,ADP
den,der,DET
Sommertagen,Sommertag,NOUN
ihre,ihr,DET
Freunde,Freund,NOUN
oft,oft,ADV
im,in,ADP
kühlen,kühl,ADJ
Saale,Saale,PROPN
sich,sich,PRON
um,um,SCONJ
sie,sie,PRON
versammelten,versammelten,VERB
.,--,PUNCT
Philipp,Philipp,PROPN
",",--,PUNCT
den,der,PRON
seine,sein,DET
Zeitgenossen,Zeitgenosse,NOUN
den,der,DET
Guten,gute,NOUN
nannten,nennen,VERB
",",--,PUNCT
war,sein,AUX
in,in,ADP
seinem,sein,DET
hohen,hoch,ADJ
Alter,Alter,NOUN
schwach,schwach,ADV
geworden,werden,AUX
",",--,PUNCT
und,und,CCONJ
seine,sein,DET
Günstlinge,Günstlinge,NOUN
benutzten,benutzen,VERB
seine,sein,DET
Launen,Lau,NOUN
und,und,CCONJ
wechselnden,wechselnden,VERB
Stimmungen,Stimmung,NOUN
",",--,PUNCT
um,um,SCONJ
sich,sich,PRON
zu,zu,PART
bereichern,bereichern,VERB
und,und,CCONJ
vieles,viele,PRON
durchzusetzen,durchsetzen,VERB
",",--,PUNCT
worüber,worüber,SCONJ
die,der,DET
Untertanen,Untertan,NOUN
mit,mit,ADP
Recht,Recht,NOUN
Klage,Klage,NOUN
führen,führen,VERB
konnten,können,AUX
.,--,PUNCT
Die,der,DET
Mächtigen,Mächtigen,NOUN
",",--,PUNCT
der,der,DET
hohe,hoch,ADJ
Adel,Adel,NOUN
",",--,PUNCT
die,der,PRON
Reichen,reichen,NOUN
handelten,handeln,VERB
oft,oft,ADV
nach,nach,ADP
Leidenschaft,Leidenschaft,NOUN
und,und,CCONJ
Willkür,Willkür,NOUN
",",--,PUNCT
und,und,CCONJ
jedermann,jedermann,PRON
war,sein,AUX
in,in,ADP
dem,der,DET
wohlhabenden,wohlhabend,ADJ
blühenden,blühend,ADJ
Lande,Land,NOUN
mehr,mehr,ADV
oder,oder,CCONJ
minder,minder,ADV
darauf,darauf,ADV
angewiesen,anweisen,ADV
",",--,PUNCT
sich,sich,PRON
selber,selber,ADV
Recht,recht,NOUN
zu,zu,PART
schaffen,schaffen,VERB
",",--,PUNCT
und,und,CCONJ
durch,durch,ADP
Kraft,Kraft,NOUN
der,der,DET
Waffen,Waffe,NOUN
Anhang,Anhang,NOUN
oder,oder,CCONJ
Protektoren,Protektor,NOUN
sich,sich,PRON
zu,zu,ADP
sichern,sichern,VERB
",",--,PUNCT
um,um,SCONJ
nicht,nicht,PART
beeinträchtiget,Beeinträchtiget,ADV
zu,zu,PART
werden,werden,AUX
.,--,PUNCT
Der,der,DET
Herzog,Herzog,NOUN
Philipp,Philipp,PROPN
war,sein,AUX
mit,mit,ADP
seinem,sein,DET
Sohne,Sohne,NOUN
Carl,Carl,PROPN
gespannt,spannen,VERB
.,--,PUNCT
Beide,beide,PRON
hatten,haben,AUX
Ursache,Ursache,NOUN
",",--,PUNCT
sich,sich,PRON
über,über,ADP
einander,einander,PRON
zu,zu,PART
beklagen,beklagen,VERB
und,und,CCONJ
Günstlinge,Günstlinge,NOUN
und,und,CCONJ
Schmeichler,Schmeichler,NOUN
wendeten,wendeen,VERB
alle,aller,PRON
Künste,Kunst,NOUN
an,an,ADP
",",--,PUNCT
um,um,SCONJ
diese,dieser,DET
Verstimmung,Verstimmung,NOUN
in,in,ADP
