Token,Lemma,POS
Ludwig,Ludwig,PROPN
Tieck,Tieck,PROPN
Tod,Tod,NOUN
des,der,DET
Dichters,Dichter,NOUN
Es,es,PRON
war,sein,AUX
ein,ein,DET
heller,Heller,NOUN
",",--,PUNCT
freundlicher,freundlich,ADJ
Morgen,Morgen,NOUN
",",--,PUNCT
als,als,SCONJ
die,der,DET
edle,edel,ADJ
Gräfin,Gräfin,NOUN
Catharina,Catharina,PROPN
nachsinnend,nachsinnend,ADV
im,in,ADP
Gartensaale,Gartensaal,NOUN
saß,sitzen,VERB
",",--,PUNCT
indem,indem,SCONJ
ihr,ihr,DET
großes,groß,ADJ
Auge,Auge,NOUN
auf,auf,ADP
den,der,DET
blühenden,blühenden,NOUN
Granaten,Granate,NOUN
ruhte,ruhen,VERB
",",--,PUNCT
die,der,PRON
neben,neben,ADP
dem,der,DET
Springbrunnen,Springbrunn,NOUN
leuchteten,leuchteen,VERB
",",--,PUNCT
in,in,ADP
dessen,der,DET
Bassin,Bassin,NOUN
sich,sich,PRON
die,der,DET
Goldfischchen,Goldfischchen,NOUN
funkelnd,funkelnd,ADV
bewegten,bewegen,VERB
.,--,PUNCT
Ihre,ihr,DET
Enkelin,Enkelin,NOUN
",",--,PUNCT
Donna,Donna,PROPN
Maria,Maria,PROPN
",",--,PUNCT
ordnete,ordnen,VERB
Rosen,Rose,NOUN
und,und,CCONJ
Nelken,Nelke,NOUN
in,in,ADP
den,der,DET
schön,schön,ADV
gearbeiteten,gearbeitet,ADJ
Gefäßen,Gefäße,NOUN
",",--,PUNCT
welche,welcher,PRON
die,der,DET
Ecken,Ecke,NOUN
des,der,DET
weiten,weit,ADJ
",",--,PUNCT
kühlen,kühl,ADJ
Saales,Saal,NOUN
schmückten,schmückten,VERB
.,--,PUNCT
Die,der,DET
Matrone,Matrone,NOUN
wurde,werden,AUX
aus,aus,ADP
ihrem,ihr,DET
Sinnen,Sinnen,NOUN
durch,durch,ADP
den,der,DET
Ausruf,Ausruf,NOUN
des,der,DET
zwölfjährigen,zwölfjährig,ADJ
Kindes,Kind,NOUN
geweckt,wecken,VERB
:,--,PUNCT
»,--,PUNCT
Da,da,ADV
ist,sein,AUX
er,er,PRON
wieder,wieder,ADV
!,--,PUNCT
«,--,PUNCT
»,--,PUNCT
Was,was,PRON
hast,haben,AUX
du,du,PRON
?,--,PUNCT
«,--,PUNCT
fragte,fragen,VERB
Donna,Donna,PROPN
Catharina,Catharina,PROPN
",",--,PUNCT
indem,indem,SCONJ
sich,sich,PRON
die,der,DET
große,groß,ADJ
Gestalt,Gestalt,NOUN
aus,aus,ADP
dem,der,DET
Armsessel,Armsessel,PROPN
erhob,erheben,VERB
.,--,PUNCT
»,--,PUNCT
Immer,immer,ADV
wieder,wieder,ADV
«,--,PUNCT
",",--,PUNCT
sagte,sagen,VERB
das,der,DET
Fräulein,Fräulein,NOUN
",",--,PUNCT
»,--,PUNCT
wandelt,wandeln,VERB
der,der,DET
einäugige,einäugig,ADJ
Mann,Mann,NOUN
hier,hier,ADV
auf,auf,ADP
der,der,DET
Landstraße,Landstraße,NOUN
und,und,CCONJ
schaut,schauen,VERB
dann,dann,ADV
durch,durch,ADP
das,der,DET
Gitter,Gitter,NOUN
in,in,ADP
unsern,unsern,ADJ
Garten,Garten,NOUN
.,--,PUNCT
Ich,ich,PRON
habe,haben,AUX
ihn,ihn,PRON
nun,nun,ADV
schon,schon,ADV
drei,drei,NUM
Tage,Tag,NOUN
hintereinander,hintereinander,ADV
hier,hier,ADV
stehen,stehen,VERB
sehn,sehn,NUM
.,--,PUNCT
Er,er,PRON
betrachtet,betrachten,VERB
sich,sich,PRON
",",--,PUNCT
wie,wie,SCONJ
ich,ich,PRON
glaube,glauben,VERB
",",--,PUNCT
den,der,DET
Springbrunnen,Springbrunn,NOUN
so,so,ADV
genau,genau,ADV
und,und,CCONJ
die,der,DET
Blumenbeete,Blumenbeete,NOUN
.,--,PUNCT
Er,er,PRON
ist,sein,AUX
ein,ein,DET
hübscher,hübsch,ADJ
alter,alt,ADJ
Mann,Mann,NOUN
.,--,PUNCT
«,--,PUNCT
Catharina,Catharina,PROPN
ging,gehen,VERB
langsam,langsam,ADV
an,an,ADP
das,der,DET
Fenster,Fenster,NOUN
",",--,PUNCT
sah,sehen,VERB
nach,nach,ADP
dem,der,DET
bezeichneten,bezeichnet,ADJ
Wandrer,Wandrer,NOUN
hin,hin,ADV
und,und,CCONJ
sagte,sagen,VERB
:,--,PUNCT
»,--,PUNCT
Ein,ein,DET
Armer,Armer,NOUN
",",--,PUNCT
wie,wie,ADP
so,so,ADV
viele,viele,PRON
.,--,PUNCT
Dieses,dieser,DET
Erspähen,erspähen,NOUN
und,und,CCONJ
Lauschen,Lauschen,NOUN
gefällt,fällen,VERB
mir,mir,PRON
nicht,nicht,PART
.,--,PUNCT
Man,man,PRON
hört,hören,VERB
so,so,ADV
