Token,Lemma,POS
Ludwig,Ludwig,PROPN
Uhland,Uhland,PROPN
Lied,Lied,NOUN
der,der,DET
Nibelungen,Nibelunge,NOUN
In,in,ADP
Burgunden,Burgund,NOUN
erwuchs,erwuchs,VERB
Jungfrau,Jungfrau,NOUN
Kriemhild,Kriemhild,PROPN
",",--,PUNCT
die,der,DET
schönste,schön,ADJ
in,in,ADP
allen,aller,DET
Landen,Lande,NOUN
.,--,PUNCT
Drei,drei,NUM
königliche,königlich,ADJ
Brüder,Bruder,NOUN
haben,haben,AUX
sie,sie,PRON
in,in,ADP
Pflege,Pflege,NOUN
",",--,PUNCT
Gunther,Gunther,NOUN
",",--,PUNCT
Gernot,Gernot,PROPN
und,und,CCONJ
der,der,DET
junge,jung,ADJ
Giselher,Giselher,NOUN
.,--,PUNCT
Zu,zu,ADP
Worms,Worms,PROPN
am,an,ADP
Rheine,Rheine,NOUN
wohnen,wohnen,VERB
sie,sie,PRON
in,in,ADP
grosser,gross,ADJ
Macht,Macht,NOUN
;,--,PUNCT
kühne,kühn,ADJ
Recken,Recke,NOUN
sind,sein,AUX
ihre,ihr,DET
Dienstmannen,Dienstmanne,NOUN
:,--,PUNCT
Hagen,Hag,NOUN
von,von,ADP
Tronje,Tronje,NOUN
und,und,CCONJ
sein,sein,DET
Bruder,Bruder,NOUN
Dankwart,Dankwart,PROPN
",",--,PUNCT
der,der,DET
Marschalk,Marschalk,PROPN
;,--,PUNCT
deren,der,PRON
Neffe,Neff,NOUN
",",--,PUNCT
Ortwin,Ortwin,PROPN
von,von,ADP
Metz,Metz,PROPN
;,--,PUNCT
Gere,Gere,NOUN
und,und,CCONJ
Eckewart,Eckewart,NOUN
",",--,PUNCT
zwei,zwei,NUM
Markgrafen,Markgrafe,NOUN
;,--,PUNCT
Volker,Volker,PROPN
von,von,PROPN
Alzei,Alzei,PROPN
",",--,PUNCT
der,der,DET
Spielmann,Spielmann,NOUN
;,--,PUNCT
Sindolt,sindolt,PROPN
",",--,PUNCT
der,der,DET
Schenke,Schenke,NOUN
;,--,PUNCT
Hunolt,Hunolt,VERB
",",--,PUNCT
der,der,DET
Kämmerer,Kämmerer,NOUN
",",--,PUNCT
und,und,CCONJ
Rumolt,Rumolt,VERB
",",--,PUNCT
der,der,PRON
Küchenmeister,Küchenmeister,NOUN
.,--,PUNCT
In,in,ADP
diesen,dieser,DET
hohen,hoch,ADJ
Ehren,Ehre,NOUN
träumt,träumen,VERB
Kriemhilden,Kriemhilde,NOUN
",",--,PUNCT
wie,wie,ADP
ein,ein,DET
schöner,schön,ADJ
Falke,Falke,NOUN
",",--,PUNCT
den,der,PRON
sie,sie,PRON
gezogen,ziehen,VERB
",",--,PUNCT
von,von,ADP
zwei,zwei,NUM
Aaren,Aar,NOUN
ergriffen,ergreifen,VERB
wird,werden,AUX
.,--,PUNCT
Ute,Ute,PROPN
",",--,PUNCT
ihre,ihr,DET
Mutter,Mutter,NOUN
",",--,PUNCT
deutet,deuten,VERB
dieses,dieser,DET
auf,auf,ADP
einen,ein,DET
edeln,edeln,ADJ
Mann,Mann,NOUN
",",--,PUNCT
den,der,DET
Kriemhild,Kriemhild,NOUN
frühe,frühe,NOUN
verlieren,verlieren,VERB
möge,mögen,AUX
.,--,PUNCT
Aber,aber,CCONJ
Kriemhild,Kriemhild,NOUN
will,wollen,AUX
immer,immer,ADV
ohne,ohne,ADP
Mannes,Mann,NOUN
Minne,Minne,NOUN
leben,leben,VERB
.,--,PUNCT
Viele,viele,PRON
werben,werben,VERB
vergeblich,vergeblich,ADV
um,um,ADP
sie,sie,PRON
.,--,PUNCT
Da,da,ADV
hört,hören,VERB
auch,auch,ADV
Siegfried,Siegfried,PROPN
",",--,PUNCT
Sohn,Sohn,NOUN
des,der,DET
Königs,König,NOUN
Siegmund,Siegmund,PROPN
und,und,CCONJ
der,der,DET
Siegelind,Siegelind,NOUN
zu,zu,ADP
Santen,Sant,NOUN
in,in,ADP
Niederlanden,Niederlanden,PROPN
",",--,PUNCT
von,von,ADP
ihrer,ihr,DET
grossen,gross,ADJ
Schönheit,Schönheit,NOUN
.,--,PUNCT
In,in,ADP
früher,früh,ADJ
Jugend,Jugend,NOUN
schon,schon,ADV
hat,haben,AUX
er,er,PRON
Wunder,Wunder,NOUN
mit,mit,ADP
seiner,sein,DET
Hand,Hand,NOUN
getan,tun,VERB
;,--,PUNCT
den,der,DET
Hort,Hort,NOUN
der,der,DET
Nibelunge,Nibelunge,NOUN
hat,haben,AUX
er,er,PRON
gewonnen,gewinnen,VERB
",",--,PUNCT
samt,samt,ADP
dem,der,PRON
Schwerte,schwert,NOUN
Balmung,Balmung,NOUN
und,und,CCONJ
der,der,DET
unsichtbar,unsichtbar,ADV
machenden,machend,ADJ
Tarnkappe,Tarnkappe,NOUN
",",--,PUNCT
den,der,DET
Lindwurm,Lindwurm,NOUN
erschlagen,erschlagen,VERB
und,und,CCONJ
in,in,ADP
dem,der,DET
Blute,Blute,NOUN
seine,sein,DET
Haut,Haut,NOUN
zu,zu,ADP
Horn,Horn,PROPN
gebadet,baden,VERB
.,--,PUNCT
Selbzwölfte,Selbzwölfte,NOUN
zieht,ziehen,VERB
er,er,PRON
jetzt,jetzt,ADV
aus,aus,ADP
",",--,PUNCT
Kriemhilden,Kriemhilde,NOUN
zu,zu,PART
erwerben,erwerben,VERB
",",--,PUNCT
umsonst,umsonst,ADV
gewarnt,warnen,VERB
von,von,ADP
den,der,DET
Eltern,Eltern,NOUN
vor,vor,ADP
der,der,DET
burgundischen,burgundisch,ADJ
Recken,Reck,NOUN
Übermut,Übermut,NOUN
.,--,PUNCT
Köstlich,Köstlich,ADV
ausgerüstet,ausrüsten,VERB
",",--,PUNCT
reitet,reiten,VERB
er,er,PRON
zu,zu,ADP
Worms,Worms,PROPN
auf,auf,ADP
den,der,DET
Hof,Hof,PROPN
und,und,CCONJ
fordert,fordern,VERB
den,der,DET
König,König,NOUN
Gunther,Gunther,NOUN
zum,zu,ADP
Kampf,Kampf,NOUN
um,um,ADP
Land,Land,NOUN
und,und,CCONJ
Leute,Leute,NOUN
.,--,PUNCT
Doch,doch,CCONJ
im,in,ADP
