Token,Lemma,POS
Marie,Marie,NOUN
Nathusius,Nathusius,PROPN
Elisabeth,Elisabeth,PROPN
.,--,PUNCT
I.,I.,PROPN
Band,Band,NOUN
Eine,ein,DET
Geschichte,Geschichte,NOUN
",",--,PUNCT
die,der,PRON
nicht,nicht,PART
mit,mit,ADP
der,der,DET
Heirath,Heirath,NOUN
schließt,schließen,VERB
.,--,PUNCT
1870,1870,NUM
1.,1.,ADJ
Des,Des,DET
Großvaters,Großvater,PROPN
Bruder,Bruder,NOUN
.,--,PUNCT
Ich,ich,PRON
weiß,wissen,VERB
gar,gar,ADV
nicht,nicht,PART
",",--,PUNCT
warum,warum,SCONJ
gerade,gerade,ADV
ich,ich,PRON
heirathen,heirathen,VERB
soll,sollen,AUX
!,--,PUNCT
sagte,sagen,VERB
Herr,Herr,NOUN
Karl,Karl,PROPN
von,von,PROPN
Budmar,Budmar,PROPN
ärgerlich,ärgerlich,ADV
und,und,CCONJ
ging,gehen,VERB
dabei,dabei,ADV
heftig,heftig,ADV
im,in,ADP
Zimmer,Zimmer,NOUN
auf,auf,ADP
und,und,CCONJ
ab,ab,ADV
.,--,PUNCT
Friedrich,Friedrich,PROPN
",",--,PUNCT
sein,sein,DET
jüngerer,jung,ADJ
Bruder,Bruder,NOUN
",",--,PUNCT
saß,sitzen,VERB
im,in,ADP
Sofa,Sofa,NOUN
und,und,CCONJ
trommelte,trommeln,VERB
mit,mit,ADP
den,der,DET
Fingern,Finger,NOUN
auf,auf,ADP
die,der,DET
Lehne,Lehne,NOUN
.,--,PUNCT
Warum,warum,ADV
gerade,gerade,ADV
ich,ich,PRON
",",--,PUNCT
–,--,PUNCT
fuhr,fahren,VERB
der,der,DET
ältere,alt,ADJ
wieder,wieder,ADV
fort,fort,ADV
:,--,PUNCT
das,der,DET
Leben,Leben,NOUN
ist,sein,AUX
schon,schon,ADV
voller,voll,ADP
Mühe,Mühe,NOUN
und,und,CCONJ
Sorge,Sorge,NOUN
",",--,PUNCT
und,und,CCONJ
nun,nun,ADV
dazu,dazu,ADV
diese,dieser,DET
Unannehmlichkeit,Unannehmlichkeit,NOUN
.,--,PUNCT
Er,er,PRON
blieb,bleiben,VERB
jetzt,jetzt,ADV
fragend,fragend,ADV
vor,vor,ADP
dem,der,DET
Bruder,Bruder,NOUN
stehen,stehen,VERB
.,--,PUNCT
Die,der,DET
Sache,Sache,NOUN
ist,sein,AUX
ganz,ganz,ADV
einfach,einfach,ADV
",",--,PUNCT
entgegnete,entgegnen,VERB
dieser,dieser,PRON
lächelnd,lächelnd,ADV
",",--,PUNCT
Du,du,PRON
sollst,sollen,AUX
heirathen,heirathen,VERB
",",--,PUNCT
weil,weil,SCONJ
Du,du,PRON
Dich,dich,PRON
verlobt,verloben,VERB
hast,haben,AUX
.,--,PUNCT
Ja,ja,PART
",",--,PUNCT
das,der,PRON
war,sein,AUX
der,der,DET
Fehler,Fehler,NOUN
!,--,PUNCT
sagte,sagen,VERB
Karl,Karl,PROPN
lebhaft,lebhaft,PROPN
",",--,PUNCT
es,es,PRON
ist,sein,AUX
unbegreiflich,unbegreiflich,ADV
",",--,PUNCT
wie,wie,SCONJ
ich,ich,PRON
dazu,dazu,ADV
gekommen,kommen,VERB
bin,sein,AUX
.,--,PUNCT
–,--,PUNCT
Lieber,Lieber,PROPN
Fritz,Fritz,PROPN
",",--,PUNCT
ich,ich,PRON
bin,sein,AUX
sehr,sehr,ADV
unglücklich,unglücklich,ADV
!,--,PUNCT
setzte,setzen,VERB
er,er,PRON
mit,mit,ADP
einem,ein,DET
tiefen,tief,ADJ
Seufzer,Seufzer,NOUN
hinzu,hinzu,ADV
.,--,PUNCT
Was,was,PRON
ist,sein,AUX
denn,denn,ADV
wieder,wieder,ADV
vorgefallen,vorgefallen,VERB
?,--,PUNCT
fragte,fragen,VERB
der,der,DET
Bruder,Bruder,NOUN
jetzt,jetzt,ADV
theilnehmend,theilnehmend,ADV
.,--,PUNCT
Vorgefallen,Vorgefalle,NOUN
ist,sein,AUX
gar,gar,ADV
nichts,nichts,PRON
",",--,PUNCT
fuhr,fahren,VERB
der,der,DET
Bräutigam,Bräutigam,NOUN
auf,auf,ADP
",",--,PUNCT
es,es,PRON
ist,sein,AUX
nur,nur,ADV
ein,ein,DET
Factum,Factum,NOUN
da,da,ADV
",",--,PUNCT
eine,ein,DET
Thatsache,Thatsache,NOUN
mit,mit,ADP
ihren,ihr,DET
unvermeidlichen,unvermeidlich,ADJ
Folgen,Folge,NOUN
.,--,PUNCT
Heute,heute,ADV
komme,kommen,VERB
ich,ich,PRON
hin,hin,ADV
",",--,PUNCT
–,--,PUNCT
ich,ich,PRON
versäume,versäumen,VERB
keinen,kein,DET
Morgen,Morgen,NOUN
",",--,PUNCT
mich,mich,PRON
nach,nach,ADP
dem,der,DET
Befinden,befinden,NOUN
meiner,mein,DET
Braut,Braut,NOUN
und,und,CCONJ
dem,der,DET
Befinden,befinden,NOUN
meiner,mein,DET
Schwiegermutter,Schwiegermutter,NOUN
zu,zu,PART
erkundigen,erkundigen,VERB
",",--,PUNCT
–,--,PUNCT
heute,heute,ADV
nimmt,nehmen,VERB
mich,mich,PRON
die,der,DET
Schwiegermutter,Schwiegermutter,PROPN
schon,schon,ADV
auf,auf,ADP
dem,der,DET
Flur,Flur,NOUN
in,in,ADP
Empfang,Empfang,NOUN
und,und,CCONJ
flüstert,flüstern,VERB
:,--,PUNCT
Morgen,morgen,ADV
ist,sein,AUX
Charlottchens,Charlottchen,PROPN
Geburtstag,Geburtstag,NOUN
",",--,PUNCT
es,es,PRON
ist,sein,AUX
Ihnen,ihnen,PRON
wohl,wohl,ADV
lieb,leiben,VERB
",",--,PUNCT
das,der,PRON
zu,zu,PART
wissen,wissen,VERB
.,--,PUNCT
–,--,PUNCT
Ich,ich,PRON
frage,fragen,VERB
Dich,dich,PRON
nun,nun,ADV
",",--,PUNCT
Fritz,Fritz,PROPN
",",--,PUNCT
warum,warum,ADV
mir,mir,PRON
das,der,DET
lieb,lieb,NOUN
sein,sein,AUX
soll,sollen,AUX
?,--,PUNCT
Du,du,PRON
wirst,wirst,AUX
Dich,dich,PRON
doch,doch,ADV
freuen,freuen,VERB
",",--,PUNCT
daß,daß,SCONJ
Deine,Dein,DET
Braut,Braut,NOUN
geboren,gebären,VERB
ist,sein,AUX
",",--,PUNCT
entgegnete,entgegnen,VERB
dieser,dieser,PRON
lachend,lachend,ADV
.,--,PUNCT
Ja,ja,PART
",",--,PUNCT
freuen,freuen,VERB
",",--,PUNCT
–,--,PUNCT
das,der,PRON
ist,sein,AUX
ganz,ganz,ADV
gut,gut,ADV
",",--,PUNCT
seufzte,seufzen,VERB
Karl,Karl,PROPN
",",--,PUNCT
seit,seit,ADP
heute,heute,ADV
Morgen,Morgen,ADV
aber,aber,ADV
zerbreche,zerbrech,ADJ
ich,ich,PRON
mir,sich,PRON
den,der,DET
Kopf,Kopf,NOUN
",",--,PUNCT
was,was,PRON
ich,ich,PRON
morgen,morgen,ADV
anfangen,anfangen,VERB
soll,sollen,AUX
.,--,PUNCT
Du,du,PRON
sollst,sollen,AUX
ihr,ihr,DET
etwas,etwas,PRON
schenken,schenken,VERB
",",--,PUNCT
das,der,PRON
ist,sein,AUX
wieder,wieder,ADV
ganz,ganz,ADV
einfach,einfach,ADV
",",--,PUNCT
war,sein,AUX
des,der,DET
Bruders,Bruder,NOUN
Antwort,Antwort,NOUN
.,--,PUNCT
Das,der,PRON
weiß,wissen,VERB
ich,ich,PRON
auch,auch,ADV
",",--,PUNCT
nahm,nehmen,VERB
Karl,Karl,PROPN
eifrig,eifrig,ADV
das,der,DET
Wort,Wort,NOUN
",",--,PUNCT
nun,nun,ADV
aber,aber,ADV
stürmen,stürm,ADJ
Fragen,Frage,NOUN
und,und,CCONJ
Bedenken,Bedenken,NOUN
auf,auf,ADP
mich,mich,PRON
ein,ein,ADV
",",--,PUNCT
die,der,DET
Frage,Frage,NOUN
ist,sein,AUX
:,--,PUNCT
soll,sollen,AUX
ich,ich,PRON
etwas,etwas,DET
Nützliches,nützliche,NOUN
oder,oder,CCONJ
etwas,etwas,PRON
Ueberflüssiges,ueberflüssige,NOUN
schenken,schenken,VERB
.,--,PUNCT
Das,der,DET
letzte,letzter,ADJ
ist,sein,AUX
gegen,gegen,ADP
meine,mein,DET
Grundsätze,Grundsatz,NOUN
",",--,PUNCT
