Token,Lemma,POS
Marie,Marie,NOUN
von,von,ADP
Ebner-Eschenbach,Ebner-Eschenbach,PROPN
Der,der,DET
gute,gut,ADJ
Mond,Mond,NOUN
Vor,vor,ADP
vierzehn,vierzehn,NUM
Tagen,Tag,NOUN
haben,haben,AUX
wir,wir,PRON
ihn,ihn,PRON
zur,zu,ADP
letzten,letzter,ADJ
Ruhestätte,Ruhestätte,NOUN
begleitet,begleiten,VERB
:,--,PUNCT
Herr,Herr,NOUN
Franz,Franz,PROPN
von,von,ADP
Meyer,Meyer,PROPN
",",--,PUNCT
Herr,Herr,NOUN
Joseph,Joseph,PROPN
von,von,ADP
Müller,Müller,PROPN
und,und,CCONJ
ich,ich,PRON
",",--,PUNCT
Johann,Johann,PROPN
Ritter,Ritter,PROPN
von,von,ADP
Schmidt,Schmidt,PROPN
.,--,PUNCT
Ja,ja,PART
",",--,PUNCT
er,er,PRON
ist,sein,AUX
tot,tot,ADV
",",--,PUNCT
der,der,DET
gute,gut,ADJ
Mond,Mond,NOUN
;,--,PUNCT
nun,nun,ADV
gibt,geben,VERB
es,es,PRON
keinen,kein,DET
Königrufer,Königrufer,NOUN
mehr,mehr,ADV
",",--,PUNCT
und,und,CCONJ
sind,sein,AUX
wir,wir,PRON
reduziert,reduzieren,VERB
auf,auf,ADP
einen,ein,DET
Tapper,Tapper,NOUN
.,--,PUNCT
Einen,ein,DET
anderen,anderer,ADJ
Stammgast,Stammgast,NOUN
des,der,DET
»,--,PUNCT
Blauen,Blauen,ADJ
Raben,Raben,NOUN
«,--,PUNCT
einzuladen,einladen,VERB
",",--,PUNCT
den,der,DET
leer,leer,ADV
gewordenen,geworden,ADJ
Stuhl,Stuhl,NOUN
des,der,DET
Freundes,Freund,NOUN
zu,zu,PART
besetzen,besetzen,VERB
ist,sein,AUX
uns,uns,PRON
nicht,nicht,PART
eingefallen,einfallen,VERB
",",--,PUNCT
so,so,ADV
viele,vieler,DET
Prätendenten,Prätendent,NOUN
sich,sich,PRON
derohalber,derohalber,ADV
auch,auch,ADV
direkt,direkt,ADV
und,und,CCONJ
indirekt,indirekt,ADV
bei,bei,ADP
uns,uns,PRON
gemeldet,melden,VERB
und,und,CCONJ
so,so,ADV
anständige,anständig,ADJ
Leute,Leute,NOUN
es,es,PRON
auch,auch,ADV
waren,sein,AUX
",",--,PUNCT
an,an,ADP
denen,der,PRON
unser,unser,DET
Städtchen,Städtchen,NOUN
überhaupt,überhaupt,ADV
",",--,PUNCT
zu,zu,ADP
seiner,sein,DET
Ehre,Ehre,NOUN
sei,sein,AUX
es,es,PRON
gesagt,sagen,VERB
",",--,PUNCT
keinen,kein,DET
Mangel,Mangel,NOUN
leidet,leiden,VERB
.,--,PUNCT
Der,der,DET
Platz,Platz,NOUN
",",--,PUNCT
den,der,PRON
der,der,DET
gute,gut,ADJ
Mond,Mond,NOUN
durch,durch,ADP
neunzehn,neunzehn,NUM
Jahre,Jahr,NOUN
allabendlich,allabendlich,ADV
drei,drei,NUM
Stunden,Stunde,NOUN
lang,lang,ADV
eingenommen,einnehmen,VERB
hat,haben,AUX
",",--,PUNCT
ist,sein,AUX
infolge,infolge,ADP
des,der,DET
hohen,hoch,ADJ
Alters,Alter,NOUN
seines,sein,DET
Inhabers,Inhaber,NOUN
und,und,CCONJ
des,der,DET
Ratschlusses,Ratschluss,NOUN
der,der,DET
ewigen,ewig,ADJ
Vorsehung,Vorsehung,NOUN
leer,leer,ADV
geworden,werden,AUX
und,und,CCONJ
soll,sollen,AUX
denn,denn,ADV
leer,leer,ADV
bleiben,bleiben,VERB
.,--,PUNCT
Was,was,PRON
die,der,DET
Erinnerung,Erinnerung,NOUN
an,an,ADP
den,der,DET
Verblichenen,Verblichen,NOUN
betrifft,betreffen,VERB
",",--,PUNCT
so,so,ADV
wird,werden,AUX
sie,sie,PRON
uns,uns,PRON
niemals,niemals,ADV
entschwinden,entschwinden,VERB
",",--,PUNCT
und,und,CCONJ
werden,werden,AUX
wir,wir,PRON
die,der,DET
Geschichte,Geschichte,NOUN
",",--,PUNCT
die,der,PRON
er,er,PRON
am,am,PART
liebsten,lieb,ADV
erzählte,erzählen,VERB
",",--,PUNCT
niemals,niemals,ADV
vergessen,vergessen,VERB
.,--,PUNCT
Aber,aber,CCONJ
derweil,derweil,ADV
sie,sie,PRON
noch,noch,ADV
frisch,frisch,ADV
in,in,ADP
uns,uns,PRON
lebt,leben,VERB
und,und,CCONJ
seine,sein,DET
Ausdrucksweise,Ausdrucksweise,NOUN
uns,uns,PRON
auch,auch,ADV
noch,noch,ADV
ganz,ganz,ADV
geläufig,geläufig,ADV
ist,sein,AUX
",",--,PUNCT
habe,haben,AUX
ich,ich,PRON
",",--,PUNCT
der,der,PRON
ich,ich,PRON
mich,sich,PRON
des,der,DET
besten,gut,ADJ
Gedächtnisses,Gedächtnis,NOUN
erfreue,erfreuen,VERB
und,und,CCONJ
auch,auch,ADV
ziemlich,ziemlich,ADV
gut,gut,ADV
in,in,ADP
der,der,DET
Feder,Feder,NOUN
bin,sein,AUX
",",--,PUNCT
es,es,PRON
unternommen,unternehmen,VERB
",",--,PUNCT
dieselbe,derselbe,NOUN
aufzuschreiben,aufschreiben,VERB
.,--,PUNCT
Bin,Bin,AUX
mir,mir,PRON
dabei,dabei,ADV
wohl,wohl,ADV
bewußt,bewußt,ADV
",",--,PUNCT
daß,daß,SCONJ
die,der,DET
Hauptursache,Hauptursache,NOUN
des,der,DET
Eindrucks,Eindruck,NOUN
",",--,PUNCT
den,der,PRON
die,der,DET
Geschichte,Geschichte,NOUN
auf,auf,ADP
uns,uns,PRON
machte,machen,VERB
",",--,PUNCT
in,in,ADP
dem,der,DET
Mangel,Mangel,NOUN
an,an,ADP
