Token,Lemma,POS
Marie,Marie,NOUN
von,von,ADP
Ebner-Eschenbach,Ebner-Eschenbach,PROPN
Die,der,DET
Freiherren,Freiherrum,NOUN
von,von,ADP
Gemperlein,Gemperlein,PROPN
Erzählung,Erzählung,NOUN
(,--,PUNCT
1889,1889,NUM
),--,PUNCT
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,DET
━,━,PROPN
━,━,PROPN
━,━,PROPN
━,━,PROPN
I,I,NUM
Das,der,DET
Geschlecht,Geschlecht,NOUN
der,der,DET
Gemperlein,Gemperlein,NOUN
ist,sein,AUX
ein,ein,DET
edles,edl,ADJ
und,und,CCONJ
uraltes,uralt,ADJ
;,--,PUNCT
seine,sein,DET
Geschicke,Geschick,NOUN
sind,sein,AUX
auf,auf,ADP
das,der,DET
innigste,innigste,NOUN
mit,mit,ADP
denen,der,PRON
seines,sein,DET
Vaterlandes,Vaterland,NOUN
verflochten,verflochten,VERB
.,--,PUNCT
Es,es,PRON
hat,haben,AUX
mehrmals,mehrmals,ADV
glorreich,glorreich,ADV
geblüht,blühen,VERB
",",--,PUNCT
es,es,PRON
ist,sein,AUX
mehrmals,mehrmals,ADV
in,in,ADP
Unglück,Unglück,NOUN
und,und,CCONJ
Armut,Armut,NOUN
verfallen,verfallen,VERB
.,--,PUNCT
Die,der,DET
größte,groß,ADJ
Schuld,Schuld,NOUN
an,an,ADP
den,der,DET
raschen,rasch,ADJ
Wandlungen,Wandlung,NOUN
",",--,PUNCT
denen,der,PRON
sein,sein,DET
Stern,Stern,NOUN
unterworfen,unterwerfen,VERB
war,sein,AUX
",",--,PUNCT
trugen,tragen,VERB
die,der,DET
Mitglieder,Mitglied,NOUN
des,der,DET
Hauses,Haus,NOUN
selbst,selbst,ADV
.,--,PUNCT
Niemals,niemals,ADV
schuf,schaffen,VERB
die,der,DET
Natur,Natur,NOUN
einen,ein,DET
geduldigen,geduldig,ADJ
Gemperlein,Gemperlein,PROPN
",",--,PUNCT
niemals,niemals,ADV
einen,einer,PRON
",",--,PUNCT
der,der,PRON
sich,sich,PRON
nicht,nicht,PART
mit,mit,ADP
gutem,gut,ADJ
Fug,Fug,NOUN
und,und,CCONJ
Recht,Recht,NOUN
das,der,DET
Prädikat,Prädikat,NOUN
«,--,PUNCT
der,der,DET
Streitbare,Streitbare,NOUN
»,--,PUNCT
hätte,haben,AUX
beilegen,beilegen,VERB
dürfen,dürfen,AUX
.,--,PUNCT
Dieser,dieser,DET
kräftige,kräftig,ADJ
Familienzug,Familienzug,NOUN
war,sein,AUX
allen,alle,PRON
gemeinsam,gemeinsam,ADV
.,--,PUNCT
Hingegen,hingegen,ADV
gibt,geben,VERB
es,es,PRON
keine,kein,DET
schrofferen,schroff,ADJ
Gegensätze,Gegensatz,NOUN
als,als,ADP
die,der,PRON
",",--,PUNCT
in,in,ADP
denen,der,PRON
sich,sich,PRON
die,der,DET
verschiedenen,verschieden,ADJ
Gemperlein-Generationen,Gemperlein-Generation,NOUN
",",--,PUNCT
in,in,ADP
bezug,Bezug,NOUN
auf,auf,ADP
ihre,ihr,DET
politischen,politisch,ADJ
Überzeugungen,Überzeugung,NOUN
",",--,PUNCT
zueinander,zueinander,NOUN
verhielten,verhalten,VERB
.,--,PUNCT
Während,während,SCONJ
die,der,DET
einen,ein,PRON
ihr,ihr,DET
Leben,Leben,NOUN
damit,damit,ADV
zubrachten,zubrachen,VERB
",",--,PUNCT
ihre,ihr,DET
Anhänglichkeit,Anhänglichkeit,NOUN
an,an,ADP
den,der,DET
angestammten,angestammt,ADJ
Herrscher,Herrscher,NOUN
mit,mit,ADP
dem,der,DET
Schwerte,Schwerte,NOUN
in,in,ADP
der,der,DET
Faust,Faust,NOUN
zu,zu,PART
betätigen,betätigen,VERB
und,und,CCONJ
so,so,ADV
lange,lange,ADV
mit,mit,ADP
ihrem,ihr,DET
Blute,Blute,NOUN
zu,zu,PART
besiegeln,besiegeln,VERB
",",--,PUNCT
bis,bis,SCONJ
der,der,DET
letzte,letzter,ADJ
Tropfen,Tropfen,NOUN
desselben,derselbe,PRON
verspritzt,verspritzen,VERB
war,sein,AUX
",",--,PUNCT
machten,machen,VERB
sich,sich,PRON
die,der,DET
andern,anderer,PRON
zu,zu,ADP
Vorkämpfern,Vorkämpf,NOUN
der,der,DET
Revolte,Revolte,NOUN
und,und,CCONJ
starben,sterben,VERB
als,als,ADP
Helden,Held,NOUN
für,für,ADP
ihre,ihr,DET
Sache,Sache,NOUN
",",--,PUNCT
als,als,ADP
Feinde,Feind,NOUN
der,der,DET
Machthaber,Machthaber,NOUN
und,und,CCONJ
als,als,ADP
wilde,wild,ADJ
Verächter,Verächter,NOUN
jeglicher,jeglicher,DET
Unterwerfung,Unterwerfung,NOUN
.,--,PUNCT
Die,der,DET
