Token,Lemma,POS
Marie,Marie,NOUN
von,von,ADP
Ebner-Eschenbach,Ebner-Eschenbach,PROPN
Die,der,DET
schönsten,schön,ADJ
Erzählungen,Erzählung,NOUN
Ihr,ihr,DET
Traum,Traum,NOUN
Erlebnis,Erlebnis,NOUN
eines,ein,DET
Malers,Maler,NOUN
Im,in,ADP
Sommer,Sommer,NOUN
1879,1879,NUM
hatte,haben,VERB
ich,ich,PRON
für,für,ADP
einen,ein,DET
hohen,hoch,ADJ
Kunstfreund,Kunstfreund,NOUN
eine,ein,DET
Reihe,Reihe,NOUN
von,von,ADP
Bildern,Bild,NOUN
zu,zu,ADP
malen,malen,VERB
.,--,PUNCT
Mährische,Mährische,ADJ
Landschaften,Landschaft,NOUN
und,und,CCONJ
Volkstypen,Volkstype,NOUN
.,--,PUNCT
Je,je,ADV
treuer,treu,ADV
und,und,CCONJ
charakteristischer,Charakteristischer,ADJ
",",--,PUNCT
je,je,ADV
besser,gut,ADV
.,--,PUNCT
Da,da,SCONJ
ich,ich,PRON
meine,mein,DET
Zeit,Zeit,NOUN
gehörig,gehörig,ADV
ausnützen,ausnützen,VERB
und,und,CCONJ
auch,auch,ADV
ganz,ganz,ADV
unabhängig,unabhängig,ADV
bleiben,bleiben,VERB
wollte,wollen,AUX
",",--,PUNCT
vermied,vermeiden,VERB
ich,ich,PRON
",",--,PUNCT
von,von,ADP
der,der,DET
Gastfreundschaft,Gastfreundschaft,NOUN
der,der,DET
Schloßbewohner,Schloßbewohner,ADJ
Gebrauch,Gebrauch,NOUN
zu,zu,ADP
machen,machen,VERB
",",--,PUNCT
und,und,CCONJ
nahm,nehmen,VERB
trotz,trotz,ADP
der,der,DET
Liebenswürdigkeit,Liebenswürdigkeit,NOUN
",",--,PUNCT
mit,mit,ADP
der,der,PRON
sie,sie,PRON
mir,mir,PRON
fast,fast,ADV
überall,überall,ADV
angeboten,anbieten,VERB
wurde,werden,AUX
",",--,PUNCT
mein,mein,DET
jeweiliges,jeweilig,ADJ
Standquartier,Standquartier,NOUN
wohl,wohl,ADV
oder,oder,CCONJ
übel,übel,ADV
(,--,PUNCT
meistens,meistens,ADV
übel,Übel,ADV
),--,PUNCT
im,in,ADP
Dorfwirtshaus,Dorfwirtshaus,NOUN
.,--,PUNCT
Rasch,Rasch,ADV
ging,gehen,VERB
die,der,DET
Arbeit,Arbeit,NOUN
mir,mir,PRON
von,von,ADP
der,der,DET
Hand,Hand,NOUN
.,--,PUNCT
Ende,Ende,NOUN
September,September,NOUN
waren,sein,AUX
alle,aller,DET
meine,mein,DET
Skizzen,Skizze,NOUN
und,und,CCONJ
sogar,sogar,ADV
einige,einiger,DET
Bilder,Bild,NOUN
fertig,fertig,ADV
.,--,PUNCT
Mit,mit,ADP
gutem,gut,ADJ
Gewissen,Gewissen,NOUN
und,und,CCONJ
sehr,sehr,ADV
heiterem,heiter,ADJ
Mute,Mute,NOUN
durfte,dürfen,AUX
ich,ich,PRON
wieder,wieder,ADV
heimwärts,heimwärts,ADV
fliegen,fliegen,VERB
nach,nach,ADP
Wien,Wien,PROPN
",",--,PUNCT
wohin,wohin,SCONJ
für,für,ADP
den,der,DET
ersten,erster,ADJ
Oktober,Oktober,NOUN
eine,ein,DET
Verabredung,Verabredung,NOUN
mich,mich,PRON
rief,rufen,VERB
–,--,PUNCT
mächtig,mächtig,ADV
rief,rufen,VERB
...,--,PUNCT
Ich,ich,PRON
verrate,verraten,VERB
nichts,nichts,PRON
",",--,PUNCT
ich,ich,PRON
sage,sagen,VERB
nur,nur,ADV
:,--,PUNCT
mein,mein,DET
Herz,Herz,NOUN
",",--,PUNCT
das,der,PRON
heute,heute,ADV
noch,noch,ADV
von,von,ADP
Winterfrost,Winterfrost,PROPN
nichts,nichts,PRON
weiß,wissen,VERB
",",--,PUNCT
befand,befinden,VERB
sich,sich,PRON
damals,damals,ADV
im,in,ADP
Drang,Drang,NOUN
der,der,DET
Herbstäquinoktialstürme,Herbstäquinoktialstürme,NOUN
.,--,PUNCT
Am,an,ADP
Morgen,Morgen,NOUN
des,der,DET
letzten,letzter,ADJ
Septembers,September,NOUN
erwachte,erwachen,VERB
ich,ich,PRON
zugleich,zugleich,ADV
mit,mit,ADP
dem,der,DET
Haushahn,Haushahn,NOUN
im,in,ADP
Gasthof,Gasthof,NOUN
des,der,DET
Dorfes,Dorf,NOUN
Willowic,Willowic,PROPN
.,--,PUNCT
Ein,ein,DET
ganzer,ganz,ADJ
Tag,Tag,NOUN
war,sein,AUX
noch,noch,ADV
zu,zu,PART
überwinden,überwinden,VERB
",",--,PUNCT
bevor,bevor,SCONJ
sie,sie,PRON
aufging,aufging,VERB
",",--,PUNCT
die,der,DET
Sonne,Sonne,NOUN
des,der,DET
ersten,erster,ADJ
Oktobers,Oktober,NOUN
.,--,PUNCT
Wenn,wenn,SCONJ
ich,ich,PRON
heute,heute,ADV
meine,mein,DET
Heimreise,Heimreise,NOUN
antrat,antreten,VERB
",",--,PUNCT
lagen,liegen,VERB
noch,noch,ADV
ein,ein,DET
paar,paar,DET
Abendstunden,abendstunde,NOUN
",",--,PUNCT
lag,liegen,VERB
eine,ein,DET
sicherlich,sicherlich,ADV
schlaflose,schlaflos,ADJ
Nacht,Nacht,NOUN
zwischen,zwischen,ADP
der,der,DET
Stunde,Stunde,NOUN
meiner,mein,DET
Ankunft,Ankunft,NOUN
und,und,CCONJ
der,der,DET
meines,mein,DET
Glückes,Glück,NOUN
.,--,PUNCT
Ich,ich,PRON
entschloß,entschließen,VERB
mich,mich,PRON
",",--,PUNCT
meine,mein,DET
Ungeduld,Ungeduld,NOUN
tagsüber,tagsüber,ADV
zu,zu,PART
verrennen,verrennen,VERB
und,und,CCONJ
die,der,DET
Nacht,Nacht,NOUN
