Token,Lemma,POS
Marie,Marie,NOUN
von,von,ADP
Ebner-Eschenbach,Ebner-Eschenbach,PROPN
Er,er,PRON
lasst,lassen,VERB
die,der,DET
Hand,Hand,NOUN
küssen,küssen,VERB
Erzählung,Erzählung,NOUN
(,--,PUNCT
1886,1886,NUM
),--,PUNCT
«,--,PUNCT
So,so,ADV
reden,reden,VERB
Sie,sie,PRON
denn,denn,ADV
in,in,ADP
Gottes,Gott,NOUN
Namen,Name,NOUN
»,--,PUNCT
",",--,PUNCT
sprach,sprechen,VERB
die,der,DET
Gräfin,Gräfin,NOUN
",",--,PUNCT
«,--,PUNCT
ich,ich,PRON
werde,werden,AUX
Ihnen,ihnen,PRON
zuhören,zuhören,VERB
;,--,PUNCT
glauben,glauben,VERB
aber,aber,ADV
nicht,nicht,PART
ein,ein,DET
Wort,Wort,NOUN
.,--,PUNCT
»,--,PUNCT
Der,der,DET
Graf,Graf,NOUN
lehnte,lehnen,VERB
sich,sich,PRON
behaglich,behaglich,ADV
zurück,zurück,ADV
in,in,ADP
seinen,sein,DET
großen,groß,ADJ
Lehnsessel,Lehnsessel,NOUN
:,--,PUNCT
«,--,PUNCT
Und,und,CCONJ
warum,warum,ADV
nicht,nicht,PART
?,--,PUNCT
»,--,PUNCT
fragte,fragen,VERB
er,er,PRON
.,--,PUNCT
Sie,sie,PRON
zuckte,zucken,VERB
leise,leise,ADV
mit,mit,ADP
den,der,DET
Achseln,Achsel,NOUN
:,--,PUNCT
«,--,PUNCT
Vermutlich,vermutlich,ADV
erfinden,erfinden,VERB
Sie,sie,PRON
nicht,nicht,PART
überzeugend,überzeugend,ADV
genug,genug,ADV
.,--,PUNCT
»,--,PUNCT
«,--,PUNCT
Ich,ich,PRON
erfinde,erfinden,VERB
gar,gar,ADV
nicht,nicht,PART
",",--,PUNCT
ich,ich,PRON
erinnere,erinneren,VERB
mich,mich,PRON
.,--,PUNCT
Das,der,DET
Gedächtnis,Gedächtnis,NOUN
ist,sein,AUX
meine,mein,DET
Muse,Muse,NOUN
.,--,PUNCT
»,--,PUNCT
«,--,PUNCT
Eine,ein,DET
einseitige,einseitig,ADJ
",",--,PUNCT
wohldienerische,wohldienerisch,ADJ
Muse,Muse,NOUN
!,--,PUNCT
Sie,sie,PRON
erinnert,erinnern,VERB
sich,sich,PRON
nur,nur,ADV
der,der,DET
Dinge,Ding,NOUN
",",--,PUNCT
die,der,PRON
Ihnen,ihnen,PRON
in,in,ADP
den,der,DET
Kram,Kram,PROPN
passen,passen,VERB
.,--,PUNCT
Und,und,CCONJ
doch,doch,ADV
gibt,geben,VERB
es,es,PRON
auf,auf,ADP
Erden,Erde,NOUN
noch,noch,ADV
manches,mancher,DET
Interessante,Interessante,NOUN
und,und,CCONJ
Schöne,schöne,NOUN
außer,außer,ADP
dem,der,DET
–,--,PUNCT
Nihilismus,Nihilismus,NOUN
.,--,PUNCT
»,--,PUNCT
Sie,sie,PRON
hatte,haben,AUX
ihre,ihr,DET
Häkelnadel,Häkelnadel,NOUN
erhoben,erheben,VERB
und,und,CCONJ
das,der,DET
letzte,letzter,ADJ
Wort,Wort,NOUN
wie,wie,ADP
einen,ein,DET
Schuß,Schuß,NOUN
gegen,gegen,ADP
ihren,ihr,DET
alten,alt,ADJ
Verehrer,Verehrer,NOUN
abgefeuert,abfeuern,VERB
.,--,PUNCT
Er,er,PRON
vernahm,vernehmen,VERB
es,es,PRON
ohne,ohne,ADP
Zucken,Zuck,NOUN
",",--,PUNCT
strich,streichen,VERB
behaglich,behaglich,ADV
seinen,sein,DET
weißen,weiß,ADJ
Bart,Bart,NOUN
und,und,CCONJ
sah,sehen,VERB
die,der,PRON
Gräfin,Gräfin,NOUN
beinahe,beinahe,ADV
dankbar,dankbar,ADV
aus,aus,ADP
seinen,sein,DET
klugen,klug,ADJ
Augen,Auge,NOUN
an,an,ADP
.,--,PUNCT
«,--,PUNCT
Ich,ich,PRON
wollte,wollen,AUX
Ihnen,ihnen,PRON
etwas,etwas,PRON
von,von,ADP
meiner,mein,DET
Großmutter,Großmutter,NOUN
erzählen,erzählen,VERB
»,--,PUNCT
",",--,PUNCT
sprach,sprechen,VERB
er,er,PRON
.,--,PUNCT
«,--,PUNCT
Auf,auf,ADP
dem,der,DET
Wege,Weg,NOUN
hierher,hierher,ADV
",",--,PUNCT
mitten,mitten,ADV
im,in,ADP
Walde,Walde,NOUN
",",--,PUNCT
ist,sein,AUX
es,es,PRON
mir,mir,PRON
eingefallen,einfallen,VERB
.,--,PUNCT
»,--,PUNCT
Die,der,DET
Gräfin,Gräfin,NOUN
beugte,beugen,VERB
den,der,DET
Kopf,Kopf,NOUN
über,über,ADP
ihre,ihr,DET
Arbeit,Arbeit,NOUN
und,und,CCONJ
murmelte,murmelen,VERB
:,--,PUNCT
«,--,PUNCT
Wird,werden,AUX
eine,ein,DET
Räubergeschichte,Räubergeschichte,NOUN
sein,sein,AUX
.,--,PUNCT
»,--,PUNCT
«,--,PUNCT
Oh,Oh,PROPN
",",--,PUNCT
nichts,nichts,PRON
weniger,weniger,ADV
!,--,PUNCT
So,so,ADV
friedlich,friedlich,ADV
wie,wie,ADP
das,der,DET
Wesen,Wesen,NOUN
",",--,PUNCT
durch,durch,ADP
dessen,der,DET
Anblick,Anblick,NOUN
jene,jener,PRON
Erinnerung,Erinnerung,NOUN
in,in,ADP
mir,mir,PRON
wachgerufen,wachgerufen,VERB
wurde,werden,AUX
",",--,PUNCT
Mischka,Mischka,PROPN
IV.,IV.,PROPN
nämlich,nämlich,ADV
",",--,PUNCT
ein,ein,DET
Urenkel,Urenkel,NOUN
des,der,DET
ersten,erster,ADJ
Mischka,Mischka,NOUN
",",--,PUNCT
der,der,PRON
meiner,mein,DET
Großmutter,Großmutter,NOUN
